―,長富
まゆ,プロデューサーさんもその歌が好きですねぇ
モバP,以下P
響子,60年代でしたか？このウエスタンロックというのは？
P,まぁ、流行っていた時代と親父の年を考えればまぁ……
智絵里,す、すみません。私はこの歌詞……
P,すまんな。たしかに吊し首ってのは女の子に聞かせるそれではないからな
ゆかり,でもプロデューサーさんの嗜好に併せられるのもお嫁さんの勤めですから……
まゆ,うふぅ、ゆかりちゃんは愉快なことを言いますね
智絵里,そうですね。しまだ結婚できない人が言うセリフじゃありません
響子,あぁ？
まゆ,うふぅ
P,ははっ、みんな仲良しで嬉しいよ。さぁ、着いたからみんな降りなさい
四天王,はぁい
P,じゃあ、ちょっと休憩したらレッスン時間だから遅れないようにな。俺はエライさんと新人の面接に行ってくる
智絵里,また……新しい子……
ゆかり,うふふ……私とプロデューサーさんの仲について、理解が早い子ならいいんですが
響子,あぁ？
まゆ,うふふ、ゆかりちゃんも愉快なことばかり言いますね
P,胃が痛い……
ちひろ,お疲れ様です。あ、面接担当から50年代から80年代のヒットソングの資料を持って来て欲しいとの伝言です
P,はい？……面接……アイドルのですよね？
ちひろ,えっと、私にもよくはわからないのですが？
P,やれやれ、かな子のクッキーすら食べられないのか。ちょっと資料室まで行ってきますね
ちひろ,すみません
P,これでよし。しかし何に使うんだろう？。昔のアイドルとの比較？……誰かにそっくりなのが来るのかなぁ？。失礼します
面接担当,ほーい……おぉ、すまんな。ちょっと今日の子が特殊でな
P,何が特殊なんですか
面接担当,なんでも、昔のアイドルが好きでそうなりたいんだとさ
P,昔のねぇ……それだけじゃネタが尽きたらすぐ売れなくなりそうですが
面接担当,違いない。おお、もうそんな時間か
P,じゃあ……入って来てもらいましょう
面接担当,じゃあ、ちょっと失礼だが、お父さんの……
蓮実,は、はい。父の一番好きな歌を
ハンギング,吊し首の
あわれ吊られた無法者,アウトロー
P,あ、あぁ
蓮実,はい！
P,あー、すまない。それって吊し首のジョーだよね
蓮実,ご存知なんですか？！
P,たしかこれはロック調で歌うような
蓮実,は、はい。でもオリジナルの方ではこういう歌い方もありまして
P,なるほどね
面接担当,その反応を見るに大丈夫みたいだな
P,えぇ、しばらくは今時の曲をメニューに入れないといけませんが
蓮実,大丈夫です。好きなのはたしかにちょっと昔のですが、ちゃんと今の歌も聞いてますよ
面接担当,ほぅ、それは頼もしい。では決まりかな
P,えぇ
面接担当,では、長富蓮実さん。合格おめでとう。これからもよろしく
蓮実,はいっ！ありがとうございます。ら～、らりら～、ららるぅー
トレーナー,んー、そのららるぅは半音あげられるか？
蓮実,は、はい。ららるぅ～
トレーナー,よし、音のイメージ化をうまく使いこなしているようだな
蓮実,はい、ありがとうございます
トレーナー,……ふむ
P,失礼します。どうですか
蓮実,あ、プロデューサーさん。おはようございます
P,おはよう。頑張ってるな
蓮実,はい、ありがとうございます
トレーナー,プロデューサー。こいつは逸材を見つけたな。よほどのキャラ特化曲でもない限り大抵歌いこなしているな。毒茸伝説やメルヘンチェンジはちとキツいがな……
P,あははは……まぁあいつらの領分まで侵す気はありませんからね。まずはデレステ曲みたいな、グループソングから始めたいですし
トレーナー,うむ、妥当な判断だな。私もこの子がソロで歌えるようになるのを楽しみにしているよ
P,はい、ではよろしくお願いいたします
蓮実,あ、あ、あ……き、緊張します。ひ、人並みってなんですか？私は怪物でも妖怪でもないんですよ
P,ははっ、こんな可愛い妖怪がいたら。って、捕まえるんだがな
蓮実,んもう！酷いです！こっちは緊張して……あれ？
P,どうだ。少しは納まったか？
蓮実,は、はい。ありがとうございます。それに……可愛いって言ってもらえたし
P,なら、やることは一つ！
蓮実,ステージの妖精なって、みんなを魅力することです！
P,気持ちよくやってこい
蓮実,はい、笑顔と気合と微笑みときらめきで頑張ってきます！。♪～風とビルの谷間で愛を探します。ありがとうございます。お母さ……母に薦められて、憧れて、そしてアイドルになれたのもプロデューサーさんのおかげです。母もとても喜んでます。ぜひ、実家に来て下さいと。母もきっとry
P,はははっ……。母親か……。……。……。……母親かぁ
ちひろ,何です？急にマザコンが燃焼しましたか？
P,うわぁぁぁぁぁ！
まゆ,プロデューサーさん！大丈夫ですかぁ！？
響子,ついに蛍光緑が手を出しましたか！？
智絵里,私のチョップで……お命、頂戴します
ゆかり,私のプロデューサーに手を出して……生かしてはおきませんからね
まゆ,あら、ゆかりちゃん。ゆかりちゃんのではなく、まゆのですよぉ
響子,はぁ？
P,とりあえずここ四階だから、智絵里は窓から入ってこない
智絵里,えへへ……褒められちゃいました
P,あと、ゆかり。壁は壊すものじゃないから
ゆかり,えへへ……怒られちゃいました
まゆ,むすー
響子,ぷすー
ちひろ,と、とりあえず、私の心配を……
まゆ,そうだったんですかぁ。そうならそうと言っていただければぁ
ちひろ,そんな余裕はありませんでしたけどね
智絵里,でも……やっぱり家族と離れて過ごすのはさびしいですから
響子,そうですね。旦那様と離れて過ごすことを考えると、心配です……
ゆかり,響子ちゃん？旦那というのは？
響子,もちろん、プロデューサーさんです！
智絵里,はぁ！？
P,いや、そういうことではなく。本人……というか彼女自身がアイドルを楽しんでいるかなんだよ
ちひろ,なるほど、親が楽しいから私も楽しいというのと、自身が楽しいから楽しいでは違いますからね
P,そこなんだよなぁ……それさえ解決できれば、もっと伸びてくれるかもしれないのに
まゆ,……逆に触ってほしくないポイントかもしれませんよ
P,まゆ……？
まゆ,もし、まゆがプロデューサーさんと離れなければいけない事になったら、まゆはアイドルを続ける自信がありません。まゆはアイドルの活動を楽しいと思ってますし、プロデューサーも大好きですけどぉ
P,なるほど……難しいな
―恐れていた,母親
P,発売まで、もう一週間切ったか
ちひろ,正直なところ早い方ですからね
P,まぁ、ほかのみんながファーストを出してた頃は、うちも小さかったからペース配分を一緒にするべきではないですがね
ちひろ,それでもですよ。これも敏腕プロデューサーのおかげです
P,何をおっしゃる。全力でサポートしてくれるちひろさんがいなければ……
ちひろ,うふふふ
P,あははは
ちひろ,あら？登録していない外部からの電話ですね。もしもし、こちら346プロですが。はい、はい……はい、たしかに長富蓮実はうちの……。え？蓮実ちゃんのお母さんが！？
P,！？
蓮実,お母さん……
P,申し訳ありません。今回はプライベートですので
蓮実,ご心配をおかけしてすみません。たった今、母と最後の別れを済ませてきました。母の励ましでアイドル活動ができるようになりました。これからも一生懸命頑張って、天国の母にも笑われないように精一杯やっていきます
