二宮飛鳥,やぁ、おはよう文香さん
鷺沢文香,おはようございます、飛鳥さん
飛鳥,陰鬱な空が中々晴れてくれないね
文香,そうですね雨は読書の供に心地いいものですが、紙に湿気は良くないので･･･難しいものです
飛鳥,なら文香さんにとっては朗報にも悲報にもなり得るかな、週明けから好転するらしい
文香,それは･･･良かったです
飛鳥,おっと、どうやら今回は前者だったようだ。･･･ボク自身、天気予報や占いなんてナンセンスなものに頼るのは癪だが･･･貴女の笑顔が見られたんだまぁ、偶には悪くない
文香,飛鳥さん･･･
飛鳥,フフ、じゃあボクは着替えてくるよ
文香,月の無い夜は努々気をつけることですね
飛鳥,何か気に障ることでも言ってしまったかな
文香,あ･･･すみません、つい心の声が
飛鳥,なんのフォローにもなってないよ。じゃあ･･･ボクは着替えてくるから
文香,･･･？雨、降っていたでしょうか
飛鳥,あれほどの驟雨はそうそうお目にかかれるものじゃないね･･･そもそも、凄まじい雨音だったハズなんだが
文香,驟雨。いわゆるにわか雨ですね･･･正式な気象用語ではないものの、最近では突発的な集中豪雨のことをゲリラ豪雨、と呼んだりもします
飛鳥,教養を話題逸らしに利用するのはあまり褒められたことではないと思うよ、文香さん
文香,･･･それにしても、濡れているようにはとても見えませんね
飛鳥,ああ、そこに乾かしている合羽でね
文香,なるほど、こういった際に扇風機は便利ですね
飛鳥,誰かは知らないが億劫がって仕舞わないでおいてくれて助かったよ
遊佐こずえ,ふわぁー････せんぷうきー･･･？
飛鳥,おはよう、こずえもしかしてこれは君が？
こずえ,そうなのー･･･じむしょにきたら、まずせんぷうきに･･･こくはくするのー
文香,告白･･･ですか？
こずえ,ふみか･･･おはようございます、なのー･･･そう・・・こうやってー
飛鳥,ボクへの返礼がなかった事に関して深い意味はないんだよね？
こずえ,こずえは～うちゅうじんなの～
文香,言葉のニュアンスとしては、信仰告白に近いのでしょうか･･･
飛鳥,世界中の宗教家に怒られそうな心得違いだね･･･
こずえ,こんなかんじでー･･･まいあさじぶんのそんざいを･･･こちゃくさせてるのー･･･
飛鳥,語調をボクに寄せてくれた事はありがたいんだが振り向いたのに声のブレが続いてるのはどういうワケなんだ
文香,ホーミーの一種、でしょうか
飛鳥,ホーミー
文香,はい･･･モンゴルはアルタイ山脈の、周辺民族に伝わる唱法です1人で同時に2つの音を奏でる、と言われています
飛鳥,･･･どこかで聴いた響きだと思ったら確か以前茜がそんな歌を歌っていたような･･･ホーミーに動じない、とか何とか
渋谷凛,こずえ～･･･あ、いた
こずえ,ふわぁ･･･りんなのー
凛,今日はベルカント教えてくれるって約束だったでしょレッスンルームも取ってあるんだから、ほら行くよ。ごめんね飛鳥、文香さんこずえ借りてくね
飛鳥,構わないよ
こずえ,またねー･･･
文香,はい、またいずれ
飛鳥,･･･ボクの中での彼女は小動物のような、俗に言う癒やし系だと思っていたんだが
文香,意外でしたか？
飛鳥,認識を改める必要がありそうだね
文香,こずえちゃんはヘヴィメタルにも造詣が深く･･･輝子さんも師事しているとか
飛鳥,守備範囲。閑話休題、というやつさ
文香,こずえちゃんとのひとときを無駄話呼ばわりとは辛辣ですね
飛鳥,誤用ですらない言葉の綾に些か風当たりが強すぎやしないかい
文香,ふふ、冗談です
飛鳥,今日の文香さんは心臓に悪いよ･･･
文香,だとすれば、日頃のビジュアルレッスンの賜物･･･かも知れません
飛鳥,トレーナー諸氏は同僚の肝を冷やして遊ぶために指導しているわけじゃないと思うのだけどね
文香,あっ･･･私は決してそんなつもりでは･･･
飛鳥,･･･すまない、ボクも少し言い過ぎたようだ
文香,飛鳥さんの困った顔を見る度、その縋るような双眸を向けられる度に･･･性的な興奮を覚えるだけです
飛鳥,この流れで性癖吐露とは恐れ入ったね
文香,先だって伝えておくことで飛鳥さんが自発的に困ってくれるかも知れませんし
飛鳥,少しは悪びれたらどうなんだい？
文香,ああ、その顔です飛鳥さん･･･
飛鳥,その恍惚の表情もViレッスンの成果だね？そうなんだろう？
橘ありす,橘です！！！！！！！！！！！
飛鳥,機先を制したつもりかも知れないがそれではただの情緒不安定だよ、ありす
ありす,文香さんは誰にも渡しませんよ！
飛鳥,何故どいつもこいつもボクの話を聴いてくれないんだ
文香,仰る通りです･･･
飛鳥,そのリアクション、さては読書中だね？。･･･冗談のつもりだったのに本当に読んでるじゃないか！
文香,あっ･･･
飛鳥,全く、会話の輪から外れた隙を衝いてこんな分厚い本を読みだす機敏さが文香さんにあったとはね･･･今日は驚かされてばかりだよ
ありす,二宮さん、腕震えてますよ
飛鳥,ボクは飛鳥だ、ありす･･･お言葉に甘えて一旦置かせてもらおうかな
ありす,本を読む文香さんはやはり抜群の可愛さですね･･･！
飛鳥,さっきから会話がワンテンポ前後してるように思うんだが
ありす,もうこんな時間ですか、私はこれからレッスンなので失礼します
飛鳥,切り替えの早さ
文香,いってらっしゃい･･･
飛鳥,2冊目。ときに、文香さん
文香,はい･･･なんでしょう
飛鳥,先ほど返した本なんだが。CultsoftheGhouls･･･海外の寓話か何かなのかい？
文香,いえ･･･この本の原著は所謂、魔道書と呼ばれるものでして
飛鳥,あの会話の最中よくもまぁそんな物騒な本を読めたモノだね
文香,お仕事で使うので目を通しておくように、と---
飛鳥,ああ、小道具やらの美術の類なのか
文香,川島さんに訳していただいた次第です
飛鳥,本物なんじゃないか
文香,･･･？訳本であるからして原典とは比べるべくもない、と川島さんが
飛鳥,ボクの知る彼女の口調とは似ても似つかないのだけど
文香,確かに･･･昨日の彼女は
飛鳥,うん？
文香,薔薇のように赤い燕尾服を着て
飛鳥,赤い燕尾服
文香,珍しく、長いグローブを肘まで着けて…ステッキで身体を支えていました
飛鳥,ステッキ
文香,この本を懐から取り出して、本の概要と･･･私にして欲しいことを説明したあと一言、
飛鳥,現時点で川島さんらしさはほぼ皆無だね
文香,わかるわと
飛鳥,ファクターに乏しすぎる
文香,そうでしょうか…？
飛鳥,そのフレーズだけじゃ片付けられない違和感がそこかしこに転がっていたんだが
文香,私は、基本的にお知り合いの人となりを…口癖、もしくは首から下だけで記憶しているもので…
飛鳥,圧倒的初耳
文香,ええと…私はその…前髪が目にかかっていて
飛鳥,確かに文香さんのソレはいつも鼻筋あたりまで影を落としているね
文香,そのせいで…私とそう違わない体格の方の、胸から上は視界から外れてしまうのです
飛鳥,それはさぞ生き辛かったことだろう･･･切ることは考えなかったのかい？
文香,ありがとうございます…そう言って下さるだけで今までの苦労が報われるというものです
飛鳥,おい、何故切らなかったのかと訊いてるんだ
文香,これはその…アイデンティティのようなものですので…///
飛鳥,どこに照れる要素が。･･･先の理論に倣うと、川島さんの確定要素は例の口癖だけなのかい？
文香,いえ、加えてよくお見かけする服装もですね
飛鳥,彼女が普段から燕尾服なんて身につけていたらボクや蘭子が放っておかないと思うんだが
文香,そういうわけではなく…ANDではなくORの考え方に近い、と言えば分かりやすいでしょうか
飛鳥,･･･いずれかひとつを満たしていれば認識し得る、と？
文香,仰る通りです…もし昨日の川島さんにその全てが当てはまっていたなら、私は彼女に…猜疑の目を向けることすら、叶わなかったでしょう
飛鳥,散髪ひとつで解決する問題をさも深刻な事のように語られても困ってしまうね
文香,お忘れですか･･･最初からそれが目的なんですよ？
飛鳥,策士。…参考までに聞いておきたいんだが、ボクの確定要素はどこになるのかな
文香,飛鳥さんの場合は…
飛鳥,おや、今日は早いんだねフレ、デ…
宮本フレデリカ(エクステ装備),…
飛鳥,…悪ふざけの為に人の鞄を漁るのは感心しないな、フレデリカ
文香,あ…！
飛鳥,ん？文香さんどうし---
フレデリカ,…トートロジー
文香,飛鳥さんが…二人…！？
飛鳥,ボクをボク足らしめる要旨は本当にそれだけなのかい！？
フレデリカ,わかるかい…？今ボクたちはセカイの狭間に
飛鳥,宮本ォ！！！！！！
フレデリカ,こんにちハロ〜文香ちゃん♪いつも元気なフレちゃんでーす！
文香,フレデリカさん、でしたか…びっくりしてしまいました…
飛鳥,･･･どうやらプロジェクト・クローネの面々はみな都合のいい耳をお持ちのようだ
フレデリカ,お餅食べたい！
文香,お餅は…腹持ちもいいですしね…
フレデリカ,･･･はっ！お餅だけに！？
文香,
フレふみ,いぇーい
飛鳥,実証が早くて助かるよ…
城ヶ崎美嘉,あ、こんなとこにいた！
フレデリカ,姉ヶ崎ちゃん！さっきぶりだねーどしたの？
美嘉,どしたの？じゃないわよ！
文香,スケジュールによると、今は確か…
美嘉,トレーナーさん待ちだったのに文香がどうとか言い出して走ってどっか行っちゃって･･･。揃わなきゃレッスンになんないからユニット皆で探してたんだよ！？
