ナレーションここは,BAR天真
ガヴリール,ふわぁ～。営業直後とはいえこういう客が入らん時間帯は落ち着いてていいな。と、言ってたらもう客か。いらっしゃい
ヴィーネ,はぁ～
ガヴリール,お疲れだね。何がいい？
ヴィーネ,何か適当に出してよ。そうね、何か元気が出るのでいいわ
ガヴリール,じゃあ、これはどう？あらかじめシェイクしておいたから
ヴィーネ,これはまた鮮やかな色ね。どれ…。っ！！！……………美味しい！？///。マスター、これ美味しいわ！というか、疲れが吹き飛んで何だか元気が湧いてきたような
ガヴリール,そうか
ヴィーネ,ありがとう。えぇと、いくらかしら？
ガヴリール,～になります
ヴィーネ,はい。おつりはいらないわ
ガヴリール,どうも。ただの栄養ドリンクを出しただけだから元気にはなるけど、意外と気付かれないもんだな…。いらっしゃい
サターニャ,マスター、今夜はやけ飲みしたいから遠慮なく良いのを用意して頂戴
ガヴリール,良いのねぇ…。分かった。ほい
サターニャ,どうも。ふん！。ふぅ～。マスター、良いヤツ出してくれて感謝よ。なんだか嫌な事が忘れられそうだわ
ガヴリール,そうか。なら良かった
サターニャ,それにしてもこんなに飲んだら、流石に帰れるかが心配ね
ガヴリール,心配はいらねぇよ。用意したのは全てただの炭酸飲料だからな…。
ラフィエル,初めて来ましたが、良いお店ですね、マスターさん♪
ガヴリール,どうも
ラフィエル,私、いつもは高級なお店を何軒かはしごしていますが、たまにはこういう平凡な所も悪くないと思いましてね
ガヴリール,そうですか。平凡は余計だがな
ラフィエル,こちらのお店は何年ほど？
ガヴリール,私は最近、前のマスターから引き継いだから短いけど、前のマスターは10年近くと言ってたよ
ラフィエル,ほぉ～、お店自体は10年近くで、マスターさんは前の人から引き継いで最近ですか…。
ガヴリール,はぁ～
ラフィエル,それにしても、こちらの飲み物気のせいでしょうが、やけに味が変ですね
ガヴリール,っ！？
ラフィエル,まぁ、いいでしょう。これも美味しいですから…ね、マスターさん？
ガヴリール,うっ、そ、そうか！。注文の物を用意できる自信がないから適当に似てる味を作ったけど、やっぱ味に慣れてる客の舌じゃバレるか…。
タプリス,マスターさん、疲れた体に何か良いものを用意して貰えませんか？
ガヴリール,いいよ。これ、どうだ？
タプリス,では…。っ！！……美味しいです///。マスターさん、これは一体？！
ガヴリール,どういうのかは言えないけど、元気になるのは間違いない飲み物だ。まっ、ただの栄養剤だけどな。案外、バレないもんだな、前の客に見抜かれた以外は…。
タプリス,へぇ～、前のマスターさんが亡くなって急遽こちらのお店を、ですか
ガヴリール,あぁ
タプリス,それにしてもBARのマスターというのは、私の今の仕事と比べてカッコいい職業ですよね/////
ガヴリール,そうか？BARのマスターなんてそんなに良くは思わないけど
タプリス,いえ、私が思うにBARのマスターという職業は疲れたお客さんを癒し、笑顔にするといった良き点があります。ですから、カッコよく立派な職業だと私は思うんです！
ガヴリール,…………そうか。
タプリス,よければ、マスターさんのシェイクを見せては貰えませんか？
ガヴリール,私の、か？別にいいけど…
タプリス,ありがとうございます
ガヴリール,簡単なのしか見せられないけど、ほらよ！
タプリス,す、凄いっ、速過ぎますっ！！？///
ガヴリール,見よう見まねで練習したのだけど、これでいいか？
タプリス,はい。それにしてもマスターさんはこのような事も出来て、本当にカッコいいです///
ガヴリール,なんだか、後輩が先輩を見るような憧れの眼差しを向けられてるような感覚だな…。
まち子,BARって滅多に入らないから、緊張しちゃうなぁ…
ガヴリール,ご注文は？
まち子,あっ！？えぇと…おまかせでお願いします
ガヴリール,お任せね。ほら……
まち子,あっ、頂きます。……美味しい
ガヴリール,はぁ～
まち子,あ、あのう？
ガヴリール,んっ？
まち子,この仕事、長いんですか？
ガヴリール,いや、最近始めたばっかだな。
まち子,えっ、最近？
ガヴリール,そう、最近。それがどうした？
まち子,あっ、いえ、私と同じだと思って…
ガヴリール,同じ？
まち子,はい。実は私も前は別の職種で働いていたんですが、訳あって今は別の職業に…
ガヴリール,へぇ～。お客も中々大変なんだな
まち子,ですが、マスターさんが私と同じだと思ったら何だか自信がつきました。ありがとうございます。お互い大変だと思いますが、頑張りましょう
ガヴリール,あ………あぁ…。今回の客は少々馴れ馴れしいのか、真面目なのか…。
グラサン,……………
ガヴリール,注文は？うわっ、怖そうな客だな…
グラサン,～で頼む
ガヴリール,はい…。どうぞ…
グラサン,……………。っ！！
ガヴリール,っ！？
グラサン,……………
ガヴリール,な、なに！？
グラサン,美味しかった
ガヴリール,えっ？
グラサン,美味しかった……おかわりを頼む
