北条加蓮,豆の数は、藍子が１６個で
高森藍子,加蓮ちゃんも、１６個ですよね
加蓮,で、菜々ちゃんの分は――
安部菜々,ギクッ！！
藍子,あはは、加蓮ちゃんまだ何も言ってない……
加蓮,んー……。はい、菜々ちゃん。１７個だよね？
菜々,え？
藍子,あれっ？
菜々,いやなんでそこで首を傾げるんですか藍子ちゃん！まさかナナが１７歳ではないとでも！？
藍子,そ、そんなこと言ってません～っ。菜々さんだって首かしげてたじゃないですか、揺らさないで～っ。私は加蓮ちゃんが珍しいことを言っているって思っただけですっ。だって、こういう時って加蓮ちゃん、いつも菜々さんをからかってばかりだから
加蓮,まーね。でもほら、菜々ちゃんだって菜々ちゃんなりに頑張ってるでしょ？。普通に考えてみてよ藍子。１７歳で居続けることって結構難しいことだと思うの。私。でもさ。最近の菜々ちゃんって、雑誌を読んだりファッションの勉強をしたり、すごく頑張ってるでしょ？
藍子,そういえば、私のところにも教えてほしいって来たことが……。たいしたことは教えられませんでしたけど、菜々さん、すごく真剣でしたっ
加蓮,だから、今日くらい１７歳ってことにしてあげよう！なんてっ
菜々,加蓮ちゃん……！ううっ、ありがとうございまず～～～～！
加蓮,あーあ、泣いちゃって
菜々,そうなんでず、ナナは頑張ってるんでず～～～～～～！
加蓮,よしよし。菜々ちゃんは頑張ってるねー
菜々,ぐすっ。まさか加蓮ちゃんにそんなことを言ってもらえるとは……！
加蓮,ところで菜々おかーさーん、かれん欲しいものがあるの～♪
菜々,なんでも言ってください！ナナが買ってあげます！
藍子,だまされてるっ、だまされてます菜々さんっ。ところで加蓮ちゃん、さっきの口調は何だったんですか？自分のことを名前で呼んだり、甘え声だったり。なんだか加蓮ちゃんらしくなかったような……
加蓮,…………なんだったんだろうね
藍子,もしかして、そういう風になってみたいっていう気持ちがあったり……？
加蓮,ないないないない。詮索するのやめなさい。あれは……。あれは菜々ちゃんが悪いの
藍子,菜々さんが？
加蓮,そう。菜々ちゃんが悪い。菜々ちゃんって言えばさ、聞いてよ、最近あの人――
菜々,ちょっと加蓮ちゃんさっきの誰がお母さんですか――
加蓮,鬼はー外ぉー！
菜々,ミンっ？！いきなり何っうわっと！
加蓮,ちっ
菜々,いきなり何なんですか！？誰が鬼ですか！
加蓮,ちょっと１週間毎食ポテト生活をやっただけでツノを生やす菜々ちゃんの、鬼ー！
菜々,ととっ！いやあれは誰でも止めるでしょう！ちゃんと栄養摂りなさい野菜も食べなさいって何度言えば分かるんですか！
加蓮,うっさい！人のプロフィールに“野菜で栄養もちゃんと摂ってます”って勝手に書いてー！
菜々,よけるっ！いいじゃないですか！みんな加蓮ちゃんのことを心配してるんですよぉ！
加蓮,お陰でベジタリアンっぽいお仕事ばっかり来るのよ！私はもっとポテトが食べたいの！菜々ちゃんのせいよー！
菜々,ウサミン的回避っ。いいことじゃないですか！もっと健康になりましょう！ととっ、がさごそがさごそ……はいこれっ、ウサミン星の特製野菜ジュースですよ♪
加蓮,もうそれは飽きたの！
菜々,飽きたとは何ですか飽きだぶっ
藍子,……節分って、ストレスを解消するイベントでしたっけ？。よ～しっ。それなら私もっ。菜々さんっ。福は～内、ですっ
加蓮,藍子。一緒に鬼を退治しようよ！
菜々,だから誰が鬼ですか！
