大和麻弥,相談したいことがある、って言ったきり黙ったままですけど……
白鷺千聖,……なんて言えばいいかちょっと迷ってしまって
麻弥,気にせず仰ってみてくださいよ。ジブンと千聖さんの仲じゃないですか
千聖,ありがとう、麻弥ちゃん。それじゃあ……最近、彩ちゃんと花音の距離が近いような気がしてて……
麻弥,彩さんと松原さんが？そうですかね？
千聖,ええ。近頃ね、どっちに電話をしても、彩ちゃんと花音の２人でいるって言われるの
麻弥,あー……言われてみれば、彩さんに連絡すると今、花音ちゃんといるんだってよく言われるような気がしますね。でも、それで何か不都合なことがありますか？
千聖,寂しいのよ
麻弥,はい？
千聖,あの2人が私を介さないで仲良くなってるっていうのが、寂しい
麻弥,は、はぁ。……今日はダメな千聖さんの日かなぁ。彩さんか松原さんが絡むとたまーにとんでもなくおかしくなるんですよね、千聖さんて……
千聖,麻弥ちゃん？今なにか失礼なこと考えていないかしら？
麻弥,い、いえいえ、滅相もありません！。それで、ええと、彩さんと松原さんが仲良くなるのがどうして寂しいんですか？
千聖,……彩ちゃんって可愛いわよね
麻弥,そりゃあアイドルですから
千聖,いつでも一生懸命で、不器用なり頑張ってて、転んで怪我しないか不安になるけど、どんな時も挫けないでまっすぐ前に進み続ける姿。感受性が豊かでよく笑ってよく泣いて、その表情１つ１つがとても輝いているわよね
麻弥,え、ええ。ああ、確信しました……これはダメな日ですね。……今日はいつ解放されるかなぁ
千聖,花音も可愛らしいわよね
麻弥,そ、そうですね。すごく女の子らしい方ですよね
千聖,ふわふわほわほわしていて、傍にいるだけで癒されて、道に迷って泣いてないか心配になるけど、どんな時にも自分の芯は持ち続ける姿。はにかみ屋さんだからあんまりコロコロ表情は変わらないけど、あのほにゃっとした笑顔にはとても心が満たされるわよね
麻弥,……そうですね
千聖,２人ともね、心配なのよ。可愛いけど不器用だから、私がついてないと。悪い虫がつこうものなら即殺菌消毒しなくちゃいけないし、都会には悪意を持った人間も多い。純真無垢なあの子たちのことだもの。絶対すぐに騙されて悪い人について行ってしまうわ
麻弥,流石にそれは大丈夫じゃないでしょうか……？
千聖,いいえ。人を疑うことを知らない天使のような２人だもの。困ってる人がいて……なんて言われたら絶対に放っておけずについて行くわ。なんならその方法で私が誘拐したいくらいだもの
麻弥,……今の言葉は聞かなかったことにした方がいいんでしょうか……。ていうかもう帰りたい……ものすごく真剣な顔で相談があるの、麻弥ちゃん
千聖,麻弥ちゃん、聞いてる？
麻弥,は、はい、聞いてます聞いてます！。えぇっと、要はあれですかね、雛が巣立つのを見る親鳥の気持ち、みたいな感じですか？。可愛くて手のかかる雛が巣立ってしまって寂しい……というような
千聖,……彩ちゃんと花音が私の雛鳥……楽園かしらね。どこにも行かないでずっとその場所で暮らしていたいわ
麻弥,あ、あの、千聖さん？
千聖,ああ、ごめんなさい。ちょっと考え事をしていたわ
麻弥,いえ……。思考がだだ漏れですって伝えた方がいいですかね……
千聖,確かに麻弥ちゃんが言うような一面もあるわね。でもね、もう一つ何か、私の心によく分からない感情があるの
麻弥,よく分からない感情、ですか？
千聖,そうなの。この前、花音が彩ちゃんと一緒に水族館に行ったんだなんて言ってて……
麻弥,ジブンも彩さんからそんな話を聞きましたね
千聖,その時の花音がやたら乙女な表情をしていたわ
麻弥,……どんな表情だろう
千聖,そのあと彩ちゃんに聞いたの。花音と水族館、楽しかった？って。そうしたらやっぱり彩ちゃんも乙女な顔をしたの
麻弥,彩さんは楽しそうに話してくれてましたけど……あれが乙女な顔なんでしょうかね……。それに何か問題が？
千聖,水族館。乙女な顔をする天使が２人。もうこれは友達同士の遊びじゃなくて、友達以上恋人未満のデートをしていたに違いないわ
麻弥,デ、デートですか！？
千聖,ええ、間違いないわ。そしてきっとこんなことがあったのよ……
今日だって、もしかしたらペンギンさんとイルカさんのショーを見たかったかもしれない。それなのに、私の,クラゲを見たい
麻弥,…………
千聖,きっとそうやって、水族館で友人という一線を越えて新しい関係を築いていたに違いないわ
麻弥,……えぇ？
千聖,２人がそうなっていたらって考えるだけで……私の心はもう、嬉しいような寂しいようなもどかしいような、そんないくつもの感情がごちゃごちゃに混ざり合った色になるの
麻弥,あ、あの、千聖さん……こう言ってはなんですけど、考えすぎではありませんか？
千聖,そうかしら？
麻弥,はい……なんていうか……もう妄想の域だと思います、今の話は。そんなに易々と友達の一線を越えたりはしないんじゃないですかね……？
千聖,……まぁ、麻弥ちゃんはそう思うかもしれないわね。気付かないうちにイヴちゃんとそういう感じになってるし
麻弥,えっ
千聖,知ってるかしら？イヴちゃんがハグのついでに頬にキスするのは麻弥ちゃんだけなのよ
麻弥,あれされてるのジブンだけなんですか！？
千聖,私にはキスしないの？って聞いたらあれはマヤさんだけの特別ですから……えへへと言っていたわ
麻弥,そ、そうだったんだ……。これくらい、外国じゃ当たり前です！って言われてたから、てっきり皆さんにもやってるのかと思ってた……
千聖,楽屋でも絶対に麻弥ちゃんの隣に座るし、何かと理由を探して麻弥ちゃんの近くにいようとしてるし……多分慣れちゃったのね、そういう距離感に。だから私の話を聞いてもピンと来ないんでしょう。ふふ、でも良かったわね、麻弥ちゃん。イヴちゃんに特別に好かれていて
麻弥,そ、そうですね……フヘッ、フヘヘヘ……
千聖,麻弥ちゃん、笑い方がちょっと
麻弥,あ、す、すみません、嬉しくてつい……
千聖,とにかくね？彩ちゃんと花音がそんな関係になっているのかが気になって、私はもういてもたってもいられないのよ。だから麻弥ちゃん。それとなく彩ちゃんに聞いてきてくれないかしら？。私が行ったんじゃちょっとね……彩ちゃん、緊張して喋ってくれなさそうだから
麻弥,あー……なるほどですね……
千聖,ええ。だから、注文ついでに少し彩ちゃんにね？
麻弥,……分かりました。イヴさんのことも教えてもらいましたし、出来る範囲で頑張ってきます
千聖,ありがとう、麻弥ちゃん。やっぱりあなたは頼りになるわ
麻弥,とは言ったものの、どうしよう。松原さんと付き合ってるんですか？なんてまっすぐには聞けませんし……。……よし、ここは先ほどの千聖さんの話を振ってみよう
丸山彩,あ、いらっしゃいませ、麻弥ちゃん！
麻弥,どうも。お疲れ様です、彩さん
彩,追加の注文？
麻弥,はい。オレンジジュースと三角パイを１つずつお願いします
彩,はーい！花音ちゃーん♪
松原花音,は、はい！了解しましたー！
麻弥,あっ、彩さん、ちょっと今……時間ありますか？
彩,うん？お客さんも並んでないから平気だよ。どうかした？
麻弥,あ、いえ、大した用じゃないんですけどね？この前、松原さんと水族館に行ったって話してたじゃないですか
彩,うん
麻弥,実は千聖さんが――。――って感じだったんじゃないかって言ってまして……あはは、なかなかよく出来た作り話ですよね
彩,…………
麻弥,……え
彩,…………
麻弥,彩……さん？
彩,……ソ、ソウダネー。オモシロイ話ダネー……
麻弥,目を逸らしてあからさまな棒読み……。あっ、これアレなやつだ
花音,お、お待たせしました、オレンジジュースと三角パイですっ。えへへ、彩ちゃんに言われたから頑張って早く持ってきたよ♪
彩,……えへっ
麻弥,確実にアレなやつだ！！
千聖,おかえりなさい、麻弥ちゃん
麻弥,……はい、ただいまです
千聖,どうだったかしら？
麻弥,黒です……もう真っ黒です……。明日からどんな顔して彩さんに会えばいいのか分かりません……
千聖,そう、なのね。……でも、そっか……ふふふ
麻弥,ち、千聖さん？どうしてそんなに笑顔なんですか……？。まさか怒りとかそういうのの臨界点を超えて……！？
千聖,ああ、ごめんなさい。やっぱり嬉しくて
麻弥,へっ？
千聖,彩ちゃんと花音がもっと深い関係を築けたということがね、共通の友人としてとても嬉しいの。そりゃあね、私の彩ちゃんと花音が……ってちょっとは妬いたりする気持ちもあるけど、それでも嬉しさの方がもっと大きいわ
麻弥,千聖さん……。……千聖さんはすごいですね。思うところがあるだろうに、友達の幸せを一番に祝福してあげられるなんて。それなのにダメな日の千聖さんなんて思ってしまって……失礼なことをしてしまいました
千聖,それにね、思ったの
麻弥,何をですか？
千聖,彩ちゃんと花音。２人の天使が、ゆるゆるふわふわした空気でイチャイチャしている。……素晴らしい光景じゃない
麻弥,えっ
千聖,ふふ、とても尊い光景だわ。私はそれを温かく見守り続ける守護聖人になるの。陰ながらあの２人の幸せをずっと眺めるの。そう思うだけで……薫のよく言う“儚い”、あれの意味が何となく分かるような気さえしてきたわ
麻弥,……やっぱりダメな千聖さんだこれ
千聖,さぁ麻弥ちゃんも席に座りなさい。彩ちゃんと花音のバイトが終わるまで、のんびり２人を眺めましょう
麻弥,終わるまでって……えぇ！？あの２人って、確かあと４時間くらいバイトじゃありませんでしたっけ！？
千聖,あら、それしかなかったかしら？じゃあしっかり目に焼き付けなくちゃね
麻弥,いやいやっ、千聖さん、この後にお芝居の稽古があるって言ってたじゃないですか！？
千聖,……それはキャンセルね。事務所に連絡するわ
麻弥,千聖さん！？いつものストイックさはどこに行っちゃったんですか！？
千聖,大丈夫、これは見学よ。見て学ぶことだから。友愛と恋愛の狭間を揺れる乙女心の機微。それを見て学び、己の中に取り込んでこそ演技が映えるのよ
麻弥,もっともらしいこと言ってごまかさないでくださいって！せ、せめてジブンは解放して欲しいです！
千聖,あら……帰ってしまっていいの？
麻弥,……え？
千聖,麻弥ちゃんもそういうの、学んだ方がいいんじゃないかしら？イヴちゃんの為に
麻弥,イヴさんの為に……？
千聖,イヴちゃんがどこまで友情で接していて、どこから愛情で接しているのか。それを知るためのいい勉強になるんじゃないかしら。そういう機微を見て学べば、もっとイヴちゃんと仲良くなれるよ思うわよ。だから……ね、麻弥ちゃん？
麻弥,…………。……確かに一理ありますね。分かりました、ジブンも千聖さんに付き合います！
千聖,流石ね。それでこそパステルパレットよ
麻弥,それは他のバンドのセリフのような……
千聖,細かいことは気にしないの。ほら、彩ちゃんと花音のもどかしい距離感を見なさい。あの初々しさが――……
麻弥,な、なるほど、勉強になりますね。あ、今、手を――……
上原ひまり,…………
宇田川巴,…………
ひまり,パスパレも……やっぱりアレだったね……
巴,だな……楽曲提供、しない方が良かったかもな……
ひまり,……壁の高さなんて関係ないよ。乗り越えた事実意味深
巴,やめろよ……一応蘭が作った曲なんだぞ……
ひまり,……むしろ蘭が作ったからこそ……
巴,…………。……それで納得しちまった自分を殴りたくなってきた……
ひまり,はぁー……ホント、なんで私たちの周りってみんなアレなんだろ……
巴,千聖さんはともかく……まさか麻弥先輩までアッチ側とはな……
ひまり,ね……芸能界って怖い……
巴,ってか……ひまり、お前ポテト食いすぎだろ……
ひまり,なんかもう……食べないとやってられないっていうか……
巴,……そんなに食ってたらどんなに動いたって太るぞ
ひまり,……え？えーっ！？でもウォーキングすれば痩せるって言ったの巴でしょ！？
巴,いやな、限度ってもんがあるんだよ。そんな食ってたら良くてプラスマイナスゼロだろ。ちゃんとカロリーが消費できないだろ
ひまり,だ、だけどちゃんと夜中の間食は控えてるからっ！これくらいヘーキだもん！。もー！巴が付き添ってくれるって言うから頑張ろうって思ったのに！。どうしてそんなやる気なくなること言うのっ！？
巴,やる気も何も……歩き始めてたった３０分で休みたーい……なんて言い出したのはひまりだろ……
ひまり,休憩は大事なの～！もぉー、巴なんて知らないっ！
巴,そんな拗ねんなよ……
ひまり,ふーんだ。イジワルな巴が悪いんだからねー
巴,あー分かった分かった、アタシが悪かったって……ほら、海行くまでに痩せるんだろ？。約束通りちゃんと夏休み中はダイエットに付き合ってやるから……な？
ひまり,……まぁそこまで言うなら？しょーがないし許してあげよう
巴,はぁーまったく……面倒なやつだよ……
ひまり,何か言った？
巴,いーや、なにも。ほら、それ食い終わったらさっさと行くぞ
ひまり,はーい
巴,って、んな急いで食うなって。ゆっくりでいいって。しっかり噛まないと消化が悪くなって太る原因に――
ひまり,あーまた太るって言ったー！！
巴,ああもうめんどくせー……
