忍びA,いや、お前それはねぇだろ。さすがにさぁ……
忍びB,ナルトはまだ子供だぞ？いたずらが過ぎただけじゃねえか。言って聞かせればわかるだろ
忍びC,いやいやいや、お前こそ何言ってるんだよ。４代目が何を思って九尾をてめえの息子に封印したのかわからねえのかよ
忍びD,悪いのは九尾であって、ナルトじゃねえよ
チョウザ,だ、だがあの化け狐は、あの落ちこぼれは…
忍びF,話になんねぇ。おい、みんな。チョウザに殺される前にナルト見つけて保護しようぜ
忍びG,あぁ、そうだな。あんにゃろ、見つけてげんこつくれてやるぜｗｗｗｗｗｗ。反省したら一楽でラーメンでも奢ってやるかｗｗｗｗｗｗ
忍びたち,だなｗｗｗｗｗｗｗｗ
チョウザ,・・・。……
チョウジ,父ちゃん？
チョウザ,いや、行こうか、チョウジ。今日は焼肉だぞ～
ナルト,おはよう、みんなー！
みんな,おはよー！
ヒナタ,お、おはよ、ナルトくん///
シカマル,ナルト、聞いたぜ。またやらかしたそうじゃねえかｗｗｗｗ
キバ,今度は禁術の巻物盗むとか、ほんとアホだなｗｗｗｗｗ
ナルト,うっせってばよｗｗｗｗ
サクラ,バカナルト、程々にしておきなさいよ
ヒナタ,な、ナルト君、その、怪我はなかった？
ナルト,おぉ、イルカ先生やおっさん達が助けてくれたしな。心配してくれてありがとよ、ヒナタ！
ヒナタ,////
いの,ヒナタ、赤くなってるわよ～ｗｗｗ
チョウジ,ふぅ、遅刻ギリギリ。おはよ、みんなー
一同,………
チョウジ,ん？
一同,……
ナルト,よう、チョウジ。おはようってばよ
チョウジ,……ﾁｯ話しかけてくるなよ、化け狐が
ナルト,え？
チョウジ,化け狐っつってんだよ、この落ちこぼれが！
ナルト,がはぁ、な、何するんだってばよ、チョウジ
キバ,お、おい、チョウジ、お前いきなり何してんだよ
チョウジ,うるさい！こいつのせいで父ちゃんは街のみんなから白い目で見られてるんだ。こいつが、、この化け狐が、、
ナルト,がはぁ。。お、おえぇ。。はぁはぁ…ちょ、チョウジ、やめてくれってばよ
チョウジ,うるさいうるさい
ヒナタ,ゃ、やめて、ナルトくんが……
チョウジ,オラオラオラオラ！。え？
シカマル,影真似の術っと。チョウジ、見損なったぜ
いの,そうよ、あなたのお父さんの発言は聞いてるけど、あなたは仲間想いの優しいやつって思ってたのに
チョウジ,っく、動けん。シカマル、いの、俺達は猪鹿蝶の仲間だろ、離せよぉ。こいつをボコボコにしないと気がすまないんだよぉ
シカマル・いの,……
ヒナタ,ナルトくん、大丈夫？
ナルト,あ、あぁ。なんとか
サクラ,ほら、こっちおいで、手当してあげる
チョウジ,おいナルト、いい御身分だな。女侍らせてよぉ
シノ,チョウジ、そろそろ黙ったほうが懸命だ
チョウジ,ったく、なんだっていうんだ、どいつもこいつも……
ナルト,う・ず・ま・き・ナルト連弾！！
チョウジ,ぐはぁぁ
ハヤテ,そこまで！勝者、ナルト！
一同,うぉぉぉぉ～ナルトが勝ったぁー
先生たち,へぇ、あのナルトがねぇ。やるじゃない
チョウジ,……。おら喰らえ、夜道で不意打ち肉弾戦車ぁ
ナルト,がはぁ、ちょ、チョウジ！
チョウジ,おらトドメだ
シカマル,影真似の術っと。大丈夫か、ナルト
チョウジ,な、なんで止めるんだよ、シカマルぅ。こんな落ちこぼれより、僕の方が強いって証明するんだ。ナルトなんて秋道一族の肉弾戦車でイチコロなんだよぉ。中忍試験のときは油断しただけなんだよぉ
シカマル,……はぁ。お前、本当に落ちるところまで落ちたな
チョウジ,クソ…クソ…クソ…
サクラ,ねぇ、今日は同期会やらない？久しぶりにみんなで集まろうよ～
キバ,へ、いいなぁそれ
いの,サクラのくせにいい事提案するじゃない
シカマル,面倒くせぇけど、暇だしいっか
ナルト,アカデミーの同じクラスだった奴らにも声かけるってばよ。だからそこでエロ仙人が覗いているところ見つかっちまってよｗｗｗｗ
ヒナタ,あはは、楽しそうな任務だったね///
クラスの女の子,ナルト君、面白いねぇー。アカデミーのときにもっとお話しておけばよかった
サクラ,やめておいたほうがいいわよ。こいつってばすぐに調子にのるしｗｗｗ
キバ,なんたって将来の火影
シノ,キバ、それはお前自身の黒歴史でもあるんだぞ。なぜならお前の夢は
キバ,わーーーわーーーー、きーこーえーなーいーｗｗｗｗｗ
チョウジ,……。クソ…クソ…なんでみんなナルトばっかり。ぼくだってただのぽっちゃり系だし、肉弾戦車で攻撃力はこの中では一番だし。あんな落ちこぼれの化け狐より、僕の方がモテるに決まってるのに……
いの,チョウジ、あんたも楽しみなさいよ。せっかくの同期会よ？。色々あって気まずいかもしれないけど、それでもみんな今日チョウジを呼ぶことを許してくれたのよ。やっぱり仲間っていいわね
チョウジ,いの、もしかして僕に気があるのかな？。こいつよく見ると胸もあるし、そこそこ美人だよな……
いの,ん？
チョウジ,いのぉぉ
いの,きゃ、きゃぁぁ、チョウジ、ん、やめてってば
一同,！？
チョウジ,へ、へへ、いのってばなんだかんだ言って僕のこと気にかけてくれるんだよねｗｗｗ
いの,い、いや、離してよぉ
チョウジ,はぁ…はぁ…
シカマル,おい、やめろチョウジ！いのを離せ
キバ,お前、マジでいい加減にしろってーの
モブB,ほんとよ。見た目通り、中身も醜いのね
いの,うぅ……うぅ……
モブC,いのちゃん、大丈夫？
モブD,かーえーれ、かーえーれ、かーえーれ、
みんな,かーえーれ、かーえーれ、かーえーれ、かーえーれ、
チョウジ,うぅ……
ナルト,み、みんなその辺にするってばよ
サクラ,ナルト……
ナルト,チョウジだってちょっと魔が差しただけだってばよ。本当は良い奴ってわかってるだろ
シカマル,だが、お前が一番被害受けてただろ？いいのかよ
キバ,そうだぜ、ナルト。こういう奴はもう友達とは呼べねぇだろ
シノ,こいつの親父さんから殺されかけたとも聞いたぞ。お前がかばう必要はないだろ
ナルト,チョウジのおっちゃんの件はよくわかんねえけどよ、おれは気にしてないってばよ。色々あったけど、でもやっぱり俺にとってはチョウジもみんなと同じ仲間だってばよ。だからこのとおり。俺に免じて許してやってくれねぇか、みんな
一同,ナルト……
ヒナタ,ナルト君、やっぱり素敵///
キバ,まあ、お前がそこまで言うなら……
シノ,ナルト、お前ってやつは……
シカマル,ったく面倒くせぇ。おい、チョウジ。ナルトに感謝しろよ。あと、いのに謝っておけ
チョウジ,……
モブ,さ、白けちまったし食い直そうぜｗｗｗｗ。酒もってこい酒ｗｗｗｗ。ばっか、まだ未成年だっつーのｗｗｗｗ
ナルト,さ、チョウジもみんなと一緒に食べるってばよ
チョウジ,。うるせーーーーーー！
一同,！？
チョウジ,何が俺に免じて許してやってくれだ？ああん？
ナルト,がはぁ、、、チョウジ、やめてくれってばよ
チョウジ,何様のつもりなんだよ、この落ちこぼれぇ！
ナルト,ぐえぇ
サクラ,しゃんなろぉーーー
チョウジ,ぐはぁ
サクラ,ナルトにこれ以上暴力振るうな！こいつは落ちこぼれでも私達の大切な仲間よ！
チョウジ,うるせぇ。喰らえ、肉弾戦車ァ
サクラ,きゃあぁ
シカマル,影真似の術っと。大丈夫か、ナルト、サクラ
サクラ,え、えぇ、私は
ナルト,ｶﾋｭｰ…ｶﾋｭｰ…
ヒナタ,な、ナルトくんが、腕が折れてる
キバ,だ、大丈夫か、ナルト
いの,ナルト、しっかりしなさい
シノ,今、医者を呼ぶ。いや、病院に連れて行くか。キバ、手を貸せ
ナルト,…………。…………
サスケ,あのウスラトンカチ、今スサノオから出たら無限月読にかかるって言ったばかりだろうが
おしまい,ネタ切れ
