藤居朋,～♪
朋,やっぱり早起きは気持ちいいわね！。そしてカフェで優雅にコーヒーを飲みつつ、今日の台本の確認！。うんうん！余裕のあるオトナって感じ！。あ、ホットコーヒーお願いします！。さて、と……。あ、あの席空いて……あれ？
緒方智絵里,……
朋,あ！智絵里ちゃんだ！。最近はソロのお仕事も増えてきて何日か話せてなかったし……。おーい……。って、あれ？
智絵里,あ……もしもし？
朋,あら……電話かかってきちゃったのね……。近くに座って、終わったら話しかけよっと。誰からの電話かしら……
智絵里,あ、かな子ちゃん。お疲れ様っ
朋,ああ、かな子ちゃんね！
智絵里,送った写真、見てくれた……？。えへへ……可愛かったでしょ？。わたしとしても、ベストショットかなって！
朋,写真……？何のだろ？
智絵里,本当に上手く撮れたな……あのホタルちゃん
朋,ほたるちゃん！？。えっ、ほたるちゃんの写真が上手く撮れたからかな子ちゃんに送ったの！？ただの彼氏自慢する女子じゃない！
智絵里,ふふ……、ちなみにメスなんだよ
朋,いやその情報必要！？というか言い方！
智絵里,寝顔がすっごく可愛くて、思わず撮っちゃったの
朋,しかも寝顔……
智絵里,よく見ると、よだれをちょっとたらしててね
朋,あら、ほたるちゃん、恥ずかしがりそうね
智絵里,拭いてあげようとしたらちょっと噛まれちゃった
朋,噛んだの！？。ほたるちゃんの防衛本能、半端じゃないわね……
智絵里,そうだねっ。うんっ！いつも一緒に寝てるよ
朋,本当に仲良しなんだから……
智絵里,最初はホタルちゃんだけ家の外で寝かせてたんだけど……
朋,なんで！？可哀想じゃない！！！
智絵里,やっぱりご近所さんに鳴き声とか
朋,世間体で判断してるの！？そりゃ女の子を外で寝かせてたら印象最悪よ！？
智絵里,あと、お風呂も一緒に入ってるんだよ
朋,本当にずっと一緒ね……
智絵里,うん、ホタルちゃんも最初にシャワーをかけた時はビックリしちゃったみたいで、濡れたままリビングまで走って行っちゃったの……
朋,ほたるちゃん何してるの！？そんなキャラだったっけ！？
智絵里,でも最近慣れてきたみたい。今まではあんまり入ったことなかっただけなのかな？
朋,失礼でしょ
智絵里,うん、そうだね……、ホタルちゃんもけっこうドロだらけになって戻ることもあるし
朋,そんなことある？
智絵里,そういう時はもう、外でシャワーしてから家に入れるんだ
朋,外でシャワーを！？！？。思いの外ヤバい会話を聞いちゃってるのかも……ど、どうしよう……
智絵里,ホタルちゃんに？服は基本的に着せてないかな
朋,えっ基本的に着てないの！？大丈夫！？
智絵里,あっでも、この前首輪を買ってあげたのっ！それはつけてるから大丈夫だよ！
朋,首輪だけ！？！？大丈夫な要素がないわよ！！！！！。で、でも、2人で楽しんでいるなら……。……うん、歪んだ愛でも、あたしは応援しなきゃ
智絵里,この前はその首輪をつけて、一緒にお散歩したのっ
朋,やっぱダメでしょ！！！！！。何から何までアウトよ！！！スキャンダル間違いなしじゃないの！！！
智絵里,散歩してると、同じような人との交流も増えるんだよ
朋,同じような人がいるの！？この街大丈夫！？
智絵里,たまにケンカを始めちゃうから困っちゃうんだ……噛みついたりして
朋,さっきからなんでそんなに噛むことに対する理性が弱いの！？
智絵里,どうしたの？。うんっ。お仕事、頑張ってね。もちろんっ！次はシャワー浴びてる時の写真を送るねっ
朋,ダメ！！！！！
智絵里,ふう……
朋,あ、あの……智絵里……ちゃん？
智絵里,あっ！朋さん！！！
朋,ひ、久しぶり……
智絵里,お久しぶりですっ！数日会ってないだけですけど、会いたかったです……！
朋,う、うん、そうね……
智絵里,？
朋,えっと……ごめん、電話……ちょっと聞いちゃって……
智絵里,あ、そうだったんですか……？聞かれて困る話ではないので、大丈夫ですよ……？
朋,どこが！？
智絵里,ええっ。あっ、ごめんなさい……ホタルちゃんのこと、隠してたからですか……？
朋,隠してたのかはわかんないけど……
智絵里,朋さんをビックリさせたくて、何か芸を覚えてから話そうと思ってたんですけど……
朋,もうどういう関係なのかあたしにはさっぱりわからないわ……！
智絵里,？
朋,芸って……例えば？
智絵里,ううん……例えば、毎朝ポストから新聞を持ってきてくれるとかっ！
朋,ただのパシリじゃないの！！！
智絵里,と、朋さん……！よ、よくわからないですけど落ち着いてください……！
朋,落ち着いていられないわよ！！！
智絵里,え、えっと！かな子ちゃんに送った、ホタルちゃんの写真を見て癒されてください！
朋,そんなんじゃ誤魔化されないわよ！だいたい、ほたるちゃんの寝顔くら……い……は……
智絵里,？
朋,あ……
智絵里,？？
朋,……
智絵里,？？？
朋,……
智絵里,？？？？
朋,……智絵里ちゃん
智絵里,は、はいっ！
朋,あたしのほっぺたを思いっきりビンタして
智絵里,ええっ！？！？！？。ど、どうしたんですか……！？
朋,お願い！”智絵里ちゃんならありえるかも……”って疑わなかったあたしを！！！殴って！！！
智絵里,い、意味がわかりませんっ……！？
朋,あたしは自分が恥ずかしいわ！！！
智絵里,お、落ち着いてください……！！！
朋,ごめん、落ち着いたわ……
智絵里,よ、よかったです……
朋,でも、可愛いわね……えっと、ホタルちゃん……？
智絵里,はいっ！
朋,一番気になるのは名前なんだけど……どうしてホタルちゃんなの？
智絵里,……実はこの子、買ったわけじゃないんです
朋,……捨て犬？
智絵里,いいえ、あれは、この前の台風の日でした……
朋,……
智絵里,道を歩いていたら、この子が雨に濡れながら歩いていて……
朋,うん……
智絵里,でも、生きものを飼うって、簡単なことじゃないと思いますし、辛かったですけど、気にしないで帰ろうと思ったんです……
朋,智絵里ちゃんにしてはマトモ……
智絵里,？
朋,つ、続けて！
智絵里,そうしたらこの子、トラックに撥ねられちゃったんです……！
朋,ええっ！？
智絵里,思わずわたしも駆け寄ったんです。そうしたら……
朋,そうしたら……
智絵里,何事もなかったかのように歩き出して……
朋,！？
智絵里,3歩歩いた先で今度は自転車に轢かれて……
朋,！？！？
智絵里,やっぱり無傷だったんです……
朋,！？！？！？
智絵里,”あっ、これはもうほたるちゃんだな”って……
朋,リアクションが難しいわね……
智絵里,もしくはどこかでほたるちゃんが亡くなって犬に生まれ変わったかなって……
朋,智絵里ちゃん。そんなことがあったのね……
智絵里,はい……
朋,ほたるちゃんは知ってるの？
智絵里,いえ、まだです
朋,そうなんだ……まあ、たしかに可愛いわね……
智絵里,ですよね？他にも、エサを食べてる写真とか、座ってる写真とか……
朋,わ！可愛い……！
智絵里,食べちゃいたいくらいですねっ
朋,智絵里ちゃんが言うとシャレにならなそうなのよね
白菊ほたる,今日は珍しくトラブルもなく来れた……
ほたる,時間は……まだある……。ちょっと休んでいこうかな……。あ、ホットのミルクティーをお願いします……。えっと……あれ？。あっ！朋さんと智絵里さん！。おはようございま……。！！！！！。お、思わず隠れちゃった……。そ、そんな……えへへ……。えへ……えへへ……。急に雑種呼ばわり！？！？！？。えっ、雑種ってけっこうな悪口なんじゃ……。あ、ありますよ！？バカにしないでくださいっ！！！。朋さん！！！！！。朋さんが乗っかり始めたらおしまいです……！。さっきからバカにしすぎでは……！？。疑問を持ってください……！。ふ、服くらいいつも着てます！！！
朋,え？
智絵里,？
ほたる,あっ……
朋,あれ、ほたるちゃんじゃない！奇遇ね！
智絵里,どうしたの？そんな大きい声出して……
ほたる,で、ですから、さっきから話が……
朋,そうそう！これ、智絵里ちゃんが飼い始めたワンちゃん！名前はホタルちゃんっていうの！
ほたる,えっ……
朋,？
智絵里,？
ほたる,……
朋,？
智絵里,？
ほたる,……いっそ殺してください
朋,どうしたの！？！？！？
智絵里,わかったよっ
朋,智絵里ちゃん！！！
ほたる,な、なるほど……そうだったんですね……
朋,ほらほら！かわいいでしょ！
ほたる,あ……かわいい……
朋,今度一緒に見に行きましょ？
ほたる,は、はいっ！
智絵里,楽しみに待ってますねっ
ほたる,虐待とかしちゃダメですよ……？
智絵里,ほたるちゃんはわたしをなんだと思ってるのかな？？？
朋,ねえねえほたるちゃん！
ほたる,？
朋,このレッスン終わったら、智絵里ちゃんの家に行かない？
ほたる,あ……いいですよ
