このスレッドは,とある魔術の禁書目録
フレンダ,......。はぁ...
フレメア,どうしたの？お姉ちゃん
フレンダ,うん？なんでもない訳よ
フレメア,本当に？
フレンダ,本当になんでもないわよ
フレメア,そう。なら言いけど...大体いつものお姉ちゃんの顔ではなかったよ？にゃあ
フレンダ,大丈夫よ。ちょっと考え事してただけだからさ
フレメア,考え事？
フレンダ,ほら今年から消費税上がるするじゃない？だから好物のサバ缶がどれくらい値上りしちゃうのかなーって考えてた訳よ
フレメア,...大体、どうでもいい...
フレンダ,どうでもいいじゃないわよ！鯖缶が値上りするのよ！？私にとっては大問題な訳よ！
フレメア,にゃあ。別に1000円ぐらい飛び跳ねる訳じゃないんだから大袈裟過ぎるのだっ！。大体お姉ちゃんは大能力者なんだからお金に不便してないでしょ？
フレンダ,いやーそれがね...お気に入りの服とか見るとつい衝動買いしちゃってさ、月末には金欠になっちゃう訳よ。テヘッ
フレメア,はぁ、そんな計画性のなさでは結婚した時に旦那さんが苦労するのだっ！
フレンダ,なっ！？余計なお世話よ！
フレメア,にゃあ。大体、私が浜面と結婚した時にはしっかりとお金の管理はするぞ
フレンダ,まだ諦めてなかった訳？浜面には滝壺が居るのよ？
フレメア,ふん！それがどうした？滝壺如きに浜面は勿体無いわ！浜面の隣に立つに相応しい女はこの私なのだっ！にゃあ！
フレンダ,(我ながら妹が逞しい訳よ...)
フレメア,お姉ちゃんも早い所恋して彼氏GETを目指すといいのだっ！
フレンダ,恋ねぇ...。(あのツンツン頭の男、また会えるといいな)。さーてと、仕事終わりにはサバ缶に限るって訳よ。麦野もそろそろ鮭よりサバの方が優れてるって所を理解して欲しい訳ね。まぁ鮭も嫌いじゃないけどね。それじゃあサバ缶GETして帰るとしますか。あっ、いけない、フレメアからプリン買って来てと頼まれてたわね。危なっ！今気付いて良かった訳よ。前忘れた時はこっぴどく叱られたからねー。二度と同じ過ちはしないようにしなきゃ。でもその前にサバ缶っと。えっと確かこの辺に......あれ？。サバ缶が売り切れだと！？。ちょっとなんでサバ缶がないのよ！？これじゃあここに来た意味ないじゃない！。......仕方ない、別の店に行くしかないわね。はぁ、結局不幸って訳よ
上条,あのー
フレンダ,うん？何アンタ？
上条,サバ缶が売り切れてて困ってますよね？
フレンダ,そうだけど。それが何？。(何コイツ？ウニ見たいな頭してて冴えない顔ね、まだ浜面の方がマシって訳よ)
上条,良ければ貴女に譲ってあげますよ。サバ缶
フレンダ,え？私にくれんの！？
上条,はい
フレンダ,本当に良いの？
上条,いいっていいって。サバ缶欲しかったんだろう？上条さんは困ってる人間は放っとおけないのさ
フレンダ,///。あ、ああああありがとうって訳よ///
