(´･ω･`),正直に言いますと、息子さんは余命一ヶ月です
J(;'ｰ`)し,え！い、一ヶ月！？
(´-ω-`),生活の乱れからですね…こちらも手の尽くしようがなく、残念です
J(;'ｰ`)し,そんな、待ってください！お金ならいくらでも…！
(｀･ω･´),お金の問題じゃないんですよ、奥さん。まぁ、息子さんは働いてないようですし、しょうがないのでは？
J(;'ｰ`)し,先生！あ……。……
J('ｰ`)し,たかし…
('A`),あ、カーチャン！ポテチ買ってきてくれた？
J('ｰ`)し,たかし、聞いて。あのね、
('A`),俺うす塩派だからね？覚えてる？あ、コーラも飲みたくなってきたwww
J('ｰ`)し,たかし、お医者様がね？たか
('A`),はー、早くかえってアニメみたいんだけどww帰っちゃだめなの？w
J('ｰ`)し,たかし！！！
J(;ｰ;)し,お願い聞いて……余命一ヶ月だって…たかし
('ｰ`),……………ﾌﾟﾙﾌﾟﾙ
('A`),ただいまー。俺が倒れたときに落とした花瓶がそのままだ…
J('ｰ`)し,おかえりたかし…なにか、食べる？
('A`),じゃ、じゃあ、オムライス！！
J('ｰ`)し,たかし出来たわよ、カーチャン特製大盛りオムライス！
('A`),わぁ、ありがとうカーチャン！いただきます！。ｳﾌﾟ…ごめんカーチャン、もう無理…
J(;'ｰ`)し,え？まだ半分も…ﾊｯ!そ、そうよね…片付けるわ……
('A`),ごめんカーチャン………。カーチャンごめん、俺ちょっと寝るよ
J('ｰ`)し,大丈夫なの？
('A`),うん……大丈夫だから……。そういや、幼馴染みの洋子、離婚したんだってな…。しょうがないか、デキ婚だったし。…そういや俺、小学生の頃洋子のこと好きだったな…。今でもチャンス、あるかな…いや、ないか……。あ、カーチャン？
J('ｰ`)し,あ、ああ…たかし、どうしたの？
('A`),飲み物を取りに来て…。カ、カーチャン…あの…あっ！！。ごごごごめんカーチャン！！ああ、どうしよう、あああ……
J('ｰ`)し,いい…カーチャンが拾うわ…
('A`),いや、俺が責任とって拾うから！よっと…あっ！痛っ！！
J('ｰ`)し,……っ……ゃ…
('A`),え？ご、ごめん、聞こえなかった
J('ｰ`)し,もう嫌っていってんの！！！。どうして！？たかし、昔はやんちゃだけどいい子だったのに！！。このまま大学に進学すると思ったら、ゆーちゅーばぁになるとか言って！！。ニートになったのはお前のせいだとか、お義母さんからグチグチ言われて！離婚になって！！。私はただのパートなのよ！？お金ないのに病気になんかなって！！。なんであなたは生きてるの！？働いてないの！？私に恩を返してくれないの！！！？
('A`),カーチャン…離婚の原因俺だったんだね…。………………。ごめん、カーチャン
J('ｰ`)し,たかしー。おりてきなさーい
('A`),！？は、はーい
J('ｰ`)し,おはよう
('A`),お、おはよう…
