ﾏﾘｵ,あわわわわわわ、わぁ～
トウジ,ほんま委員長は強いなぁ……
ケンスケ,特にフォックス使わせたら、もう鬼だよね
ヒカリ,フォックスの銃は、障害物に当たらない限り飛び続けるから。使い勝手がいいの。レイガンは、いつも持ってるとは限らないし
シンジ,そうそう。そのレーザー銃で僕の操作してるキャラも、何度復帰を妨害されたか……
四人,わはははは
ミサト,…………
シンジ,何とかビリだけは避けれた……
ケンスケ,一位は……まぁ、確認するまでもないよね
トウジ,あかん……マリオなんて使い慣れてないキャラにするんやなかった
ヒカリ,えへへ
ケンスケ,と言うかシンジ！この試合は、ジャンケンで勝ったシンジが最初にキャラを選べるんだから。フォックスを選んで、委員長の戦力を少しは削いでよ！
シンジ,え……でも僕、フォックスはあんまり使ったことないから
ミサト,…………
トウジ,センセ。それでええんや。あんまり使い慣れてないキャラやと、ワシみたいになる
ケンスケ,じゃあさ！委員長が一番強いのは確定だから！3VS1でやろうよ
シンジ,え……それはちょっと
トウジ,ならワシは委員長について戦う。2VS2なら、やったる
ヒカリ,え？私は、別にそれでもいいわよ面白そうだし。正直、勝つ自信あるから……
シンジ,うーん……でも3VS1はちょっと弱い者いじめみたいで、嫌かな
トウジ,ケンスケ。ほんまに、お前は。器が小さいのう
ケンスケ,そんな～
三人,わははは
ミサト,…………。ねぇ……あなた達
シンジ,何ですか？ミサトさん
ミサト,飽きない？ゲームばかりで
シンジ,いえ、全然
ヒカリ,コンピューターじゃなくて、対人戦だから。飽きは中々来ませんね
ケンスケ,FPS何かでも。信じられない時間やってる人もいるからねぇ～うちのクラスにも二人いるし
トウジ,わしはどうも、軍隊っぽさが強いゲームは好かんな
シンジ,当時は、好きだよね。スマブラとかのパーティーゲーム
ヒカリ,私は何でもやるなぁ～コンピューター相手なら、わざと最弱武器で進んだり
ケンスケ,ああ……そこまでやっちゃうゲーマーだったんだ委員長って
四人,わはははは
ミサト,…………。……アスカはどうしたの？
シンジ,え？
ミサト,あなた達四人だけじゃなくて。アスカも混ぜてあげなさいよ今、一人ぼっちじゃないの？。私みたいにね。アスカと一緒に、この集まり潰したいわ……
ケンスケ,あ、惣流なら大丈夫ですよ
ミサト,え？
トウジ,あの二人はなぁ……
ミサト,え？
ヒカリ,私も……好きではあるけど。ちょっと話の内容がディープっていうか
ミサト,え？？
アスカ,イギリス、マジファック
レイ,共産主義なんて、潰れればいいのよ
アスカ,その二つと一緒に、米帝も潰しましょう
レイ,待ってアスカ。米帝は、生半可な戦力じゃすり潰されるわ
アスカ,分かってるわ。二正面作戦は、下策ですもの
レイ,まずは、紅茶の国から潰しましょう
アスカ,行けーメッサーシュミット！！
レイ,私は、ティガーの方が好きだわ
シンジ,正直……最近のアスカとレイの話には。ついて行けないんです
トウジ,何やったかなぁ……二人がやっとるパソコンのゲーム
ヒカリ,ハート・オブ・アイアン
ケンスケ,え？ちょっと待って、委員長。何でそんなスラスラと名前が出たの？
ヒカリ,席が近いから
ケンスケ,……ホント？
シンジ,何だったかな……ソビエト連邦のジョークの話で昨日は盛り上がってたね
ヒカリ,アネクドート
トウジ,そうそう！それや
ケンスケ,ちょっと待ってよ委員長！
ヒカリ,私、歴史が好きだから
ミサト,…………
アスカ,ストゥーカはいっぱい作ってね
レイ,ええ、分かってるわ。A10の開発に携わった、あのルーデルの乗機だもの
アスカ,でも、ルーデルとガーデルマンだから、あんな戦果が上げれたって言われちゃいそうだけど
レイ,それは言っちゃダメ。あ、アメリカとソ連が戦争始めたわ
アスカ,潰しあえー
レイ,紅茶の国はまだ掛かりそうだから……都合がいいわ
シンジ,じゃあ、次の試合行く？
ヒカリ,で、どうするの？私は3VS1でも構わないわよ
トウジ,それはあかん！それやったら、わしは委員長に着く
シンジ,2VS2にしようか。やっぱり3VS1は後味が悪いし
ケンスケ,委員長なら、3VS1でも勝っちゃいそうだから。ちょうどいいと思うんだけどなぁ
トウジ,器が小さいのぉ～
ケンスケ,僕は勝つ確率を上げようとしてるだけだよ
四人,わはははは！
ミサト,……ネルフに行こうかしら。何も無いけど
加持,…………。…………お。…………いい採掘場が見つかった。…………ふふ。もうすぐで、第三新東京市が再現できる。…………やはり、難易度をピースフルにしてよかった。ゆっくりと、建物が建てれる。…………何度クリーパーのせいで、拠点を吹っ飛ばされたか
ミサト,やっほー加持
加持,…………やぁ、ミサト。使徒も来てないのに、仕事熱心だね
ミサト,貴方もね、挨拶の時ぐらいこっち見なさいよ。何をやってるのか……な…………ぁ
加持,僕は、不良職員だからね。サボってゲームだよ
ミサト,…………そう
加持,マインクラフトって言うゲームなんだが、知ってるかい？
ミサト,……いえ
加持,だろうねぇ。シンジ君も、遊びたい盛りなんだから。少しはゲームの情報を入れても良いんじゃないかな。きっと、話も盛り上がるよ
ミサト,……そうね。じゃ、私行くわね
加持,ああ…………たいまつが切れそうだな、作らないと
ミサト,リツコの所にでも、行こうかしら。お邪魔しまーす……
マヤ,ああ……ドムが
リツコ,マーカスのこんな取り乱した場面……見たくは無かったわ
マヤ,借りてた２０ドルを返したりして、死亡フラグがガンガンたってはいたんですけどね……
リツコ,ああ……気持ちが重いわ
マヤ,コールトレインのイベントと言い……感情移入させますよね
リツコ,三作全部やってるから、余計にね
ミサト,お邪魔しました～……。使徒こねぇかなぁ～
ケンスケ,委員長！もうフォックス使うの禁止
ヒカリ,いいわよ～
シンジ,それは……ちょっと横暴じゃないかな
ヒカリ,他にも得意なキャラはいるから
トウジ,ほんまにええんか？委員長
ケンスケ,よし！次こそは勝つ！！
トウジ,そう言っといて、ビリケツやないか
ケンスケ,…………プリンってあんなに強かったっけ
シンジ,プリンに吹っ飛ばされるクッパ。シュールだね
四人,わはははは！
ミサト,…………。シンちゃ～ん。アスカはぁ？
シンジ,今日もレイの家でーす
ヒカリ,今日こそは共産主義に喧嘩を売る！って息巻いてたわね惣流さん
トウジ,なんか、熱っぽ過ぎてあかんわ、あの空気
ケンスケ,女の子が軍事方面に明るいのって、魅力的だよなぁ～
ヒカリ,私はそうでもないわよ？
ケンスケ,ははは、またまたぁ
四人,わはははは！
ミサト,…………
アスカ,統一！統一！！
レイ,ついにヨーロッパを………やったわね惣流さん
アスカ,ええ！やったわね！！。アメリカとソ連は。まだやりあってるわねぇ
レイ,伊達に二つとも大きくはないわね
アスカ,この隙に国力を回復させましょう
レイ,賢明な判断ね
アスカ,そろそろ冬将軍が強くなるし……今は待ちの姿勢ね
ミサト,と言うわけなのです
ゲンドウ,良いではないか。シンジはまだ中学二年だ
ミサト,いえ……それにしてもです。毎日ゲームばかりで
冬月,友人と一緒なのだろう＞ならばまだ良いではないか。ここにいる、Civ中毒患者よりは。マシだと思うぞ
ミサト,え？
ゲンドウ,先生……今その話は
冬月,関係あるだろう。昨日は何時間寝た？
ゲンドウ,…………五時間
冬月,引く、何時間だ？
ゲンドウ,五時間寝るつもりでしたが。三時間しか
冬月,まったく……
ミサト,失礼しましたぁ……
冬月,しかし、CPU相手で何が楽しいんだ。限界があるだろう？
ゲンドウ,いえ、まったく
冬月,最近、TRPGの集会に来ぬではないか
ゲンドウ,長いのですよ。１プレイが
冬月,Civに比べればましだろう。大体。開拓ユニットをなぜあんなにも簡単に。捨て駒として利用できるのだ？
ゲンドウ,クリアの為です
冬月,NPCにも少しは愛情をかけぬか
ミサト,あ～聞きたくはなかったなぁ。よくもまぁ……朝からやれるわねぇ。加持君にメールしても、返信が無いし。きっとゲームなんだろうなぁ
加持,やった……やったぞ……あとは、ネルフ本部のピラミッドだけだ！
ケンスケ,あっ！
トウジ,おー。ファルコンパンチがモロに入りよったな
ヒカリ,うわー吹っ飛んだわね
ケンスケ,まだ！復帰でき……
シンジ,あはは。星になっちゃったね
四人,わはははは！
ミサト,…………
レイ,ユーラシア大陸を！
アスカ,完！全！統！一！
レイ,昨日からぶっ続けで……何時間くらいたったかしら
アスカ,昨日の夕方五時からだから……もう１９時間にもなるわね
レイ,うふふ……起床時間は昨日の７時半くらいだから
アスカ,うふふ……余裕で丸一日以上起きてるわね
レイ,寝る？
アスカ,まさか。アメリカ大陸に殴り込むわよ
レイ,ええ！
マヤ,先輩、レトロの扱い上手いですねぇ～
リツコ,高難度のラッシュなら。レトロの扱いは重要よ？威力は高めだから、指切りで散らさないようにしないと
マヤ,私は、チェーンソーが気持ちよくて好きなんですけど……あれ殴れないからなぁ
リツコ,高難度だと、とっさの行動ができないのがネックすぎるわね
ゲンドウ,…………。…………くそ、開戦は避けれぬか。まだもう少し、こことは戦いたくなかったが。ふふ……冬月はTRPGの集会に出たから。思う存分Civが出来る
冬月,勇者役
ミサト,使徒こねぇかなぁ～
四人,わはははは！
ミサト,使徒こねぇかなぁ～
アスカ,行けー！ジェット戦闘機部隊！！
レイ,うふふ……もう少しで、機甲部隊が上陸できるわ
ミサト,使徒こねぇかなぁ～
マヤ,あと……一回
リツコ,やれる物なのね……難易度がインセインでも、ラッシュのクリアは
ミサト,使徒来ないかなぁ
加持,…………やはり、ネザーは辛いな
ミサト,使徒……来ないかなぁ
サイレン,ウーウーウー！！！
ミサト,来たああああ！！！
PC,
アスカ,
レイ,
アスカ,ねぇ、レイ。セーブは？
レイ,五時間前
アスカ,それって、ユーラシア統一してた？
レイ,してない
PC,
加持,。停電……だと？
ゲーム機,
リツコ,
マヤ,
PC,
ゲンドウ,
冬月,勇者役
ゲーム機,
シンジ,
トウジ,なんや……外でヤバい音がなっとるで
ケンスケ,これは……避難警報だね
ヒカリ,そんな……私の15連勝が
ミサト,さぁさぁさぁ、みんな～避難を開始してねぇ
シンジ,使徒ですね……
ミサト,そうそう、だからシンちゃんは早くネルフにいかないと
シンジ,ごめん、皆…………すぐに終わらせるから！
アスカ,早く出しなさいったらぁ！！
レイ,エヴァ零号機パイロット、準備できてます！早く出撃を！！
シンジ,ミサトさん！！早く！早く、出撃させてください！！
リツコ,ミサト、まだなの！？
ゲンドウ,エヴァ全機、発進！！
冬月,構わん、やれ！
マヤ,リフト、上昇開始！！
ミサト,ちょ！？
