第１話,本当の魔法少女になってよ
ほむら,………。まだ勉強中か……。見付けた……！
ＱＢ２,これ以上……魔法少女……は、増やさせ、ない……
ほむら,な、何なの、これは……。どう言う事なの……？
ＱＢ２,うぅ……
ほむら,……何者なの、こいつ……？罹患者、とか言われていたようだけど
ＱＢ２,う、ぁ……な、何が……
ほむら,大人しく質問にだけ答えなさい……目の前のソレと同じ目に合いたいくないならね
ＱＢ２,……ッ。そ、それはボクの事だ………
ほむら,それは分かるわ……意味を教えろと言っているのよ、罹患者
罹患者,ＱＢ２
ほむら,今、このやり取りは他のインキュベーターにも筒抜けなのかしら？
罹患者,き、君は何を知っているんだい……？
ほむら,お前達の知られたくない情報全般よ。黙って質問に答えなさい。そう……じゃあ、お前を通じてインキュベーターに警告するのは無駄と言う事ね……
罹患者,君は……ボクを、殺すのかい？
ほむら,その予定よ。知っているわ……。それがどうしたと言うの？
罹患者,そうか……そう、なんだ……。君に頼みたい事がある……！
ほむら,？何を考えているの？
罹患者,ボクの代わりに、ボク達を……インキュベーターを妨害をして欲しい
ほむら,！？。何のつもり？。何なの……このインキュベーター……泣いて、いる！？。お前は……
罹患者,………ッ……。……今……から……そっちに……行く、よ……
ほむら,ハァ……。ハァ……。何故……？こいつは、インキュベーターなのに。傷の治療までして……。ハァ……
罹患者,ん……うぅ……こ、ここは……
ほむら,自分が置かれた状況を理解できていないの？。……ここは私の家、お前の傷は私が治療したわ
罹患者,君は、ボク達を恨んでいるようだったけど、何故、そんな事を？
ほむら,……………お前から情報を引き出すためよ
罹患者,じょう……ほう……？
ほむら,お前が感情を得た経緯を話しなさい
罹患者,そ、それは……
ほむら,さすがインキュベーター……下等な地球人の文化はお気に召さない？
罹患者,ゴメン……こんな言い方しか知らないんだ……。……もう、２０年ほど前になるよ……
ほむら,……五人、か。他人事とは思えなくなって来たわ……。コイツは……。………。………。事故……か……。そう……。要は、お前の感情は願いで生まれた、と言う事ね。リンクから外された理由は？。………現状を打破できるほど有力な情報はないわね。………お前の懺悔ついでに、面白い話を聞かせてあげるわ
罹患者,……な、何だい？
ほむら,………お前達に運命を狂わされた、ある愚か者の話よ。ある所に……一人の病弱な少女がいたわ……。………これが、今までの私の辿った道よ
罹患者,うぅ……うぅぅ……
ほむら,………泣いているのね
罹患者,ゴメン……ゴメンよぅ……
ほむら,こんな三流ＳＦを信じるなんて、随分とお人好しね、お前は
罹患者,君が……泣いて、いる、から。……君は、優しいね
ほむら,な、何を言うの。私はお前を殺そうとまでして……！。っ！？
罹患者,ありがとう……彼女たちのためにまで、泣いてくれて……
ほむら,………。ああ……そうか……。彼は……私だ……。……っ。……ぅぅ……。……あぁぅ……。ぁうぁぁ……あぁぅ……。うぅぅ、うあぁぁぁ………っ。…………
罹患者,…………
ほむら,き、気まずい、わ
罹患者,………
ほむら,コーヒー……飲む？
罹患者,ありがとう、えっと……
ほむら,ほむら……暁美ほむらよ
罹患者,ありがとう、ほむら
ほむら,………毒が入っているかも、とかは考えないの？。ッ！？。………はぁぁ
罹患者,ん？。…………話すべきかどうか、少し迷ったんだけど
ほむら,？ええ……そうよ。一人で立ち向かった彼女は、ワルプルギスの夜に敗北したわ
罹患者,マズいよほむら。彼女には因果の収束現象が起きている
ほむら,因果の収束？。つまり、どう言う事？。え、ええ、構わないわ。な、そ、それは！？。じゃあ、私は……私がまどかを救うために行って来た事は……
罹患者,違うよ！ほむらの責任じゃない！
ほむら,……お前は……。………私を、助ける……？
第２話,また君に逢えるなんて
罹患者,これはインチキへの反乱だよ。頑張ろう、ほむら！
ほむら,お前、名前は何と言うの？私だけ名乗るのはフェアじゃないわ
罹患者,ボクの固有識別名かい？そんなものないよ
ほむら,ない？。そ、そうなの……ね。ん～……
罹患者,やっぱり名前がないと困るかい？
ほむら,実際、困るわ
罹患者,なら、君に名付けてもらえばいいよ
ほむら,いいのかしら？自分を自分たらしめる物だと言うのに……。ん～……
？？,へっくち！？。………もう一枚、上着を着てくれば良かったかしら？。………それとも風邪、かしら？
ほむら,………う～ん……
罹患者,そんなに悩むものなのかい？
ほむら,悩みもするわよ………
罹患者,？
ほむら,きゅ……キュゥべえ……で、どうかしら？
罹患者,…………ッ！
ほむら,………
キュゥべえ,Ｑべえ
ほむら,この名前は、インキュベーターが名乗っている名前よ
Ｑべえ,………………………………へ？。………ホントウカイ？
ほむら,ええ、私が初めて出会ったインキュベーターが、自分からそう名乗ったのよ
？？,へっくちっ！？
Ｑべえ,キュゥべえ……そうか、キュゥべえか………。ほむら………。……ありがとう。ここに君の先輩がいるんだね
ほむら,ええ。普段のループ通りなら今日はこの辺りを探索しているハズだわ。………いたわ。巴……マミさん、ですね？
マミ,？キュゥべえ……と言う事は、あなたも魔法少女なのね
Ｑべえ,……ともえ、まみ……マミ……？
ほむら,キュゥべえ？
Ｑべえ,マミ……マミぃぃ！
マミ,あらあら、どうしたの？
Ｑべえ,マミぃ、マミぃぃ
ほむら,あ゜……。失敗したわ………
マミ,いつもは素っ気ないのに、今日に限ってどうしたの？
Ｑべえ,うぅ、えぇ、マミぃ～……えぐ、うぐ
ほむら,その子は、あなたと契約したキュゥべえです。巴さん
マミ,私と契約したキュゥべえ？
？？,やぁ、マミ。魔女はみつかったかい？
マミ,キュゥ……べえ？キュゥべえが、二人？
ＱＢ,………。こんな所にいたんだね。探したよ
ほむら,ここは意趣返し……いえ、この状況なら……！。そうね、お前達が地球人を利用している事を話される前に探し出したかったのよね？
Ｑべえ,ほむら……！
ＱＢ,？君は何を……
マミ,え？な、何？
ほむら,それともリンクから外した処分個体がどうなったか、直に確認したったのかしら？
マミ,キュゥべえ、どう言う事なのか説明してもらえる？
ほむら,………
マミ,それに、あなたも。何かを知っているようだけど、何者なの？
ほむら,紹介が遅れました。私は暁美ほむら……以前、あなたに命を救ってもらった者です
ＱＢ,やれやれ……君はどうやら、かなりの情報を持っているようだね
ほむら,……ごめんなさい、巴さん。酷いものね……。全身傷だらけ、足は折れ、耳までもがれて……同族相手にそこまで出来るものなんて
マミ,………どう言う事なの、キュゥべえ？
ほむら,信じてくれた……！
ＱＢ,……どうやら悪者は僕で決定のようだね。契約した覚えのない魔法少女に、処分個体……実にイレギュラーな組み合わせだね
マミ,キュゥべえ！
ＱＢ,………駆け引きは君の勝ちのようだね、暁美ほむら。真実は暁美ほむらから聞くといいよ、巴マミ
ほむら,…………ふぅ……
マミ,…………話して、もらえるのかしら？
ほむら,……ええ。巴さん……何でコートを？。あ、いえ……。とりあえず、場所を移しましょう。何か飲みますか？
マミ,……紅茶を貰えるかしら？
ほむら,紅茶でしたら、とっておきがあります。さてと……。お待たせしました
マミ,あら、この香り……。あなたもあの店の常連さんなのかしら？
ほむら,常連の知り合いに教えてもらって以来、病み付きなんです
マミ,あら、そう。美味しい……入れ方も上手なのね
ほむら,師匠の教えが良かったので。巴さん……ありがとうございます
Ｑべえ,マミ、ほむらは時間遡行者なんだ。ん゛あ゛～～～ん゛
マミ,時間遡行者？。タイムスリップ……本当にそんな事が？。………。だからって、急に信じろと言われても……
ほむら,コレを……
マミ,こ、このグリーフシードは！？。やっぱり……同じ、グリーフシード、なのね。…………
ほむら,すぐに信じるのは難しいかもしれません……
マミ,暁美さん……
ほむら,それは………
マミ,何度も繰り返している、と言う事は、よほど辛い事があったんでしょうね
Ｑべえ,………
ほむら,で、でも……巴さんは、いつも、私を守ってくれて。本当は……巴さんだって………。……わたし、大切な人、誰も、助け、られなく、て……。何度も、何度も、助けてくれたのに……！
マミ,放っておけないじゃない
ほむら,うぅ、うぅぅぅぁぁぁ……！
マミ,えっと、キュゥべえ、でいいのよね？。そう………良かった……。あらあら、泣き虫さんばかりね
Ｑべえ,マミ……マミぃ……
マミ,………本当に、放っておけないわね
第３話,夢の中で逢った、ような……
マミ,……ワルプルギスの夜が強力な魔女なのは分かるけど、佐倉さん、か……。あの佐倉さんが、協力なんてしてくれるかしら？
ほむら,……間違ってはないけど。こんな時、彼女がいてくれれば……。とにかく、美樹さん抜きで何とかしないと……。！？。複雑な心情が垣間見えるわね……。……あれだけ言っておきながら、やっぱり人の悲鳴からは耳を遠ざけたい、か
Ｑべえ,う、うるさいなぁ、耳が痛いよ
ほむら,お前も魔力で聴覚を鈍化させなさい。千歳……ゆま……！？
ゆま,キョーコすごーい！
杏子,ギャラリーは静かにしてろって
ほむら,そう……。もう繰り返さないと決めたのだから……。……少しいいかしら、佐倉杏子さん
杏子,ん？見ない顔と………見たくねぇ顔か
ゆま,キョーコのともだち？
Ｑべえ,やあ
ゆま,わぁ……！
マミ,半分はそんな所よ……
ほむら,……やりようのない事だけど、人選を誤ったわ……
ゆま,ゆまは千歳ゆまだよ。はじめまして、ぬいぐるみさんとお姉ちゃん達！
Ｑべえ,ゆま、ボクはぬいぐるみじゃなくてキュゥべえだよ
杏子,ふ～ん。条件は？
マミ,……ハァ……
杏子,……足りないね
Ｑべえ,君は何てことを言い出すんだ！？
杏子,！？
ほむら,止しなさい、キュゥべえ！
杏子,テメェが……テメェがそれを言うのかよ……
ゆま,……キョーコをいじめないで！
ほむら,………邪魔をしたわね
マミ,そうね……さすがにあの交換条件と言い方は酷いかも
ほむら,そうじゃないのよ……。……これは、彼女が歪んでしまった事の顛末です
マミ,……そう、佐倉さんにそんな過去があったのね
Ｑべえ,う、うん……うん……
マミ,けれど、交渉の余地があるのかしら？
ほむら,まどか……
マミ,……もしかしてここが
Ｑべえ,うん、ボクがほむらに助けてもらった、まどかの家だね
ほむら,っ！？。良かった……まだ接触前！。巴さん、キュゥべえをお願いします！。………。鹿目まどかには近付かない事ね
ＱＢ,拘束魔法……この一瞬でここまでの完成度とは、見事だね
ほむら,お前らに褒められても嬉しくないわ
Ｑべえ,酷いよほむら！いきなり投げるなんてあんまりじゃないか！
ほむら,悪かったわね。ちょっと急ぎの用事を見付けたのよ
マミ,キュゥべえ……いえ、インキュベーターね
Ｑべえ,……ッ！？
ほむら,あ……
Ｑべえ,……ほ、ほむら……その……あの……
マミ,キュゥべえ……暁美さんも……
Ｑべえ,あ、あ……あの……
マミ,ええ、構わないわ……
ほむら,すいません……。………ぅん……。私は、弱くなったなぁ……。失敗したなぁ……。……インキュベーターは、殺さないと……。クセは抜けないわね……どうにも。！？。呉、キリカ……！？。魔法少女……ではないのかしら？。杏子とゆまが行動を共にして、あの二人組が魔法少女でない時間軸、と考えるのが妥当ね。そう言えば、もう一度、様子を見てあげた方が良いかしら……。エイミー。本当にお前は……いつもいつも警戒心が薄いわね
エイミー,ニャァァ～
ほむら,どこにもケガはないみたいね。エイミーに比べて……あの子は軽かったな……
？？？,こんな所に、本当にネコなんているの？
まどか,あ……こ、こんにちわ
さやか,うわ……すごい美人……
ほむら,………あなたのネコ？。ほら、ご主人様の元へお行き。じゃあ、さようなら
まどか,えっと、その……笑ったりしない？
さやか,笑わないから言ってみなって
まどか,や、約束だよ。あの人と……夢の中で逢った、ような……
第４話,聞かせてもらおうじゃん
Ｑべえ,ほむらぁぁぁ！
ほむら,ど、どうしたの、キュゥべえ？
Ｑべぇ,ゴメンよぉ……ゴメンよぉぉ
マミ,この二日間、ずっと大変だったのよ……
Ｑべえ,マミィ……それは言わないでよぉ
ほむら,そう………だったの。そうじゃない……お前のせいじゃないのよ、キュゥべえ
Ｑべえ,うん……分かっているよ、ほむら
マミ,昨夜になって急に悟ちゃったみたいなの、この子。いつも通りでいいわ
ほむら,はい、巴先輩
マミ,だから……ああ、そうね
ほむら,人の好みには口出ししないけど、私は半熟が好きだわ
和子,あー、あと転校生を紹介します
さやか,いやいや、そっちが先だろ！？
和子,暁美さん、入ってきて
ほむら,……はい。転校もこれだけすると慣れるわね。暁美ほむらです、よろしくお願いします
まどか,………
さやか,………。まさか、昨日のあの美人さんが転校生だったとは思わなかったよ
まどか,本当、ビックリしたよ
仁美,あらあら、お二人は既に暁美さんとお知り合いなのですね
ほむら,ええ、昨日、この辺りを下見に来た時にちょっと
さやか,あ～、ちょっとちょっと、アイドルへの質問はウチの事務所を通してよ
まどか,さやかちゃん、よく分かんないし、暁美さんに悪いよ
ほむら,ブッ……！？
仁美,い、いけませんわ！
さやか,あ、フェンスで止まった
ほむら,止まったわね……
まどか,あ、戻って来るよ
ほむら,戻って来るわね……
仁美,ウフフフ……お見苦しい所をお見せしました
ほむら,フフフフ………。………！
さやか,ちょ、ちょっと、あたし、そんなに驚くような質問した？
仁美,私も、仁美、とお呼び下さい、ほむらさん
まどか,私の事も、まどか、って呼んでよ、ほむらちゃん
ほむら,……ええ、まどか、仁美、さやか。もう……
仁美,……あ、ごめんなさい。お先に失礼しますわ
まどか,仁美ちゃん、今日も習い事？
ほむら,そんなに習い事が多いの？
さやか,この後、ＣＤチェックしたいんだけど、二人とも、いいかな？
まどか,また上条君に？
さやか,まあ、そんなトコ。じゃあ、あたしコッチの方見てるから
ほむら,意外ね。……追い詰められ過ぎて、逆に見境なしって事なのかしら？。来た！。キュゥべえ……
まどか,ね、ねぇ、どこにいるの？
ほむら,あ゛……。え、ええ。聞こえたわ
