派遣魔術師,言峰氏ー！
言峰綺礼,おや、魔術教会本部の。本日はどうなさいました？
魔術師,はい。ご相談がありまして―
言峰,冷蔵庫のマーボー豆腐は死んでも渡しませんよ
魔術師,いや、そうじゃなくて。聖杯戦争です！今年！！今冬木で行われている！！！。報告に基づき、調査した結果、各メディアに取り上げられてる通りでした。３日前からバーサーカーが大暴れしているではありませんか！冬木の各所で！
言峰,―うおお今週の暗殺教室すげえ！超級展開じゃん！
魔術師,聞けよ人の話！！
？？？,…マイナンバー制度だって。うわ～やだね～
衛宮士郎,……
？？？,人様を数字で管理するなんてよ～。心まで数字みたいに淡白になったら、人間終わりじゃね？お前よ～
士郎,おい…
？？？,だいたい近頃数字が調子に乗りすぎなんだよ。税金も８割に上がるしよー。貧乏なめんなコノヤロー
士郎,おい、この野郎！！
？？？,どうした？隠してた工口本でも見つかっちゃった？
士郎,そうじゃないよ！！何だよ３日前からお前は！！
？？？,お前のサーヴァントだろーが
士郎,それが信じられないんだって！！。仮にお前がサーヴァントだとしても！！。３日前から家に住み着いて、働かず、くっちゃねしてるだけじゃないか！！ただの迷惑な人じゃないか！
？？？,ばっかお前、あれだよ、来るべき強敵に備えて英気を養ってんだよ
士郎,ぜってーウソだよ！！
？？？,日がな一日ごろごろすんのも大変なんだぞ
士郎,お前いい大人だろ！？働けっての！！
？？？,だーかーらー
士郎,あ、お客さんだ
言峰,おじゃましまーす
？？？,どーもいらっしゃーい。汚くってごめんねー
士郎,お・ま・え・な～…！！
言峰,セイバーのマスターだね？
士郎,はあ…まあ、一応？
言峰,さっそくだが協力してくれ。暴れてるバーサーカーを何とかしてほしい
？？？,お～いよいよですってか？
士郎,…ってゆうか、お前、何の英霊なわけ？
？？？,俺か？あー…
坂田銀時,坂田銀時でーす。万屋やってまーす。シクヨロ？
遠坂凛,―いい、アーチャー！？
？？？,うむ
凛,これからバーサーカーを止めに行くけど…
？？？,問題ない。俺は戦闘のプロだ
凛,……
？？？,…どうした、凛。なぜ、悲しそうな顔なんだ？
凛,不安っきゃねぇ…
？？？,？
凛,この３日間！！！アンタ問題ばっかし起してるじゃない！！
？？？,なにがだ
凛,なんでこの間、何の罪もない新聞配達のおじさんを！！ハンドガンで狙撃しちゃうわけ！？
？？？,俺が以前レバノンの基地で休んでいた時のことだ。味方を装った的に、コンバットナイフで不意を突かれそうになった
凛,だからなによ！？
？？？,大変だったぞ
凛,やかましい！！
？？？,日本とて例外ではない
凛,あるわ！！。それから意味もなく爆弾使ったり、狙撃したり、狙撃したり…。頼むから！！必要のない面倒は起こさないでよ！？
？？？,だが、俺は君のサーヴァントだ。武器が使えなければ―
凛,とーにーかーく！！頼むわよ！？
相良宗介,了解した。ウルズ７、これより行動を開始する
イリヤ,バーサーカー！！言うことを聞きなさい！！。なんで…！？どうしていうことをきかないの！？
？？？,―ううううおおおお粘土おおおお！！。粘土をそばに練成できるまで、ジャズダンスをとめられねええええ！！
イリヤ,やめてよ！！全然踊れてないし！！練成できるわけないじゃん！！
？？？,ステップが全然踏めねえよおおおお…！！
イリヤ,いやそれ、ステップじゃなくてスキップじゃん！！無茶だよ！！
？？？,―分かっている、マスター。いまだにベストをチョッキと呼んでしまうことで、悩んでいるんだろ？
イリヤ,違うわ！！お願いだから真面目にやってよ！！
？？？,安心しろ。サーヴァントとしての使命は、心得ていたりいなかったり
イリヤ,クッ、イライラする、コイツ…！
ボボボーボ・ボーボボ,聖杯の力を使ってぇ！！全人類を爪切りに変身させるばぁーーーーい！！
イリヤ,怖いこと言ってるーーー！！
ボーボボ,待ってるゥおおおおお爪切りィいいいいい！！
イリヤ,ちょ、バーサーカー！？どこ行くのーーーー！？
士郎,この先でバーサーカーが…！
銀時,おい、いそごーぜ。レンタルビデオの返却期限、今日までなの忘れてたわ
士郎,非常時なんだよ！！お前か、俺のバイト代で勝手にDVD借りたの！！
銀時,ペドロはやっぱあれな、名作な
士郎,知らんわ！！
言峰,安心したまえ、強力な助っ人も用意している
銀時,マジでか
言峰,非常時なので、私がキャスター・アサシン・ランサーを召喚することに成功した
士郎,おお！！頼りになる！！
？？？,―おまたせ
言峰,キャスターがさっそくついたようだ
鳴上悠,こんにちは。キャスターの鳴上悠です。八十稲葉からきました
士郎,おお…！なんてハイカラでスタイリッシュな人だ…！！
銀時,あれですかね？スタンド使いの方ですか？
悠,いいえ、ペルソナという能力があります
言峰,とても強力な力だ
銀時,いや、スタンドっしょ？
悠,任せてくれ。俺のペルソナなら―。あ
士郎,え？
女子A,これ、どういうこと…？
女子B,説明してくれるのよね…？
女子C,一体、何股してるか分かってるんですか…？
悠,……。…エヘへ♡
女子E,皆！！連行するわよ！！
悠,クッ、皆…！ここは俺に任せて、先に言ってくれ…！
士郎,いや、ちょ、ええ～…！？何しに来たの、あの人！？
銀時,ヤリチソはいかんよ、ヤリチソは
凛,だーかーらー！！なんで！？なんで関係のないおじいさんに銃口を向けるの！？
宗介,挙動不審だったからだ。老人をあなどってはいけない。俺の知り合いの還暦を迎える軍人でさえ―
凛,やかましい！
宗介,むう…
凛,え…！？
宗介,ヘリだと…！？
凛,あ、降りてきた…！
男A,―隊長、こちらです
？？？,御苦労。またあとで合流する。―アルファよりHQ、目標の人物と合流した。これより、共同で作戦を遂行する
凛,あなたが、綺礼のいってたアサシン…！？
宗介,軍人だったとは…
？？？,軍人とは、少し違うが
クリス・レッドフィールド,アサシン、B.S.A.Aのクリスだ。君たちの力になろう
