OVAの,10年後の異邦人
哀,ん……。ふぁ……。もう朝ね……。朝ごはんにしなきゃね……。何にしようかしら。んー……今日はトーストにしようかしら。うわ、酷い寝癖ね……。……あ、もうこんな時間。シャワーは後回しね。えーっと、冷蔵庫の中は……。卵が期限近いから目玉焼き。いえ……スクランブルエッグね。……さて、飲み物は牛乳で良いかしら。お腹下しても嫌だから、温めておこうかしら。部屋にはいなかったし、きっと庭ね。いっちゃん、おはよう。朝ごはん出来たわよ
新一,おう哀！おはよう！。悪いな、昨日も夜遅くまで起きていたのに朝メシ作らせちまって
哀,何言ってるのよ。お互いさまよ。それより、冷めないうちに一緒に食べましょう
新一,おう、急いで着替えてくるぜ！。ワリーな、待たせちゃって
哀,気にしないで。却って急かしてしまったかしら
新一,んな事ねーよ。哀の料理食う為ならなんだってするさ
哀,バカね。それより、ちょっとメニューが軽すぎたかしら。パンをメインに据えたから
新一,十分さ、食べようぜ！
哀,ええ、じゃあ
2人,いただきます
新一,……んー、うまいな！このトースト！
哀,パンなんて、誰が焼いても同じ味よ
新一,いや、哀が焼いてくれたからうまいのさ
哀,……バカね。でも、大変ね。集合時間が早いから朝も早起きで
新一,ああ、監督も張り切ってるからな。絶対勝つって
哀,優勝が掛かると大変ね。プレッシャーも凄いでしょ？
新一,いや、ワクワクしてるよ。なかなか巡り合えないチャンスだからな。それよりワリーな、俺に合わせてせわしない毎日でよ
哀,バカね。そんな事気にしないで、ゴール決めてきて。それなら私の早起きも無駄にならないわ
新一,おう！哀と約束した時のゴール率は100％だからな！今日も決めてくるぜ！。次の試合も見に来いよ、きっとゴール決めてやっからよ！。なあ、哀。俺どうしたら良いと思う？
哀,そうね。あなたの気持ちを尊重するけど。探偵には歳を取ってもなれるけど、プロスポーツは若い内しか出来ないのだから、やってみたら？今の内に
新一,ありがとう、哀。俺、やってみるよ
哀,何故ビッグ大阪に？海外からもオファーがあったんでしょ？
新一,ん？だってよ、オメーがファンだった比護さんがいたチームだからさ。ちょっと手助けしてーなと思ってさ。......おい、哀？どうした？
哀,え？ああ。何でも無いわ。いっちゃん
新一,いっそ砕けた感じで新ちゃんとかにしたらどうだ？。っと、いけね。急がねーと
哀,試合は夜なのに大変ね
新一,仕方ねーさ。試合、来るよな？
哀,勿論。必ず行くわ
新一,うっし。それ聞いて気合い入ったぜ！。よし！じゃ、行って......。おっと、忘れるとこだった
哀,うん、頑張って来てね
新一,へへ、じゃ。後でな！
哀,いってらっしゃい！。ん......。とりあえず食器洗おうかしら。それから洗濯して掃除機を......。未だにエプロンを身に付けて家事をする自分が信じられないものね。そう言えば......。初めてエプロンを付けた時は、彼に笑われたっけ。......笑う事無いじゃない。せっかくご飯を作ってあげようとしたのに
新一,ワリーワリー。見慣れなくてつい
哀,どうせ私なんか、無愛想で可愛く無いと思ってるんでしょう？
新一,んな事ねーよ。似合ってるぜ。新鮮な感じだよ。何より......。超可愛いぜ
哀,......そ、そうかしら？。あ、いけない！水出しっぱなし......。ふぅ。一段落ね。そうだ、今日彼女がテレビに出るんだっけ
司会,本日のゲストはこの方。今注目の俳優、吉田歩美さんです！
歩美,皆さん、こんにちは
司会,最近は色んな番組に出演されて、お忙しいでしょう？
歩美,ええ、でも皆さんのお陰で頑張れます。ありがとうございます
司会,ここで、視聴者の方からの質問ですが、歩美ちゃんは好きな人はいますか？という質問なんですが
歩美,……はい、います
司会,え、本当ですか？
歩美,もう、10年程前に会えなくなってしまったけれど……
哀,！
司会,そうなんですか、つまり小学生時代の初恋の人が今も忘れられないと
歩美,はい。実は芸能界に入ったのもそれがきっかけで。私が有名になれば、きっとどこにいても私の姿が目に留まるんじゃないかって。ちょっと子供っぽい発想ですけど
哀,そうよね……。……正直、あの行動力は羨んだわ
司会,……では、本日のゲスト。吉田歩美さんでした。ありがとうございました
歩美,ありがとうございました
哀,……さて、番組も終わったし続きをしなくちゃ。あら、誰かしら……。もしもし、工藤ですが
???,おー。ちっこい姉さん。久しぶりやな
哀,久しぶりってあなた、最近うちに来たばかりじゃない
服部,そやったか？まあ1週間空いたら久しぶりや
哀,……で、何の用？いっちゃんならいないわよ
服部,は？誰や？それ？
哀,んん。あの人ならいないわよ。と言うか新聞くらい見てないの？彼今日試合なのよ？それと。小さい姉さんはやめて。人が聞いたら変に思うわ
服部,あー、スマンスマン。つい癖で
哀,10年も経ってるんだからいい加減やめて欲しいわね
服部,ハハ……。しかし、工藤おらんのか。飲み誘おと思ったんやけど
哀,また？大体あなた彼の携帯知ってるでしょ？何かあったの？
服部,い、いや。何でもないんや。ほな
哀,……何なの？。全く。忙しいのに。次は寝室の掃除しなくちゃね。昨日……。……1人で良かったわ。恥ずかしい。あ、埃っぽいし棚も拭いておこうかな。……あ、これも久しぶりに見たわね。これを見ると、プロポーズを思い出してしまうわね。はい、工藤君。これ……
新一,お、ありがとう！なんだろ？……すげえ！手編みのニットにマフラーか！
哀,あまり慣れている訳じゃないから、上手くはないけど……
新一,んな事ないさ、ありがとう！大事にするよ
哀,そう言って貰えると私も嬉しいわ
新一,でさ、俺からもプレゼントがあるんだ。気に入って貰えるかわかんねーけど
哀,あら、何かしら。随分顔が赤いけど大丈夫？
新一,いや、その、何だ。渡すのに勇気がいると言うか……
哀,？
新一,……とにかく、コレ！開けてみてくれ！
哀,随分な慌てようね、どうしたの？
新一,良いから、開けろって
哀,はいはい。一体何かしら？。……え、これって。工藤君、これって……
新一,話は後でさ。とりあえずつけてみてくんねーか？
哀,え、ええ。……凄い、ぴったり
新一,そ、その……。哀が寝てる間にこっそり糸でサイズ測ったりしてな
哀,そ、そうなの？
新一,う、うん。で、その……。哀に聞いて欲しい事があるんだ
哀,……なあに？
新一,その、俺は……。哀の事が大好きでさ
哀,……うん
新一,正直、最初はとっつきずらいと思ったりもしたけどさ
哀,……うん
新一,でも、哀の事を知るにつれてさ。ホントは寂しがりで強くない、1人のフツーの女の子なんだって分かっていってさ
哀,……うん
新一,そうやって分かる度、知る度に……。哀の事を凄く愛おしく思うんだ。例え何があってもこの人を守りたい。ずっと傍で支えたいって。そう思うんだ
哀,……うん
新一,だから、さ。哀の人生を俺に分けてくれないか。哀と一緒にいて、一緒に辿り着きたいんだ。幸せと言う名の、たった1つの真実に。んと、つまり……。はっきり言うと……。結婚、してください。お願いします
哀,……ふふっ
新一,な、何だよ。笑うことねーだろ？
哀,言う事がいちいち芝居がかりすぎなのよ。聞いてるこっちが恥ずかしいわ
新一,うっ……
哀,……でも
新一,でも？
哀,こんなに嬉しいプロポーズは無いわ
新一,！！
哀,どこを探しても、こんなプロポーズ聞けないもの。世界に1つだけの、最高のプロポーズよ
新一,じゃ、じゃあ
哀,ええ。勿論受けるわ。こちらこそお願いします。ちゃんと導いてね。たった1つの真実まで。……いけない、何か今日は物思いに耽って。集中できてないわ。……さて、後は夜の支度をしておかないと。……張り切って支度して万が一負けたら困るけど。ささやかなモノくらいはね。さて、まず何から買おうかしら。あ、探偵左文字。確か読んでたわね。私にはいまいち良さが解らないのだけど。あ、これは私の好きなアイドルの写真集。こっそり買っておきましょう。見られたら何言われるか
店員,ありがとうございました
哀,さて、寄り道はそろそろやめて目的を果たさないと。ピーナッツバターとブルーベリージャム、買っておこうかしら。サンドイッチの為に。博士にもう少し食べさせてあげるべきだったかしらね。……また、昔の事。……結局、何も決まらないまま時間が過ぎてしまったわね。やっぱり、2人で乾杯でもしようかしら。ワインならストックがあるし。……でも、心配ね。……ね、もう1杯いきましょ、もう1杯
新一,顔が真っ赤だぜ？もう止めとけよ
哀,何？私と飲むのはイヤだっていうの？
新一,そうじゃなくて……
哀,どうせ私なんて、愛想のない可愛げのないツンツン女ですものね
新一,だから違うっての意外と酒癖悪いな
哀,私なんて、私なんて……
新一,……バーロー
哀,……怖いよ、いっちゃん。どこにも行かないわよね。私を1人にしないわよね
新一,当たり前だろ。何があったって1人にしねーよ
哀,ホント？じゃあお礼しないと
新一,わーっ！バ、バーロ！こんなトコで脱ぐな！
哀,あら、私の裸は見たくないの？
新一,い、いや。とにかくここじゃダメだ。寝室行くぞ、寝室
哀,まあ、今日は大丈夫でしょ。……さて、時間ね。……凄い人ね。いつもの場所、空いてるかしら。あ、空いてるみたい
サポーター,あ、奥さん！来ましたね！
哀,ええ、いつもありがとう
サポーター,いえ、それより旦那さんゴールしてくれるといいですね
哀,ええ、そうね
サポーター,しかし、こんな美人の奥さんに応援されてうらやましいなあ
哀,もう、からかわないで
新一,オメーが見てるだけで、力になるからさ
哀,頑張れ、工藤君！。いけー！！。……懐かしいわね
サポーター,……さん？奥さん？旦那さん出てきますよ？
哀,あ、いけない。頑張って、いっちゃん。おめでとう。いっちゃん。でも、カッコ良かったわね。帰ってきたら、思いっきり笑顔で迎えてあげないと。少し疲れたわね。人だかりの中は……。用意をして少し休みましょう。……さあ、何時に帰ってくるかしら。楽しみね。誰？。誰？何なの？。当たり前じゃない。幸せよ。何が言いたいの？。私が何を隠してるっていうの？
新一,……い、哀！こんなトコで寝てたら風邪ひくぞ
哀,……え？あ、夢？。ごめんなさい、ちょっと寝ていたみたい
新一,良いさ。試合会場混んでたし疲れたんだろ
哀,ええ。でも大丈夫よ。それより随分早かったのね
新一,ああ、哀に早く会いたくて無理言って抜けて来た
哀,バカね。でもありがとう。ちゃんと見てたわ。カッコよかったわよ
新一,ああ。ありがとな。哀の声、聞こえてたぜ
哀,ありがとう。簡単だけど、お酒用意してあるから。一緒に乾杯しましょう？
新一,お、良いな。そうしよう
2人,乾杯！
新一,ふぅ……。久々飲んだな
哀,ええ。そうね。でも、本当に良かったわ。優勝が決まって
新一,ああ。哀の見てる前で決めたかったから俺も気合入ったしな
哀,いっちゃん……。本当におめでとう
新一,ありがとな。お礼を言わなくちゃな。全部哀のお陰だし
哀,え？
新一,哀がいなかったら、きっとサッカー選手にもなってないし、ここまで頑張れなかった。常に哀がささえてくれたから、俺はやってこれた。本当に感謝してるよ
哀,そんな……。私なんて何も……。ホントはいつも不安なの。ちゃんとあなたの力になれてるか。だから、そう言ってくれて本当に嬉しいわ
新一,おいおい、泣くなよ。哀の笑顔見るのが1番のお祝いなんだから
哀,……ええ。……何だか夢みたい
新一,ん？
哀,あなたとここにいる事、話をしている事。この幸せな生活が全て夢なんじゃないかって時々思うの。目が覚めたら消えてしまうんじゃないかと怖くなるくらい
新一,哀……
哀,ごめんなさい。楽しい時にこんな事
新一,いや、いいんだ。なあ、何か悩みでもあるのか？
哀,え？
新一,いや、さっき起こした時の表情がちょっとおかしかったからさ。悪い夢でも見たのかと思ったけど、ちょっと気になってさ
哀,相変わらず細かい所に気が付くのね
新一,……良かったら話してくれねーか？無理にとは言わねーけどさ
哀,そうね。ちょっとした事なんだけど、聞いて貰える？
新一,勿論だ
哀,……最近、何故か昔の事を思い出すの
新一,米花町にいた頃のか？
哀,ええ。少年探偵団の子達の事とか、博士の事とか、あなたとの思い出とか。それに、確証は無いけど……。さっき見た夢。あれは昔の私のような気がするの
新一,……昔の哀が出て来て、どうしたんだ？
哀,私は、こう問いかけて来た。幸せか、と。そう言われて、不意に怖くなった。やっぱりこの幸せは夢なんじゃないかって。ふっと突然消えてしまうんじゃないかって。時々現実感が消えてしまうの。……怖いの。何もかも。今も、昔も
新一,昔？
哀,……あなたやみんなと過ごしたあの町には、楽しい思い出が沢山ある。あなたとの思い出も。でも、辛い事もあった。組織の事。お姉ちゃんの死。それに、色んなわだかまり……
新一,わだかまり……？
