あと、オリキャラ注意報ですよー,◯・▽・◯
先生,おまえ、ふざけてんのか？
あたし,...
先生,おまえなぁ？進路がパンクロッカーってなんだそれ？よく考えろ？大事な将来だぞ？。我々は、おまえのためを言ってるんだ。なぁ？ほら、おまえの進路を書け！。どこへ行く！？話はまだ終わってないぞ！！
あたし,離せよ！ふざけんな！。...あー、眩し...
？？？,おまえさぁ、もうちっと上手くできないわけ？そりゃ先生も怒るよ
オーナー,そんなんテキトーに近くの高校名書いときゃいいのによ。それで先生も満足だし、おまえも怒られずにすむ。めでたしめでたしじゃねぇか
あたし,なんか...自分の夢に嘘つくみたいでさ...。嫌だったんだよ...。セクハラだぞ！それにもう青くねぇ！たぶん！
オーナー,まぁ、その若さはもうおっさんにはねぇからよ。少し羨ましい気もするわ。まぁ、精々悩め若者よ。悩んだ分だけ、納得するさ。まぁ、テメェが納得するだけだけどな。それで上手く行くほど、世の中は甘くねぇ。ジュリア！お前は今日からジュリアだ！
あたし,は？あたしが？
オーナー,パンクロッカーとしてのお前の名前だよ。中坊のおまえとパンクロッカーとしてのおまえ。切り離して考えりゃ、少しは上手くやれるんじゃねぇか？
あたし,なんだよそりゃ？別人格を作れってことか？やだよそんなの、結局は嘘つくことになるじゃねぇか
オーナー,嘘つけとは言ってねぇよ。現実を生きるおまえと、夢を追いかけるおまえ。どっちもおまえだ。その辺の切り離しができるのが大人だけどよ、おまえはまだ子供だ。だから名前をつけて、無理やり切り離してやるんだよ。いずれはわかるさ。とにかく俺はこれからおまえをジュリアって呼ぶからな
ジュリア,んで、ひとつ聞いてもいいか？
オーナー,あ？なんだ？
ジュリア,なんでジュリアなんだ？
オーナー,思いつきだ！細けぇことはいいんだよ。うし、無駄話もここまでだ。じゃあ、レッスン始めっか！
ジュリア,はい。お願いします！
オーナー,毎回思うけどよ、レフティ同士で向き合ってギターを弾くなんてジュリア相手だけだから、変な感じするな
ジュリア,そうかい？あたしはこれしか知らないから、わかんないや
オーナー,あー、若者が溜め息だと？生意気だねぇ。幸せが逃げんぞ？やめとけやめとけ
ジュリア,はっ、そのナリで幸せを語るとかシンコーシューキョーの勧誘みたいでゾッとするね
オーナー,ばーか。俺はいつも愛と平和を歌ってんぞ？ラブアンドピースアンドロックンロールさ
ジュリア,クソッタレって言葉が20回も出る曲作っておいてよく言うよ...
オーナー,退屈か？レッスンだけの毎日は？
ジュリア,あぁ。吐き気がするってほどでもないけどよ、もうどこに行くでもない空気中に散っていくだけの音を出すのにも飽きてきた頃だ。早くあたしもステージの上に立って、客にガンガン音を叩きつけたいって気持ちが止まらねぇんだ。だだだだだからもういい歳なんだからそんなこと言うのやめろ！！
オーナー,おいおい、せっかくおまえにいい話があるからおじさん無理してテンション上げてんのに、邪魔すんなよ
ジュリア,.....うるせー///
オーナー,んで話を戻すとよ。お前に紹介したいバンドがあんだよ
ジュリア,へ？バンド？。で、どんなバンドなんだ？
オーナー,まぁまぁウキウキしちゃって。この前、ウチのフェスで優勝したバンドわかるか？
ジュリア,あぁ、あの男3人のバンドだろ？ギターとベースとドラムの
オーナー,あぁ、そのバンドがギター1人増やしたいって言っててさ、本気でプロになるにはもうひとつピースが足りないんだとよ。んで、俺に誰か紹介してくれって来たわけよ。そこで、お前を紹介しようと思う。今俺の知ってるフリーの奴らの中では、お前が一番根性ありそうだからよ
ジュリア,そこは一番上手いから紹介してくれるんじゃねぇのかよ？
オーナー,自惚れんな。まだまだ上には上がいるんだよ。技術面ならお前は中の中だ。プロっつうのはそのくらいスゲェんだよ。それだよ。その突っ走ることしか考えてねぇ、ギラギラした目。それがお前の一番大事なもんだ
先生,どうした？練習続けろ？。俺もな、昔はプロ野球選手になりたかったんだ。甲子園でも投げたし、スカウトも見に来てくれたんだよ。でもな、上には上がいた。ひとつ階段を登るたびに俺はどんどん普通になっていって、自分の限界を知ったんだ。そしてプロを諦めた。ずっと勉強はきちんとやってたからな。こうして教員になって、今ここにいる。だからな、俺はお前のことが心配なんだ。今は夢だけ見てればいいのかもしれないが、いずれ壁にぶち当たる可能性の方がずっと高い。夢を追いながら現実を見ることもできる。まだそういう歳だ。無理に道を狭める必要ない
ジュリア,えーっと、オーナーから教えて貰ったレッスンスタジオは...ここか。おはよーございます
ギタリスト,君がオーナーの紹介してくれたジュリアちゃん？よろしく！
ジュリア,あぁ、あたしがジュリアだよ。よろしくな
ギタリスト,オーナーから聞いてたけど、やっぱり若いんだな。俺らより、6つか7つくらい下になるのか
