※このSSは原作ゲームの,永遠に
※筆者は原作ゲーム未プレーのため一部設定が間違ってるかもしれません、というかプレーする勇気が無い,汗
言葉,私、二人は幸せにはなれないと思います…
誠,…言葉！？
言葉,二人を幸せになんかしませんから…だって、私はずっと誠君を好きで居ますから…
世界,桂…さん…！？
言葉,永遠に…
誠,…行こう。
世界,誠…
誠,良いんだ…
世界,で、でも…
誠,俺は、もう迷わないから…世界のことだけを見るって決めたから…
世界,でも、ずっと諦めないって…
誠,大丈夫だよ、きっと分かって…。携帯…？
世界,あれは…桂さん…！？
言葉,……。
誠・世界,…っ！？
言葉,………。……えっ？
ボールボーイ,黒子
主審,…。
言葉,！？
副審1,……。
副審2,……。
第4審判,…。
実況,さあ表示されました！桂言葉選手のロスタイムは4時間44分です！
解説,４４４ですか…ちょっと不吉な数字ですねー
職業：学生,榊野学園1年4組
死因：転落死,自殺
実況,さて今回、自ら命を絶った選手がロスタイムに突入というわけですが、そもそも自殺の原因は何だったのでしょうか？
解説,まあ見た感じ、恋愛関係のもつれじゃないでしょうか？
実況,なるほど、よくある話ですね。
解説,ただ、自殺にしてはちょっと手が込みすぎてるんだよなあ…
実況,さあ桂選手、ボールボーイによって一旦ピッチ上に降ろされます！
ボールボーイ,黒子
言葉,…？
実況,この試合のボールボーイは、私立同葉どうは
解説,えっ、あれって黒子じゃないんですか？
実況,未来のJリーガーですよ？
言葉,……。
主審,…。
実況,さて、主審が桂選手を促しますが…？
言葉,貴方達は…誰ですか…？
主審,…！
言葉,もしかして……私の邪魔をしているのですか……？
実況,…これ桂選手の様子おかしくないですか？
解説,うーん、本人にとっても覚悟を決めての事でしたから、無理は無い筈ですが…
言葉,貴方達が何のつもりか知りませんが、私の邪魔だけはしないでくださいね…
主審,……？
言葉,
審判団,！？
実況,おっと桂選手、再びマンションの方向へと走り出した！
解説,裸足ですけど大丈夫なんですかね…？
実況,これには審判団もすかさず後をついていきます！
解説,入口の奥にエレベーターありますけど…？
言葉,…っ！
審判団,！？
実況,ああっと！審判団エレベーターに乗り遅れた！
解説,…ちょっとこれ嫌な予感しますよ？
言葉,はぁ…はぁ…！
実況,さあ上手く審判団を振り切った桂選手、その向かう先は…！
言葉,今からもう一度飛び降りれば…！
解説,ここって…さっき飛び降りようとした場所と一緒ですよ！？
実況,また戻ってきてしまったか！？
萌子,あら、桂さんどうしたの？
言葉,！？。帰って…来られたのですか？
萌子,ええ、珍しく早く仕事が終わったの。それより誠は…？
言葉,あ、あの…誠君は…まだ帰ってきてなくて…。とりあえず、私はこれで失礼します…
萌子,そうなの、また遊びに来てね。
言葉,……。
審判団,…！
実況,おっと、ここで審判団もようやく到着！
解説,明らかに階段使って来ましたね…
言葉,あの…さっきから貴方達は一体…？
主審,…。
言葉,え…？
第4審判,……。
言葉,これは…サッカーのロスタイム…？。サッカーの事はよく分からないですが…貴方達が言うには、これは私に残された時間ということですか……？
主審,……！
言葉,でも、私はこれから死のうとしているのに、今更そんな無駄な時間…
副審2,…！
実況,おっと、副審が何か書いてますね？
解説,いつからフリップボード持ってたんだよ…
副審2,…！
言葉,え…？。そんな…
実況,なるほど、どうやらフリップで状況を説明してますね？
