今井リサ,相談？
氷川紗夜,ええ。今井さんを見込んでの相談です
リサ,またお菓子作りのことかな？
紗夜,同性とキスするまでどういう流れにすればいいんですか？
リサ,ぶっ――ごほっ、ごほっ！
紗夜,……？今井さん、どうかしましたか？飲み物が変なところにでも入りましたか？
リサ,い、いやちょっと……。その、紗夜、もう一回言ってほしいんだけど
紗夜,はい？何をですか？
リサ,相談内容が、その……キ、キス？って聞こえたんだけど、聞き間違いだよね？
紗夜,キスと言いましたが
リサ,…………。落ち着け、落ち着け今井リサ……。これはきっとアレだよね、魚のキスを釣りに行くとか料理するとかそういうアレだよね……
紗夜,ちなみに魚を釣るとか料理するとかそういうことではありませんので。古い言葉で接吻と呼ばれるものです
リサ,先回りされた……！
紗夜,それで、どうすればいいのでしょうか？
リサ,え、えーっと、色々言いたいことはあるんだけどさ……
紗夜,はい
リサ,その、なんでアタシにそれを相談するの？
紗夜,今井さんならそういう経験が豊富だろうと思いまして
リサ,ちょっとそのイメージがもう解せないんだけど……
紗夜,え？
リサ,え？
紗夜,…………
リサ,…………
紗夜,……冗談ですよね？
リサ,待って、それアタシのセリフ。なんでアタシにそんなイメージを持ってるの……？
紗夜,今井さん、湊さんと挨拶代わりにキスをしてますよね？
リサ,し、してないよ！？
紗夜,え……？
リサ,いやいや、なんでそんな不思議そうな顔してるの！？幼馴染とする訳ないじゃん！
紗夜,今井さんと湊さんは恋人同士だともっぱらの噂ですが……
リサ,その噂の発信源どこ！？
紗夜,日菜が言っていました。リサちーと話すと友希那ちゃんのことばっか喋るし、絶対付き合ってるよねー！２人っきりの時とかちゅーしてそうっ！と。私の可愛い日菜がそう言うのであれば間違いないだろうと思っていたのですが
リサ,ヒナ……なんてことを……！
紗夜,それにライブ中もやたらとお二人の距離が近いですし、宇田川さんと白金さんもなんとなく察しています
リサ,ロゼリアの中にそんな誤解が生まれてたの！？
紗夜,ですからスタジオ練習の時も、湊さんと今井さんが２人っきりの時間を過ごせるようにと、しっかり空気を読んで３人でしばらく時間を潰していましたし
リサ,最近やたらみんな遅いなって思ってたらそれが原因！？
紗夜,はい。親友の恋路を邪魔するほど、私たちだって野暮じゃありませんから
リサ,それ全部誤解だって！親友って言ってくれるのは嬉しいけどその気遣いは嬉しくないよ！
紗夜,……付き合ってなかったんですか？
リサ,付き合ってないって！友希那と恋人同士だなんて……そんな……。毎日おはようとおやすみの電話して、電話してるのに窓からお互いの姿を見てて、なんで電話してるんだろっておかしくなって笑い合ったりして、休みの日は公園にでも行ってさ、猫を可愛がる友希那を眺めて、なんていうか幸せだなーなんて思うなんて……。…………
紗夜,…………
リサ,……えへへ
紗夜,やっぱり付き合っているのではないですか？
リサ,はっ！？
紗夜,大丈夫ですよ、今井さん。隠したい気持ちは分からないでもありませんが、私たちだって冷やかして囃し立てるほど子供じゃありませんから
リサ,待って待って！今のなし！そういう気遣いはいらないから！
紗夜,ですが今、とても幸せそうな顔で何かを考えていましたし……
リサ,い、いやね？そりゃあね？友希那と、こう、ね？もっと仲良くなれたら嬉しいなって思いはあるよ？。でもさ、それと付き合うとかどうとか、キ、キスがどうとかって話はちょっと……違うじゃん……？。うぅ……友希那とそういうことするって考えるだけで顔が熱くなる……
紗夜,今井さんは意外と初心なんですね
リサ,い、いや、誰だってこうなると思うけど……
紗夜,てっきり幼いころから何も知らない無垢な湊さんを誑かしているのかと思っていました
リサ,えっ！？
