奥沢美咲,どしたの、急に？
市ヶ谷有咲,……喧嘩した
美咲,はい？
有咲,香澄と喧嘩した
美咲,市ヶ谷さんと戸山さんが喧嘩って……この前のライブみたいな？
有咲,あれは喧嘩じゃなくて私が一方的に拗ねてただけだから。あの件に関しては私の人生をかけてポピパのみんなと香澄に償うって決めてるから。今回はそういうんじゃねーんだよ、普通に喧嘩した
美咲,それは穏やかじゃないね……
有咲,あいつ、ホント信じらんねーよ
美咲,……そこまで言うって、何があったの？
有咲,今日もさ、お昼ご飯、ポピパのみんなと食ってたんだ、中庭で
美咲,うん
有咲,まぁ本当は香澄と２人っきりがいいんだけどさ、流石にそんなことは口が裂けても言えねーじゃん？
美咲,……うん、まぁ
有咲,まぁ別に？私はポピパのみんなが好きだからそれはそれで幸せだしいいんだけどさ？。でもな……流石に許せねーよ、香澄のやつ。私の弁当より沙綾の弁当の方が美味しいとか抜かしやがった……！
美咲,……そうなんだ。いつものノロケかなぁ
有咲,私が毎朝どれだけ香澄のことを考えて弁当作ってると思ってるんだよ。いっつも幸せそうな顔で食ってくれるから私が一番だと思ってたのに、結局沙綾なのかよ……！。所詮私は付け焼刃の腕だってことか？沙綾みたいにずっと家事やってたやつには敵わねぇってことか？。あーちくしょう！こんなことならばーちゃんの手伝い、昔からやっとくんだった！。大体香澄も香澄だよ……あんだけ美味しそうな顔で食べてくれたら自信持っちゃうじゃん……気軽に毎日食べたい、なんて言うなよ……その気になっちゃうだろ……ったく。可愛いなぁちくしょう
美咲,あー、いつものノロケだこれ
有咲,はぁー……マジ有り得ねぇよ香澄のやつ……
美咲,でも戸山さんが喧嘩する姿ってあんまり想像つかないなぁ
有咲,あー、まぁあいつが本当に怒るのって自分のことじゃなくて友達とかのことだけだからな。色々抱え込む沙綾に一回ブチギレてたし
美咲,へー、そうなんだ。それなのに市ヶ谷さんと喧嘩しちゃったんだ
有咲,ああ。今回ばかりは私も退かねー。まぁ、あいつから悪かったって言ってくるなら許してやらねーこともないけどさ。あ……でも香澄のやつヘコんでたりしたら……そうだったらヤだな……いやいや、でも今回は私悪くねーし、こんなことで折れる訳には……
美咲,そんなに気になるならさっさと謝ってくればいいのに
有咲,……いいや、今回はぜってー折れねぇ
美咲,戸山さんがもう有咲なんて嫌いっ！って言ってたら？
有咲,え……。…………
美咲,ごめん、冗談だから無言にならないで。泣かないで。大丈夫だよ、戸山さんが市ヶ谷さんのこと嫌いになるなんて有り得ないって
有咲,あ、当たり前だろっ、それに泣いてねーし！
美咲,声が震えてるんだよなぁ……。ホント、戸山さん絡むとポンコツになるなぁ市ヶ谷さんて。ところでさ、喧嘩ってどんなことしたの？
有咲,まぁ……口喧嘩だな。お互いが主張を譲らず、って感じで
美咲,聞かせてもらってもいい？
有咲,ああ。あれは中庭から教室に戻る時のことで……
戸山香澄,あー、やっぱりさーやのお弁当って美味しいなー♪
有咲,…………
香澄,あれ？有咲、なんか怖い顔してるけどどうしたの？
有咲,どうしたの、じゃねーよ
香澄,……？
有咲,お前さ、私の弁当より沙綾の弁当の方が美味いって、本気で言ってるのか？
香澄,うん！有咲のお弁当も美味しいけどね、やっぱりさーやのお弁当は――
有咲,ああそうかよっ！
香澄,どしたの有咲？
有咲,……別に
香澄,なんでそんなに怒ってるの？お腹でも痛い？
有咲,痛くねーよ。心の方が痛ーよ。お前のせいでな
香澄,え、私なにかしちゃった？
有咲,……そんなに沙綾の弁当が美味いなら、やまぶきベーカリーに永久就職すればいいだろ
香澄,っ！？。有咲……どうしてそんなこと言うの！？
有咲,沙綾の方がいいんだろ……？台所で割烹着着て、鼻歌まじりに揺れるあのポニーテールがいいんだろ……！？
香澄,それも確かに好きだけど……それとこれとは関係ないよ！
有咲,くそっ、どうせ私はツインテールだよ！そんなに沙綾が好きなら沙綾の妹になればいいだろ！！
香澄,あ、有咲……言っていいことと悪いことがあるよ！なってみたいけど、それは流石に私でも怒るよ！！
有咲,うるせー！人の気も知らないで！お前なんか沙綾の妹になってめちゃくちゃ甘やかされてればいいんだよ！！
香澄,どうしてそんなこと言うの！？人の気も、って言われたって分かんないよ！ちゃんと話してくれなきゃ有咲のことだって半分くらいしか分かんないよ！
有咲,はっ、私はもうちょい分かるけどな、なんも言われなくても香澄のことなら！所詮お前はそれだけなんだろ！？
香澄,有咲だってそれだけじゃん！私の全部、分かってないよ！！
有咲,ぐぬぬ……！
香澄,うぅぅ……！
有咲,もう香澄なんて知らねーからな！弁当も作って来てやんねーからな！！
香澄,私だって知らないもん！おはようとおやすみの電話、しないからね！！
有咲＆香澄,ふんっ！！
山吹沙綾,……これ、私が悪いのかな？
牛込りみ,えっと……悪くないと思うな
花園たえ,よくあることだし放っておいて大丈夫だよ
沙綾,ていうか私の妹になるとかどうって……
りみ,沙綾ちゃんにこれ以上負担かけるのはダメってことじゃないかな？
たえ,手のかかる妹が増えるからね。沙綾も大変だよ
りみ,でも沙綾ちゃんの妹になりたいってちょっと分かるなぁ……
たえ,うん、分かる
沙綾,えぇ……
有咲,って感じだよ。ったく、本当に香澄のやつ……
美咲,……へー。わーどうしよ。怒りのポイントが全然分からない。ていうかポピパのみんながいる前でやってたんだ。……まぁ深刻じゃなさそうなのは分かったからいっか。この前は市ヶ谷さんに助けられたし……今度はあたしが助ける番かなぁ
有咲,それからはあいつと口も利いてねーな。こんなに話さなかったのはこの前のいざこざ以来だよ
美咲,そっか。あ、ごめんちょっとこころからメッセージが
有咲,ん
美咲,…………。……お待たせ。それでさ、市ヶ谷さんは仲直り、したくないの？
有咲,したいけど
美咲,あ、即答なんだね
有咲,そりゃ、当たり前だよ。奥沢さんだってほら、この前みたいに弦巻さんと喧嘩したらどうするよ？
美咲,即日仲直りするね。怒ってないかちょっと不安になるけど
有咲,だろ？それと一緒だよ。でもな、どうしても割り切れない気持ちがあるんだよ。そりゃあな？沙綾には敵いっこないのは分かってるんだよ、頭では。学校でお嫁さんにしたい人コンテストやったらさ、生徒の過半数は沙綾に投票すると思うし
美咲,あたしはこころに入れるけどね
有咲,私も香澄に入れるけどな
美咲,まぁでも分からないでもないなぁ。包容力あるよね、山吹さん
有咲,あれで強かなところもあるから侮れねーんだよ
美咲,それでもあたしはこころに入れるけどね
有咲,私も香澄にしか入れないけどな
美咲,…………
有咲,…………
美咲,市ヶ谷さんの気持ちも分かるけど、こころだっていいお嫁さんになると思うよ。基本天才で何でも出来るから家事だってお手のものだし。それに何より明るいからね。絶対笑顔の絶えない素敵な家庭になるよ
有咲,香澄だってそうだよ。まぁ、不器用だからさ、家事とかはあんまりかもしれないけど、それでも健気に頑張ってくれるよ、あいつは。いじらしいだろ？それにさっきも言ったけど優しいからな。子供の面倒見だってすげーいいぞ
美咲,それを言ったらこころだってすーぐ知らない子供と仲良くなってるからね。子供の目線に立って、等身大で相手をしてあげられるから
有咲,いやいや、それこそ香澄の専売特許だから。やっぱり純粋な子供は分かるんだよな、誰が一番優しくてあったかい人なのかって
美咲,…………
有咲,…………
美咲,……この話は今度にしよう
有咲,だなー……誰が一番か、って話しだすと終わりそうにねーや
美咲,まぁこころが一番だと思うけど
有咲,まぁ香澄が一番だと思うけどな
美咲,それで……なんだっけ？山吹さんをお嫁にしたいって話だっけ？
有咲,えーっと、そう、沙綾の嫁力が高いって話。私はそれに敵わないのは分かってるんだけど……分かってはいるんだけど……な
美咲,あーまぁね。その気持ちは分かるよ。ちょっと嫉妬しちゃうよね
有咲,……別に嫉妬なんてしてねーし
美咲,はいはいツンデレツンデレ
有咲,誰がツンデレだよ
美咲,鏡、見る？
有咲,……いや、いいや
美咲,よかった、自覚はちゃんとあったんだね
有咲,そりゃ、まぁ……素直になるのって難しいじゃん。奥沢さんも分かるだろ？
美咲,うん、分かる分かる。前はあたしもそうだったもんなー……。ハロハピの活動、楽しいのに斜に構えててさ……あーなんか懐かしい
有咲,……でも奥沢さんは最近素直すぎると思うけど
美咲,こころが可愛いのが悪い
有咲,出たよ開き直り……
美咲,聞こえませーん
有咲,はぁ……
美咲,市ヶ谷さんも開き直ればいいのにって思うけど
有咲,それが出来たら苦労しねーって
美咲,一回開き直ると楽になれるよ。せかいのっびのびトレジャーだよ
有咲,いや流石に私は頭ハロハピになれないから
美咲,そっかぁー
