高森藍子,う～ん……
北条加蓮,ただいまー。……どしたの？スマフォ難しい顔してつついちゃって。変な連絡でも来た？
藍子,おかえりなさい、加蓮ちゃん。そういう訳ではなくて――
・北条加蓮,藍子と
・高森藍子,加蓮ちゃんと。加蓮ちゃんと
・北条加蓮,藍子と
・高森藍子,加蓮ちゃんと
・北条加蓮,藍子と。藍子と
・高森藍子,加蓮ちゃんと
※,１つの丸テーブルを４つの椅子で囲んでいて、加蓮と藍子は向かい合うように座り、荷物は足元の荷物置き場の籠の中
加蓮,っと、店員さん。ありがとー
藍子,ありがとうございます。……ふふ、ストレートティー、今日もいい香りっ
加蓮,うんうん。これぞカフェって感じだよね。いただきます
藍子,いただきます。あ、でも、この時期は……
加蓮,？
藍子,外の、春の後半の雰囲気に、初夏を感じさせる匂いが混ざった空気は……お茶のひかえめな感じを、ちょっぴりかき消しちゃってるかもしれません
加蓮,なんだか詩人みたいだね
藍子,あはは、そんな大げさなものじゃないですよ～
加蓮,逆に店内の方が良かったかも？
藍子,じゃあ、次はそうしてみましょうか
加蓮,んー
藍子,加蓮ちゃんこそ、今日もストレートティーなんですね
加蓮,お茶を嗜む大人の女を目指してるからねー。うんうん
藍子,そういえば最近、加蓮ちゃんがメロンソーダを飲んでいるところ、見たことないような
加蓮,あれはこう……夏に弾けたくなったら？
藍子,それまで我慢、ですねっ
加蓮,うんうん。ゴールデンウィークがあるし、めんどくさい梅雨もあるし。それが終わってからね
藍子,なるほど～。今年最初のメロンソーダを飲む時は、ご一緒させてください
加蓮,あははっ。じゃあやっぱりここで飲むことになるのかな？いや、テキトーな自販機で済ませちゃうのもいいかも
藍子,せっかくですから、ここで飲みましょうよ
加蓮,はいはい。藍子も何か予約してみない？今年最初の、夏の飲み物
藍子,それなら……。う～ん。何がいいかな……
加蓮,……、
藍子,う～ん……。あはは……思いつかないので、加蓮ちゃんとおそろいでいいですか？ううん、おそろいにしたいですっ
加蓮,ん。じゃあその時には乾杯しちゃおっか
藍子,はいっ♪約束ですよっ。絶対の約束ですからねっ？
加蓮,約束だね。……藍子ってさ、約束って言葉好きだよね
藍子,それは加蓮ちゃんもじゃないですか～。……ふふっ
加蓮,？
藍子,ううん。ずっと前の加蓮ちゃんは、ちょっと先のお話をするだけで、ちょっぴり苦しそうにしていたけれど、今は……なんてっ
