宗像里奈,２９
英語の単語帳の表紙には,英検1級
テロップ,宗像里奈２９
里奈,今日の仕事は、工場でのスマホの組み立て……。私はいつか必ず……、正社員になるんだ……。穫れたてで、甘くて、おいしい熊本産のプチトマト！！プチトマトはいかがですかぁー！！
喪黒,ほう……、プチトマトですか
里奈,いかがですか？
プチトマトを食べる喪黒。喪黒,なかなか……おいしいですよ
里奈,ありがとうございます
喪黒,まあ、こうやってあなたと出会ったのも縁ですから……。以後、お見知りおきを
喪黒が差し出した名刺には、,ココロのスキマ…お埋めします喪黒福造
里奈,ココロのスキマ、お埋めします……か。それにしても、不思議な感じの人だったなぁ……。試食販売で出会ったあの人のことが、今も頭の中に残っている……
喪黒,昼間の試食販売のプチトマト、おいしかったですよ！
里奈,うわっ！！……ってあなたは！！
喪黒,これはこれは、奇遇ですなぁ
里奈,びっくりしましたよ、今のは……
喪黒,あなた、昼間に出会った私のことがずーっと頭の中に残っていたようですね
里奈,いいえ、そんな……
喪黒,試食販売ですか……。おそらく、あなたのご職業は派遣社員でしょう？
里奈,そ、そうですけど……
喪黒,あなたは見た目からして頭がよさそうなお方でしょう。だから、おそらく一流大学の出身者だと思いますよ
里奈,ま、まさか……
喪黒,首都公立大学！……とかその辺りなんじゃぁ……、ないですかねぇ……！？
里奈,大学名まで見抜けるなんて……！！あ……、あなた何者なんですか！？
喪黒,いやぁ、私はセールスマンですよ。仕事柄、長年、人間の観察を行ってきたおかげ……というわけです
BAR,魔の巣
喪黒,それにしても……。宗像さんのような高学歴で優秀なお方が、派遣社員とは実にもったいないですなぁ……
里奈,大学時代、就職活動に失敗したんですよ……
喪黒,おそらく、時期的にいろいろ恵まれなかったんでしょうなぁ……
里奈,はい。私が大学4年を迎えたのは2011年。あの年は、東日本大震災が起きた年でもありましたから
喪黒,日本経済が大変な時期でもありましたからねぇ。あのころは
里奈,大学を卒業して以来、私は派遣社員として食いつないできました
喪黒,でも、あなたは正社員になる夢を持ち続けてきたようですなぁ
里奈,はい。派遣の仕事の傍らで、私は正社員になるための就職活動に励んできました
喪黒,おそらく宗像さんは、資格を獲得するための勉強も頑張ってきたでしょうねぇ
里奈,ええ、もちろん。私は、正社員になるために、資格もいろいろ取得しましたよ
喪黒,……にも関わらず、あなたは正社員になることができず今に至っている……。というわけですか
里奈,そうです
喪黒,それだけではないでしょう……？たぶんあなたは、人間関係でもストレスを抱えていると思いますよ
里奈,もちろんです
喪黒,派遣会社の中で、宗像さんは一人浮いているはずです。なぜなら……、あなたは高学歴だから
里奈,ええ。喪黒さんの見立て通りですよ
