本田未央,プロデューサー……もう、残された時間は僅かだね……
モバＰ,そうだな……来週には、お前らは……もう……んっ
渋谷凛,やだよ……離れたくないよ……不安だよ、怖いよ……
モバＰ,何をそんなに怯える必要がある？おまっん……お前達には、んふ……固い絆で繋がった、かけがえのない仲間がいるじゃないか
未央,でもさ……そこに
凛,プロデューサーが居ないのはさ……ぅぅ
モバＰ,泣くな泣くな。頼りになっぷ……頼りになる先輩Ｐもぷわっ、居るじゃないっぬは！か……
凛,そうだけどっ！そうだけどぉ！！……ごめん。困らせるだけだよね……ごめん……ごめん
未央,しぶりん……
モバＰ,ちょっ……んぷ、まだ続けんはっ……未央笑って、ぷあっ
凛,前にさ、くるみちゃん達が抱きしめてくれたら勇気出るって……そしたらプロデューサーぎゅっとしてたよね。あれ、私にもさ……そしたら涙止まると思うからっ
千川ちひろ,凛ちゃん、ゾーン入っちゃってますね。お芝居？茶番？……は？状態！！
モバＰ,ちひろさん楽しそっぷあ…………こずえ、人の顔面を手で撫でつけるのはやめような？
遊佐こずえ,…………すぅー
モバＰ,寝たフリすんのかぁ。そんな娘は膝から降ろそうかなぁ？
こずえ,……ふわぁ。なにー？こずえ、いまおきたからわかんないー
モバＰ,そっかぁ。じゃ、いっかー
こずえ,うん。いっかー
ちひろ,かわいいですねぇ。構って欲しいんだよねぇ？
こずえ,んー、しらないー
モバＰ,登るな、登るな。危ないだろ。前見えんし
こずえ,やー
モバＰ,はい、下山ー
こずえ,うわー。へへー
未央,かぁええのぉ……ん？
赤城みりあ,凛ちゃん、両手広げて何してるの？
凛,……
未央,お、みりあちゃん。しぶりんのことは、そっとしといてあげて。光合成みたいなもんだから
みりあ,？？？
未央,それよりも、しゅがーはぁとファッションショー☆試着もあるよ☆は、もういいの？
みりあ,うん！カラフルでとってもカワイイ衣装着せてもらったの！ヒラヒラでカワイイのー♪
未央,そっかそっか！良かったねぇ
みりあ,えへへ……あっ！薫ちゃん迎えに行くんだった！ちひろさん！！
未央,薫ちゃん？
ちひろ,はいはい、ちょっと待ってね。薫ちゃんというのは、この事務所には始めて来る娘ですよぉ。よし、それじゃ行きましょうか
みりあ,はーい！行ってきまーす！！
未央,行ってらっしゃーい。元気だ、いいね。うんうん
凛,……だね。ところで、未央。この、ウェルカムなポーズどうすればいいと思う？
未央,プ、プロデューサーに……
凛,スルーされた訳だけど
未央,……その恥ずかしさは私関係ないかなぁって
凛,……
未央,……あ！ありすちゃん！料理の練習終わったの！？試食していい！？いいよね！？給湯室だよね！？さあ、行こう！！
橘ありす,は、はい。終わりましたけど、巴さんが全部食べちゃいまして……えっと、絶賛してくれました。ふふ、今度はＰさんに……
未央,……そっかーそれはきっとよろこんでくれるよー。ｼﾌﾞﾘﾝｶﾞﾏﾜﾘｺﾝﾃﾞｷﾀﾖｰ……
凛,……
ありす,ふふふ……Ｐさん、聞いてました？今度、イチゴパスタ、イチゴピザ、牛肉のイチゴソース煮込み……最高のイタリアンコースを提供しますね！
モバＰ,んあ？……すまん、こずえワールドに囚われてた。ふわぁ
ありす,もうっ！
こずえ,んー、こずえもー
モバＰ,いひゃい。ほっへひっはるな～
凛,未央……
未央,……えっと、八つ当たりは……ね？
凛,誰が光合成だよっ！
未央,そこかぁ！そこ突っ込んでくるかぁ！ぬぉぉ、しぶりん！そのハグは愛情が強すぎるっ！出るっ！出ちゃう！！…………あ
凛,え！？
未央,う～そ♪出てると思わせといて～実は出てないシステム～♪
凛,っ！
モバＰ,出るって何がだろう……やだ、ドキドキする……
ありす,……Ｐさん？
モバＰ,……ほらぁ、ひむひょではひるなぁ
みりあ,ただいまぁ！そして……薫ちゃんだよっ♪
龍崎薫,はい!かおるです!あっ！せんせぇだっ！
モバＰ,おう、久しぶり！元気してたか？
薫,うん、げんきだよ！！わぁい、せんせぇ！せんせぇ！！
モバＰ,ちょっまっ！！んふんっ！！
ちひろ,おおぅ……お子様キャノンが見事股間に……あ、ただいま帰りました。さて、仕事仕事
モバＰ,ち、ちひろさんは、もっと俺に優しくしてくれてもいいと思います……薫、この際飛びつくのはいいけど、頭から突っ込んで来るのは駄目な？お互い危ないからな？
薫,せんせぇ！せんせぇ！！
モバＰ,そこからの、グリグリはアカン！グリグリはアカンって！！薫っ！せんせぇの話聞いて！！
凛,……
未央,……
モバＰ,ほらっ！お姉さん達もびっくりしてるだろっ？……やだっ！アレ俺に対する冷たい目だ！！
薫,ん？わっ！凛ちゃんだ！すご～い！！せんせぇ、凛ちゃんだよ、凛ちゃんっ！
モバＰ,そうな……本物だぞ～。抱きついとけ抱きついとけ……ふぉぉ、ピンポイントで来たなぁ
みりあ,プロデューサー大丈夫？擦ってあげようか？
モバＰ,大丈夫大丈夫。擦られると社会的に大丈夫じゃなくなるから、大丈夫じゃないけど大丈夫
みりあ,？？？だいじょ……？？だいじょーぶ……んん～？だいじょうぶがぐるぐる～
ありす,ゲシュタルト崩壊ですね
モバＰ,よく知ってるなぁ
ありす,褒めてもいいんですよ？
モバＰ,ありすはえらいなぁ
ありす,頭を撫でてもいいんですよ？
モバＰ,よ～しよし
ありす,えへへ
こずえ,あまえんぼー……だー
ありす,せ、正当な報酬ですっ
ちひろ,ほっこりしますね～
モバＰ,ね～
薫,えっと……
凛,ふふ、おいで。あ、キャノンは駄目だよ？ゆっくりね？
薫,は～い！えへへ～
凛,これからよろしくね。薫ちゃん
薫,うん！よろしくおねがいします
未央,うう゛んっ！
薫,？……あっ！！
未央,ふふんっ
薫,み
島村卯月,おはようござ……！？
薫,え？
未央,くそうっ！
卯月,はわわっ！幼女が四人もっ！は、早く美嘉ちゃんに知らせないとっ！！
神谷奈緒,はわわって……おはようございまーす
北条加蓮,卯月はいつも楽しそうで羨ましいよ。おはよーございまーす
城ヶ崎美嘉,そしてアタシはここにいる。卯月、それはどーゆー意味なのかな★
卯月,え？だって美嘉ちゃんにとってパラダイス……いひゃい！いひゃいです！！
美嘉,デタラメ言うお口はこれかぁ★
卯月,ぅぅ……でも、ヘブンでありアヴァロンなんだと思いますっ
美嘉,まだ言うかっ！！
モバＰ,……みりあ
みりあ,なに～？
モバＰ,美嘉に――
みりあ,わかった！
美嘉,アタシが口リコンだなんて、都市伝説だって何度言えば……
みりあ,美嘉お姉ちゃんっ！！
美嘉,！？
みりあ,みりあウインク☆
美嘉,ふひ……ハッ！？
モバＰ,ふひひ★
美嘉,ムカつくぅ！みりあちゃん！プロデューサーの悪ふざけに付き合うことないよっ！あっち行こう、お菓子あるから
みりあ,わーいっお菓子～！美嘉お姉ちゃん一緒に食べようね
凛,連れ去りの事案発生……ん？薫ちゃん？
薫,うわぁ、有名人ばかりだぁ……すごぉい
卯月,お？初めましてだね。えっと……
未央,龍崎薫ちゃんだよ
卯月,なるほど。よろしくね薫ちゃんっ
薫,はいっ！よろしくおねがいしますっ。ニュージェネレーションズだぁ。すごいすごいっ！
卯月,そうだよ。ニュージェネレーションズだよ。例えトライアドプリムスであっても……
薫,ニュージェネレーションズ！
卯月,はい正解
凛,突っ込みづらい……
未央,薫ちゃんもよく喰らいついたね。あっぱれだよ
卯月,そんな薫ちゃんにどんぐり飴をプレゼント。プロデューサーが
薫,やったぁ！わぁい、せんせぇ！！どんぐりあめ～
モバＰ,え！？ちょっ！薫、走っ！跳ぶのっダメ……あふん
奈緒,卯月自由過ぎ……それより、他のみんなは？やっぱ課題か？
モバＰ,そ、それよりってのはひどいとおもうなー……うぉぉ……ほれ、薫。もう頭から突っ込んじゃ駄目だぞ。……杏の無くなったな
薫,はぁい。ごめんなさい！せんせぇ、ありがとぉ！！
加蓮,それで、どうなの？
モバＰ,ああ、そうそう。会議室で学生組は課題してるよ。大人組は佐藤さんに付き合って衣装室でいろいろしてる
奈緒,そっか。それじゃ、あたし達も行こうか
加蓮,あぁ……やだなぁ。体がだるい気がする……
卯月,加蓮ちゃん！それは、気のせいっ！ほら、頑張って行こっ
加蓮,あぅあぅ……
ありす,……課題？勉強ですか？そういえば、巴さんが先ほど息抜きだとかなんとか言ってましたね
モバＰ,うん。来週から二週間ほど海外行くからな。学校休む分の代わりだ
未央,放課後、補習もあるんだよ……しぶりん、そろそろ私達も行こうか
凛,そうだね。よしっ！息抜き終わりっ
モバＰ,学生も大変だよな～
ありす,……海外って、お仕事ですか？みなさんで……Ｐさんも？
モバＰ,俺はお留守番。最初はNGとTPがドイツのフェスに呼ばれてたんだけど
先輩Ｐ,急遽、イタリアのフェスっていうか、ジャパンエキスポみたいなやつにもお呼びが掛かった訳だ。ていうかＳＯＳだな
モバＰ,あ、お疲れッス。んで、そのイタリアさんとの交渉は？
先輩Ｐ,おう、レッスンスタジオ、宿泊施設、セキュリティ……その他もろもろバッチシだ
モバＰ,おぉ、流石
ありす,ＳＯＳって……
モバＰ,うん、まあ……あちらさんのブッキング担当が、かなり大らかな人みたいでな？オファー出すのが遅すぎて、出演者の確保が出来なかったんだ
先輩Ｐ,うちも最初は断ったんだけどな。日本人以外を出すわけにはいかない、新人でもいいからって言われて、日程的にも丁度いいし、それじゃあってな
ありす,はぁ……なんか話が大きいのか小さいのかわかりませんね。それにしても、ドイツにイタリアですか。大変そうですね
先輩Ｐ,そうなんだよ……モバＰ、やっぱお前も来てくれよ……何人連れて行かなきゃいけないんだよ。いい機会だからってねじ込みすぎだろ……
モバＰ,社長に言って下さいよ。まぁ、大人もいるんですから大丈夫ですって。留美さんも美優さんもいるし、時子さん……うん、佐藤さん……あ
先輩Ｐ,無理だって！なぁ！無理だって！！
モバＰ,すいません……俺には、どうすることも……ていうか、俺は俺でやることいっぱいなんですから。ちび達の世話と例の件もあるし
ありす,例の件？
モバＰ,ん～まだ秘密。株式会社ってのはいろいろ面倒なんだぞ～
ありす,むぅ……
先輩Ｐ,そうだった……帰ってきたらすぐ……ぬぁああ！私はいつ休めるんだぁ！！
モバＰ,それ！その気持ち！！俺の10連休が半休になった時の気持ちっ！！おわかりいただけただろうか！？
先輩Ｐ,おわかりいただけたくなかったわ！ボケぇ！！
モバＰ,んふ～
ちひろ,なんかツヤっとした顔してますね。プロデューサーさん、そろそろ時間じゃないですか？
モバＰ,お、そうですね！薫、みりあ呼んできてくれ。レッスン行くぞ
薫,ふぁーい！
モバＰ,こずえ、起きろ起きろ～。お歌の時間だぞ～
こずえ,……ふわぁ。うー……あのねぷろでゅーさー……おねがいがあるのー｡つれてってー？
モバＰ,いいぞ～おててつないで行こうな～。そら、起きろ
こずえ,しかたないー……んー
ありす,……
モバＰ,お？
ありす,……子供だもん
モバＰ,ふふ、いいのか？
