花園たえ,ふんふんふふーん♪
たえ,今日は久しぶりにあの人が遊びに来てくれるなぁ。いつぶりだろ、２人っきりになるのって。うーん……思い出せない。最近は仕事があったりなんだりって、よく言ってたし。メッセージもあんまり返してくれないし。あの人の仕事場の近くに行っても顔を合わせることはないし。……まぁいっか。今日は私の部屋に遊びに来てくれるんだもんね。ふふ、楽しみだなぁ。あ、いらっしゃい。待ってたよ。その辺に適当に座ってね。……それじゃ、私はその隣に座るね。え？近い？そんなことないよ。恋人ならこれくらい普通だよ。それと……ぎゅー。……ん？ぎゅーってするのも普通だよ。平気平気。はぁー……それにしても、本当に久しぶりだね、こうやって２人っきりになるの。やっぱり仕事、忙しい？。ふーん……ぼちぼち……。でもあなたの姿、あんまり仕事場の近くで見かけないね。え、私？ううん、私は特に変わりないよ。いつも通り学校に行って、ポピパのみんなと話したり、お弁当食べたり。それで、学校が終わったら有咲の蔵で楽器の練習。たまに練習じゃなくてみんなで遊んだり、ライブしたり。でもいつも通りって言っても、やっぱりあなたがいないとちょっと寂しいかな。最近は会う機会もなかったから。ウサギはね、寂しがり屋なんだよ。……うん、そう。私も寂しがり屋。そうでしょ？オッちゃんたちと一緒なんだ。あっ、そうだ。ねぇねぇ、再来週の日曜日ってヒマかな？。うん。その日。その日ね、ポピパのライブがあるんだ。場所は有咲の蔵。クライブだよ。あんまり大勢の人は呼べないんだけど、チケットは融通が利くから、あなたにも見に来て欲しいな。ステージの上……今回はクライブだから違うか。まぁそれはそれとして、ポピパのみんなとキラキラしてる私を見てもらいたいんだ。そうしたらもっともーっと、あなたが私のことを好きになってくれるんじゃないかなって思う。……だめ？。そっか……仕事があるならしょうがないね。ううん、ライブはまた何度もやるから大丈夫だよ。でも出来ればクライブの時に来てもらいたいな。クライブならお客さんもずっと近いから、あなたのこともすごく近くで感じられるし。ポピパのみんなと、あなたがいて、キラキラのステージでギターを弾く。それ以上の幸せはないよ。……あ、ごめんやっぱりあった。オッちゃんたちもちゃんと連れてこないとね。仲間外れにしたら可哀想だもん。ＣｉＲＣＬＥって動物、入れるのかな。ＳＰＡＣＥはオーナーにふざけてんのかい？って怒られちゃったけど、ＣｉＲＣＬＥならいけるかな。今度まりなさんに聞いてみよう。え？流石にウサギは入れないと思う？。そっか。あなたがそう言うんじゃきっと無理なんだろうな。それならなおさらクライブの時に来てほしいな。有咲の蔵ならいつでもオッちゃんたちを連れてこれるし。……やっぱりあそこに花園ランドを作りたいな。うん、花園ランド。ウサギがたくさんいて、私の好きな人たちがいて、私の好きなものがいっぱいあるんだ。不思議な楽園。不可思議な夢の世界だよ。遠慮なんてしないで平気だよ。というより、あなたがいないと完成しないからさ。もふもふで、もっちもっちだよ。おまんじゅうとかウサギとか……あ、それとあなたが好きな食べ物も用意しないとね。何がいい？やっぱりペペロンチーノとかチーズ？。うーん……でもペペロンチーノにはウサギが食べちゃいけないものも入ってるよね。どうしよう。悩みどころだ。まぁそれはあとで考えればいっか。そのうち有咲の蔵に作るから、概ね出来上がったらあなたも呼ぶね。楽しみにしてて。……あれ？何の話してたんだっけ？。ああそうだ、ライブの話だっけ。仕事があるならしょうがないよ。また次のライブの時も呼ぶから。ううん、私が来てほしいから言ってることだから。平気だよ。チケットだってすぐに用意できるから。……？なんだか顔色、悪いね。風邪？大丈夫？。疲れてるだけ？じゃあ一緒にお風呂入る？。うん？だってお風呂に入ると疲れがとれるよ？。どうして一緒に……って？お風呂、嫌いだった？。私はお風呂好きだよ。ねんどと同じくらい好きだよ。あ、大丈夫。あなたのことはもっと好きだよ。え？そういう話じゃない？。そっか。うーん、それじゃあ他に疲れがとれることは……え？。……身体の疲れじゃない、精神的なもの？。じゃあオッちゃん連れてこよっか？。もふもふすれば癒されるよ。もっふもふのふわふわ。モッフモフのふわきゃらサンドイーッチ♪って。それも違う？。うーん、難しい問題だ。え？話があるの？。うん、聞くよ。どんな話？。……心が痛い？じゃあ胸、さすってあげよっか。あ、そこまでじゃない。うん。あなたが話せるまで待つよ。…………。…………。…………。……え？。…………。ごめん、ちょっとよく聞こえなかった。…………。……別れ話をしよう？。うーん、ちょっとよく分からない話だね。何にお別れするの？。私？。私はいつでもここにいるよ？。……ううん、よく分かんない。別れ話ってなに？。…………。…………。そう、なんだ。恋人同士じゃなく……なる話。…………。……て。……どうして？。……世間体？警察に捕まる？許されることじゃないから？。…………。あなたは、私のことが嫌い？。それは違う……なら、なんで？。どうして？。世間体？知らない。そんなの知らない。いいよ。あなたが捕まるなら私も一緒に牢屋に入るよ。ねぇ。許されないって、許されなくちゃダメなのかな。別に許されなくたっていいよ。私は。誰かに許可を貰わないといけないってことはないよ。許されないなら、許されるまで傍にいるよ。ねぇ。ねぇ。ねぇ。どうして？。何か話、して欲しいな。さっきから黙りっぱなしだよ？。……痛い？ああごめん、強く抱き着きすぎたかもね。うん。緩める気はないけど。それよりもさ、なんで？。ねぇ、なんで？。ねぇねぇ。どうして？。黙ってたら何も分からないよ？。なんで？。ねぇ、なんで？。どうして？。私のこと嫌いじゃないのに？。ねぇ。私は好きだよ、あなたのこと。大好き。大好きだよ。ねぇ。ねぇ。ねぇ。ねぇ。ねぇ。どうして？。…………。私とあなたの為？。ふーん。うん、よく分からない。全然分からない。私の為ってなに？あなたの為ってなに？。なにが私の為なの？なにがあなたの為なの？。ねぇ？。……こういう関係はよくないことだから？。よくないことだから？。だからお別れするの？。でもそのよくないって誰が決めたの？。ねぇ？。ねぇ？。私はあなたが大好きで、あなただって私のことが嫌いじゃないんだよね？。ね？。嫌いじゃないんでしょ？。だって、ほら……！。……えへへ、私に押し倒されちゃったね。ねぇ、嫌いじゃないんでしょ？。……嫌いになった？。今、嫌いになったの？。じゃあ私をどかせばいいと思うよ。……やっぱり、押しのけようともしないよね。あなたって本当に優しい。それに、嫌いじゃないからだよね？。いくらあなたでも嫌いな人にこんなことされたら怒るよね。ねぇ、なんで？。ううん、嘘をついたことにじゃないよ。別にそんなの些細なことだから。どうして？。嫌いじゃないのに、どうして？。ほら、あなたの心臓、こんなにドキドキしてる。私もドキドキしてるよ。ステージに立つよりずっとドキドキしてる。だってあなたのことが大好きだから。私はあなたが大好きで、あなたも私が嫌いじゃない。ねぇ。どうして？。別れ話をする理由がもうないよね？。ねぇ、どうして？。どうして別れようなんて話をしたの？ねぇ？こんなに好きなのに、あなたも私のことが嫌いじゃないのに、こんなにドキドキしてるのに。確かめてみる？あなたの上に覆いかぶされば……ほら、全身で分かるでしょ？ドキドキしてるよ。すっごくドキドキしてる。あなたの鼓動も早いね。ドキドキしてるね。なのにどうして？世間体のせい？年齢のせい？捕まりたくない？世間が許してくれない？でもそれって関係ないと思うな。今ならまだ間に合うよ。大丈夫、平気だよ。きっと振り返れば笑い話の１つだから。この前ね、ポピパのみんなもこんな風にすれ違いがあったんだ。メッセージ見てくれたでしょ？仕事の邪魔にならないように６０通くらいでメッセージも抑えたし、見てくれたよね？それと一緒だよ。間違えてないよね？香澄たちも言ってくれたもん。間違ってないよって。だから合ってるよね。メッセージ、見てくれたよね？あんまり多いと迷惑だからちゃんと自重したんだよ。あ、平気だよ。返信が少ないのは忙しいからだもん。あなたのせいじゃないよ。でもやっぱり寂しかったな。あなたと触れ合ってるとすごくドキドキして、安心するから。会えない日が続くと辛いんだ。ウサギは寂しいと死んじゃうってよく分からなかったけどあなたのおかげでよーく分かったよ。やっぱりあなたがいないとダメ。色んなことを教えてくれてドキドキさせてくれる。ポピパのみんなも大切だけど、あなたもとっても大切だよ。ねぇ、どうして？なのになんで？おかしいよね、好き合ってるのに。最近は全然姿が見えないから心配してたんだよ。蔵で練習した帰りとか、休みの日とか、あなたの職場の近くに行っても全然姿が見えないんだもん。たまーに仕事してるところが見えて、元気そうで安心してたけどさ、やっぱり面と向かって話し合いたいなぁって気持ちが大きいよね。だからこうして近くで、あなたを全身で感じられて、顔が目の前にある状態なのってすごくいいよね。あなたは？ねぇ、どうかな？ねぇ？あ、でもやっぱり顔色が悪いね。さっき心が疲れてるって言ってたし、忙しいと大変だね。やっぱり電話とかメッセージとか抑え気味にしておいて良かったよ。１日あたり電話は１０件まで、メッセージは３０件までって決めてたんだ。あれ、何か言いたそうな顔だね？あそっか、そういえばポピパのことで６０通くらい送っちゃってたね。ごめんね。でもやっぱりポピパのことはそれくらいじゃないと収まりきらないんだよ。あなたのことも大好きだけどね、みんなのことも大好きだもん。ごめんね？ちょっと負担になっちゃってたかな。次から気を付けるよ。でもやっぱりメッセージが多くなっちゃうと思うから、出来れば電話に出て欲しいな。電話ならそんなにかからないと思うよ。多分２、３時間くらいで終わると思うから。ああでも忙しいみたいだし本当に余裕がある時だけでいいからね？私が話したくて電話してるだけだし。大丈夫、その辺りは私もちゃんと考えてるから。というより最近はずっとあなたのことばっかり考えてたなぁ。ふふ、嬉しかったよ。久しぶりに連絡くれたもんね。会いたいって。嬉しかったなぁ。ごめんね、その時はやっぱりちょっと気持ちが震えちゃったから長めの文章返しちゃった。許してくれる？ねぇ？許して欲しいな。ねぇ。ねぇ。ねぇ。声、聞かせて。あなたの声を私に聞かせて？ねぇ。どうして？なんで黙ってるの？何か嫌なことでもあった？仕事で辛いこととかあった？話、聞くよ？あなたのことなら何でも知りたい。私のこともいっぱい知ってもらいたいけど、でもあなたのことの方が優先だもん。ねぇ、ねぇ？ねぇねぇ？私、まだまだ話したいことがたくさんあるよ。だってこうして２人っきりになったのって……えっと、１ヵ月ぶりだよね。長かったよ。永遠かと思ったよ。だからほら、あなたのことをもっと話して欲しいな。私も喋りたいけど我慢するよ。たくさん我慢するから、そしたらいっぱい褒めて欲しいな。私の髪、長くて綺麗で好きだって言ってくれたよね？だから髪を撫でながら褒めて欲しいな。ウサギのしつけと一緒だよ。オッちゃんたちもね、なでなでしながら褒めると喜ぶんだよ。あ、ごめんね。また私ばっかり話してる。しばらく黙るね。だからほら、話、聞かせて。あなたの唇が動くのを見てるの、好きなんだ。空気を震わせた声が私のことも震えさせてくれるし。いいよね、あなたの声って。聞いてるととっても落ち着く。だから、ねぇ。ねぇ、聞かせて。ねぇ。なんで黙ってるの？あ、そっか。私が上に乗ってたら苦しいか。ごめん、気付かなかった。ちょっと身体離すね。私のお口にもチャックするね。…………。…………。…………。…………。…………。…………。…………。…………。…………。…………。……ごめんって、なにが？。…………。私と別れるから？。…………。…………。あ、そうだ。いいこと思いついた。ここを花園ランドにすればいいんだ。……？どうしたの、そんな不思議そうな顔して。……花園ランドは花園ランドだよ。不思議な楽園。不可思議な夢の世界だよ。ウサギがたくさんいて、私の大好きな人がいて、私の好きなものがいっぱいあるんだ。そうすればさ、世間体なんて気にならないよね。警察だってきっと来ないよ。秘密の花園だもん。許すとか許されないとか、そういうのもなくなるね。我ながら名案だ。うん？なんだか顔色が悪いね。大丈夫だよ。大丈夫。ここでなら、なーんにも気にしなくて平気だよ。ウサギがいて、私がいて、あなたがいる。それだけだよ。だから安心してね。癒されるよ。好きなだけ眠ってたっていいんだよ。ゆっくりしていこう。逃げたい？逃げたいって、どこから？。あなたってたまに変なこと言うよね。だって花園ランドだよ。ノーウェイアウト、出口はないから♪。だから……ずっと、ずーっと、一緒にいられるね。ふふ、ふふふ……
山吹沙綾,…………
たえ,どう？
沙綾,いや、どうって……
たえ,千聖先輩からね、たえちゃんはこういう演技の素質があるわねって言われたんだ
沙綾,うん、それはさっき聞いたね
たえ,で、どうかな？
沙綾,…………。放課後の誰もいない教室で、おたえにちょっと見てもらいたいものがあるんだ。それからいきなりこんな演技を見せてきて……私にどんな反応を求めてるんだろ
たえ,沙綾はこういうの、嫌い？
沙綾,えぇと……好き嫌いは置いておいて、真に迫ったいい演技……なんじゃないかなぁ？。おたえの目のハイライトが消えた時は……うん、早く帰ればよかったなぁってすごく思ったよ
