通行人A,今日はハロー注意報出てるな
通行人B,注意しないとな
男,……？。なーにいってんだ、あいつら。この辺に海はないし、波に注意する必要なんか……。な、なんだ！？
外国人A,ハロー！ハロー！ハロー！
外国人B,ハロォォォォォ！
外国人C,ハロー！ハロー！ハロー！ハロー！ハロー！
男,あだだ……ひどい目にあった。うわぁ～、ひどいなこりゃ。……って、この高速道路、おかしくないか！？道路が透けてるんだけど！。透明な高速道路……透明高速道路？いや、まさかな……。ここも駐車場になったのか……最近増えたよなー
部下,いかがですか、会長？
会長,うむ、いい駐車場だ。これで我が月極グループの駐車場事業はさらに発展するというものだ
男,げ、月極グループ！？
刑事,失礼
男,はい？。やけにハンサムな人だな
刑事,私は刑事のニコラスという。話を聞かせてもらいたい
男,ニコラス刑事！？
刑事,こういう男を見なかったかね？
男,いかにも政治家っぽい男だけど……。いえ、見てませ――
有権者,今度の選挙で、あなたに一票を入れるんですか？
政治家,決して悪い話じゃないと思いますよ？
男,いた！
政治家,どうか、この高級レストランのお食事券で、私に清き一票を……
有権者,はぁ……
刑事,コラーッ！
政治家,し、しまった！
刑事,汚職事件の現行犯で逮捕する！
男,なんつうしょぼいお食事券……いや汚職事件なんだ……。な、なんだ？。ものすごい風が吹いてきた！それも一つじゃない！四つぐらい吹いてきたぁ！
台風父,さぁ、どんどん北上していくぞ！
台風母,一家でピクニックなんて久しぶりね！
台風息子,低気圧にならないうちに、急がないと！
台風娘,みんな、待ってよー！
男,台風……一家か……
キャプテン,今日は野球の全国大会だ！しまっていくぞ！
部員,おう！
キャプテン,最初の対戦相手はどこだったっけ？
マネージャー,一回戦はスリランカとの対決よ！二回戦はフィリピンとイタリアのどちらか……
男,本当に全ての国が参加する大会らしいな……
青年,ニーハオ
男,ニ、ニーハオ
青年,ボク、中国地方から来たんですけど、道を教えてもらえますか？
男,いいですよ！ところで、ご出身は？鳥取？それとも島根かな？
青年,北京です
男,……。中国地方ってか、中国だな
青年,シェイシェイ！
男,どーもー！。……。おかしい、さっきから何かがおかしい。ハロー注意報、透明高速道路、月極グループ、ニコラス刑事、お食事券……。もしかして、俺は……変な世界に迷い込んでしまった？。たとえば、子供がよくやる勘違いが現実化した世界、みたいなところに……
高校生,やったーっ！東大に受かった！四月からは思う存分海を監視するぞ！
若者,イタ飯行こうぜ！本格チャーハン作る中華料理屋があるんだ！
おっさん,半分ぐらい弁当食ったから、食間服用の薬飲まねえと……
男,やっぱりそうだ……！。東大と灯台がごっちゃになってるし、イタ飯はイタリア料理だし。食間は食事と食事の間だってのに……。あ、あれは……！
男´,さ、今日はディズニーランドに連れてってやろう
妻,ありがとう、あなた！
幼女,ワーイ！
男,俺……！？俺がもう一人いる！。俺が美人の奥さんと結婚して、かわいい子供まで連れてる……
男´,すまなかったな。このところ家族サービスできなくて
妻,いいのよ、あなたは一部上場企業でバリバリやってるスーパーエリートなんだから
幼女,一部上場ー？
男,……そうか。俺は子供の頃、結構出来がよくて、将来はバリバリ働くビジネスマンになると我ながら思ってた。大きくなれば、誰かしらと結婚できるだろうと思ってた。だけど実際には――。俺がものすごい大人になるってのも、大きな勘違いだったってことか……
幼女,パパ、なんで一部だけなの？全部上場しないのー？
男´,！。何をいっている！？
幼女,きゃっ！
男,え！？
男´,いいか！？上場ってのはな、東京証券取引所に株式を公開することだ！。一部上場というのは、東証一部に上場することなんだよ！
幼女,ひっ……
妻,あなた、よくある勘違いじゃないの
男´,こいつは俺の子だぞ！俺の子が、こんなバカな勘違いしてるのを許せるものか！
幼女,うぇ～ん！
男´,このバカ娘が！今日はもう引き返して、経済の勉強だ！
男,なにやってるんだ、こいつは……いや、俺は！。やめろ！
男´,！？……な、俺！？俺がもう一人！？
男,そう、俺はお前だ……ただし、お前に比べると、だいぶうだつが上がらない人生を送ってるがな。だけど、俺は……よくある子供の勘違いをあんなに叱るような奴じゃない！。そこだけは俺の方が勝ってる！それは勘違いじゃない！。それだけは断言してやるぅぅぅ！！！
男´,……。できたじゃないか
男,え？
男´,明らかに自分より上の“自分自身”に対して、しっかり意見を言えたじゃないか
男,あっ……
男´,お前は自分を大したことのない人間だと思ってるようだが、そんなことはない。それこそが、大きな勘違いなのかも……
男,あっ、俺の姿が……この世界から消えていく……。……ん。今のは、夢……？いや、それにしては生々しかったな……。俺よりはるかに優れた俺に意見を言った時の爽快感は、まだ胸にしっかり残ってる……。“俺はものすごい人間”ってのは、確かに子供の頃の勘違いだったのかもしれない。だけど、“俺は大したことのない人間”ってのも、大人になった俺の勘違いなのかもしれない。俺だってもっと頑張れば、“結構やる時はやる人間”くらいには、なれるのかも……。もしかしたら、勘違いかもしれないけど……頑張ってみるか！
