戸山香澄,あーお腹減った～！やっとお昼休みだね～！
市ヶ谷有咲,ほんとお前はテンション高ぇな……
香澄,だってみんなでお昼ご飯食べるの好きだし！
有咲,はいはいそーかよ。つか、他のみんなはどうしたんだよ？
香澄,んっとね、りみりんが今日日直なんだ。でね、五時間目の授業の準備があって……
有咲,ああ、それを沙綾とおたえが手伝ってんのか
香澄,さっすが有咲！ポピパのみんなのことはお見通しだね～！
有咲,少し考えりゃ分かるだろうよ……ん？
香澄,どしたの、有咲？
有咲,あ、いや、あっちから歩いてくるのって……
香澄,あ、紗夜先輩と燐子先輩だね。おーい！
有咲,相変わらずグイグイ行くな、香澄は……
氷川紗夜,あら……？
白金燐子,戸山さんと……市ヶ谷さん……？
香澄,こんにちは！
紗夜,こんにちは
香澄,紗夜先輩たちがお昼休みに中庭にいるのって珍しいですね！どうしたんですか？
紗夜,今日は比較的涼しい日ですし、たまには外で昼食を摂ろうと思いまして
香澄,へーそうなんですね！私たちもいつもここでポピパのみんなと食べてるんですよ！
紗夜,ええ、知っていますよ。よく見かけますから
香澄,あ、そうだ！良かったら２人も一緒に食べませんか？
紗夜,……お誘いは嬉しいけれど、あなたたちのお邪魔にならないかしら
香澄,大丈夫ですよ！ね、有咲！……有咲？
有咲,…………
燐子,…………
香澄,どしたの、有咲？燐子先輩のことチラチラ見て
有咲,え？あ、ああいや……そんな大したことじゃないんだけどさ……
紗夜,白金さんも珍しいわね。市ヶ谷さんをジッと見つめるなんて
燐子,え、えっと、ちょっと気になってることがあって……
紗夜,気になっていること？
燐子,は、はい……。あの、市ヶ谷さん……前から気になってたんですけど……昔どこかで会ったこと、ありませんか……？
有咲,……白金先輩も同じこと考えてたんですね
香澄,え？有咲、燐子先輩と何かあったの？
有咲,いや、小さいころに白金先輩みたいな女の子と遊んだ……いや遊んだっていうか、色々と話した記憶があってな
紗夜,白金さんもですか？
燐子,はい……似たような記憶が……
有咲,ってことは、やっぱりアレって白金先輩だったのか……
燐子,……多分、そうだと……
