藤居朋,ほら、お土産
P,ほんとに買ってきたのか。ありがとな。あと引率も助かったよ
朋,どうしたの！？お礼なんて言っちゃって、あんたおかしくなったんじゃない？
P,お前なぁ……昨日のだよ。遊びとはいえ二人の引率頼んだろ？
朋,あんたでもそんなこと気にするんだ？
P,流石に担当アイドルにヘソ曲げられて営業に差し障ったら困るからな
朋,ねぇ、もしかしてだけど、照れ隠しで悪態ついてるわけ？
P,ばっ、おまっそんな、そんなことあるか！！
朋,あははっ。動揺しすぎよ
P,そりゃそんなこと言われたら
朋,これまでの悪態は全部照れ隠しだったってことで不問にしてあげるわ♪
P,ちょっと待て。照れ隠しじゃなくてだな
朋,あんたもちょっとは可愛げあった方がいいと思うのよ
P,は？
朋,裕美ちゃんのプロデューサーさんみたいにスキンシップが多いわけでもないし
P,あいつは女だろうが。たとえ悪意が無くとも、俺があいつと同じことしたら不味いだろ
朋,じゃあスキンシップとりたいとは思ってるのね？
P,白菊とか市原の頭はよく撫でてるだろ
朋,友紀ちゃんとか周子ちゃんとか私には？
P,お前らはもう頭を撫でるって年齢でもないだろ
朋,でも、頑張った時には頭を撫でてくれるとか、他の……そうよっ！ライブの後にハグしてくれたことなんて一度もないじゃないっ！
P,ハイタッチしてるじゃないか
朋,卯月ちゃんたちのプロデューサーさんは？スキンシップ多いけど、すごい紳士よ？
P,藤居、ちょっといいか？
朋,何よ？
P,お前もしかして、俺に頭撫でてハグしてほしいのか？
朋,……！
P,まじか……
朋,な、なによ！悪いってわけ？
P,悪いとかじゃなくてな
朋,あんたが私をアイドルにしてくれて……占いで転機になるって……それで、私ほんと諦めずに……いつもあんたが励ましてくれて……
P,お、おい
朋,もっと！もっと…頑張って、あんたにっ…褒められたいっ！…て、思っちゃ…だめな…の？……うぇ～ん！
P,泣くなって！おい！
朋,だって、私にとって……あんたっ…は運命の人なの…にっ……少しっ…くらい……優しくしてっ…くれたって……うわぁ～ん！
P,あー！悪かった！俺が悪かった！だから泣き止んでくれ。ほら、これでいいか？
朋,もっと…優しく撫でなさいよぉ
P,お前ほんとに19か？
朋,ぐすっ…なによぉ。楓さんだって、瑞樹さんだって泣くじゃない
P,あの人らの涙とお前のは別だろ
ほたる,お疲れ様で……す？
P,おい白菊！帰ろうとするな！事情があるんだよ！！
朋,ほたるちゃん。私プロデューサーに泣かされちゃった……
P,お前が勝手に泣いただけだろうが！
ほたる,あの！
P朋,え？
ほたる,いいと思います！
朋,ほら、スキンシップが足りてなかったのよ
P,白菊……お前もそうなのか？
ほたる,裕美ちゃんのプロデューサーさんみたいにキスされるのは嫌ですけど……
朋,あっは、嫌だって
P,今のはキスがって意味だろーが！
ほたる,でも、頑張った時に撫でてもらうのは好きです♪
P,ほら、好きだって！
朋,じゃあ、スキンシップ多目でお願いね♪
P,あれ？
ほたる,ふふっ、楽しみですね♪
