モバＰ,以降Ｐ表…おのれサイキックゥ！！
芳乃,そなたの７５連敗でしてー
Ｐ,おかしい…何故だ？毎週欠かさずハイスコアガールを見ているというのに
芳乃,さぁさぁーそれでは約束ですー
Ｐ,も、もう１勝負！もう１勝負！
芳乃,そう言ってかれこれ２０連敗しておりますがー
Ｐ,後生だから！これが正真正銘最後の１回だから！
芳乃,そなたは格闘ゲームの才能が死滅しておりますから無駄かとー
Ｐ,辛辣っ
芳乃,ささ、それでは約束通りですー。ばつげーむですー
Ｐ,ま、マジでやるん？軽い冗談じゃあないか…なぁ？
芳乃,ではー、そなたはわたくしにどのような事を課すつもりでしたのでー？
Ｐ,紅葉の秋イベントにミニスカ浴衣よしのん
芳乃,それではばつげーむと参りましょー
Ｐ,慈悲を！
芳乃,では約束通り明日１日ちひろ殿に優しくして差し上げてくださいー
Ｐ,後生だから！お願いなんでもしまむら！
芳乃,何故そこまで嫌がるのでー？
Ｐ,え…だってちひろだし
芳乃,そなたは意地悪すぎますー。可哀想ではありませんかー
Ｐ,ハハッ否定できねぇ
芳乃,ですからせめて１日ぐらいはからかったり意地悪したりもせずにー、優しく優しくしてあげるのですー
Ｐ,………。今から買い物行こうか？好きなだけ歌舞伎揚げ買ってやるからさ
芳乃,往生際がー
アッキー,そして翌日だ
Ｐ,おはようございます
ちひろ,おはようございます。あら？芳乃ちゃんは一緒じゃないんですか？
Ｐ,えっ？あー、ええ、まぁ今日はちょっと
ちひろ,珍しい。日頃オトモアイルーかの如くいつも一緒なのに。痴話喧嘩でもしました？
Ｐ,アンタは痴話喧嘩する相手もいな。うぐっ
ちひろ,どうしたんですか？
Ｐ,い、いえ…今日もちひろさんは女神のようだなぁーって
ちひろ,……熱でもあるんですか？
Ｐ,思った以上に難易度高ぇこの罰ゲーム…！
ちひろ,何だか今日は変ですねぇ。まぁ、割りと普段から変な人ですけど
Ｐ,銭ゲバがどの口で……ゲフンッ！さぁて仕事仕事
