竹崎由臣,４３
対戦カードは、読朝ギガンツ,巨神
実況,9回表2アウト1塁！バッターは4番の矢部です！
観客席,矢ー部！！
テロップ,竹崎由臣４３
実況,空振りさんしーん！！
由臣,ハァッ、ハァッ
スポーツ紙,由臣巨神、6連敗
東都ドーム、怒号が沸き起こる観客席。観客席の巨神ファンたちが,由臣辞めろ
全国紙,巨神3選手に野球賭博発覚
記者会見をする当時の巨神監督。監督,一連の責任を取り、監督を辞任することを決めました
オーナー,竹崎君、巨神軍の次の監督は君がやるべきだと思うんだがね……
竹崎,え、それじゃあ俺は……
オーナー,当然、君は今年いっぱいで選手を引退することになる
由臣,うう……。くそ……！！
喪黒,プロ野球の監督もいろいろ大変ですなぁ。竹崎さん。あなたに悩みがあるのなら、ぜひ私がお相手をしたいところです
由臣,いや……、別に話すことなんかありません
喪黒,そうですか。そうでしょう？
喪黒と由臣に周囲の視線が集まる。由臣,頼むから、そんな大きな声を出さないでくださいよ……！！
由臣,あなたのせいで、さっきは本当に恥ずかしい思いをしましたよ！！
喪黒,いやぁ、すみません。実は私、こういう者なのですよ
喪黒が差し出した名刺には、,ココロのスキマ…お埋めします喪黒福造
由臣,ココロのスキマ、お埋めします？
喪黒,私はセールスマンです。お客様の心にポッカリ空いたスキマをお埋めするのがお仕事です
由臣,心のスキマを埋めるセールスマン……か
喪黒,私は別に怪しい者じゃありませんよ
由臣,そうですか……。じゃあ、ちょっと話し相手くらいはしてやりますか
BAR,魔の巣
由臣,俺は小さいころから、父に無理やり野球の練習をさせられてきました
喪黒,そのおかげで、あなたは大学時代、天才選手として周りから注目されるまでに至りました
由臣,だが、俺は志望していた球団に入ることができませんでした
喪黒,確か、あなたのお父様は多額の借金をしていて……、それを肩代わりしたのが巨神だったはずですよね？
由臣,そうですよ。実のところ、俺はいやいや巨神に入団したんです
喪黒,その上、竹崎さんは選手時代、怪我に悩まされたようですなぁ
由臣,だから、俺はプロ野球選手として不本意な成績しか残せなかったんですよ
喪黒,ですが、あなたは選手としてまだやれたでしょうに
由臣,ええ。でも、監督就任のために引退を半ば強要させられる形になりました
喪黒,……なるほど
由臣,ああ、全く。自分は、不幸な星のもとに生まれたのかもしれませんねぇ
喪黒,できれば、もう一度人生をやり直したいでしょう？
由臣,もちろん。今の人生をリセットして、別の人生を送りたいと何度思ったことか
喪黒,別の人生、ですか……。もしかすると、別の世界の竹崎さんは思い通りの人生を送っているのかもしれませんなぁ
由臣,要するに、この世にはパラレルワールドがたくさんあるってことですか
喪黒,そうですよ。パラレルワールドのあなたは幸せな人生を送っている
由臣,なかなか面白いことを言いますねぇ、喪黒さん
喪黒,だったら、今のあなたがパラレルワールドの人生のビジョンを見れるようにしてもいいですよ？
由臣,ハハハ。そんなことができるわけないでしょう
喪黒,できるんですよ、それが。ある道具を使えば……ね
由臣,これは……？
喪黒,特殊なVRゴーグルですよ。名前はインフィニティビジョンです
由臣,へえ、面白そうだな……
喪黒,インフィニティビジョンを付ければ、あなたは別の人生をいくらでも見れますよ
由臣,で、値段は一体いくらなんです！？
喪黒,もちろん、ただです。これは私からあなたへのプレゼントです
由臣,じゃあ、喪黒さん！お言葉に甘えて、さっそく使用してみますよ！
志望していた球団,東京ビフィグルペガサス
由臣,大好きだったビフィグルに入団することができて、本当にうれしいです
実況,今日のヒーローは、7回に逆転ホームランを打った竹崎由臣選手です！！
40代の由臣。スポーツ紙の一面トップは,由臣、2000本安打達成
実況,東京ビフィグルペガサス、優勝！！
由臣,夢か……。そうか、俺は喪黒さんから例のVRゴーグルを貰ったんだった……
選手たち,ハアッ、ハアッ。おーーーっ！！
由臣,ハハ、何を言うんだ！俺はお前らにもう追い越されてるよ！！
選手たち,今日の監督、いつもと違ってはきはきしてるなぁ
BAR,魔の巣
由臣,いやあ、おかげでストレスの解消にこれ以上なく役立ってますよ！！
喪黒,よかったですねぇ、竹崎さん
由臣,そんなことより、あのインフィニティビジョンは本当にすごいです！！
喪黒,竹崎さんが喜んで下さるなら何より
由臣,だって、あの機械のおかげで俺は人生が楽しいんですよ！！
喪黒,仮想世界の人生を楽しむのも結構ですが、まずは今の人生をしっかり生きてくださいよ
由臣,分かってますよ、喪黒さん
喪黒,竹崎さんのお気持ちはよーく分かります。ですが、現実の人生をどう生きるかの方が肝心でしょう
由臣,いやぁ、これは一本取られましたなぁ……
喪黒,約束です。インフィニティビジョンにのめり込むのはほどほどにしてください。使い過ぎには気をつけるべきです
由臣,わ、分かりました。喪黒さん
実況,試合終了ーっ！！
ベンチにいる由臣と選手たちは意気消沈する。由臣,負けた……
実況,山根、打ちました！！これは大きい！！。打ちました！！打球は伸びていく！！
スポーツ紙,巨神、連敗
タブロイド紙,ふがいない巨神、無策の指揮官由臣監督の采配に疑問符
実況,試合、終了！！
スコアボードの試合結果には,山陽７―巨神１
選手,最近の監督、バスの中でVRゴーグルをよく付けてるなぁ
キャバ嬢,今日の試合、残念でしたねぇ。監督
由臣,ああ……
キャバ嬢が由臣の首筋に抱きつく。キャバ嬢,私が慰めてあ・げ・る
妻,こんな時間までどこに行ってたの！！
由臣,そ……それは
妻,また浮気したんじゃないでしょうね！？
由臣,そんなことするわけがない！！
娘,はっきり言って、お父さん信用できない
由臣,俺は昨年のあの過ちを……、本当に心から反省している！！もう許してくれ！！
妻,さぁねぇ……
娘,あたしはお父さんを許さないから！！
妻と娘,ハッピーバースデー、トゥーユー♪
娘,最近のお父さん、昼寝ばかりしているね
妻,前なら、今頃はスポーツジムに行っていたのに
由臣はどことなく息が上がっているように見える。由臣,ハアッ、ハアッ
由臣,俺、前より疲れやすくなったな……。運動不足のせいか……
選手A,監督が練習に参加するの、久しぶりですよね
由臣,あ、ああ……。そうだな
選手B,やっぱり監督がいないと、練習の雰囲気がシャキッとしないですよ
由臣,いやあ、すまんすまん
選手C,これからは練習をサボらないでくださいよ。監督
東都ドーム。読朝ギガンツ,巨神
由臣,今日の試合は、村瀬コーチに全て任せようと思う
村瀬,えっ！？
由臣,俺は控室でゆっくり休むよ
村瀬,でも、それじゃあ監督の立場が……
由臣,今までの試合も、大半はコーチに丸投げしてきたし……。それに俺は所詮、球団の飾り物だからな。さあ、またいい夢を見るぞ。俺は別の人生の世界へ行くんだ……、あ！！。も、喪黒さん……！こんなところで何を……！
喪黒,そのお言葉、そっくりそのままお返ししますよ
由臣,何だって……
喪黒,竹崎由臣さん。あなた約束を破りましたね
由臣,そんな……！！俺は……！！
喪黒,とぼけないでください。私は忠告したはずです
由臣,あああ……
喪黒,思い当たる節が多々あるようですね
由臣,すみません喪黒さん！！でもよく考えてくださいよ！！
喪黒,……そうですか。だったら竹崎さん……。お望み通り別の人生の世界へ行くのです！！。ドーーーーーーーーーーーン！！！
由臣,ギャアアアアアアアアア！！！
実況,9回の表、ワンナウト！！巨神は代打・亀田！！
村瀬,そろそろ監督を起こしてこいよ。試合後のインタビューがあるしな
選手,はい
選手は控室へ行き、ドアを開ける。選手,監督ー、起きてくださーい！！
選手,ウワアアアアアアアアアアアア！！！
喪黒,この世には無数のパラレルワールドが存在している……、そういう説がどこかで唱えられています
