渋谷凛,はい、ちひろさん。頼まれてた住宅情報誌
千川ちひろ,ありがとう、凛ちゃん。お釣りはとっといて♪
凛,十円……。ちひろさん引っ越しでもするの？
ちひろ,楓さんの引っ越しに触発されましてね～。同じ一人暮らしの私も心機一転、新しい住まいへと思って
凛,へ～……。それでプロデューサーは？見当たらないけど
ちひろ,やだこの子。私に全く興味がない
凛,冗談だよ。いい物件があるといいね。で、どこ？
ちひろ,そのおざなりっぷりが逆に気持ちいい……。プロデューサーさんならもうすぐ帰ってくると思うけど
モバＰ,ただいま帰りました～
三船美優,お疲れ様です
前川みく,ただいまにゃ～
輿水幸子,お疲れ様で～す。カワイイボクの帰還ですよっ
凛,噂をすれば……みんなおかえり。珍しい組み合わせだね
モバＰ,そうなんだよ。完全にブッキングミス。すいません美優さん。周り芸人ばかりで大変だったでしょ？
美優,いえ……楽しかったですよ？
モバＰ,美優さんは優しいから……嫌なことはちゃんと言ってくださいね？
美優,はい。ふふ……ありがとうございます
みく,……ちょっとＰチャン？みく達には何もないの？
幸子,よもや、ボク達を芸人扱いしてないですよね？
モバＰ,してないしてない。……バラエティー色の濃ゆい、愉快な女の子だとは思ってるけど
みく,……幸子チャン。こやつを今日知り合ったゲイ人に紹介するにゃ
幸子,そうですね。とっても気が合いそうです。あちらの方もＰさんに熱い視線を送ってた気がしますし
モバＰ,ごめんなさいごめんなさいごめんなさい
ちひろ,アホですね～
凛,でも……みく？ホントに紹介しちゃ駄目だよ？
みく,うおぅ……思わぬ圧が……
モバＰ,みく、口調口調
美優,幸子ちゃんも……ね？
幸子,ひぃ！
ちひろ,男だろうが女だろうが、プロデューサーさんに近づけたくないんですねぇ……
モバＰ,……滅多なこと言わんでください
ちひろ,はいはい。あ、そうだ。礼子さんのグラビア、最終チェックお願いします。礼子さんはこれでオッケーだそうです
モバＰ,そうですか。あの人ギリギリアウトでもオッケー出すから、気をつけないと……
凛,うわ、すごい大胆だね。……プロデューサー、いやらしい目で見てない？
モバＰ,礼子さんを守る為のチェックなのに、いやらしい目で見れる訳ないだろ
凛,……こんなにセクシーなのに？色気を感じることが出来ないの？
モバＰ,それとこれとは別なの。実際の礼子さんにはドキドキしっぱなし
ちひろ,お？意外ですね。不能かと思ってました
モバＰ,……言葉に気をつけて下さい。子供もいるんですよ？
ちひろ,さーせん
凛,でもプロデューサー、わた……ここに居る子がモーションかけても平然としてるじゃん。不能って思われても仕方ないよ
モバＰ,こらこらこらこらっ
みく,Ｐチャン、その程度の下ネタならみく達は平気にゃ！
幸子,……あまり積極的に言われても困りますけど
モバＰ,言わんて……
凛,それで？礼子さんにはドキドキして、わた……幸子には平然としてるってなんでなの？
幸子,ボク！？モーションかけた覚えはないんですが！？
モバＰ,例えかけられたとしても幸子じゃなぁ……
幸子,むっ！色気の塊のボクに向かってっ！……ふふん！しょうがないですねぇ。特別サービスです！チラっ
モバＰ,……うん。今後に期待。たれ目に色気を感じました
幸子,ちょっと！太ももっ！ボクは太ももを出しましたよ！？
モバＰ,幸子の歳で太ももを見せつけられても……。いいじゃん、たれ目で
幸子,よくありませんよ！パンツですか！？パンツを見せればいいんですか！？
モバＰ,色気もへったくれもねぇな、おい
幸子,ああっ！もう！！
みく,ドンマイ、幸子チャン
凛,……で、年下には色気を感じないってこと？
モバＰ,いや、そういう訳でもないんだけど……。みくなんか妙に色気を感じる時あるし
みく,にゃ！？
モバＰ,スタイルがいいってのもあるんだけど……う～ん、猫キャラだからか、こいつパーソナルスペースが狭いよな。それでかも
みく,にゃふふ……幸子チャン、ごめんにゃ？みく色気があるみたい
幸子,くぬぅ……
凛,でも、割とわた……幸子ってプロデューサーにくっついてるよ？
幸子,だからなんでボクがっ！？
モバＰ,そう言われると、やっぱスタイルなんかなぁ？
幸子,あ゛あ゛っ！！なんか腹立つぅ！！
みく,んふふ～。ＰチャンＰチャン、お膝に乗ってあげようか？みくからも特別サービスにゃ
モバＰ,ばかばか。そんなんされたら興奮して……
美優,Ｐさん？
モバＰ,じょ、冗談です。小粋なプロデューサージョークです
美優,そうですか……若い子に興奮しては……いけませんよ？
モバＰ,は、はい
ちひろ,ホント、アホですね～。凛ちゃん、所詮この人はおᘄぱいなんですよ、おᘄぱい
モバＰ,ひっでぇ言い方っ
凛,スタイルか……むぅ……
モバＰ,いや、それだけでもないよ？雰囲気でも……
凛,例えば？
モバＰ,美優さん
