前川みく,……あ、もしもしPチャン？うん。うんうん、わかってるにゃ。取材ね、アイドルらしいふるまいね。わかってるわかってる。うん。……はーい、じゃあね～
みく,……ふぅ。まったくPチャンは心配性で困るにゃあ。もうみくたちはそれなりにキャリアもあるんだから。ケーソツな行動なんてしないって。もう。おはようにゃあ～
難波笑美,ワレ今なんちゅうことゆーてくれたんやアァン！？
上田鈴帆,なんね文句あっとかァ！！
みく,胸ぐらつかみ合ってる！？！？アイドルらしくない！！
笑美,そないなこと言うんかい！そらァゆうたらアカンことちゃうんか！？いっくら鈴帆っちゆうてもやぞ！
鈴帆,しゃーしかっ！ほんとんとこばゆーただけばい！
笑美,なんやとォ！？
鈴帆,なんね！
みく,ちょっ、ちょいちょいちょいちょいちょい。なーにやってるにゃおおお落ち着くにゃ。け、ケンカはよくないよ？アイドルらしくないよ？
笑美,あァ！？なんやコラッ！
鈴帆,外野はすっこんでくれんね！？
みく,怖っ！！！関西弁と博多弁こっわ！！！！。と、とりあえず落ち着くにゃほんとに。このままだと拳が出そうだよ？それはダメでしょ？
笑美,ﾁｯ
みく,舌打ちもダメ
鈴帆,ﾊﾝｯ
みく,鼻で笑わないで？。ほら手、離して……うわぁ襟ぐりしわくちゃ。どんだけ本気で握ってたの
笑美,そら本気にもなるやろが！！
みく,にゃっ！？
鈴帆,当たり前んこったい！！
みく,にゃにゃっ！？
笑美,なぁ鈴帆っち！！
鈴帆,おおよ笑美しゃん！！
みく,……えっ、なにケンカしてるんじゃないの？
笑美,しとるわァ！見たらわかるやろ！
みく,いやだって、息ぴったりなんだもん
鈴帆,見る目んなしゃがジンジョーじゃなかね……！
みく,ん？。……なんて？。と、とりあえず。ふたりともある程度は落ち着いたよね？なにがあったの。あんなに激しいケンカそうそうなんないでしょ？
笑美,あぁ、そらァな……
鈴帆,待ちィ。笑美しゃん、ウチから言うばい
笑美,あ？
鈴帆,お？
みく,落ち着く！！！
笑美,……おう。ほな任したらァ
みく,ヤクザか。もう……どっちでもいいのにそんなことでイチイチ揉めないでほしいにゃ
鈴帆,よしゃ。みくしゃん、実はな？
みく,うん
鈴帆,ウチゃ、アイドルとしてこっからもやっていくっちこつで、うったちのやり方ば心配んなったとよ。今ぁモロにバラドルで、まぁありがたかことにそらぁお仕事も多かね？。そりゃ嬉しかっちゃばってん、サマカニ！！んときみたァならしか仕事も増やしていくべきなんやなかかともうちゃ思うんよ。ばってん、笑美しゃんなあくまで今ん路線ば突き進むべきだって言うけん。ちょっと言い合いになったと
