海軍大佐――――。大日本帝国海軍・軍艦,艇
特徴的な3本煙突の先は、ふっくらと丸みを帯び、通称,そろばん玉
帝国海軍における二等巡洋艦の命名慣例である河川の名称が襲用され、大正天皇に奏聞し治定された、この軍艦の名は,球磨
この海軍大佐は、大日本帝国海軍の軍人として、,軍艦・球磨
着任初日、大佐は艦長室の机の上に乱雑ながらも秩序的に並べた航泊日誌と方向航海計器,コンパス
鳳梨酥,パイナップルケーキ
大佐の言葉にその存在は、,ぷんすか
大佐のその言葉と同時に、この,軍艦・球磨
西洋下穿,ズボン
――――その進む先が、二度目の,大戦
鳶色の長い髪と瞳、バネの様なアホ毛をぴょこぴょこと揺らし、そして語尾に,クマ
白衣のセーラー服を纏った,艦娘・球磨
球磨は,珍しい事もあるな
やがて先程までありありと目に映っていたであろう叙景から鮮明さが失われ、,軍艦・球磨
提督は一つ大きな溜息を吐き捨て、,夢は夢である
――――,深海棲艦
――――それから暫くの後、今から大体4年前に、,艦娘
聞けば,妖精さん
僕が最も信頼を置いている地方総監部,鎮守府
その原因の究明、ひいては海上防衛及び制海権奪回の為、現在の国防海軍の一部門に位置し、,艦娘
浅紫色のショートヘヤーを揺らせて、語尾に,にゃ
球磨型2番艦,艦娘・多摩
球磨型3番艦,艦娘・北上
球磨型4番艦,艦娘・大井
球磨型5番艦,艦娘・木曾
球磨型1番艦,艦娘・球磨
彼女たちは、,艤装
その球磨の言葉が,信じられない
軽巡洋艦・球磨、こちら作戦司令室。並びに部隊各員へ。友軍からの救援要請を捕捉。針路2-2-5、距離20海里,マイル
その球磨の言葉を合図、艦娘・北上と艦娘・大井は、脚に装着した艤装の出力を,最大戦速
他の駆逐艦娘たちも,自分達がもう少しで死ぬところだった
軽巡洋艦・球磨。こちら作戦司令室。了解した、離脱後、地点A,ポイントアルファ
大井の電探,レーダー
その大井が告げた悪報に、北上、多摩、木曾が,好ましくない
そして駆逐艦娘たちは、真っ青な表情を浮かべ,死にたくない
艦種が,戦艦
でも言いたくはないが、この人たちのお姉さんの艦種は、,軽巡洋艦
左脚、右脚、左脚を前に出し、其々の脚を軸にしながら、身体を斜めに倒す重心移動操舵,セルフステアリング
球磨は、脚艤装の出力を上げ、その際に発生する反動,トルク
球磨は眼前まで迫った敵戦艦の砲弾を見据えた儘、脚艤装の艦底,ソール
球磨は言ってしまえば、見た目通り、身体も精神も、年端のいかない,少女
今は深海棲艦と言う異形の怪物と同等、或いはそれ以上に渡り合ってはいるが、それは,艤装
しかし進水してからその身が沈むその瞬間までの約25年間、海を航海し続けた,軍艦・球磨
その海上での風と波の流れの読み方は、それだけの時間、記憶として、或いは感覚として、その,魂
そして球磨は、その,軍艦の魂
そうした海世界全体の風や波の気配を繊細に感じ取りながら戦う、軍艦艇と人間の境界に生きる、,艦娘
海霧の中、しかも射程外距離,アウトレンジ
この世界に居る深海棲艦の中で、最も最凶最悪な敵、,姫級
熟練部隊でも退けるのがやっとの敵であり、姫級との遭遇時における海軍全体での第一命令は、,即刻撤退
そうして球磨は、姫との距離を遠距離に保ちながら、姫の周りをゆっくりと航行し、,さて、どう倒そうか
そう考えた球磨は、周回運動を止め、之字運動を行いながら、姫に対して,接近
しかし何故、,接近
その事を理解しておきながら、あえて球磨は、姫へと,接近
――――何故なら、この時の球磨は、,何が何でもこの姫を倒さなければならない
だが、副砲や当たらない魚雷は、あくまで敵に対する牽制や自身の次の攻撃へと繋げる為の布石,ジャブ
言うまでもなく目的は、自身の攻撃を絶対に外さないであろう超近距離からの、主砲砲撃による一撃必殺攻撃,ストレート
球磨は之字運動を止め、脚艤装の出力を,最大戦速
――――この姫との距離は、航空戦でも砲雷撃戦でも無い、,徒手格闘
以前見た夢では,大佐
そうして艦首付近には、大佐以外誰も居ないのにも関わらず、我儘娘が父親に,寂しかった
――その声色は、僕が知っている,艦娘・球磨
以前、,大佐
この階級から,閣下
少将は今、艦隊泊地に停泊する,軍艦・球磨
中央甲板奥の魚雷積み込み用吊り柱,ダビット
近代化改装によって後甲板に設置された航空機射出装置,カタパルト
少女の満面の笑みの返答に、,気恥ずかしい
ふいと少将は、とある文豪の随筆にあった檣,マスト
その話を聞いていた軍艦・球磨は、,いけ好かない
軍艦・球磨の,提督
軍艦・球磨は、早速,提督
少将の,天命
軍艦・球磨の的を射た言葉に少将は、,その通りだ
――――自分自身の清らかな想い、己が,生きる意味
・・‐・・・・・,ワレ奇襲ニ成功セリ。突撃、雷撃隊
攻撃隊隊長・淵田美津雄中佐の搭乗する九七式艦上攻撃機から、第一航空艦隊司令部の旗艦である,空母・赤城
そうして,真珠湾奇襲攻撃作戦
人間が狂乱して,虎
そう叫んでいたのは、以前、命の危機を救った駆逐艦娘小隊が所属する鎮守府司令官から、その感謝の印として贈られた鳳梨酥,パイナップルケーキ
そして大きな安堵の溜息を吐き捨て、湯呑を片手で持ち、同じく感謝の印として贈られた烏龍茶を渋い顔で啜る提督は、執務室の一角に備え付けられた応接机に球磨と対面して座り、球磨曰く,ゆとりの行動
それに対して球磨は、まるで,この場に居るのは間違いなのではないか
しかし、それを差し置いた,何か
以前見た,軍艦・球磨
提督は気になり、,艦娘・球磨
――――激動と混沌の,大正
――――そして動乱と混迷の,昭和
――――,満州事変。日中戦争
――――そして,太平洋戦争
それは提督が知っていた紛れの無い、光と闇が交差する,大正・昭和史
――まだ、件の,提督
艦娘・球磨の,これ以上は聞かないで欲しい
それが,艦娘・球磨
提督は、自身が今まさに目の前に居る,艦娘・球磨
そう、提督は、球磨がこの先語るであろう、この娘の,最期
その言葉を発した球磨本人のその目が、,最期
話を聞いた以上、,最期
夢で見た,少将
何故ならこの艦長、,杉野修一海軍大佐
――――艦長として、,軍艦・球磨
その為、姫の行動は、木曾からしてみれば,お前など眼中にない
だが、木曾に言わせてみれば,そんな事は知った事ではない
――――,艦娘・球磨
