ジャーニースター,並木芽衣子・間中美里・伊集院惠
芽衣子,たっだいま～
美里,おかえりなさぁい
芽衣子,ん～いいにおい～♪
美里,ギョウザが作りたくなっちゃってぇ
芽衣子,いいねいいね！ニンニクマシマシで！
美里,そこはやっぱりアイドルなんで気にしないとぉ
芽衣子,美里ちゃん
美里,はい？
芽衣子,ギョウザはね、ニオイがキツイほどおいしいんだよ！
美里,うん、言いたいことはわかるけどぉ
惠,ただいま
美里,おかえりなさぁい
芽衣子,惠ちゃん、おっかえりぃ
惠,はい、ただいま。帰っていたのね
芽衣子,ついさっきね～
惠,おかえりなさい
芽衣子,ただいま！ところで惠ちゃん、それはそれは？
惠,豆板醤。美里、これでいいのよね？
美里,うん、ばっちりおっけぇい。じゃあタレもぱぱっと作っちゃうねぇ
惠,手伝うわ。なにかしていないと落ち着かないから
美里,じゃあお願いしちゃおっかなぁ。あ、芽衣子さん、カラいの大丈夫だっけぇ？
芽衣子,おっけーおっけーばっちしおっけー。地元じゃ辛みの芽衣子と呼ばれててね……
惠,作り方、教えてくれる？
美里,まずネギをみじん切りにしてぇ
芽衣子,最近ふたりともひどいよー！。旅行いきたい
モバＰ,※以下表記Ｐ
惠,……
美里,あー……
芽衣子,旅行いきたくない？ねぇ、美里ちゃん？
美里,ま、まぁ行きたい、かなぁ？
Ｐ,確認事項はこれくらいか
惠,割と自由な感じなのね
Ｐ,こういうバラエティはそんなもんだよ。一通りの流れさえ頭に入っていれば
芽衣子,遠くに行きたい
美里,遠く……
芽衣子,温泉とかいいよねー！旅館に泊まって、おいしいごはんを食べてさー！
Ｐ,じゃあ仕事に戻るから、あとは
芽衣子,2泊はさすがに難しいから、1泊2日で行けないかなー
美里,えぇっと、いつか行きたいなぁ。ね、惠さん
惠,そうね、いつか
Ｐ,じゃああとはよろしく
芽衣子,いつかっていつ！
惠,芽衣子、机を叩かない
芽衣子,この話、前にもしたじゃん！それもけっこー前だよ～！
美里,まぁ、今お仕事忙しいし
惠,ありがたいことね
芽衣子,まとまったお休みが欲しいの！
Ｐ,前に隣町へ電車に乗って行くのも旅だよね！って言っていただろ
芽衣子,行けるとこだいたい行ったもん
Ｐ,もっと長い目で見て動きなさいよ
芽衣子,刺激が欲しいんだってばー！
Ｐ,なら昼は麻婆豆腐かカレーだな
芽衣子,もっと全身で刺激を感じたいの！
美里,ん～……芽衣子さんの言いたいこともわかるなぁ
惠,ここ最近は特に忙しいから
美里,オフもあるんだけどねぇ
Ｐ,刺激なぁ
惠,真面目ね
Ｐ,大事なアイドルの貴重な意見ですから
美里,芽衣子さん、うちに泊まりに来る？
芽衣子,美里ちゃんちもいっぱいいったからなぁ
惠,それぞれの部屋から3人で現場に行くのも珍しくなかったものね
Ｐ,仲良いな
芽衣子,戸棚の調味料からシャンプーリンスの詰め替えが置いてある場所も把握済み！
Ｐ,あー、なら
惠,なにかあるの？
Ｐ,まとまったオフは無理だから、そこは理解して欲しい
美里,まぁ、そこはねぇ
Ｐ,場所の提供は出来るかもしれない
美里,場所？
芽衣子,宿泊場所？旅館？ホテル？
Ｐ,1回旅から離れなさい。会社が管理している撮影用の家がな、もしかしたら借りられるかもしれない
惠,つまり合宿、ってことね
美里,なるほどぉ
Ｐ,ここなら仕事に支障はでないし、知らない場所で寝食を共にして刺激を得られる
惠,確かに、自宅よりはそう感じるだろうけど
美里,場所は？山のふもとにあるとかぁ？
Ｐ,徒歩5分圏内にコンビニがある住宅街
美里,なるほどぉ
惠,本当に場所を替えただけね
Ｐ,今はこれが精一杯
美里,えっと、あれ、あれってなんだっけぇ
惠,カリオストロの城
美里,そぉ、それ！ルパン！
惠,モノマネのクオリティはともかく、芽衣子がそれで納得するか
芽衣子,却下です！
惠,でしょうね
芽衣子,これがロッジとかなら話は変わってたけど、いつものお泊まり会と変わらないじゃーん！
美里,でも絶対楽しいよぉ
惠,そこで一番楽しむのも芽衣子よね
Ｐ,確かに
芽衣子,えへ、それほどでもあるかなぁ
Ｐ,今、褒めたか？
惠,褒めていないわ
美里,芽衣子さん、そういうとこあるよねぇ
芽衣子,つらい！
Ｐ,で、どうする
美里,せっかくだからあまえちゃおっかなぁ
惠,美里がその気なら、私は構わないけれど
Ｐ,2対1だな
芽衣子,みんな低いよ、ハードルが低すぎるよ！
惠,今、実現できないものを求めてもただ時間が過ぎるだけじゃない
美里,キッチン広かったらみんなでごはん作りたいなぁ～
惠,美里は行く気満々よ
芽衣子,むむむむ……。ヒマ！
惠,テレビでも見ていれば？
芽衣子,そういうのじゃなくてさ、私も手伝えるよーってアピールだよ？
美里,じゃあ芽衣子さんは食べる係かなぁ
芽衣子,任せて！そういうの大得意、じゃなくてさー！
惠,おとなしくしていなさい
芽衣子,ひどっ！
美里,もうちょっとで焼けるよぉ
芽衣子,ごはんよそう？盛っちゃう？
惠,落ち着きなさい
美里,じゃあ芽衣子さんは冷蔵庫からサラダ出してもらおっかなぁ
芽衣子,合点承知の助！
惠,無駄なテンションの高さはなんなの
美里,惠さん、スープ入れてもらえる？
惠,えぇ、それとごはんはやっておくわ
美里,よっろしくぅ
芽衣子,美里ちゃん美里ちゃん！ドレッシングはごまだれ青じそオリーブオイルお塩どれにする？
美里,惠さぁん、どうするぅ？
惠,私はなんでもいいから、芽衣子の好みでいいわ
美里,だってぇ
芽衣子,それじゃあ、今日の気分はこれかな！
美里,あ、それ知ってる。肉の人
惠,トルコの料理人よね、確か
芽衣子,よく知らないけど、これだけは知ってる
惠,芽衣子、かけすぎ
芽衣子,つい楽しくて
惠,美里、タレはこれで完成？
美里,あとは食べる直前まで冷蔵庫に入れておけばおっけ～
惠,冷えるかしら。もうできるでしょう？
芽衣子,チルド室に入れておけばいいんじゃない？
惠,あら、芽衣子のくせに冴えているじゃない
芽衣子,くせは余計！
美里,メインディッシュは、もうちょっとかなぁ
芽衣子,おなかすいたよー！
惠,ほら、お子様はテレビでも見ていなさい
芽衣子,一番年上なんだけど！
惠,じゃあ机の上を拭いて
芽衣子,はい！
惠,コップとお箸用意して
芽衣子,はい！
惠,飲み物はお茶でいいかしら？
芽衣子,はい！
惠,テレビつけて
芽衣子,はい！
惠,こたつでくつろいでいなさい
芽衣子,はぁい
美里,扱いが上手
惠,扱いやすくて不安になる
美里,ギョウザは最初から分けときます？
惠,大皿1枚にでいいんじゃない？
美里,洗い物も減りますからねぇ。じゃあ全部お皿に乗っけるんでぇ
惠,中華スープ、用意しておくわ
美里,アツアツなんで気をつけてくださいよぉ
芽衣子,おなかすいたー
美里,ごはん前にみかん食べちゃダメですよぉ
芽衣子,そこまで子供じゃないよっ
惠,それにしても
美里,うん？
惠,なんでも揃ってるわね、ここ
美里,ですねぇ。撮影用って言ってたけど、それにしてもものがあってびっくり
芽衣子,みかんは私が持ってきたんだけどね
惠,芽衣子ならこたつとみかんくらいは平気で持ってくるでしょう？
芽衣子,こたつ持ったまま電車には乗れないかなぁ
美里,あ、そういう歌ありましたよねぇ
惠,どんな歌なのそれ……
芽衣子,それこたつじゃなくてイスね！。わーわー言ってたらあっという間にごはんができました
惠,突然なによ
芽衣子,まーまー、気にせず気にせず。あっ、美里ちゃん！ごはんは惠ちゃんの1.5倍で！
惠,太るわよ
芽衣子,その分動くから大丈夫大丈夫。明日ね！
美里,ギョウザはごはん進んじゃうからしょうがないしょうがない～♪
惠,あなたたち……
芽衣子,惠ちゃんも一緒に罪かぶろうよ～
惠,そもそもお米をそんなに食べないから
芽衣子,玄米ごはんだよ！？
惠,だからなんなの……
美里,玄米ごはんは白米より罪が軽いんですよぉ
芽衣子,1人より2人、2人より3人！みんなでやれば怖くない！
惠,そう
芽衣子,塩対応！
