サーニャ,ズリネタってなんだ？
タプリス,ﾊｧﾊｧ……
ガヴ,んあ？…な、なに言ってんのラフィ…
ラフィ,いやけど、クラスの男子の方から感じるはしたない欲望の気はガヴちゃんに向けられてますけど
ガヴ,や、やめてよラフィ…気持ち悪いこというの…そんなわけないじゃん
ラフィ,ガヴちゃんこないだ、寝ぼけて家のジャージ姿のまま神足通で学校きたらしいじゃないですか
ガヴ,ああ、大変だったわあれは
ラフィ,どうも、あれでガヴちゃんのジャージ下のエッロいふとももとかパンツみた男子が欲情したみたいですね
ガヴ,はあ！？な、なんだよそれ！！。い、いやいやまさか…、だ、だってわたしがそんな…
ラフィ,ほらガヴちゃん、千里眼でガヴちゃんに視線を送ってる回りの男子の心を読んでくださいよほら…
男子,うわあ…天真さんエッロいわあ…ほんとカッチカチやわ…孕ましてえ…。ほんとエロかわいいわ…ガヴちゃん…あの白いふとももに挟んでしごいてもらいたいわあ…。天真やべえ天真やべえわ…もう賢者タイムなくなったわ、またトイレで天真ずりネタにして抜いてこようかな…。天真さん…、いやガヴリール…あの綺麗な金髪にホワイトぶっかけてえよ…はあ…はあ…。テンマさんテンマさんテンマさんテンマさんテンマさんっ！！
ガヴ,ひえっ。な、なんだよそれ、き、きっも！あんなジャージで学校に1回来ただけでこいつら…
ラフィ,いえガヴちゃん、やっぱ前々から目をつけられてたんですよきっと…ガヴちゃん可愛いですからねうふふ
ガヴ,うふふじゃねえ！…っていうか、ど、どうしようラフィエル…、わ、わたし…そんなの…！
ラフィ,ああ、駄目ですよガヴちゃんそんな顔赤くしてもじもじしたら…ほら
男子,うわあ…天真さんなんか知らんけど顔赤くしてエッロ…あのまじ興奮してきたわ…今日もあのパンツはいてんのかな…。顔あからめて恥ずかしがってるガヴちゃんもいいわ…ムラムラしてきた…ホワイトでそう…
ガヴ,ひいっ！。ど、どうしようラフィ！こいつらきもい！一体どうしたら…。ほかのオカズ…、そ、そうか！。おいサターニャ
サターニャ,はあ、なによガヴリール。今、アンタを倒す作戦を考えてて忙し…ってきゃああ！。な、なによアンタなに急に制服脱がしてくんのよ！し、下着が見えちゃうじゃない！
ガヴ,え、ああ、ごめんごめん手がすべって
サターニャ,え！？いやその割にめちゃくちゃ力はいってたんだけどっ
ガヴ,いやほんとごめんな、サターニャ…！ごめんなあ！
サターニャ,ぎゃああ！な、なんでスカートめくってくんのよ！あ、あんたおかしくなったんじゃないの！？
ガヴ,それそれえ！
サターニャ,きゃ、きゃああ！ちょ、ぶ、ブラがブラガぬげちゃ…
男子たち,………
男子,胡桃沢さん…、ほんといいおっぱいしてるわあ…ほんともみしだきてえ…。ほんとバカだけど体だけはいいんだよな体だけは…、くっそ…孕ませてえ…。やべえよ…サタニキアやべえよ…、あの髪の輪っかにイチモツとおしてスコスコしてえ…
サターニャ,なんか今日はやけに人に見られてる気がするけど…
ガヴ,ふう…なんとか矛先がサターニャに向かって助かった
ラフィ,よかったですねえガヴちゃん…いやけどサターニャさんが可愛そうな気がしますが…
ガヴ,大丈夫だよ、アイツ気づいてないし。気づいてないならオカズにされても減るもんじゃないしな。ああ、ほんと助かったわ…私はラフィみたいに、男子からのキモチ悪い視線に耐性ないからな
ラフィ,そうですねえガヴちゃんは昔から……、ん？
ガヴ,え？
ラフィ,…、え？ガヴちゃん…今、なんて
ガヴ,え？だってラフィエルお前…もしかして気づいてなかった？
男子,はあはあ…白羽さん…白羽さん！やべえ…ホントでけえ…むしゃぶりつきたい…もう一緒のクラスで抜きすぎて死にそうだわまじで…。くっそなんだよあの膨らみ…挟んでほしい…挟めよもう…！！うっ！！。あのSっ気溢れる体を突きまくって陥落させてえ…くそ！。あのSッ気溢れる体で踏まれまくりてえ…ああ、白羽様！白羽様！！。ああ！ラフィエル！ラフィエル！ラフィ！！
ラフィ,。………
ガヴ,まあ、それで平静でいられるんだからさすがは……ん？あれ…、ラフィ…どうしたんだ、固まって…おい、ラフィ、おーい
