有名番組Ｐ,最近犬が可愛すぎてヤヴァイ
武内Ｐ,はぁ……
番組Ｐ,君、犬飼ってたことはある？
武内Ｐ,別居してますが、いまも実家の方に
番組Ｐ,ほほう。じゃあ犬トークはそれなりに出来ると見た。今日は話題の動物番組のＰ達と飲みに行くんだが良ければ来るかい？
武内Ｐ,！！ありがとうございます。是非ともお付き合いさせていただきます
動物Ｐ,さっすが～！３４６のプロデューサーは話が分かる！！
番組Ｐ,伊達にアイドルとペットも一緒にプロデュースしてねえな！！
武内Ｐ,彼女たちとは部署が違いますが、私のＣＰから渋谷さんをそのようにプロデュースしてみようかと考えていまして
動物Ｐ,ああ渋谷さん犬飼ってたっけ
番組Ｐ,犬はいいぞ。最高だ
動物Ｐ,あんたも最近犬に目覚めたんだっけ
番組Ｐ,元は猫派だったがな。最近故あって犬を３頭飼いだしてな、それが可愛くて仕方ない！ちょっと語るぞ。家に帰った時にだな、まず一頭目が飛びついてくるの。もう元気いっぱい飛び跳ねてじゃれてくるの。ひたすら撫でまわしたい。次いで二頭目がやって来る。そいつは飛びついては来ないが足元にピタっと寄り添ってくるの。んで上目遣いで見てくるの。優しく撫でまわしたい。そして三頭目。こいつは俺が帰ってきても部屋の座布団で座ってやがる。だが俺が部屋に入ったとたん尻尾ぶんぶん振りながら、期待の眼差しを向けてくる。でも自ら寄ってはこない。もうメチャクチャに撫でまわしたい。ほらうちのワンちゃん。かわええんじゃ～
動物Ｐ,あ＾ぁ～。じゃあうちのワンちゃんの話もしてやんよ！！
武内Ｐ,その次はウチの子ですね。ふぅ……失礼します
未央,おっかえりー！プロデューサー！！
卯月,お疲れ様ですプロデューサーさん！
凛,未央、また抱き着いて……プロデューサー、お疲れ様
未央,！？
卯月,わぁ……♪
凛,！！！？！？
武内Ｐ,あっ……。す、すみません本田さん！このようなセクハラ染みたこと……！！。本当に申し訳ございません！！。アイドルである貴女にセクハラなどプロデューサーとして……
未央,プ、プロデューサー！？べ、別に怒ったりしてないからいったん落ち着いて！！
武内Ｐ,し、しかし……
未央,ビックリしただけだから！セクハラだとか言うつもりは無いから！！
武内Ｐ,は、はい……
未央,むしろ今まで散々私から抱き着いてたしね。急に撫でられてビックリしただけだよ……。……むしろうれしいというかなんというか……
武内Ｐ,？今なんと……
卯月,プロデューサーさん、ＣＰでプロデューサーさんに撫でられてセクハラだなんて騒ぐ人はいませんよ♪
凛,そ、そうだよプロデューサー
武内Ｐ,島村さん渋谷さん。そうであれば、ありがたい、のでしょうが……。いえ……、たとえそうでもキチンとけじめはつけるべきです。本田さん、私に出来ることであればどのようなお詫びでも致します。本当に申し訳ございません
未央,いやだからそんな……。…………。ん？。今。なんでもするって。言ったよね？
武内Ｐ,はい。どのようなお詫びでも……
未央,…………。じゃあさ……
武内Ｐ,！？
凛,！？
未央,もう一度……撫でてくれる……？
武内Ｐ,本田さん！？何をおっしゃって……
未央,何でもいう事聞いてくれるんだよね？
武内Ｐ,いえ確かにそう言いましたが……
未央,それとも……私の事撫でるの嫌？
武内Ｐ,嫌とかではなくアイドルとプロデューサーという立場を考えてですね
未央,つまり嫌じゃないってこと？だったらいいでしょ？
武内Ｐ,し、しかし……
未央,ねぇ……ダメ？
武内Ｐ,……分かり、ました。では、少しだけ
凛,
未央,うん、プロデューサー
武内Ｐ,それでは……失礼します。……
未央,えへ……えへへ……
武内Ｐ,ほ、本田さん……？
未央,今までね、私からプロデューサーにスキンシップたくさんしてたじゃん？。だけどプロデューサーからそういうの返してくれた事無かったから……嬉しくて
武内Ｐ,……
未央,……ほんとはこういうの、嫌だったりするの？
武内Ｐ,……嫌、とかではなく、その、むしろ私から触れる事は、嫌がられるものでは無いでしょうか？
未央,ううん、プロデューサーに撫でたり褒めてもらったりしたら私は嬉しいよ
武内Ｐ,そ、そうですか……
未央,うん……
武内Ｐ,……
未央,……
武内Ｐ,……
未央,……
武内Ｐ,……
未央,……
武内Ｐ,……
卯月,……。…………よし。プ、プロデューサーさん！
武内Ｐ,し、島村さん何でしょうか？
未央,あっ
卯月,次！私も撫でて下さい！！
凛,
武内Ｐ,島村さん！？何を言って……
