最初の奴【ミリマス】琴葉,プロデューサーが構ってくれない
エミリースチュアート,以下、エミリー
ミリＰ,以下、Ｐ
エミリー,い、いえ……本日はどのような予定だったかと思いまして
Ｐ,ああ……今日は伊織とレッスンだな。3階の部屋を使ってくれ
エミリー,は、はい！頑張ってきます！
Ｐ,おう、気を付けてな
水瀬伊織,以下、伊織
エミリー,伊織さま！はい、今行きますね！。一、二……あいたっ！
伊織,あっ、エミリー！……大丈夫？
エミリー,す、すみませんでした伊織さま……
伊織,良いのよ。ケガはしてないわね？
エミリー,はい、大丈夫です！
伊織,……ねぇ、エミリー？最近、アンタ何か変じゃない？
エミリー,そ、そう見えますか……？
伊織,見えるわよ。いったいどうしたの？訳があるなら話して頂戴
エミリー,ええと、実は……最近、仕掛け人さまとお話しできていないので
伊織,プロデューサーと？まったく、アイドルの方針すら話し合わないなんて何やってるのかしら……
エミリー,あ、あの伊織さま！？
伊織,文句言ってきてやるわ。いくら最近忙しいからってかまけ過ぎよ！
エミリー,ち、違います！ちゃんと、仕掛け人さまとは話し合ってるんです！
伊織,あら、そうなの。じゃあ何が問題なワケ？
エミリー,そ、その……最近の仕掛け人さま、色々な子とお話したり、遊んだりしてますよね？
伊織,ああ……最近はちょっとは改心したみたいね。まったく、私たちだけ受け持ってた時はやれてたんだから最初からやれってのよ
エミリー,そ、それで……
伊織,？エミリー、それが不満なの？
エミリー,……最近、仕掛け人さまと皆様が仲良くしているのを見て、その……
伊織,？……あー、そういう事ね。エミリー、アンタも構って欲しいんでしょ？プロデューサーに
エミリー,そ、そんな事は！
伊織,もー、隠さなくたっていいのよ？
エミリー,……仕掛け人さまと、もっと普通にお話がしたいです。いつもはお仕事の話ばかりですから
伊織,そこまで言うなら言いに行きましょ！ほら、伊織ちゃんも手を貸してあげるわ！
エミリー,そ、そんな伊織さま！は、はしたないですし……
伊織,まったく……エミリー？アンタ、大和撫子ってのを勘違いしてるわよ？
エミリー,へっ、勘違い……ですか？
伊織,そうよ！大和撫子ってのはね、そういう時にも甘えちゃいけないって決まりはないの！。人間なら甘えちゃいなさい！バーンと甘えたって、プロデューサーなら何とかなるわ！
エミリー,そ、そうですか？
伊織,モッチロン！アイツだって、カワイイ女の子から話しかけられて喜ばないわけないんだから！。さ、行くわよエミリー。アイツがどういうアプローチなら甘えさせてくれるか、研究しに行くわよ！
エミリー,はい、伊織さま！やっぱり、伊織さまは頼りになります！
伊織,もーっと褒めてくれていいのよ？にひひっ♪
