八幡:雪乃:結衣,部活動紹介？
静,その通り。全部活動は強制参加の学校行事だ。君たちも三年になったのだし、いずれ部活は辞めることになる。奉仕部を残すため、新1年生を新入部員として勧誘するのにもいいチャンスじゃないかね？
八幡,別に俺たちが辞めた後の奉仕部の事はどうでもいいんですが……
雪乃,比企谷くんと同じ考えという事ではありませんが、私も奉仕部を辞めた後の事には興味はありません
八幡,それ同じ考えだから。なんで否定から入っちゃうんだよ。お前は俺か
結衣,否定から入る自覚はあるんだ！？でもいいじゃんそーゆーの。卒業してからでも遊びに来れる場所みたいな
雪乃,勝手に私も含まないでくれないかしら？
八幡,いや無理だろ？お前が仲良くとか想像つかねーよ
雪乃,仲良くしなくても手懐ければいいじゃない
八幡,お前が言うと冗談に聞こえないんだよ
雪乃,あら、冗談ではないわよ
結衣,冗談じゃないんだ！？
雪乃,冗談よ
八幡,ややこしい……
静,こほん、もういいかね？それで部活動紹介の日程なのだが
八幡,いやいや、まだするとは言ってないんですけど
静,強制参加と言ったではないか。それに奉仕部が無くなると、私も他の部の顧問をしなくてはならないからな。それは少し面倒だ
八幡,他の部と比べて、奉仕部の方が顧問として楽だから、部員を入れろってことか
雪乃,日程はいつ頃になるのでしょうか？
静,来週の火曜日だ。場所は体育館のステージで行う
八幡,うえ、今日が木曜日だからそんなに時間ないじゃないっすか
静,だからこそ早く行動に移すべきだろう？それでは頼んだぞ
八幡,…………どーするよ？
雪乃,どうするも何もやるしかないわね
結衣,でも奉仕部の紹介ってどんな感じにしたらいいのかな？
雪乃,そうね……。部活動紹介なのだし、いつもの活動内容をそのまま伝えたらいいのではないかしら
八幡,それだと紅茶飲んで菓子食って、本読んだり携帯いじったりするだけになるな。それでいいんじゃねーの？
結衣,全然よくないよ！？やる気なさすぎ！そんなの見ても、楽しそうとか伝わらないじゃん
八幡,実際そんな楽しいことしてる部でもないだろ
結衣,…………あたしは、結構楽しい……けどな。この部活
八幡,…………
結衣,…………
雪乃,比企谷くんが楽しいと感じないのも無理はないわね。そういった感情を持ち合わせていないのだから
八幡,ちょっと？俺だって楽しいとかそういうの分かるよ。一人で本読んでる時とか、一人でゲームしてる時とか、一人で戸塚見てる時とか
結衣,それ全部一人じゃんか！しかも最後のキモいし。ヒッキーに見られてるとか彩ちゃんかわいそう！
雪乃,ホモ谷くんのことは気にしないで、どういったことをするか簡単にまとめてみましょうか
八幡,俺はそんな特殊性癖じゃないんだが
雪乃,奉仕部の一番の魅力って何かしら？由比ヶ浜さん
結衣,んー……。やっぱり人助けかな？奉仕部っぽいし
雪乃,そうね。ならその事が伝わるような紹介をするべきね
八幡,もうなんでもいーんじゃねーの
雪乃,他人事のように言っているけれど、あなたにもちゃんと紹介のとき、ステージには立ってもらうわよ
八幡,…………は？雪ノ下と由比ヶ浜でした方が絶対いいと思うんだけど。俺みたいなのがいるとか知ったら来る奴も来なくなるぞ
雪乃,ちゃんと自覚はあるようね。けれど部員が少ないのだし、出れる人は全員出た方がいいわ。それに、そんなこと平塚先生が許すと思う？
八幡,確かに……。分かったよ。なるべく目立たないのにしてくれ
雪乃,どの仕事を割り振ろうと、比企谷くんは目立たないからその点は心配無用ね
八幡,確かに……。納得しちまったよ
雪乃,外も暗くなってきたのことだし、とりあえず今日は帰りましょう。各自少しでもアイディアを考えてくるように
結衣,はーい
八幡,そんじゃな。小町、コーヒー飲むか？
小町,飲むっ！
八幡,はいよ。ちょっと待ってろ。ほら
小町,ありがとお兄ちゃん
八幡,……小町は部活入ったりすんのか？
小町,んーん、入らないよ。帰って家のことしないといけないからね
八幡,入りたい部とかあれば入ってもいいんだぞ？俺も少しは家事手伝うし
小町,それはダメだよ！お兄ちゃん大学受験あるでしょ。去年は小町のために、いろいろ気を使ってもらったから、今年は少しはお返しするの。今の小町的にポイント高い
八幡,はいはい。ま、俺は私立文系の大学行くつもりだから余裕はあるんだけどな
小町,お兄ちゃんは可愛げないなー
八幡,お前俺に可愛げとか求めても需要ないぞ。俺の分の可愛さを小町が持っていればそれでいい
小町,あー、はいはい。それに部活入らなくても、暇なときは奉仕部遊び行くしね
八幡,遊びに来るって言っても、俺たちが引退して新入部員入らなきゃ廃部だぞ。平塚先生には、部活動紹介で新入部員を入れろ、とか言われてるけど
小町,そういえば来週そんなのあったね。お兄ちゃんたち何するの？
八幡,…………まだ決まってない
小町,嘘っ！？それ間に合うの！？
八幡,今日聞かされたからな。それに間に合うか間に合わないかの話じゃないんだ。間に合わせるんだ
小町,お、お兄ちゃんがカッコよく見える
八幡,じゃないと平塚先生に殴られそうだしな
小町,か、かっこ悪……。間に合いそうにないなら小町もお手伝いしちゃうよ
八幡,…………は？
結衣,やっはろー……って、小町ちゃん！？どうかしたの？
八幡,部活動紹介の話ししたら、手伝うとか言い出したんだよ
小町,新1年生だからこそ、どんなのが見たいとかわかるんですよ
雪乃,確かに……。それは一理あるわね
八幡,いやいや、1年に紹介するのに、1年に教えてもらうって時点で変だからな
小町,お兄ちゃんはうるさいなー。とにかく敵と戦うには、偵察して情報を探るのが一番です！
雪乃,……何の話をしているのかしら？
結衣,ヒッキーどんな説明したの？
八幡,俺は普通に話してただけなんだが
小町,これは他の部より、どれだけ多く部員を集めれるかの戦いでもあるのです。雪乃さん、負けてもいいんですか？
