子供たちは口をそろえて言う。,将来は、あの組に入るんだ
団子屋の娘,――きゃあっ！！
団子屋の店主,お、おいっ、大丈夫かっ！
モブ田組A,おうおうおうおう……。まーだこんな店やってるんか……
店主,あ、あんたっ！急に何してくれるんだ！
モブ田B,あぁんっ！？おうおう、アニキにどんな口きいてやがるんだテメー
店主,ひ、ひぃっ！
モブ田A,まぁまぁ。――俺たちはモブ田組のもんだ。おう、旦那さん。みかじめ料払ってくれや
店主,ま、待ってくれっ！私たちはモブ林組に払ってるんだ！話ならそっちと付けてくれないか！
モブ田A,あぁ？そんなの知らねぇわ、両方に払えばいいじゃねぇか。月五万でいいからよ……。なぁ、旦那さん
店主,そんな……無茶苦茶だ！
モブ田B,あぁんっ！？アニキっ！やっちまいますか
モブ田A,まぁ落ち着けや。……娘さん、えらい美人さんだなぁ？
娘,ひぃっ
店主,――ッ！む、娘には手を出さないでください！
モブ田A,じゃあ払えよ。そんぐらいあんだろ？
店主,ちょ、ちょっと待ってください……
団子屋の妻,あ、あんた……！
店主,しょうがないだろ……！店を荒らされたら商売どころじゃない……。みかじめ料を払ってるモブ林組も役立たずだっ
妻,うっ……！
店主,――これでいいんだろうっ！？お願いだから帰ってくれっ！
モブ田A,……なんだ、やっぱりあるじゃねぇか。最初っから素直に払えばいいのによ
モブ田B,さっすが兄貴ですぜっ！
モブ田A,おう、旦那さん。また来月来るからよ、ちゃーんと用意しておけよ
店主,くっ……！！
娘,お父さんっ……
モブ田B,へっ？――ごふぅっ！？
モブ田A,なっ……！！誰だテメェはっ！？
不知火,不知火です。……初めまして
モブ田A,し、不知火……？
不知火,そうでしたか……組長
モブ田A,く、組長……だと？
陽炎,まぁでも、あんた達には名乗っておいた方が良いのかもしれないわね。……私は陽炎よ。覚えなくていいけど
モブ田A,ど、どういうことだっ！
陽炎,だってこのシマ……。今日から私たち陽炎組のシマにするから
モブ田A,なっ……！く、クソガキが調子乗ってんじゃ――
不知火,…………
モブ田A,ぐふっ……。な、なんだこの力……。こいつらはいったい……
不知火,………………
モブ田A,お……おい、どっから来たのか知らねぇが……。お、俺たちを……甘く見るんじゃねぇぞ……
陽炎,……続けなさい
モブ田A,す、すぐに本部から援軍が来る……！お、お前たちなんて……――
陽炎,たぶん来ないと思うわよ
モブ田A,あぁ？何を言ってやがる……
陽炎,あんた達の本部とやらには、もう別の組員が行ってるわ。――あぁそうそう、あんた達の本部をそのまま使わせてもらおうと思ってたから、よろしくね
モブ田A,な、なん……だと？
谷風,――かぁーっ。もう終わりかいっ？骨がないねぇ
モブ田C,ひ、ひぃっ！な、なんなんだこいつ等……！
萩風,あと残ってるのは数人でしょうか……。おとなしく出て行ってくれるとうれしいんですけど
モブ田D,わ、わかりましたっ！出ていきますぅっ！！
嵐,――なーんだ、磯風の姉貴を呼ぶまでもなかったなぁ
舞風,とりあえず踊る？
野分,馬鹿言ってないで、組長たちがここに来るまでに掃除を済ませないと……――
モブ田A,う、嘘だろ……。俺たちがこんなガキに……！
陽炎,信じる信じないは勝手にすればいいわ
不知火,組長……。こいつはどうしますか？
モブ田A,ひぃっ！
陽炎,この店から盗ったもの取ったら、放っときなさい
不知火,……組長が言うなら
モブ田A,ひ、ひぃぃいい！！
不知火,………………
陽炎,不満そうね
不知火,いえ、そういうわけでは
陽炎,あれでいいのよ。あいつにはスピーカーの役割をやってもらわないと。ここのシマは陽炎組のものになったぞー……ってね
不知火,……なるほど
陽炎,――さて。ねぇ、この店の娘よね？
娘,は、はいっ！
陽炎,コレ、あいつが盗ったやつ。返しとくわ
娘,えっ……。で、でも……
陽炎,次から何かあったら、私たち陽炎組に連絡しなさい。すぐに何とかしてあげるから
娘,は、はい……
陽炎,……それじゃ。不知火、もう少し掃除して帰るわよ
店主,――ま、待ってくださいっ！な、何かお礼を……
陽炎,お礼？いいわよ、そんなの
店主,し、しかし、それでは私たちの気が収まりませんっ
陽炎,そう言われても……。……あ、それじゃ――。この団子、二本貰っていくわね。……ほら、不知火
不知火,いただきます
陽炎,これでチャラでいいわ。……それじゃ
店主,す、救いの神が現れたのか……――
モブ間A,――く、組長っ！大変ですっ！！
モブ間組長,あぁん？なんの騒ぎだぁッ！
モブ間A,か、カチコミです……！
モブ間組長,カチコミだとォ？どこの組の、何人だ
モブ間A,そ、それが――。ひっ！
モブ間組長,……ガキが、一人だと……？。――おいっ！でてこい！。へっ、俺らの兵力があんなもんだと思ってたのか？待ち伏せてるとも知らねぇでよ。なんだぁ？ビビっちまったのか？今さら後悔しても――！。こ、こいつ笑っ――
モブ木A,――あ、あいつが来るっ……。なんなんだよ……！なんなんだよォ、あのガキ共はァ！！。――っ！！。た、助け――
モブ山B,――そうだ、兄貴。聞きました？
モブ山A,あぁ？なんの話だ
モブ山B,なんか最近、組が襲われてるらしいんですよ
モブ山A,はっ、ガキにボコボコにされてるってやつか？おいおい、お前そんなの信じて――。誰だァ？……って、ガキ？
暁,が、ガキって失礼ねっ！暁よっ！
モブ山B,こ、こいつら、もしかして……っ！
モブ山A,こいつ等なに言って――。……えっ？
・アニメのような形式で、12話,最終話1時間SP
モブ川A,――あぁんっ！？おいおい、ナメてんじゃねぇぞコラァ！
電,はわわっ。い、今すぐお茶淹れてくるのですっ
雷,ちょっと、静かにしなさいよっ！組長が起きちゃうじゃない
モブ川B,はっ、まったく良いご身分だぜぇ。こんな時まで寝てるとはよぉ
響,雷、私はちょっと出かけてくるよ……
雷,はーい、行ってらっしゃい。――それで、なんで私たちがあんた達の要求を飲まないといけないのかしら？
モブ川A,ふざけてんじゃあねぇぞ。ここのシマはもともと俺たちとモブ山組が仕切ってたんだ
雷,ふーん……
モブ川A,そのモブ山組がどこに消えたのかは知らねぇが、ぽっと出のお前らが突然仕切るだと？寝言は寝て言うもんだぜお嬢ちゃん
雷,そう言われてもねぇ……
モブ川B,……アニキ、なんか噂に聞いてたのとは全然違いますね……
モブ川A,あぁだから言ったろ、大したことないってよ。ただのガキってわけでもないみたいだが、それでも所詮はガキさ
モブ川B,えぇ、うまい事扱えれば……
雷,――何をボソボソ話してるのよ？
モブ川A,あ、あぁなんでもねぇよ。……それで、話の方は理解できたか？
雷,まぁね。……一つ確認なんだけど、元々この辺りのシマは二つの組で仕切ってたのよね？
モブ川A,おうよ、そう言ったろ
雷,そして、あなた達は私たち暁組を見逃す代わりに上納金を払え……ってことよね？
モブ川A,あぁ
雷,これがどうにも納得できないのよねぇ……
モブ川B,あぁん？どういうことだっ
雷,――だってコレじゃ、暁組があんた達モブ川組より下ってことになるじゃない
モブ川B,おいおい、何も間違ってねぇじゃねぇか。なんだったら組員連れて潰してやってもいいんだぜぇ！
モブ川A,おい、少し黙ってろ
モブ川B,へ、へい。すいませんアニキ……
モブ川A,――なぁ、雷とかいったかお嬢ちゃん
雷,何かしら？
モブ川A,身の程はわきまえなくちゃいけねぇよ……。これでも譲歩している方なんだぜ？
雷,身の程？――……ごめんなさい、もしかしたら私が意味を間違えてるのかもしれないわ。どういう意味だったかしら
モブ川A,やっぱりガキだなぁ、お嬢ちゃんよぉ。新顔は新顔らしく、黙って俺たちに媚びへつらってりゃいいんだよ。……これで理解できたか？
雷,…………なるほど。理解できたわ
モブ川A,はっ、そうかそうか。そりゃ――
雷,――あんた達が、どうしようもない馬鹿ってことがね
モブ川A,……あぁ？
モブ川B,――ッ！アニキ、もうやっちまいましょ――！。――ぅがっ……！？
電,はわわっ！つ、つい勢い余って……。急須で頭カチ割っちゃったのですっ
モブ川A,お、おいっ！――て、テメェら！！
雷,あら、動いちゃダメよ
モブ川A,うっ……。な、なんだこの鉄の塊は……。イカリ……？
