モバＰ,以降Ｐ表記。そかそか
Ｐ,あ゛～…エアコン切れた途端目が覚める暑さって何だよコンチクショウ。だからと言って付けっぱなしにするのもなぁ…
芳乃,すやぁ…
Ｐ,芳乃は爆睡してるけど。…しゃーない。扇風機付けよ。今日も仕事なんだしさっさと寝たいんだけどなぁ…。……。駄目だ扇風機じゃこの暑さに歯が立たん。キンキンに冷えた麦茶でも飲んで保冷剤タオルに包んで首の下に敷いて寝るとしよう。…だから一旦離してくれないか芳乃さんやい
芳乃,やー、でしてぇ…
Ｐ,寝てるんだよな？
芳乃,寝ておりましてぇ…
Ｐ,会話が成立してるけど寝てるんだよな？くっ…！すごいちからだ！
芳乃,むにゃぁ…
Ｐ,…。……。諦めてグラブルでもしてるか。てな感じが最近続いておりまして
ちひろ,アホですか。まったく…目の下にクマ作ってるから一体何があったのかと表面上心配してみてあげたらコレですよ
Ｐ,灼熱焦熱の国埼玉の生まれなんで暑いのは苦手なんですよ
ちひろ,その割に冬は冬でモコモコに着込んで震えてますよね
Ｐ,何かスヤッと安眠できる方法ってありませんかね
ちひろ,薬物の類は抜きにしてですか？
Ｐ,真っ先にそんな発想かよ怖ぇよ
ちひろ,素直にクーラーつけちゃえばいいじゃないですか。電気代より熱中症で倒れるほうが７倍近くお金掛かるんですよ？
Ｐ,そこそこの稼ぎはあるんで正直電気代はどうでもいいんですけど。冷房つけっぱにするといつの間にか芳乃が潜り込んでくるんですよ
ちひろ,芳乃ちゃんの部屋にはエアコン無いんですか？
Ｐ,完備してますよ。でもエアコン好きじゃないらしくて全然使わないんですよ。その癖俺が使うとゴソゴソ潜り込んでくるし
ちひろ,それ単なる口実にしてるだけな気が
Ｐ,扇風機だとこの時期の暑さには分が悪いですし、この前なんてつい冷蔵庫開けっ放しにして頭突っ込んでましたよ。たまに少し気温が下がったり良い感じに風が吹いたりして今夜は寝やすいかなぁ、なんて思っててもすっかり寝付きが悪くなっちゃって…
ちひろ,だからと言ってスマホ弄ってたら尚更逆効果でしょうが
Ｐ,ご安心を。職務中に居眠りなんて真似はしませんので
ちひろ,いや気づいてないかもしれませんけどたまに白目剥いて仕事してますからねアンタ。事務所はこの通り冷房バッチリ効いてるんですから昼休みにでも仮眠取ったらどうですか？
Ｐ,うーん…横になっても目と頭が冴えてて全然眠くならないんですよねぇ。だから仕方なくイチかバチかダメ元で暇潰しに嫌々ちひろさんに相談してるんですけど
ちひろ,そろそろ白黒ハッキリつけましょうよ嫌いですか？私のこと嫌いですか？
Ｐ,いやー、何か良いアイディアありませんかねぇ
ちひろ,知りませんよググればいいんじゃないですかー？ふーんだっ
Ｐ,そして今夜も暑ぃでごぜーますよ…。芳乃ーただでさえ暑いんだから離れてくれー…お願いだから
芳乃,すやぁ
Ｐ,絶対起きてるだろ聞こえてるだろ握力強まったぞおい。仕方ない、エアコン付けるか…でも最近暑くなくても眠れなくなっちゃってるんだよなぁ
芳乃,むぅ～…？
Ｐ,涼しくしてあげたのに何でパジャマ脱ぐのさ！。そして昨夜もまともに眠れないまま仕事をしている訳ですよ
志希,にゃーっはっはっはー！出来たよ～♪どんな強固な理性もひっぺがす特性媚薬～っ。んでもさっき奏ちゃんにぶっかけちゃったんだけどねー。……あれ、どしたの？
Ｐ,おう、おはようハスハス。どしたのって何がだよ
志希,うんおはよ。え、いやだってプロデューサー。いつもと全然様子が違うし。鏡見た？
Ｐ,えっ？……なんだ、いつも通りの彩国紳士じゃないか
志希,えー、いつもと違って目のハイライトは１２％薄くなってるし声のトーンは６％弱いしツナマヨおにぎりの匂いするし志希ちゃんお腹空いたし
Ｐ,まだ残ってるからお食べ
志希,わーい♪。あむあむ……あ、匂いも違う。この匂いは……ズバリ寝不足だねっ！？
Ｐ,おー当たり。凄いな匂いでそんな事まで分かるのか
志希,目のクマ凄いよー？
Ｐ,見た目かよ
志希,どうしたのプロデューサー眠れないの？夜更かしはダメだよお肌に悪いよ？
Ｐ,最近クソ暑いだろ…最近はもう諦めてエアコンつけて寝てるんだけどさ、すっかり寝つきが悪くなっちまって
志希,んっふっふー♪そんなアナタに！
Ｐ,ああ、睡眠薬の類は無しな？
志希,がーん！志希ちゃんのアイデンティティが！
Ｐ,すまんな、子供の頃から薬はバファ〇ンしか飲まないって決めてるんだ
志希,アレそんなに万能薬って訳でも無いと思うよー？
Ｐ,何言ってんだ半分は優しさで出来てるんだぞ？この世で優しさより人を癒すものが存在するのか
志希,どんだけ荒んだ人生送ってきたんだよう…
Ｐ,気持ちはうれしいけどおにぎり食べて手ぇ洗った？
志希,あ、寝る前にあったかいホットミルク飲んで軽くストレッチすると朝までグッスリだって漫画に描いてあったよ？
Ｐ,それ吉良吉影の安眠法じゃねえか
志希,んー、それじゃあ何かゆったりした曲を聴きながら寝るとか？
Ｐ,逆に気になっても眠れなくなるタイプなんよ
志希,羊を数えるとか。あ、これほんとは日本語じゃ意味無いんだけどね
Ｐ,数えてるうちにいつの間にか頭の中でラム料理考えてるんだよなぁ
志希,にゃーっ！ワガママだなぁもう！
Ｐ,そんなすぐ思いつくような事は粗方試してるっつーの！
志希,諦めてコレ使いなよコレ！服用すると春までグッスリ快眠できるクスリ
Ｐ,年越してるじゃねえか却下だ却下！
志希,何か柔らかいものを抱えて寝ると安心するんだよ！
Ｐ,毎晩逆に抱えられてるわ！
志希,安眠枕にしてみるとか！
Ｐ,小日向プロデュースのやつ既に使ってるわ！
志希,ストレッチじゃ生温いから疲れ果ててグッタリするまで運動して寝るとか！
Ｐ,翌日の仕事に支障が出るわオッサンの体力を舐めるな！
志希,んもーっ！いくらジーニアスでモノスゲーイなアタシでもケミスト封印されたら打つ手無しだよー！
Ｐ,お前のサイエンス頼りにしてたら最初から睡眠薬作ってもらうっつーの！
志希,…
Ｐ,…
志希,……
Ｐ,……
志希,ホットミルク、のむ？
Ｐ,飲む
志希,はーい暖かいものどーぞ？
Ｐ,暖かいものどうも。激熱っ！
志希,にゃははー♪ラングドシャ～。ほい、ゆっくりゆっくり飲んで飲んでほらほらはよはよ
Ｐ,ゆっくり飲むの？早く飲むの？
志希,そしたらベッドの上にどーん！はい横になってー
Ｐ,わざわざ仮眠室に連れてきて何するかと思えば…結局吉良吉影安眠法か痛い痛い痛いっ！
志希,でもって軽ーくストレッチー。カッチカチの体も心もアンロック～♪
Ｐ,あだだだだっ！ちょっ、自分のペースでやるから！それじゃただのサブミッションだよ！
志希,どうどう？セロトニンが良い感じに分泌されてきたんじゃないかな～？
Ｐ,アドレナリンばかりでごぜーますよ！
志希,えーっ？おっかしいなぁーリラックスしてない？
Ｐ,可動範囲を超えるストレッチさせられながらけしからんボディをワザとらしく背中に押し付けられてどうリラックスせぇっちゅーねん
志希,んー不思議だねぇ。キョーミ深いね。ゾクゾクするよ
Ｐ,痛て…単に腰が痛くなっただけなんだが
志希,それじゃあはいっ。アタシの脱ぎたて白衣～
Ｐ,モガガッ！
志希,はい、大きく深呼吸～。胸いっぱい肺いっぱいにスメルを吸引してー………どお？
Ｐ,息苦しい以外の何物でもねぇよ！
志希,そんなぁ～！アタシはキミの上着クンスカしてると５秒でグッスリだよ？
