砂塚あきら,以下あきら
モバP,以下P
あきら,あ～…まぁ確かに
P,そこでユニットを決めるんだけどな…あきらは配信やってるんだよな？
あきら,え…ハイ
P,俺自身でも案はあるけど、どうせならあきらの放送で案を募集するとかどうよ？
あきら,自分は構わないデスけど…大丈夫？
P,一応ウチの事務所の中で放送してもらう形にするし、何かマズったら止めるよ
あきら,前のライブバトルの時は配信ダメだったじゃん
P,あきらは良くてもその時の相手が菜々さんだっただろ注：筆者の事務所の話です
あきら,ド新人相手にシンデレラガールぶつけて来るってのがまずオカシイと思うんデスけど…
P,まぁまぁ、それでも菜々さん相手だと変に緊張しなかっただろ？
あきら,それはまぁ確かに…挨拶した時とか明らかに格上なのにむしろ安心感すら覚えたデスよ…
P,それが菜々さんの魅力の一つでもあるしな
あきら,そのせいで正直最初舐めてたらステージで心ヘシ折られたんデスけど…
P,いい勉強になったな？
あきら,ハイ…
P,というわけで後日、あきらのユニット案募集生をやるからそっちでもフォロワーに告知しとくようにな～
あきら,はいデス～。え～…こんちわ～、皆見に来てくれてありがと～、新人アイドルの砂塚あきらデス～。コメントの皆もどうも～。今回は、自分がユニットを組むなら誰と組むのが良いかを皆に考えて貰おうという放送デス。もしかしたら自分の考えたユニットが現実になるかも知れないデスよ～。案は事務所へのメールか、青い鳥機能でハッシュタグ砂塚あきらのユニット案でお願いしマス。少し前から受け付けはしていたので、まずは届いているメールから読んでいきマス。メールの受付はまだやってるので、今から送ってもらっても大丈夫デス。それじゃあ1通目、ペンネームはFPSジャンキーさん。なんか親近感わく名前～、自分もFPS結構やるんだ、ソッチの放送もやってるからよかったら見てね～。見てくれてる人ありがと～、え～…まず組むアイドル…北条加蓮さん！。え～？あのトライアドの？ムリムリ！自分じゃさすがに釣り合わないよ！。コメントは…あきらちゃんこんにちは！…はいこんちわ～。FPSで砂使いだと聞いて興味を持っていました、あきらちゃんは謙遜するかもしれませんが、加蓮ちゃんときっと良いユニットが組めると思います。え～、そうかな…そう言われると悪い気はしないかな～。最後に、ユニット名ですが芋砂でいきましょう！。却下。なによこれ！FPSジャンキーって時点でこれ確信犯だよね！？自分別に芋ったりなんかしてないし！。あとコメント！草生やさない！。くっ…ムカツク！。もう…次！次のメールは…ペンネームイチゴは敗北者じゃけぇ…さん
ありす,敗北者…？
桃華,ちょっ…ありすさん、ダメですわ！放送中ですわよ！
ありす,ﾊｧ･･･ﾊｧ･･･取り消してください…今の言葉…
梨沙,乗らないのありす！戻りなさい！
あきら,えっ…な、何デスか…？
桃華,う…うふふ、ごめんなさい、すぐに連れていきますので
あきら,イチゴは私にビタミンくれた！
梨沙,ほらありす、イチゴのアメあげるからこっちに来なさい！
ありす,むぐ…ひ、ひょうがないれふね
桃華,お、お騒がせいたしました～……ほらありすさん、急いで下さいまし！
あきら,何なんだったんデスか…一体…
P,えっ…俺何も悪くない…
