柔道家,女を押し倒して寝技かけるの楽しいィ～！
剣道家,竹刀なんざ持つより、ピストル持った方が手っ取り早いぜェ！
華道家,この花の花粉を吸うと、気持ちよくなれるゾ！
書道家,字なんかボールペンで書けばいいよ
青年,日本中を旅してきたが……どこを歩いてもひどいものだった。今やどの都道府県も、スラム街のようになってしまった……。こんな時代に、俺ができることといえば――。こんにちは
少女,こんにちは！
青年,このあたりは、茶道が盛んなそうだね？
少女,うん、そうだよ！
青年,もしよければ、お茶を一杯いただけないかな？
少女,いいよー！。……。どうぞ！
青年,ありがとう。……
少女,お服加減は？
青年,結構でございます
少女,よかったー！
青年,本当においしかったよ。どうもありがとう。ところで君、ご両親は？
少女,お父さんとお母さんは……この辺りを統治する“家元”に逆らって、投獄されちゃったの
青年,投獄！？……いったいなぜ？
少女,家元のお茶のやり方に文句をいったら、二人とも捕まっちゃったの
青年,なんということだ……。皆の模範であるべき茶道の家元が、まるで暴君じゃないか！。やはり、荒廃は茶道にも及んでいたのか……。家元はどこにいるんだい？
少女,あそこ。あのLEDで光り輝く茶室で、いっつも弟子とお茶飲んでるよ
青年,なんだあのド派手な茶室は……“わびさび”の欠片も感じられない。分かった……どうもありがとう
少女,ちょっと、どうするつもり？まさか、家元のところに行くんじゃ……
青年,もちろんそのつもりだ
少女,そんなのダメよ！捕まって、ヘタしたら殺されちゃう！
青年,大丈夫……俺が必ず君の両親を連れ戻してみせるよ
少女,このお兄さんの目……とても“わびさび”を感じる！何かをやってくれそう！。気をつけてね……お兄さん！
家元,オラ、もっと飲めよ。グイッといけや
弟子A,いただきまーす！。いやぁ～、家元が立ててくれたお茶は最高っすわ！
弟子B,まったくですぜ！
家元,ガハハ、そうだろう、そうだろう！
弟子A,あ、茶菓子いただけますか？
家元,ほれ、スニッカーズだ！
弟子A,あざーっす！。うめぇ～！やっぱ抹茶にはスニッカーズっすわ～！
家元,なにしろ、ナッツぎっしりだからな！。！
弟子A,！
弟子B,！
家元,――誰だッ！？
青年,貴女が家元だな？
家元,そうだが？てめえ……なんの用だ
青年,実は、お茶を一杯いただきたくて……
家元,お茶ァ～！？。ガハハハ、ここはガキが来るとこじゃねえぞ！。ガキは帰ってミルクでも飲んでな！
弟子A,そうだそうだ！
弟子B,死にたくなきゃ、とっとと出ていきやがれ！
青年,なるほど、見ず知らずの客に茶を振る舞う自信はない、と
家元,あ！？。……いいだろう、ご馳走してやる。茶室に入りな
青年,……
弟子A,ククク、この茶室の畳の縁には、地雷が仕掛けてある！
弟子B,縁を踏んだ瞬間、ジ・エンドよォ！
青年,……
家元,……ほう
弟子A,こいつ……！ちゃんと畳の縁を避けて……！
弟子B,しかも、入室の時は右足で縁をまたぐという基本も抑えて……こいつ、心得てやがる！
家元,なるほど。このガキ、茶を飲む資格はありそうだ……。待ってろ、今すぐ立ててやる。究極の茶ってもんを飲ませてやるよ
弟子A,で、出た……！家元のお茶立て！
弟子B,相変わらず、すげえスピードだ……！
青年,……
家元,どうやらこのスピードに驚き、声も出ないようだな！。飲みな
青年,……。……
家元,お服加減はどうだァ！？
青年,結構でございます
家元,ガハハハッ、だろォ！？
青年,……といいたいところだが。不味い
家元,あ！？
青年,これでは茶はおろか、茶碗も茶筅も泣いているだろう。この一杯は、あの女の子が立ててくれたお茶にも遠く及ばない
家元,……な、なんだと
弟子A,てめぇぇぇぇぇ！！！
弟子B,家元に向かってなんて口をぉぉぉぉぉ！！！
弟子A,今すぐブッ殺してやる！
弟子B,バラバラにして茶菓子にしてやらぁ！
弟子AB,あっ
青年,……
家元,バカどもが……！畳の縁を踏みやがって……！
青年,次は俺に茶を立てさせてもらえないか？
家元,ふざけんな、なんでてめえ如きに……
青年,俺があなたに本当のお茶というものを飲ませてみせる
家元,面白え……やってみろ！
青年,ありがとうございます
家元,仮にどんな茶を立てたところで、こいつは処刑確定だ！。処刑して、人間魚拓にして、掛け軸にして飾ってやる……！
青年,では……。……
家元,うっ！？。茶碗に茶を入れ、湯を入れる……たったこれだけの行為なのに。なんて繊細で優雅なんだ……！。ぐっ、私としたことが、こんな小僧に魅せられてどうする！
青年,……
