まゆＰ,合コン行かない？
ありすＰ,おっ、行く行くー
ありす,絶対合コン行けなくなるビーム！
ありすＰ,あばばば
ありす,ふぅ・・・まったく、私という者が居ながら・・・。やはり・・・未だ幼い私を、四年も待ってもらうのは、無理が有るんでしょうか・・・？
晶葉,おっ、ありすじゃないか
ありす,晶葉さん、借りてた光線銃、お返しします
晶葉,ああ、そこに置いておいてくれ
ありす,・・・？何作ってるんですか？
晶葉,高校生になれるスイッチだ！
ありす,・・・ふむ。もし私が高校生になったら・・・。おはようございます
Ｐ,！？ありすが可愛くて綺麗でナイスバディの女性になっている！？
ありす,結婚しましょう。プロデューサーさん
Ｐ,くっ、なんて魅力的な！しかし・・・大人として小学生に手を出す訳には・・・
ありす,高校生なので合法です
Ｐ,今すぐ結婚しよう。必ず幸せにしてやるからな・・・ありす
ありす,これだッッ！
晶葉,うわぁっ！？急に大きな声を出さないでくれありす！
ありす,晶葉さん！そのスイッチ絶対に完成させてくださいね！
晶葉,う、うん・・・
Ｐ,藍子は可愛いなぁ
藍子,えへへ
Ｐ,・・・って、うわああああ！藍子と楽しくお喋りしてたら二時間経ってた！仕事しなきゃ！
藍子,あっ・・・。もっとお喋りしたかったなぁ・・・
晶葉,藍子。今いいか？ちょっとユルフワニウムを採らせて欲しいんだが・・・
藍子,はい。大丈夫ですけど・・・何に使うんですか？
晶葉,時空圧縮装置を作るんだ。高校生になれるスイッチの部品に必要でな
藍子,高校生になれるスイッチ・・・。もし、プロデューサーさんが高校生になったら・・・学校でもプロデューサーさんと・・・
Ｐ,藍子、消しゴム貸してくれ。藍子、ここってどう訳すんだ？。藍子、その卵焼き一つくれないか？。藍子、一緒に帰ろう
藍子,毎日プロデューサーさんと登下校デート・・・！。これだッッ！
晶葉,うわぁっ！？急に大きな声を出さないでくれ藍子！
藍子,晶葉さん！そのスイッチ絶対に完成させてくださいね！
晶葉,う、うん・・・。うむむむ・・・書類が棚の上にあって取れん・・・！
美優,晶葉ちゃんが取りたいの、これ？
晶葉,美優！すまない、助かった
美優,これ何の書類？
晶葉,この前の発明に使った理論、情報をまとめた物だ。今作ってる装置に応用できるかと思ってな
美優,へぇー・・・今は何を作ってるの？
晶葉,高校生になれるスイッチだ！
美優,高校生になれるスイッチ・・・？
晶葉,うむ！
美優,高校生・・・。もしプロデューサーさんが高校生になったら・・・。学生なんだから今の仕事には就かない。となると私もアイドルにはならない。そして二人はご近所さん・・・。あれ、プロデューサーくん？珍しいね。スーパーで会うなんて。おつかい？。へぇー・・・、両親が旅行・・・。そうだ、プロデューサーくん。今日私の家来ない？晩御飯ご馳走するから。お惣菜とお弁当だけじゃ栄養偏るよ？食べ盛りなんだから、健康に良い物食べなきゃね。私も、一人で晩御飯は寂しいし・・・ね？。ごちそうさま・・・。どう？美味しかった？。そう、良かったぁ・・・えっ、もう帰っちゃうの？一緒に金曜ロードショー見ない？。そっかぁ・・・プロデューサーくんは私のご飯だけが目当てだったんだぁ・・・。・・・ふふっ。冗談だってば。それじゃ私、何か飲み物持ってくるね。ここの告白のシーン、いいよね。・・・ねぇ、覚えてる？昔プロデューサーくんが、私と結婚するって言ってたこと。私が中学生くらいの頃だったかなぁ・・・美優お姉ちゃんと結婚するーって。あれ、嬉しかったなぁ・・・。今も、私のこと好き・・・？。・・・うん。最初からこうするつもりだった。独身の女の人が、若い男の子部屋に連れ込む理由なんて一つでしょ？。テレビ・・・消すね？。これだッッ！
晶葉,うわぁっ！？急に大きな声を出さないでくれ美優！
美優,晶葉ちゃん！そのスイッチ絶対に完成させてね！
晶葉,う、うん・・・。できたぞ！高校生になれるスイッチだ！
ありす,ぜひ私に！
藍子,ぜひ私のプロデューサーさんに！
美優,いや私のプロデューサーく・・・さんに！
晶葉,うーむ困った。これは燃料の都合で一回しか使えないんだが・・・
菜々,・・・
ありす,・・・私、やっぱりいいです
藍子,・・・私もです
美優,・・・わたしも
菜々,おやおやぁ！？誰も使わないんだったら菜々が使いましょうかねぇ！？いや元からＪＫなので意味ないんですけどね！？
晶葉,ああ、うん。好きにしてくれ・・・
菜々,じゃじゃーん！
Ｐ,うん？どうしたんですか菜々さん
菜々,どうです！？私、何だかいつもと違いませんかっ！？
Ｐ,いや、全然
菜々,・・・嬉しいような、残念なような
藍子,はぁ・・・プロデューサーさんと勉強の教え合いっことかしたかったなぁ・・・
楓,！
藍子,・・・英語の訳し方とか・・・はっ！そうだ！。プロデューサーさん。この英文訳してくれませんか？
Ｐ,何々・・・？私は藍子を愛していますだな
藍子,えへへ・・・じゃあこっちは
Ｐ,私は藍子なしでは生きられないだな
藍子,えへへへ・・・じゃあこっちは
Ｐ,夏の星座にぶら下がって、上から花火を見下ろして
藍子,えへへへへ・・・じゃあこっちは・・・
まゆ,うふふ・・・藍子ちゃんの方法を丸パクリして、プロデューサーさんの胸キュン台詞を録音しますよぉ。・・・。・・・？
ありすＰ,佐久間さん。何か探し物？
まゆ,私のプロデューサーさんがどこに居るか知りませんかぁ？
ありすＰ,何か合コン行くとか言ってたけど
まゆ,ほぉ・・・
