本田未央,しまむー！！なんで……なんでこんな事に……！
島村卯月,未央……ちゃん……ごめんね？もう、私……駄目みたい……
未央,そんな……！私に出来ることは残されてないって言うのっ！？
卯月,あ、それ聞いちゃう？あるよ？この意外としっかりしてる縄を解いてくれたら、島村さんは駄目じゃなくなるよ
未央,何も……何も出来ない……！なんでこんなにも無力なの……っ！
卯月,ヘーイ！ミオっ！！リッスンリッスン！！フリー、シマムラっ！オッケー？
未央,こんな私が嫌になる！悔しいっ！！でも……逃げちゃうっ！！
卯月,大変です、プロデューサーさん！未央ちゃんが聞いてくれない上に逃げましたっ！
モバＰ,……うん。で……なんで椅子に縛られてんの？
卯月,凛ちゃんの性癖ですかね……
モバＰ,そっか……。おーい、未央ー。俺も付き合うぞー
卯月,あぁ！見捨てちゃ嫌ですよぅ！後ろから大変危険なオーラを感じるんですぅ！未央ちゃん！プロデューサーさーんっ！！
渋谷凛,……
卯月,凛ちゃん！無言は駄目だよっ！場がピリッとして振り向けないよ！まずは性癖について突っ込んでみよっ？
凛,……
卯月,凛ちゃんっ！怖いっ！！無言、駄目！しまむー、怖いっ！
北条加蓮,凛～。あったよ、カメラ
神谷奈緒,いい感じのティッシュも持ってきたぞ～
凛,ん。じゃ、撮ろっか
卯月,プ、プロデューサーさんっ！プロデューサーさぁぁん！！性癖について突っ込んでみよって言ったら、物理的なものを突っ込まれそうですっ！助けてぇぇ！！
奈緒,こ、こら！暴れるな！
加蓮,大丈夫。痛くしないから。でも、ちょっと黙ってようか
卯月,ん゛～～！
モバＰ,卯月、流石に下品って……うわぁ……
未央,何も知らなかったピュアなしまむーはどこにって……うわぁ……
凛,二人共戻ってきたんだ
モバＰ,脚立にセットされたカメラと猿ぐつわのコンビネーション……凄いな
未央,しぶりんの落ち着きっぷりが、ギャングのボスのそれだよね……
凛,そんなに引くことないじゃん。前にも同じ様なことあったでしょ？ちょっとしたお仕置きだよ
卯月,ん゛ん゛っ！！ん゛ん゛～ん゛～！
奈緒,だから暴れるなって！入れづらいだろっ！！
加蓮,怖がらなくてもちゃんと気持ちよくしてあげるから……ね？
卯月,ん゛～！！！
モバＰ,……ちょっとしたお仕置き？
未央,落とし前とか、けじめの方がしっくりくるよ……
凛,……まぁ、見た感じはそうかも。……加蓮、猿ぐつわは外そう
加蓮,そうだね。このままだと最高の絵が撮れないもんね
卯月,ぷはっ！た、助けてぇ！プロデューサーさん、未央ちゃ～ん！！
奈緒,もう……諦めろ？
卯月,い～や～！！乙女の尊厳がぁ！！助けて助けて、たすけてぇ～！！うわ～ん！！
未央,……ねえ、しぶりん。いくらなんでも、これはやり過ぎじゃないかな。本気？
凛,え？別にそこまでのことじゃないと思うけど
未央,ダメだよ……ひどいよ……
卯月,そうだよぉ……入れるなんてひどいよぉ……
凛,……こよりを入れることが？
未央,……どこに？
凛・卯月,鼻以外にあるの？
未央,……なんで？
加蓮,くしゃみをした瞬間のぶちゃいく卯月を撮る為だよ
卯月,未央ちゃん、鼻以外にあるの？
未央,……なんで？
奈緒,そりゃ、罰は必要だろ
卯月,ねぇねぇ、未央ちゃん。鼻以外にあるの？
未央,っ……なんで？
凛,プロデューサーとキスしたから。奏の件以降、私達こういうの厳しいよ
卯月,未央ちゃん！鼻以外にあるの！？
未央,っっ……なんで！？
凛,なんでって
奈緒,嫉妬以外の何物でもないな
加蓮,うん。ネトラレは嫌なの
卯月,未央ちゃんっ！！鼻以外にあるのっ！？
未央,っっっ……かれんはぁ！しぶりんとかみやんに対してはどうなの！？
加蓮,Ｐさんを好きになった経緯が経緯だから……二人は特別。…………最終的には祝福してもらうけど
凛・奈緒,加蓮っ！？
卯月,未央ちゃんっ！！！何をどこなのっ！？
未央,っっっっ……プロデューサー！！
モバＰ,……どうしろと
未央,だって、しまむーが……しまむーがぁ……ピュアの暴力で辱めてくるだよぉ
モバＰ,ピュアの暴力ねぇ。鼻以外にあるの？で通してたらそうかもしれんけど、何をどこなの！？って……なあ？
卯月,プロデューサーさんが冷静だっ！
未央,……前にもこんな感じで辱められたことがあるんだけど
卯月,誤解だよ！未央ちゃんっ！
未央,だよね。……しまむーはまだ純粋無垢なお子様だよね？
卯月,……つい最近、はぁとふる保健体育！スウィーティー性教育☆ていう講義を受けたから……もう私は大人の階段上ったシンデレラだよ！あの頃の私とは一線を画してるからっ！
未央,そっか……じゃあ、今回は分かってて辱めてた訳だ……。ヘイ！トライアドプリムス！島村卯月ぶちゃいくショーに、俺も参加させてもらうぜ！ハッハ～！
トライアドプリムス,ウエルカ～ム
卯月,あぁっ！プロデューサーさんっ！未央ちゃんの誘導尋問でした！まんまと乗せられて私大ピンチですよっ！
モバＰ,……一回佐藤さんとマジで話し合わないといけんな。……ん？ヘレンさん？
卯月,聞いて下さい！あ……あ……来ました、来ましたよっ！凛ちゃん落ち着いて！！
凛,最後に言いたい事は？
卯月,えっとえっとっ！！キスしたのは久しぶりに会って、テンションが爆発した結果で！実はちょっと後悔してたりっ！
加蓮,え？後悔？
