・,アイドルマスターシンデレラガールズ
佐久間まゆ,はいっ。机の下系ほのぼのトークバラエティ、もりくぼカケル！のお時間ですよぉ
早坂美玲,今回が第3回！今日も盛り上げていくぞッ！ノノ本人のぶんまで！
まゆ,MCは、そんな頼りになる早坂美玲ちゃんと？
美玲,えぇっ！？え、えっと……いつもしっかりしてて、優しい……佐久間まゆさんで、お送りするぞ……あぁもう！言わせんなッ！///
まゆ,うふふっ。ありがとうございます♪。前回の放送は、こちらからご覧になれますよ♪。第2回
美玲,っていうか、オカシイだろッ！？
まゆ,何がおかしいんですか？
美玲,タイトルの略だよ、略ッ！普通もりくぼカケル！なら、もりカケとかになるんじゃないのか？。カケくぼだと、順番入れ替わっちゃってるじゃん！
まゆ,それが、公式の略称について番組スタッフさんとうちのプロデューサーさんで協議した結果、満場一致でそうなったみたいなんです。そっちのほうが、乃々ちゃんらしいって
美玲,うー、ノノのヤツ、ことあるごとにくぼくぼ言ってるからな……その所為か。どうだか
まゆ,それでは、そんなカケくぼ。今回はどんなお話が見られるのでしょうか？どうぞ、ご覧ください♪
小関麗奈,……なんでアタシが机の下なんかにって、思ったけど……
森久保乃々,は、はい……
麗奈,フフン。案外悪くないじゃない。気に入ったわ
乃々,……！よかった……。もりくぼも、お気に入りなので……人と目を合わせず、静かに過ごせるサンクチュアリなんです……！
麗奈,いや、そのサンなんとかは知らないけど
乃々,えっ
麗奈,ほら、普段アイツはこの机で仕事してるんでしょ？
乃々,プロデューサーさんのことですか……？はい、いつもここに座って、パソコンの前で唸ってます……
麗奈,フッフッフッ……ということは、ここにこっそり潜んでいれば、イタズラし放題じゃない！
乃々,あぁ、やっぱりそっちでしたか……
麗奈,やっぱりって、当然じゃない！いきなり椅子の高さを下げたり、クラッカーを鳴らしてやったり……いろいろとやりがいがあるわッ
乃々,そ、そんなことしたら、びっくりするじゃないですか……
麗奈,いや、イタズラって人をびっくりさせるためにするものだから
乃々,うぅ……もりくぼだったら、驚いた拍子に魂が抜けそうなんですけど……
麗奈,大袈裟すぎない？ノミの心臓にも程があるでしょ
乃々,どちらかというと……ノノの心臓……
麗奈,しょうがないわね。アンタにイタズラを仕掛けるのは程々にしておいてあげるわ
乃々,あ、程々には仕掛けるんですね……
麗奈,その代わり、乃々！アンタもこのレイナサマを手伝いなさいッ！
乃々,は……はい……！？
麗奈,何よ？イタズラされるんじゃなくて、する側なら、ビビる必要ないでしょ？
乃々,そ、そんなことありませんけど……！？
麗奈,まったく、煮え切らないわね。アタシの手下になるんだったら、まずはそのオドオドした感じを治しなさい！
乃々,む、むーりぃー……！というか、いつの間に手下に……？
麗奈,そうね……手始めに一発、このスペシャルバズーカでもぶっ放してもらいましょうか
乃々,いきなり初心者には不相応なアイテムが出てきたんですけど！
麗奈,これくらい使いこなせなきゃ、一人前のワルにはなれないわ
乃々,わるくぼ、ですか……たぶん無理だと思いますけど……
麗奈,いい？作戦はこうよ。アイツが仕事をしようと椅子に座ろうとしたタイミングで、まずはアタシが背後から近付いて、クラッカーを鳴らすの。アイツはきっとびっくりして、アタシの方を振り返るわ。そこにすかさず、追い打ちをかける！机の下から乃々がバズーカで、ドカーン！よッ
乃々,た、確かに、見事な二段構えですが……プロデューサーさんに叱られるのでは……？
麗奈,フンッ！お説教が怖くて、イタズラは出来ないわ！
乃々,でも、この間みたいに、また正座させられるかも……
麗奈,ゲッ……な、なんで知ってるのよ？
乃々,机の下から、一部始終見ていたので……その、すみません……
麗奈,くッ……とにかく、これはその時のリベンジでもあるのよ！つべこべ言わず、このレイナサマに従いなさい！
乃々,あぅぅ……そ、そんなの、むーりぃ……
麗奈,ククク、アイツの驚く顔が目に浮かぶわ……見てなさい！ヒャーッハッハッ……ゲホ、ゲホッ
乃々,あ、あの、大丈夫ですか……？
麗奈,ひゃぁあ！？
乃々,ひぃぃ！？。ご、ごめんなさいぃ……！バズーカに手が当たった拍子に、暴発したみたいで……！
麗奈,び、びっくりした……。やるわね、乃々……。アンタ、イタズラの才能あるわよ……
乃々,ひえぇ、そ、そんなつもりじゃないんですけど～！
綾瀬穂乃香,ふぅ……机の下って、こんな感じなんですね……
乃々,は、はい……あの、少し窮屈かも、しれませんけど……
穂乃香,ふふっ、大丈夫ですよ。私、身体は柔らかいですから。ほら
乃々,ひぃ！す、すごいぃ……それ、骨とかどうなってるんですか……？
穂乃香,どう、と言われても……。うーん。いつもユニットメンバーとレッスンをする時にも、柔軟をする度に驚かれるんですよね。幼い頃からバレエをやっていた身からすると、これくらい普通なのですが……
乃々,……バレエ、ですか……。うぅ、あんな恐ろしいレッスン、もりくぼにはとても無理です……
穂乃香,そんな、恐ろしいだなんて。確かに厳しくはありましたけど、それはアイドルも同じですし
乃々,でも……レッスンを始めようとすると、いつもトゥシューズの中に画鋲を入れられてるんですよね……？
穂乃香,……はい？……えぇと、何のことでしょう？
乃々,……？違うんですか？もりくぼが読んだ少女漫画では、確かそんなシーンがあった気が……
穂乃香,そうなんですか？私は、あまり漫画などは読まないので、分かりませんが……そういう経験はありませんね
乃々,そうですか……よかった……。いぢめはよくないです、はい
穂乃香,それにしても、バレエを題材とした漫画があるんですね。どういった内容なんですか？出てくる演目は？
乃々,ふぇっ！？あ、あの……たぶん、そんなに本格的ではなくて、ただ主人公の女の子が、バレエを習っている、みたいな感じで……。演目といっても、あまり覚えては……あ、白鳥の湖とか……？
穂乃香,白鳥の湖……なるほど、定番ですね。三大バレエのひとつですから。私も昔、オデットを演じたことがあります
乃々,えぇと、悪い悪魔に白鳥に変えられたお姫様、ですよね。湖にやってきた王子様に見初められる……
穂乃香,そうです。なんだ、知っているんじゃないですか、乃々ちゃん
乃々,そ、そういうわけでは……お話が童話みたいって思って、たまたま印象に残っていただけなので……
穂乃香,そうですね。実際に童話を元としたバレエ音楽も、たくさんあります。乃々ちゃんは、童話がお好きなんですか？
乃々,あっ。あの、その……童話というか、絵本が好きで……自分でも、考えてみたり……
穂乃香,自分で絵本を？すごい！素敵ですね！
乃々,あわわわ……い、今のは忘れてくださいぃ……！そんな、大層なものではないので……
穂乃香,そうなんですか……？どんなお話なのか、とても興味があるんですけど……
乃々,うぅ……でも、こんなところでオリジナルのお話を披露するなんて、やっぱりむーりぃー……
穂乃香,うーん……でも、折角の機会ですから、おおまかなあらすじか、導入部分だけでもいいので……聞いてみたいです。……駄目ですか？
乃々,そこまで言われてしまうと……あぅぅ。い、今考えているのは……森に棲む子リスが、大好きな木の実を集めながら……いろんな動物と出会ってお友達になるお話、なんですけど……
穂乃香,あら……やっぱり素敵じゃないですか。乃々ちゃんらしい、心が温まるようなお話で
乃々,ほ、本当ですか……？
穂乃香,ふふ。嘘なんて言いませんよ。いろんな動物ですか……。やんちゃなウサギとか、怖そうだけど心根は優しいクマなんかが出てくるんでしょうか
乃々,あ、はい……いいですね
穂乃香,ふふっ、ありがとう。あとは……そうだ。やっぱり、ぴにゃこら太は欠かせませんよね！
乃々,…………はい？
穂乃香,大柄で頼りがいのありそうなぴにゃこら太や、小さくて可愛らしいぴにゃこら太……いろんなぴにゃこら太とお友達になれる……あぁ、なんて素晴らしい物語なのでしょう
乃々,……あれは森の動物じゃなくて、どちらかというとゆるキャラか、もしくはモンスター的なものでは……？
穂乃香,乃々ちゃん？何か言いました？
乃々,ひぃっ！な、なななんでもないですっ
小日向美穂,えへへ……こうやって、カメラの前で面と向かってお話しするの……ちょっぴり緊張しちゃうねっ
乃々,うぅ……もりくぼはちょっぴりどころか、ものすごく緊張してますけど……
美穂,そ、そうなんだ！……うん、でも、大丈夫！緊張してる同士……ほら、マイナスとマイナスを掛けると、プラスになるから！
乃々,は、はい……斬新な理論ですね……。でも、ありがとうございます。……あれ？でも美穂さん、そう言う割には、撮影が始まる直前までソファーで気持ち良さそうにうたた寝していたような……
美穂,ふぇっ！？それはその、ちょうど窓際で陽当たりが良くって、ぽかぽかしてたから、つい……あ、あはは
乃々,さすが美穂さん……大物のオーラを感じます……
美穂,そ、そんなこと無いってば！緊張しぃなのは本当だよ？今でも、おっきなステージに立つと、足が震えちゃうし……
乃々,私も……ステージでたくさんの人から見られると思うと……想像しただけで無理です、むりくぼです……
美穂,あっ。前から聞こうと思ったんだけど、乃々ちゃんのそのくぼシリーズって、一体どれくらいあるの？
乃々,あぅええっ！？そ、それは……持ちネタでは、ないのですが……
美穂,そうなんだ。でも、そういうオリジナルのものがあると、トークの時に役立つよね
乃々,美穂さんにも、あるじゃないですか……こう、手でバツ印を作って、ダメっていう決めポーズが
美穂,あ……うーん、あれもそうなのかなぁ？初めてやった時にファンのみんなが喜んでくれて、それから時々使うようになったんだけど……
乃々,……もりくぼも、お仕事に連れていかれそうになった時に、そのポーズでダメですって言えば、見逃してくれますかね……
美穂,そ、それは難しいんじゃ……？
乃々,ですよね……。もりくぼなんかじゃ、美穂さんみたいに可愛く出来ないですし
美穂,かっ、可愛く……！？というか、別にそんなつもりじゃなくてっ！心配しなくても、乃々ちゃんもとっても可愛いから！
乃々,あぅ……すみません。なんだか気を遣わせてしまいました……。ダメダメなのは、もりくぼの方ですね……
美穂,うぅ……本心なんだけどなぁ。ほら、乃々ちゃんっていつもおしゃれじゃない？髪型もそうだし……洋服も、メルヘンチックな感じで素敵だよねっ
乃々,そ、そう……ですか……？そう言ってもらえるのは嬉しいですけど……なんというか、少し子供っぽいのかなとも、思ったり……
美穂,あ、それは大丈夫だと思うよ。……本当に子供っぽい服装は、くま……
乃々,くま……？
美穂,……くまなく探せば、きっと他にあるから。うん、大丈夫
乃々,な、なるほど……。あの、今ので思い出したんですが……メルヘンっていえば、美穂さんもそういう世界観、お好きなのでは？
美穂,私？好きといえば、好きだけど……どうして？
