※うちにいない子,春風親潮野分に風雲海風葛城とかその他10人くらい？
提督,はいはいええ、間違えなく月末までには！はい、お電話ありがとうございました。……ふぅ。色々あって今月末までに借金500万円返済しないとマグロ漁船に乗せられてしまう。軍費から抜くつもりだったので金なんて1円も用意してねぇ。まさか大淀に横領手口が見抜かれるとは…
大淀,資材を外部注文したふりをして代金請求実物は妖精さんに作らせるとか手口がありがちです
提督,うるへーヤバイよマグロ漁船だよ…
大淀,腐っても提督。手取りは年間600万程度あるはずですがどこに消えました？
提督,お年玉やホワイトデー……それぞれ×３桁
大淀,ああ
提督,あとお馬さん。そうだ500万500万お前が貸してくれ
大淀,貸せなくはないですがお断りします
提督,って500万もあるわけ……えっ！？貯金そんなあんの？
大淀,まぁ鎮守府ではお給料の使い道も少なく…貸しませんけど
提督,…そうか、お前ら艦娘は命がけ仕事だから給料そこそこ衣食住付き貯めてるのか！。しかも俺のことをみーんな大好き
大淀,それはどうでしょう
提督,ってことは金なんか借り放題だなよし。借りてくる。まずは適当に鎮守府内をぶらぶらして…。出くわした奴からどんどん金を借りていこう！。ＲＰＧのゴールド貯めと同じ要領だなおっ最初のカモ…いやいや艦娘みゆ！。ま～ずはちょろそうで貸してくれそうな奴を物色して～おっ。おーい。神通。ちょうどよかった
神通,あっ…提督。なんでしょうか…
提督,まずは艦娘の懐具合を知りたいよな…。突然なんだけど神通って給料はどのくらい貰ってるの？
神通,お給料…ですか？。軽巡は基本給25万円に改二手当3万円あと成果給。私は成果給月７万円くらいです…
提督,おお！さすが軽巡エース！成果給一番だろ？
神通,いえ。まぁ。その…年間４，５回くらいは
提督,すごーいそんなお前を見込んで話がある。お金貸してくれ
神通,……今お財布にあるだけでしたら
提督,わーい
神通,あぶなかった…財布の中身が探照灯の役目を果たさなければ…３０万は要求されていました…
榛名,お金を借りて回ってる…とはい。榛名は大丈夫です。いつも保証人とか人に頼まれるけど榛名は大丈夫です。榛名は戦艦ですからお給料いっぱい貰ってますから。まだクレジットカードの枠とかも３枚分ありますから。知ってますか？ショッピング枠でお金が作れるんです。だから榛名は大丈夫…なん…death
飛鷹,お金貸して…ってそんな隼鷹みたいなこと言わないでくださいよ
提督,そこを何とか。ほら整備も手伝っちゃうから。飛鷹さんしか頼れないんですよぉ
飛鷹,んもぉしょうがないなぁ
提督,やはり見た目通りチョロいぜ！。頼み込まれるとなんでも許しちゃう良妻系3連発最高ですアザーッス！
飛鷹,とりあえず財布にはこれだけ。まったくもぉ。お金に困っているのなら。も、もしこの戦いが終わって…私とサンフランシスコに共に旅立ってくれるなら…。その。実家はね。代々続く名家で山なんて１０個や２０個じゃきかないくらい持ってて。持参金も億単位で……あれっ、もういねぇ
提督,ちっちゃなおてて愛くるしいが利発な顔凹凸のない体
朝潮,司令官お呼びでしょうか
提督,俺は俺はこんな小さな子から金を金を借りようというのか人としてそれはそれは…
朝潮,あの～司令官？
提督,朝潮は違法朝潮は違法朝潮は違法でもお金借りるだけなら…
朝潮,待てと言われればいつまでも待つ所存でありますが！！
提督,グハッ
朝潮,司令官どうなされました！ああ、そんなに苦しそうな顔で！すぐ救護室にお運びします
提督,いや……いいんだ。クズでも…できない…ことは…ある。いいんだ。あと3年くらい育てたら借りようお年玉貯めこむタイプの子だし。さっきはちっちゃな子だからと言って油断してしまった。状況を整理しよう借金できない＝俺マグロ漁船！。そうだ幼女でも遠慮している場合ではない。むしろお金の価値をわかっていないけど給料は貰っているのだから狙い目。よっしゃ！雪風！キミに決めた！！
雪風,しれぇ？雪風を指差してどうしました？。馬券だったらもう買いませんよ大淀さんに怒られちゃいました！。スクラッチも宝くじも競輪も競艇もオートレースもパチンコもぜーんぶダメです。こないだ僕のお膝の上に座ってればいいんだよとか言って雪風を騙したでしょ！。あのゲームパチンコとか言う賭けごとだって聞きました！！
提督,……そのごめんなさい。ぼく、ひとりで打つよ。これからも、何度も何度もハマるだろうけど…確変引けないだろうけど…。雪風、君を膝に載せないで打つ海物語は出玉が悪いと思う。でも…すぐになれると思う。だから…心配するなよ。だから…軍資金だけ貸して…ください。金貸して………というかこないだ建て替えた酒代返せよ
武蔵,えらいぞ覚えていたか
提督,戦艦なんだから演習専用でも結構もらってんだろ。返せよ
武蔵,月70万円というところかなだが残らん。いやー大和型は健啖でな。はっはっはっ。前に調子に乗った時は一晩で100万飲んでしまったよ。そして眼鏡のよしみで霧島から100万借りた。毎月30万返している。半年たっても返済が終わらない。ふっ…どうなって…いるのだろうな。ああ、お刺身食べたいなぁ……
提督,お酒辞めたら？
武蔵,酒がないと死んでしまう…でもお刺身食べたいなぁ
提督,過払い金請求したら？。俺俺俺だよ俺大和ちゃん。俺、俺だよ
大和,ええっどちら様ですか未建造
提督,早く出てきてよマジで
秋月,ふぁあああああ。駆逐艦の給料って月25万円も！うわあああなにこの防空艦手当1万円って！。衣食住がつくのに26万円！どうどうどうしましょう。使いきれないとかいうレベルじゃ。26万円なんてお金見たことありません牛丼にするとえーと７００杯くらい？。なな……ひゃっ…ぱい？。１日３食食べても９０回なのに……おかしいそんなわけがない司令に相談してみよう
提督,ふむふむ給料がおかしいと
秋月,はい毎食熱々牛丼におしんこととろろとお味噌汁もつけたって使いきれないんです！。しかも無料で食事は出るんです！おまけに成果給もあると…。秋月絶対になにか騙されてると
提督,馬鹿だなぁ。半知借り上げという言葉を知らないのか？。この戦況でそんな給料が出るわけはないでも、安いと見栄が。だから江戸時代と同じで名目はそれを支給半分は借り上げという形でまた戻すんだよ
秋月,あー納得しました！。お騒がせしてしまってすいません
提督,いいんだよでは返還手続きは私がやるから半分の１３万円を渡しなさい
陸奥,ふふふいい女にはね出費が多いの。確かに月収は１００万円近いけれど。この美貌と魅力の維持にはお金が…ね。だから貸せる分はないのごめんなさい
提督,美貌の維持？
陸奥,…ええ
