モバＰ,以降Ｐ表記ぃ？わかるぅ
柚,う、うん。さっきまであずきちゃん達と遊んでたから。どしたの？って言うか今の
Ｐ,いやな？来週のフリスクのロケでかぼすにちょっとした仕掛人やってほしいって番組側から頼まれたんだけど、どうする？
柚,全然オッケー♪むしろウェルカムだよ！…ねぇ、ところでその
Ｐ,よし、じゃあそう伝えとくわ。ありがとなかぼす
柚,柚だよ
Ｐ,え？
柚,え？
Ｐ,どうした？
柚,いやいや、それアタシのセリフ
Ｐ,え？
柚,そのえ？
Ｐ,何が？
柚,何がって、さっきからアタシの事何だか変な呼び方してない？
Ｐ,俺が？かぼすのことを？いつ？
柚,ほらぁ～！現在進行形で！
Ｐ,なんだなんだ、一体どうしたんだすだち
柚,ほらそうやってさっきからかぼ…すだち！？
晶葉,む？ここに置いておいたアイドルの名前をキチンと言えなくなるスイッチ
志希,ん～、奇遇だねぇ。アタシの目の前のスイッチを無意識に押しちゃう薬
柚,すだちでもかぼすでもないよ！柚子だよ！まってちがう柚だよ！
Ｐ,え、いやそりゃ知ってるけど
柚,じゃあさっきから何で変な呼び方するの！
Ｐ,変な呼び方？すだちとかかぼすとか、何言ってるんだ？
柚,…アタシの名前は？
Ｐ,かぼす
柚,ほーらぁ！
Ｐ,…あれ？。……かぼす？
柚,柚っ
Ｐ,………かぼす
柚,ゆーずっ！
Ｐ,むぎぎぎぎ…！。かっ…！……すだち！
柚,ゆぅーーずぅーーー！！
Ｐ,……なっ。なんじゃこりゃあ！！
柚,自覚症状無かったの！？
Ｐ,えっ？あれ？えっ…い、いつからだ？
柚,また毎度のことだけどヘンテコな事になっちゃってるのかなぁ。今回は志希ちゃん？晶葉ちゃん？
Ｐ,えーっと…さっきルンバ作ろうと晶葉のラボに寄って、スタドリと間違えて変なドリンク飲んで…えーっとそれから
柚,うん、もう原因分かったからいいよ？
Ｐ,なんかゴメンな…ぽんかん
柚,柚ちゃんだよ
Ｐ,確信犯じゃねぇか！
柚,まぁまぁ、きっと今頃必死になって解毒剤作ってくれてるよ
Ｐ,…だといいんだけど
柚,多分スレの終わりぐらいになったら完成するんじゃない？それにしても困ったねー
Ｐ,本当だよ。幸い今日はもう外に出る用事無いからいいけどさ。万一付き添っての仕事とかあったら大惨事だぞコレ
柚,いつまでこのままなのかなぁ？…ねぇねぇＰさん。アタシの名前は？
Ｐ,かぼす
柚,喜多見さん家にそんな人いーまーせーんー！。うーん、やっぱそんな早く元に戻らないかぁ…
Ｐ,３４６の阿笠博士と遠月十傑第二席もどきは今度ぐさぁーの刑だな
柚,アハハッ、あの２人はそんな呼び方になっちゃうんだ？
Ｐ,他のアイドルをどんな風に呼ぶか興味深々って顔しないでくれる？
柚,てへっ
Ｐ,チクショウあざといテヘペロしやがって。…で、お前さん今日はもう上がりだろ？帰らなくていいのか？
柚,酷いなぁー、こんなＰさんを放っておいてトコトコ帰れないよ
Ｐ,ぽんかん…
柚,ゆーずー。…まぁ、それに面白そうだし？
Ｐ,やっぱソレかい！
柚,てへっ
Ｐ,チクショウ舌つまんで引っ張ったろか
凛,あれ、どうしたの。なんだか珍しい組み合わせだね
Ｐ,しぶわん…
未央,なになに？また面白おかしなことになってるの？
Ｐ,ヨツボシ…
卯月,お金や腕力で解決できる事なら良かったですね！
Ｐ,斬月…
幸子,フフーン！ボクの超絶レアな花嫁衣裳姿のカワイサにやられちゃったんですね！
Ｐ,幸子…
肇,あ、あの…大丈夫ですか？
千枝,うどんさん…
文香,……メカクレよりパッツン派ですか？
Ｐ,ワシピンク…
ちひろ,もう…また変な事になってますね。仕事は大丈夫なんですか？
Ｐ,強欲モバコイン魔人…
菜々,こういう時は沢山お水を飲んでお腹の中を綺麗にするといいんですよ？
Ｐ,それ墨汁飲んだ時の対処法じゃないですか菜々さん。うーん、案の定みんなに心配かけちゃってるな……何故かチッヒにシバかれたけど
柚,あのさ、時々ちゃんと呼べてる人いなかった？
Ｐ,かぼすも付き合わせて悪いな。飽きたら帰っていいからな？
柚,いやいやさっきのは冗談だってば。アタシそんな薄情じゃないってばっ！
Ｐ,八朔…
柚,アタシだけ妙にレパートリー多くない？
Ｐ,今日中に治ってくれる事を祈るばかりでごぜーますよ…
柚,身も蓋もないこと言っていい？
Ｐ,どうぞどうぞ
柚,芳乃ちゃんは？
Ｐ,ああ、この世界の綻びが目立ちましてー。少々直してまいりますー
柚,わっ凄い！高田憂希さんそっくり！
Ｐ,しかし、よりによって芳乃がいない時に限って変な事件起こるよなぁ
柚,芳乃ちゃんいたらその場でピロリンッて解決しちゃうしね♪
Ｐ,解決しちゃっていいんだよ？
柚,ねぇねぇＰさん
Ｐ,何だいかぼす
柚,柚ーっ！
Ｐ,うーん、地味にキツいなコレ…苗字は平気なんだけど
柚,今のＰさんがありすちゃん呼んだら…あっ駄目だこの人普段から徹底して橘呼びしてるや
Ｐ,そうだ。じゃあ元に戻るまでの間だけ苗字呼びにすればいいのか
柚,おーっ盲点だね！
Ｐ,んじゃしばらくは苗字で呼ぶ事にするわ。それでいいよな？
柚,はーいっ。へへっ、何か新鮮だねぇ♪
Ｐ,ハハッ、確かに。なぁ喜多見
柚,はう
Ｐ,これなら他のアイドル達とも今まで通りにコミュニケーション取れるな。朱へちょとかぼのぼのとかみくとか……あれ？みくも言える…バラドル除外？
柚,…
Ｐ,あーあー、エセサディスト。わかるわ。堀裕子。わくわく。腹ペコアーチャー。こずえ。…境界線わかんねぇ
柚,やっぱ却下
Ｐ,ん？
柚,苗字呼びっ！やっぱ無し！
Ｐ,な、何で
柚,なんかヤダッ！
Ｐ,ど、どういう事だってばよ…。苗字じゃないと変な呼び方になってしまうんですが
柚,う～…それもヤだけど
Ｐ,喜多見呼び駄目なん？
柚,なんかイヤ！
Ｐ,…じゃあ、かぼすは苗字じゃなくて普通に伊予柑って呼ぶけど良いのか？ぽんかん
柚,何でアタシだけそんなランダムセレクト！？いや良くないけどさ良くないけどもさ！
Ｐ,あ、でもぽんかんって響きが可愛いからいいんじゃあ…
柚,いくない！。うぅ…名前を呼んでもらえない系アイドルありすちゃんの気持ちがわかる気がする…
Ｐ,そのジャンルどこの層に需要あるんだよ
柚,Ｐさんアタシの名前っ！
Ｐ,デコポン
柚,また変わってる～！柚だよ柚、たった２文字だよ！
Ｐ,そう言われても勝手に口から出てくるんだよ…。名前や苗字以外で呼ぶか？パッツンとか
柚,岡崎センパイとか被っちゃうよ
Ｐ,パーカー
柚,アタシ最近パーカー着てないし
Ｐ,テヘペロ
柚,さっきあざといとか言ったクセに～
Ｐ,じゃあペロ
柚,いやいやいやいや
Ｐ,フリ
柚,ユニット名分配された！。そうだ！呼び方大作戦！
Ｐ,それは大豆の持ちネタでは
柚,ねぇＰさん。融通
Ｐ,融通
柚,うんうん、じゃあもうちょっと早口で
Ｐ,ゆうずぅ
柚,もちょっと早く
Ｐ,ゆずぅ
柚,もっと早く！
