質問スレでAA貼っての投下の賛同と許可を頂いたので投下いたします,SS主体と言う約束
マクギリス,日本の四〇と言う所に出張になるとは…ここはさぞかし魚介類が美味いと聞く…。仕事は思ったより早く片付いた…生憎だがすることが無い…アルミリアや三日月達のみやげも買ったし…。後は家に戻るまでの時間をどうすごすか…ふむ…。まあ決まっている…。瀬戸内海の美味い魚介類たちとビールで盛り上がろうじゃないか！。昼間から仕事中だというのに飲酒か…私も偉くなったものだ…。だが忘れてはいけない…人と人とのつながり、思いやり…そしてそこから生まれる絆の尊さを…。なんてな！ついつい食欲のあまり調子づいてしまったよ！さあ！食事の開始だ！。しまった…ATMから金を下ろすのを忘れていた…。給料日で節約をしていて必要な金を下ろさなかったのが災いしてしまったよ…。財布の中身は5000円か…。時間的に俺の預けている金融機関は閉まっているだろうし…ふむ…。腹もへってきたな…。だが…せっかく遠出したんだ…せめて何か名物を…。うどん……かめやか…面白い名だな…。海鮮丼としゃれ込みたいが財布の中身の都合上仕方があるまい…うどんもこの地方の名物だ…ここに入ってみるか
店員,いらっしゃいませ～！
マクギリス,こ…これは。なんと言う上品な香りだ。魚の出汁の香りが店内に充満している…匂いだけで白米が食べれそうな勢いだ…。メニューは…うどんのオンパレードだな。まあ専門店だから当然ではあるが…。さて…席を…
店員,あの申し訳ありませんお客様…
マクギリス,おっとすまない。立ったままでは迷惑だったかな…
店員,とんでもございません！えぇと、今混雑していまして…相席でもよろしいでしょうか？
マクギリス,相席…構わんが？
店員,かしこまりました！恐れ入ります
マクギリス,さすがは観光地だ…ごった返しているな。それにこの見せはあたりと見た…。ふふ、つくづく私はついているよ。まあ世間的に見れば大敗北者なのだがな…。さてと…メニューを…
少女,はぁ…やっぱりここのうどんが一番好き～！
東郷,友奈ちゃん？ちゃんとよく噛んで食べるのよ？
友奈,はぁい！東郷さん！
マクギリス,ふ…子供達ですら笑顔にするうどんか…さっそく心が踊って来たよ…。さて…俺は何を頼もうかな…まずは生ビール…冬だろうと労働の後はこれにかぎる…。ほう…かしわ天…かき揚げ…単品もあるのだな…おろし醤油うどんだと…？ほう…さっぱりつるつるしていそうじゃないか。よし…決めたぞ…さっそく注文しよう…
店員,はぁいお客様ぁ！
マクギリス,おろし醤油うどん大とかき揚げ、かしわ天単品に生ビールをおねがいします！
店員,は、はいかしこまりましたー！。あの、本日はサービスで…2玉まで無料ですが
マクギリス,おねがいします！！！！
店員,ごはんも無料ですが
マクギリス,おねがいします！！！！！
友奈,…圧巻
マクギリス,ふふ…うどん出汁の素晴らしい香りとこの店内の熱気に飲まれてしまった…。うどん…心行くまで堪能させてもらうとしよう
友奈,あの～お兄さん？
マクギリス,ん…？
友奈,観光の方ですか？
東郷,ちょっと友奈ちゃん…初対面なのに…
マクギリス,はは、構わんよ。仕事でここの地方に訪問させてもらっている
友奈,私達、地元住なので、凄く嬉しそうにうどんを注文してくれて感激です！
マクギリス,地元…ここは海産物にも恵まれて素晴らしい場所だな
東郷,神樹様と大赦のおかげです
マクギリス,神樹…大赦…この国の組織か？
友奈,へ…？
東郷,大赦を知らないって…お兄さん海外の方…？
マクギリス,いや…生まれて初めて聞いた組織だよ…ギャラルホルンの事ではないのか？
東郷,ぎゃ…ギャラルホルン？なんのことかしら…？
マクギリス,…
東郷,か、会話がかみ合わない…
友奈,け、けどかっこいいお兄さんだよね！！ほらその…観光で四国に…あれ…観光？
東郷,ありえないわ…だってもうこの世界は…
マクギリス,…ひょっとしてこれはまたフル・フロンタルと出会った時と同じ…。こほん…君達…
東郷＆友奈,は、はい！
マクギリス,話をごまかそう…私の目的はあくまでうどんだ。かつて、大昔に厄祭戦と呼ばれる戦争があったのは知っているね？
友奈,と、東郷さん…知ってる？
東郷,わからないけど…けれど興味はあるわごくり
マクギリス,天使と呼ばれる大きな災害に立ち向かうために人は悪魔存在を作りそれらに抗うために戦った
東郷,！？
マクギリス,阿頼耶識とよばれる力で天使と戦った彼らはまさに勇者だった
友奈,え…
東郷,お兄さん…まさかあなたって大赦の…
マクギリス,ん？俺はただのしがない会社員だが？。やばいな…ごまかすつもりがますますややこしくなった…まあいい…フロンタルたちと同じで違う世界なら全てを話してやろう…。組織を立ち上げ、自ら牙をむき勇者として天使と戦いあったアグニカ…
東郷,ひょっとしてそれって大赦が出来上がる前の組織か何かなんですか！？お話詳しく聞かせてください！！！！！！！！
マクギリス,いかん…これ以上話すと食事どころじゃなくなる。ふふ、そんな話があったとさ…すまんな。冗談半分に聞いてくれると嬉しい
