モバP(以下P),俺が出張に行ってる間にそんなことになってんの？
紗南,え？企画はPさんが出したって聞いたけど？だからみんな乗ったんだよ？
P,まぁ企画出して出張行ってる間に進んでると思わないだろ？
紗南,まぁハンドカメラとかスマホ使った簡単なやつだしね？晶葉ちゃんと泉ちゃんが専用アプリ作ってたよ？
P,あの二人にやらせたのか……ま、そんな企画いきなりやったらそうだよなぁ。で、どんな感じ？
紗南,みんなエンジョイしてるよ！ほら、自由テーマって話だったからみんな割とノリノリっ！
P,そうか……まぁ不定期更新可で、適当にやれとしか言ってないしなぁ
紗南,うん、気楽なのが受けてるみたい？Pさんは出張大丈夫だったの？
P,あぁ人形とか初めてだったけど割とよかったな、泰葉にお仕事を……
紗南,smg2のAR3だっけ？
P,あぁ、その編成が鉄板……で………？
紗南,ドル〇ロやってたんだね？
P,それだけじゃないぞ！？しっかり他所の事務所の
紗南,片耳イヤホンって最高だよねっ！
P,あぁっ！最高だったわ三峰ぇ！
紗南,283プロに行ってたんだね？
P,お前……紗南お前ほんと……よくわかってるなぁ
紗南,まぁPさんがゲーマーなのはあたしもよくわかってるしね
P,で、どうなんだ？みんなどんな配信してるんだよ？
紗南,えっとねぇ……あたしはもちろんゲーム配信！視聴者さんからゲームのリクエストとか来るんだよっ！
P,だろうなぁ、18禁とかやってねぇだろうな？
紗南,それ自体セクハラだよPさん。えーっと、壺と棒で山を………
P,あぁ……
紗南,杏ちゃんとかもそういうのやってるから一定の人気あるよねー、ほらtwi◯hとかあるじゃん？
P,まぁ、ゲームって上手い下手関係なく見てても楽しいしなぁ
紗南,そういうことっ！安定して面白いからね！まぁ他の配信に比べてアイドルがちっさいってみんな言うけど
P,ワイプで画面端くらいになるよな、どうしても
紗南,まぁみんなゲーム目当てなとこあるけどね。あたしってゲームうまいってみんな知ってるし！
P,だよなぁ、ゲームの配信してるのはお前と杏だけ？あとありすか
紗南,ありすちゃんは料理カテゴリだね
P,おう、ストロベリーな臭いがする
紗南,あと……変わったところだと乃々ちゃんかな
P,は？乃々も配信やってるのか？
紗南,最初は嫌がってたけど、出来るだけ自分を小さくって考えたらしいよ？
P,理由が不順過ぎる……で？
紗南,えっとね……ワイプでも見られるのが嫌になってさ……これだこれ。こうなった
P,名前がツッコミどころしかないけど……？
トト,今日は、いつも通りランクマッチに潜っていくよ！。昨日は結構負け越したからねっ！今回はいけるんですけど！
乃ト,えっ、……違うんですけど、森、や、山久保は山久保なんですけど……
乃々,うぅ、ちっがーうんですぅ！山久保！やーまーくーぼー！。言ってないんですけど！なんで決定事項になってるんですか！？。森久保乃々ちゃんは友達だけど違うんですけど！
P,なにこれ
紗南,何って……カスタ◯キャスト？
P,もはやアイドルがワイプにすら映ってないけど！？
紗南,なんかこう、Pa味溢れるキャラが動いてるよね
P,なんだこれ……この……謎のノリ……
紗南,乃々ちゃんも顔隠したらこの際ってノリノリのテンションでやろうとしたみたいでさ
P,ゲームは？
紗南,あたしが教えたっ！
乃々,うぅ……見ないでほしいんですけど……
紗南,乃々ちゃん、いたんだ？
乃々,紗南ちゃん知っててもりくぼを話題に出しましたよね……？
紗南,あはは、いるかなーとは思ってた
P,乃々、アイドルとして顔を完全に隠すのはどうなんだ？
乃々,ほ、他の人もやってるんですけど……？
P,え？マジ？
紗南,アイドル達のチャンネルってことはファンのみんなもわかってるけどね、隠してる人もいるよ？
P,ふむ、まぁその辺は自由か。とはいえ乃々、お前なんでこんなことやってんだ？
乃々,別のキャラになり切ってみるのもいいよって紗南ちゃんと美玲ちゃんに……
紗南,おどおどしてるより思い切りあった方いいかなって！
P,公式チャンネルでキャラ崩壊はどうなんだよ
紗南,まぁそのへんは視聴者さんもわかってて煽ったりして遊んでるしからさ？
乃々,番組の間は山久保なんですけど……
P,まぁ乃々の件はわかった、あと顔を隠してるのってどのくらいいる？
紗南,んーっと……割合は少なめかな。りーなちゃんとか、レナさんとか……まぁみんなバレバレだけどね
P,そりゃ消去法で結構絞れるもんなぁ
