なんやかんやで賢者が仲間になった！その後一行は守銭奴かつホスト通いの神と出会い勇者はひのきのぼうを鼻から産み出す悲しき生物にされてしまう。,しかも代償あり
剣士の新スキル、一兎両断,いっとりょうだん
盗賊,アニキ、1000万ゴールド手に入れましたよね…
勇者,あ？やらねーぞ
盗賊,なんで馬車買わないんすか？
勇者,高いじゃん？
盗賊,1000万ゴールドからしたら微々たるもんでしょ！！
勇者,え？なにお前リアカー牽きたくないの？
盗賊,あ、いえ、そういうわけではないんすけどね…はは…。こえーよ…
剣士,まぁまぁ…盗賊…。同じ修行の身なんだからその一環だと思えば…
盗賊,俺は弟子入りしてるわけじゃないっすよ！！
剣士,え？じゃあなぜついてきてるんだ？。ファンとか？
勇者,こいつしつこくてさ
盗賊,ストーカーじゃないんすから！！。いや、話せば長くなるんすけど簡単に言えば。力でねじ伏せられて以来、圧力でついて来させられてる
剣士,一行でまとまるじゃねーか
賢者,簡潔だけど泣けるわね
勇者,あっはっは！！弱き者の宿命だな！！
盗賊,ぐぬぬ…
勇者,俺は魔王討伐まで連れていくつもりだけどな！
剣士,さすが師匠！！仲間愛が海より深い！！
勇者,そうだろそうだろ！！
賢者,ほぼ拷問ね
盗賊,遺書はもう用意してるっす。そもそもブースト前のひのきのぼうでシバかれるくらいの力しかないのに…。そういや地元でも四人組で盗賊してた訳だし…俺って…
勇者,あ、止めろ
盗賊,え？
剣士,どうしました？
勇者,ちょっとトイレ
剣士,遅いですね
盗賊,成功するものって長便所らしいっすよ
剣士,さすが師匠だ
賢者,眉唾ね
盗賊,なんか腹へったな
剣士,もう少しで次の村ですよ
盗賊,あ、キノコ発見
賢者,あら
盗賊,食べてみようかな
剣士,よくそんなもの食べれますね
賢者,よくあなたが言えたわね
剣士,え？
勇者,ふぃぃ…遅くなったぜ
剣士,いえいえ！そんな事ないですよ！
盗賊,あひゃひゃひゃひゃ！！
賢者,！？
剣士,盗賊さん？
勇者,さっ、行こうぜー
賢者,さっ、行こうぜー、じゃないわよ！おかしいでしょ！
盗賊,はーっはっはっ！！！
剣士,師匠！！盗賊の様子が！！
勇者,おや？盗賊の様子が？。進化でもすんのか？
賢者,どうみても普通じゃないわよ！
勇者,うーん…
盗賊,あー！妖精さんだ！！妖精さんがいるよ！！
勇者,いつもの盗賊じゃねーか
賢者,あなた目ついてる！？
剣士,確かにいつもの…
賢者,自分の意思を持て！！
勇者,盗賊が変なのは昔からだしな、というか俺以外みんなバカじゃん
賢者,あなたには言われたくないよね
勇者,いったんさ、勇者がおかしいって印象を払拭しようぜ。勇者が一番変に見えて実は一番常識人なんだって事を声を大にして言いたい
賢者,あんたが常識ならいったん魔王の統治下におかれたほうがいいでしょ
勇者,ほらな、イカれてる
賢者,はぁ！？
剣士,ま、まぁ！それより魔法で解毒を！！。恐らくさっきのキノコだと思うんだ！
賢者,うーん…毒や麻痺なら治せるけど…
盗賊,にゃんにゃん！にゃんにゃん！
賢者,ラリってるのは治せないわ…
盗賊,あひゃひゃひゃひゃ！！
剣士,そんな…じゃあ一生このまま…
勇者,もうさ、山に置いていけばよくね？治ったら戻ってくるでしょ
剣士,犬じゃないんだから！！。じゃあ、とりあえず代わりに賢者が一緒にリアカーを牽いてくださいよ
賢者,えぇ…魔法で牽くから乗りなさい
剣士,え？はじめからそれでよくね？。速いじゃん…速いじゃん…
賢者,ごちゃごちゃ言わずに盗賊を運んで
盗賊,あれ？お空を飛んでるよ！？
剣士,どうですかね？
店主,うーん、八葉草じゃな
剣士,ヤバそうなんですか！？
店主,いや、八葉草といって…キノコに似た草なんじゃが。心当たりは？
剣士,あります！
店主,なら２、３日もすれば元に戻るじゃろう…
勇者,ほらな、言った通りだろ
賢者,なにを！？
剣士,よかった、じゃあ今日は泊まりましょう
勇者,そうだな
店主,毎度あり、あ、あとこの先の浜辺には海がありますが
勇者,おう、そこが目的地だ
店主,ならば彼は連れていくのはよしたほうがいい
剣士,？
店主,八葉草を食べた者が海に近づくと、人魚に拐われちまうからよぉ……
勇者,よし、連れていこう
店主,話きいてたぁぁ？！
勇者,いや、人魚捕獲して喰うのが目的だからさ
店主,とんだ修羅じゃねーか！。まぁ、用心せいよ。人魚は人の心を見透かすからな
賢者,ふーん…
剣士,なんか、不気味ですね
店主,あ？人魚伝説とか聞いとく？鉄板イベントじゃろ？
勇者,あ、めんどいからいいや！
店主,えぇ！？
勇者一行,zzZ……。。
盗賊,はー…はっ！。なにか…声が聞こえるぅ……？。向こうからか…ひひひ…
勇者,ん？…なんだ小便か？。まぁ、いいや眠いし…
盗賊,あっはっは！なんてきれいな海なんだ最高だぜ！！！。入っちゃお。海のなーかでもぉ～♪息できる～～♪ブクブク.。o○
剣士,し、師匠！！師匠起きてください！！
勇者,んー…なんだよ？
剣士,盗賊がいないんです！！
勇者,えー？そんな奴はじめからいないだろ？
