藤居朋,ねぇねぇ2人とも！明日、あたしの部屋に泊まらない？
白菊ほたる,……
緒方智絵里,……
智絵里ほたる,……へ？
白菊ほたる,私たちの
ほたる,い、いきなりどうしたんですか……？
朋,ふふふ……いきなりどうしたんですかって顔してるわね！
智絵里,まさにそう言ってましたけど……
朋,明日ってけっこう遅くまで3人でお仕事があるでしょ？
ほたる,あ、そういえば確かに、撮影が遅くなりそうという話がありました
朋,うんうん！それで、明後日は朝からお仕事じゃない？
智絵里,ええと……そうですね、とっても早いみたいです
朋,その明後日のお仕事なんだけど、集合場所、覚えてる？
智絵里,国内……？
朋,もうちょい絞れなかった？
ほたる,このスタジオは行ったことのない場所ですね……
智絵里,現地集合……ですね。迷わず行けるかなぁ……
朋,それよ！！！
ほたる,はいっ！？
智絵里,て、テンション高いです……！
朋,なんとこのスタジオ、あたしの部屋からすっごい近いの！どれくらい近いかって言うと植木鉢の降ってくるヒマもないくらいよ！
ほたる,そうは言いますが、私は事務所から隣のコンビニに行くだけで3植木鉢を記録したことがありますよ
朋,落ちてきた植木鉢の数でマウントを取ってくるアイドルってけっこうヤバいから目を覚まして。ま、まあそんな感じだからさ？明日はウチに泊まっていって、そうしたらすぐに仕事に行けるってこと！
ほたる,なるほど……
朋,どうかな……？
智絵里,もちろん行きますっ！
朋,ほんと！？
ほたる,はい、断る理由はありません。よろしくお願いします
朋,わーい！
智絵里,かわいい
ほたる,かわいい
朋,いやー、楽しみね！お掃除しなくちゃ！。あ！お皿溜まってたっけ！洗わなきゃね！。あとはー……えーっと……！
ほたる,朋さん、楽しそうですね……
智絵里,うん……！
朋,そりゃそうよ！
ほたる,！？
朋,だっていつも2人はお泊まりとかしてるんでしょ？あたしを仲間外れにしてー！
智絵里,い、いえ、仲間外れという訳ではなくって……
朋,まあ、ちゃんとわかってるわよ？でも、それはそれ！これはこれ！あたしだって混ざりたいのよ！
ほたる,ええと……すみませんでした……
朋,いいのいいの！その代わり、2人のお話、聞かせてね！ほら、パジャマだと普段話せないことも話しちゃうでしょ？
智絵里,確かに……”普段着より薄いから仕留めやすそうだね”という話をしたら”防弾パジャマですけどね”と返されました……
朋,一般女子のパジャマパーティーとのズレが酷すぎるわね。あ、そうそう！パジャマといえば、最近新しいパジャマを買ったのよ〜
智絵里,わぁ、そうなんですか？
朋,ちょっと待ってね、通販サイトに写真が……えっと……
ほたる,朋さんなら何を着ても似合いますよ
智絵里,あっほたるちゃんっ！点数稼ぎはよくないよっ
ほたる,智絵里さんも言えばいいのでは……
智絵里,わたしは写真を見てからテキカクなコメントを残すからっ
朋,あったあった！これよこれ〜
ほたる,！！！！！！！
智絵里,！！！！！！！
朋,？
ほたる,こ、これは……！！！
智絵里,形としては普通のパジャマですが……い、色が……
ほたる,レインボー……！？
智絵里,は、はっきり言って……
ほたる智絵里,とってもダサい……！！！！！
ほたる,え、ええっと……
朋,わかるわ……！
智絵里,……え？
朋,あたしも最初に見たときは衝撃を受けたわよ……！こんなにも……
ほたる,こ、こんなにも……？
朋,こんなにも運気が上がりそうなパジャマがあるのかってね！
ほたる,うーーーーん……
智絵里,うーーーーん……
ほたる,で、でももしかしたら実際に着てみたら似合う可能性も……
智絵里,そう……なのかな……？
ほたる,と、朋さん
朋,どうしたの？
ほたる,実際に朋さんが着ている写真ってありますか……？
朋,え？でもどうせ明日見るんだし、今見ても仕方がなくない？
ほたる,あ……え、ええと……
智絵里,も、もう！”こんな素敵なパジャマを着た朋さんを少しでも早く見たい”なんて、さっきから抜け駆けが過ぎるよほたるちゃんっ
ほたる,！？
朋,それならしょうがないわね〜
ほたる,！？
智絵里,セーフ……！
ほたる,”こんな素敵な”のくだりはいらなかったのでは……
朋,あ、そうそう！昨日、海ちゃんと雪菜ちゃんに送ろうと思って撮った自撮りがあったんだったわ！撮った直後にテレビ見始めちゃって送り忘れてた！
智絵里,み、見てもいいですかっ？
朋,も〜？そんなに気に入ったの？ちょっと待ってね？
智絵里,気に入ったというか……
ほたる,気になったというか……
朋,はいっ！
ほたる智絵里,やっぱりダサい……！！！！！
智絵里,予想はできてたけど……！
ほたる,着ている朋さんはかわいいのに……！
朋,？
智絵里,で、でもこんな真っ直ぐな目の朋さんにそれダサいですよ
ほたる,ですが、ここで教えるのが優しさでは……
智絵里,確かに……このまま例えば取材やテレビでこのパジャマのことを話して、下手に画像が出回ったりしたら恥をかいてしまうのは朋さん……
ほたる,と、とりあえず明日までに説得の方法を考えて……
朋,ついでに海ちゃんと雪菜ちゃんにも送っちゃおー♪
智絵里ほたる,まった！！！！！
朋,うえぇ！？。ど、どうしたのよそんなに大きな声出して！
智絵里,あ、え、ええと……
ほたる,お、お二人に送る用の画像は、私たちが撮ります！
朋,え？
智絵里,なるほど……！
朋,いやー、でも海ちゃんと雪菜ちゃんよ？そんな気にするほどじゃ
智絵里,で、ですが！えっと、例えばこれを見たお二人からもっと他のアングルも見たいなんてリクエストが来たら答えられません！
朋,なるほど……？
智絵里,それに、こんなにダサ……じゃなくて、えっと！
朋,ダサ？
ほたる,ユニークな！！！！！
