白菊ほたる,プロデューサーさん、あの、お呼びでしょうか
Ｐ,ああ……ほたる、そこに座りなさい
ほたる,はいちょこん
Ｐ,かわいい
ほたる,あの……？
Ｐ,ああいや独り言だ、気にしないで……ほたる。何故自分が呼び出されたか、解っているか？
ほたる,解りません……あの、私何か、よくないことを……？
Ｐ,しらばっくれようというのか、ほたる
ほたる,そ、そんなこと……！
Ｐ,あくまでもシラを切るなら仕方あるまい。ほたる。立ってくるっと一回転しろ
ほたる,は、はいくるりと一回転。ふわっと広がるスカート
Ｐ,かわいい
ほたる,あ、あの……
Ｐ,気にしなくていいったら―――やはりだ。俺の目はごまかせないぞ、ほたる
ほたる,……
Ｐ,お前、ちょっとふっくらしてきたな？
ほたる,！！
Ｐ,やはりか……
ほたる,プロデューサーさんの目はごまかせないですね……実は、今月に入ってから、ウエストが……3センチも……
Ｐ,しかし、どうしたんだほたる。普段は節制しすぎで心配になるほどのお前が突然……しかもサイズが変わっても報告ないなんて
ほたる,それは……
五十嵐響子,待ってくださいＰさん！
安部菜々,ほたるちゃんは悪くないんです！！
Ｐ,出たなおかんアイドルどもめ
ほたる,お二人は悪くないんです……！ただ私の事を心配してくれただけで……！
Ｐ,そうなのか？
菜々,はい、ほたるちゃん……というか、この事務所の子ってちょっとスマートすぎるじゃないですか
Ｐ,それは確かに
響子,ステージは過酷です。みんなもうちょっと食べて、体力つけてもらったほうがって、菜々さんと相談して
菜々,ほたるちゃん、いつもちょっと根を詰めすぎていて心配だったというのもありまして。二人で鳥取の家庭料理とか、ほたるちゃんが食べたがりそうな料理を次々と
ほたる,それがとっても美味しくて……
Ｐ,そういうことだったのか……菜々さん、なんてことをしてくれたんですか……！
菜々,無断でやっちゃったのは謝りますが、育ち盛りの子たちですし。あまり食が細いのは……
Ｐ,菜々さん、貴女は解ってない。これはほたるの危機なんですよ！！
響子,ええっ、ほたるちゃんの危機！？
ほたる,私の危機！？
Ｐ,そう、これはほたるの今後の方向性にも関わる重大な問題です……
響子,解りません。Ｐさん、何がそんなに問題なんですか？
Ｐ,そうだな。解らないよな……ほたる
ほたる,は、はい
Ｐ,正直に言いなさい。増えたのはウエストだけではないな？
響子,！
菜々,！
ほたる,は、はい。実は……
Ｐ,公式にサイズも訂正しなくてはいけないからな。ちゃんと言いなさい
ほたる,……実は、ＢとＨも、4センチづつ……！
Ｐ,やはりか……！
響子,むしろ胸の方が増えたの！？
ほたる,はい……
Ｐ,これは充分考えられたことなんだ
菜々,どういうことなんですかＰさん！
Ｐ,ほたる。お前、うちに来てから楽しいって言ってたな
ほたる,はい。レッスンにも打ち込めるし。友達もできて。菜々さんや響子さんかみたいに、私なんかを心配してくれる人も沢山いて……私、今とっても幸せで……
菜々,ほたるちゃん……ほろり
響子,私たち、いつでもほたるちゃんの味方だから……！
Ｐ,そして……ほたる。これは少し答えにくいことかもしれないが、この事務所に落ち着くまでの間、あまり夜眠れてなかったんじゃないか？
ほたる,ど、どうして解ったんですか
Ｐ,アイドルを目指して親元を離れて頑張っているのに不運な事ばかりが起き、会社もつぶれたり。アイドルとしての将来以前に、明日が不安―――そんな環境で中学生の女の子がぐっすり寝られるわけはないからな
菜々,ほたるちゃん、苦労してますものね……
Ｐ,ところで、バストの成長には睡眠がとても大切だと言われている
響子,そこに繋がっちゃうんですか
Ｐ,育ち盛り。安定できる環境。心が安定してぐっすり眠れるようになる。そこに愛情と栄養たっぷりの食事が合わされば、それはもう白菊山はすくすく大成長さ！
ほたる,//////
菜々,で、でもそれのどこに問題が……！？
Ｐ,菜々さん、今までのほたるのスリーサイズ、知ってますか
菜々,ええはい。たしか77-53-79―――ハッ！？
ほたる,あ、あの、あの？
Ｐ,そう。この成長でほたるのスリーサイズは81-56-82となるんだ
響子,成長したのに私よりウエスト細い！？
菜々,これは由々しき事態ですね
響子,すみません、何言ってるのかわかんないですが
Ｐ,いいか響子。男というのはな、スペックが大好きな生き物なんだ
響子,スペック……？
Ｐ,最高時速300ｋｍとか、体重550ｔとか、材質は航空機にも使われている超硬ジュラルミンだとか……そういうデータが大好きなんだよ。女の子のアニメであるプ●キュアは体重や身長の設定が無いけど、男の子のアニメだとロボのそういう数値がけっこう細かく決めてあるだろう？
響子,言われて見れば……
菜々,数値から入るところがありますよね。現物を見るより、これは何センチだから大きいに違いないって先入観を持つ感じというか
Ｐ,その通り。そして……Ｂの80とは、そういう男どもの、お山に対する判断基準の１つ！
ほたる,つ、つまり……！
Ｐ,男たちが最近急成長の白菊山に注目するようになるってことだ！
ほたる,まさかそんな
Ｐ,いや賭けてもいいが、80以下と80以上だとお山への注目度って全然違うんだよ
ほたる,えええ
Ｐ,ほたるは色々あったからな。そういうのは早いと思っていたんだ。だが実際に成長してお山や太腿がぷるんぷるん揺れるということになればファンがほたるに求めるものは当然違って来る……！
菜々,水着のお仕事待ったなし……！
Ｐ,慎重に時期を見極めてほたるの心身が整ったところでそういう仕事を入れていこうと思ってたのに……！
響子,私たちが愛情こめた手料理をご馳走したばっかりに……！
Ｐ,だがこうなってしまってはもう仕方が無い。ほたる、覚悟はいいか
ほたる,え、えっ
Ｐ,今日からお前はセクシー路線で売っていくんだ！！
ほたる,セクシー路線！？
Ｐ,ガーリーホープは返上。今日からはガーリーエロス！
ほたる,セクシー通り越してエロス！？
Ｐ,そうだ。こういうのは思い切って行くほうがいいんだ。バンバン露出あげていくぞ！
ほたる,わ、私、そんなアイドルなんて……あの、お二人からも何か……！
菜々,ほたるちゃん……すっかり成長してほろり
響子,ほたるちゃんは私を置いて大人の階段を駆け上がってしまったんですね。ちよっぴり寂しいほろり
ほたる,響子さんと私のプロポーションて殆ど変わらないじゃないですか
Ｐ,さあこうしては居られない。早速ハワイに撮影旅行、水着写真集の発売だ
ほたる,私、私そんなの
Ｐ,こうなるとフレッシュさが売りのＧＢＮＳとは方向変わってくるからほたるには脱退してもらわないとな
ほたる,そんな……そんなの嫌です！私、みんなとまだやって行きたい……！
Ｐ,そのかわり明日からはセクシーギルティで活動してもらう
ほたる,無茶にもほどがあります！！
Ｐ,ははは、騒ぐな騒ぐな。戸惑う気持ちは解るがこうなってしまったものは仕方が無い。覚悟を決めるんだほたる
菜々,がんばれほたるちゃん！
響子,応援してますほたるちゃん！
ほたる,こんなうれしくない応援初めて……！嫌、嫌です！私、そんなのまだ早い……こんなのおかしい、おかしいです！
Ｐ,うん、おかしくて当然だ
ほたる,えっ
Ｐ,だってこれ、夢だもの
ほたる,
菜々,そろそろお目覚めの時間ですよー
響子,現実でもご飯沢山食べてくださいねー
