卯月担当プロデューサー,以下卯月P
ちひろ,ええ、馴れ初めというと変かもしれませんけど、卯月Pさんがどうして卯月ちゃんを担当しようとしたのかを聞いてみたくなりまして
卯月P,そうですねぇ…
ちひろ,あ、別に業界でよくあるティンと来た！とか具体的な理由がないならそれはそれで
卯月P,それは大丈夫ですよ、ちゃんと理由はあります
ちひろ,おお、さすがは卯月Pさん！それでは差し支えなければ教えて欲しいです
卯月P,そうですねぇ…あれは担当アイドルを求めて各地の養成所を巡っていた時のことです
ちひろ,ふむふむ
卯月P,とある養成所で私は一人ひたむきにレッスンをしている島村さんに出会いました。ダンスはとても上手とは言えない、歌唱力も抜群とは言い難い、しかし彼女には無視できない光輝くものがありました
ちひろ,成程、それが笑が
卯月P,そう、お尻です
ちひろ,…………は？
卯月P,ステップを踏むたびにプリプリと揺れるお尻！躓いて尻もちをついて大きく形を変えるお尻！。彼女のレッスンを見ている時その…下品なんですが…勃起してしまいましてねぇ…ふふっ。気が付いたら彼女に名刺を渡していました
ちひろ,
卯月P,…とまぁ、これが卯月との馴れ初めですかね
卯月,おはようございま～す！
卯月P,おお卯月！おはよう！もうそんな時間か…早速だけど仕事先に向かうぞ！
卯月,はい！お仕事楽しみです！
卯月P,それじゃあちひろさん、行ってきます！
ちひろ,…はっ！？。あまりの衝撃発言で気絶していました。自分の性癖で担当してるだなんてあんのエロデューサーめぇ…！今度からスタドリ価格倍にしてやる！
未央担当プロデューサー,以下未央P
ちひろ,あっ、未央Pさん！聞いてくださいよ！
未央P,なんですかちひろさん藪から棒に
ちひろ,実は…スタスタエナエナで…
未央P,う～ん…まぁ公言するかはともかくとして、担当の魅力を理解してプロデュースしているなら問題ないのでは？
ちひろ,でもぉ…
未央P,そこで担当に手を出しちゃってるならプロデューサーとして問題でしょうけど、別にそんなことも無いんですよね？
ちひろ,それは…そうだと思います
未央P,じゃあ良いじゃないですか、あくまできっかけがそうだったというだけの話ですよ
ちひろ,う～ん…じ、じゃあ未央Pさんはどうなんですか？
未央P,俺ですか？
ちひろ,はい！未央Pさんはどうして未央ちゃんの担当になろうと思ったんですか？
未央P,俺の場合は…原石発掘のオーディションをしていた時に一目惚れですね
ちひろ,ふむふむ
未央P,オーディションでは何人かで並んで話をしてもらうんですけどその中で未央は一際目を引いたんですよね。ただ何気ない会話をしているだけなのにこちらまで楽しくなってくるような…
ちひろ,未央ちゃんのあの明るｓ
未央P,おっぱいです
ちひろ,………は？
未央P,未央って話すときのアクションが大きいんですよ、そしてそれに合わせてちゃんみおっぱいがブルンブルンって弾むんですよ！。あれを見てその…下品なんですが…勃起してしまいましてねぇ…ふふっ
ちひろ,お前もかよ！！！
未央P,見る人を元気意味深
未央,おっはよ～ございま～す！
未央P,おお未央、おはよう！
未央,プッロデュ～サ～！今日も頑張ろうね！
ちひろ,！？
未央P,みみみ未央さん？ハグはいいんだけどそのご立派なお山が当たっていましてね？
未央,ふふっ、あ・て・て・る・の♪
未央P,みおすき…！はっ！？負けるな俺！静まれムスコよ！…そ、そうだ未央！そろそろ仕事の時間だろ？早く行くぞ！
未央,ちぇ～……うん！じゃあ一緒にいこっ！
未央P,おああああ！腕を組むなあああああ！腕がお山に挟まって…行くから！すぐ行くからああああ！
未央,いってきま～す！
ちひろ,未央ちゃん…恐ろしい娘っ！。じゃない！何なんですかウチのプロデューサーさん達は！。あのハゲはスタドリ価格3倍にしてやる…！
乃々担当プロデューサー,以下乃々P
ちひろ,…あら、お疲れ様です
乃々P,なんですかちひろさん、不思議そうな顔して
ちひろ,いえ、この流れならきっと次に来るのは凛ちゃんのプロデューサーさんかと…
乃々P,はぁ…？
ちひろ,いえすみません、こちらの話です…あ、乃々Pさん一つ良いですか？
乃々P,何ですか？
ちひろ,乃々Pさんがどうして乃々ちゃんを担当するようになったのか興味がありまして
乃々P,あ～…
ちひろ,言いにくいのでしたらいいですけど
乃々P,いえ、構いませんよ。あれは…他のアイドルの子の撮影現場の手伝いをしていた時の事ですね。親戚に頼まれてヘルプとして来ていた乃々を見かけまして、その時にあの子が見せたネガティブとヤケクソが入り混じった表情が印象的でして
ちひろ,乃々ちゃんがよく言うやけくぼってヤツですか
乃々P,そうですね、あの顔を見ていると…何と言いますか…
ちひろ,んっ？何か雲行きが…
乃々P,勃起しちゃいましてね…ふふっ
ちひろ,……お前もかっ！
乃々P,アイツ本当に良い顔するんですよ…！あいつのヤケになった顔をもっと見たい！その一心でアイツをプロデュースしていると言っても過言ではないです
ちひろ,うわぁ…
乃々P,というわけで…
ちひろ,乃々Pさんどうし…
乃々P,よっこいせっと
乃々,ひええっ！
ちひろ,乃々ちゃん！？居たんですか！？
乃々,はい…ずっと…
乃々P,というわけで森久保ォ！今日も人前に出る仕事が目白押しだぞ！
乃々,ううっ…そんなの…むーりぃ…
乃々P,はっはっは！逃がさないために先に首根っこを押さえているんだからな！観念しろ！
乃々,ううっ…引きずらないで欲しいんですけど…
乃々P,今日も良い顔見せてくれよ森久保ォ！
ちひろ,ああ乃々ちゃん…頑張って…
乃々,言われなくても…
ちひろ,ん？
乃々,一生離れてなんてやらないんですけど…
ちひろ,……共依存、って奴なんでしょうか。…まっ、当人たちが満足しているなら良いですね！ちっひ細かい事きにしな～い！
