氷川紗夜,嫌な夢を見ていた。真っ暗な夢だった
紗夜,辺りを見回しても何も見えない、光の射さない暗闇の中を彷徨い続けていた。救いの声も響かず、自分が伸ばした手さえも見えない。そこにあったのは空虚な自分の輪郭を曖昧に撫でまわす寂寥の闇だけだった。やがて闇は私の中をじわじわと侵食してきた。堪らなくなって、走り出した。何でもいい、誰でもいいから、どうか私に光を与えて。そう願いながら走り続けると、やがて目の前に一条の光が射した。是非もなくそこへ飛び込んだ。私を待ち受けていたのは空だった。落ちる。そう思った時には、私は地面に向かって真っ逆さまに落ちていた。死ぬのかな。だけど、あの暗闇にいるよりはマシかもしれない。そう思ったところで、夢から醒めた。枕が濡れていた。どうやら私は泣いていたようだ。高校生にもなって嫌な夢を見て泣くなんて情けない、と思った。でも、とすぐに思い直した。私が今、何でもなく歩んでいる日常。ロゼリアというバンドがあって、頼れる仲間がいて、バンドを通じて知り合った友人たちがいて、妹を大切な家族だと心の底から思えるようになった日常。これも、何か一つでも踏み違えれば、あの夢のように奈落の底へと滑落していたのかもしれない。それなら今の私はこれ以上ない幸福に恵まれているのだろう。それならもっと素直に、私に色々なものを与えてくれた人たちに感謝を伝えるべきだと思った。おはよう、日菜
氷川日菜,ん、おはよ～おねーちゃん。珍しいね、おねーちゃんがあたしの部屋に来るなんて
紗夜,ええ、ちょっと用事……いえ、用事というほどでもないんだけど
日菜,どしたの？あ、まさか愛の告白とか？もー、おねーちゃんてば朝から大胆なんだから～！
紗夜,告白……そうね、告白と言えなくもないわね
日菜,……え？
紗夜,日菜
日菜,は、はい？
紗夜,…………
日菜,…………
紗夜,勢いで日菜の両肩に手なんて置いたけど……どう言えばいいのかしら
日菜,え、えっ？おねーちゃん、なんかすっごい真面目な顔であたしのこと見つめてる……
紗夜,……まぁ、まだ少し照れがあるけれど……素直にお礼を言えばいいのよね
日菜,まさかマジな告白……？え、ど、どうしよ……そりゃ嬉しいけど……姉妹で結婚って出来るのかなぁ……？
紗夜,日菜
日菜,は、はい！
紗夜,……いつもありがとう
日菜,……うぇ？
紗夜,私は……昔は自分のことばかり考えていてあなたにひどいことを多く言ってしまったけど、あなたはそれでも私から離れず、いつも近くにいてくれたわよね
日菜,え、ま、まぁ……そうだね
紗夜,ありがとう。こんな私を見限らず、ずっと傍にいてくれて
日菜,えーっと……？
紗夜,思い返してみれば、きっと私は、あなたのおかげで色々なことに打ち込めたんだと思うわ。昔は日菜に負けてばかりで嫌な思いをすることも確かにあった。だけどそういう経験が私を強くしてくれたし、何よりあなたに負けたくないという気持ちが私を高みに導いてくれた、と……今はそう思えるようになったわ。だからありがとう、日菜
日菜,あ、うん。どういたしまして？
紗夜,それと、昔のことは本当にごめんなさい。あなたを傷付けるようなことばかり言ってしまっていたわね
日菜,ううん、それはもう昔の話だし気にしてないけど……それよりおねーちゃん、どうかしたの？
紗夜,何が？
日菜,えっと、なんか今日はすごい素直っていうか優しいっていうか……いつもと調子が違うからさ
紗夜,……色々と心境の変化があったのよ。だから、これからは少しでも素直になろうと思ったの
