幼馴染(6),男くんだいすきー、えへへ
幼馴染(7),男くーん！あーそびーましょー♪
幼馴染(8),男くんサッカー上手でかっこいーー！
幼馴染(9),男くん！あたしからバレンタインチョコ！
幼馴染(10),男くん最近どうしてあそんでくれないの
幼馴染(11),男くん……。……あ、うん友子ちゃん行こ
幼馴染(12),え？男とは別に仲良くないよ。ただの幼馴染だよ
幼馴染(13),なんかこうして話すの久しぶりだね。元気だった？じゃね
幼馴染(14),はいこれ。手紙。あ、あたしじゃないって。友子に渡してくれっていわれたの。ちゃんと返事してあげてね。……じゃ。勉強がんばれ
幼馴染(15),久しぶりにおんなじクラスだね。またよろしく。お、勉強がんばってるなー。私もここでやっていい？
幼馴染,あんた昔はスポーツ大好き少年だったのにいまはすっかりガリ勉だね。あはは
幼馴染(15),暗くなってきたね。一緒にかえろっか……。そういえば。友子と付合わなかったんだね。せっかくなんだから彼女くらいつくっときなよー。夏祭りいかない？。みて！浴衣！似合う？。花火…綺麗だね。あーあ受験生じゃなければもっと遊べたのに。受験する高校きめた？。うわ、めっちゃ偏差値たかいとこじゃん。あたしの成績でいけるかな……ってなんでもないよ！なーんでもない！えへへ。ごめんママ。いま勉強忙しいから用事あとにして。よし。模試はまずまず。あんたどうだった？
幼馴染,もうすぐ冬休みだねー。ねぇクリスマスってさ……なんか用事ある？。パパが会社のひとからもらってきた水族館のチケットあるんだけどさ…。え、ほんと！？やった！。約束ね！。なんで待ち合わせ来ないんだろ……。携帯つながんないや…。もしもし………あーあんた！なんで今頃電話――――え？おばさんが？。そんな………。おばさん…うそ、だよね……。なんで…。あけましておめでとう。聞いたよ。田舎で療養するんだってね。じゃあ…親戚の家に引っ越すんだ。しかたないよ。おばさんを大事にしてあげて。謝らなくっていいよ。な、ないてないもん。さよなら…また、いつか会えたらね
幼馴染(16),ごめんなさい。先輩とは付き合えません。気持ちは嬉しいけどほんとにごめんなさい。…あいつ元気にしてるかなぁ
幼馴染(17),もういつまでもひきずってないで、忘れなきゃいけないのに…。ごめんなさい。聞いてませんでした。廊下に立ってます。店長ごめんなさい。今月いっぱいで辞めます。………はぁ。来年受験か…。また先輩ですか。いえ、私は元気ですけど。だから付き合う気は……な…くはないかもしれません。来月には返事します。考える時間ください。先輩のことどうしよ…悪い人じゃないし、優しいけど…。なんであいつの顔浮かぶんだろ…もういないんだってば。彼女つくったかな？もう疎遠になって結構経つし…電話する勇気もないや
友子,ねぇねぇ。テレビに映ってるの昔のクラスメイトじゃない？男くんだよね？
幼馴染(17),え…
友子,きゃーん。いまでもかっこいいね
幼馴染(17),あいつ……部活続けてたんだ…。ぜ、全国大会！？すごいじゃん！！。うふふ、あははっ！。……。も、もしもし……あたしのことおぼえてる…？おひさ。テレビみたよ…準優勝おめでと。最後おしかったね。……………。……そ、それだけ。じゃあね。ばいばい。先輩。考えたんですけど、やっぱり無理ですごめんなさい。私、す、すきなひと…いるんで…。ほんとにごめんなさい。卒業しても変わらずお元気で
友子,なんで付き合わなかったの？先輩チョーモテる人だったのにもったいない
幼馴染(17),いいんだぁ。恋愛とかきょーみないし。さて、高3最後の大会に向けてファイオー！
幼馴染(18),うえーん友子ー！部活最後の夏がおわっちゃったね…。ここから勉強漬けの毎日か…とほほ。でも少しはいい結果出せて満足だよね。楽しかったよ。そういえばあいつはどうなったんだろう。え？今年は県大会で負けてる…。なんで？。あんなに強かったのに。練習サボってたのかな？あいつに限ってそんなことないよね…。落ち込んでるかな？電話してみようかな……。もしもし…あ、あのさ
電話,だぁれ？悪いけど今男くんは忙しいので出られませーん♪またおかけなおしくださーい
幼馴染(18),え……。そ、そうだよね！彼女くらいいるよね！あははは。だって部活で全国レベルだし、勉強できるし、顔も悪くないしていうかかっこいいほうだし、優しいし…。うっ…うっ…あたしが…あたしが悪いんだ。もっと早くに勇気を出してれば…よかったんだ。忘れよう…もうおわったことなんだから。いつまでもうじうじしてるなんてあたしらしくないぞ！。進学先であたらしい恋をさがせばいいんだ！うんうん！。うー勉強きつ…今からでほんとに間に合うのかこれ
友子,どこ目指すの？
幼馴染(18),できるだけ上のほう。部活がないと勉強しかやることなくてつまんないね。受かったー！夢のキャンパスライフだ～。友子、進学先はべつべつだけどたまには遊ぼうね。どっちが先に彼氏作るか勝負しよっか？えへなんちゃって。すいません…サークルはまだ考え中です。テニスサークルですか…テニス…。なんか凄いうまい人いますね
先輩,あいつ絶対ほしい！
幼馴染(18),入部やめときます
先輩,えー、このあと新歓コンパあるのに
