承太郎,オラァッ！
DIO,うぐぉぉぉぁぁぁぁ！？なぁぁにィィイイイッ！。ば...馬鹿なッ！...こ、このDIOが...。このDIOがｧｧｧｧｧーーーーッ！！！！。.........夢...か。................。ここへ来てどのくらいが経った......？。ざっと、一年か。..........。飛ばされた原因はこのDIO、世界の第二の能力。THEWORLDBITETHEDUST(負けたくない)......。ANOTHERWORLDの方がイイか...？。世界は最強だな。...しかし、もうここにいる必要は......。................いや、まだだ。猿共はトップではない。大型ライヴが残っている
しかしDIOは,節目
DIO,奴らはどうだ？
律子,順調です、何事もなく
DIO,萩原は逃げてないか？
律子,大丈夫です
DIO,そうか。美希はダラけていないか？
律子,あの子はやる時はやりますから
DIO,高槻は付いていけてるか？
小鳥,ふふっ、プロデューサーさんは心配性ですね
DIO,......そんなハズは
律子,そうですよ！最初と比べたら全然
DIO,最初か...懐かしいな
小鳥,色々ありましたね～、いぬ美ちゃんは蹴るわ、961プロを潰すわ...
DIO,あと高槻の高所恐怖症克服のために、思いっきり空にブン投げた事もあったな
律子,ちょ！？そんなことしたんですか！？
DIO,知らなかったのか？
律子,知りませんよ！どうりでヘルクライムピラーの仕事も平気だったんですね...
春香,おはようございます！タルカスじゃなくて天海春香ですよー！
DIO,早いなタルカス
春香,MUOOOOHHーーーーッ！！！
響,はいさーい！
真,おはようございまーす！
DIO,貴様らも早いな
響,みんなお昼寝の時間だし、暇だから来たさー
真,最近、仕事で事務所に来れなかったしね
春香,でも仕事があるだけ幸せだよね
響,そうだぞ！どれもこれもプロデューサーのおかげさー！
DIO,そうか
春香,プロデューサーさんのおかげで事務所が救われたんですよ！
律子,ちょっとー？それじゃあ私が役立たずってこと～？
春香,そ、そんなことないですよぉ！律子さん！
DIO,......賑やかだな。まぁ、ジョナサンの肉体を奪ったことも理由の一つだろうが。......しかし、母親のスタンドの気を今でも感じるのは...。...戻るまで、時が止まっているという事か。そういえば、千早の時もそうだったな。.........ならば。承太郎も時を止められたままか？。まさか、このDIOと同じ道を辿っているのか...？。.........フン、まさかな
亜美真美,あ！兄ちゃんお帰り→！
DIO,む。一瞬にしてナイフを投げるとは...貴様らのイタズラも過激になったものだ
真美,全部受け止めた...だと...
亜美,さすが兄ちゃん！亜美達に出来ないことを平然とやってのけるッ
真美,そこにシビれる！
亜美真美,あこがれるゥ！
DIO,......デジャヴだ。DIOだ。三浦か？。また迷子か。まったく......
亜美,場所聞かなくてもいいの？
DIO,聞いても無駄だ。場所を理解していれば道には迷わん。ならば、こちらで探すのみ。おい両双海、カメラを持っているか？
真美,ピヨちゃんのならあるよ→
DIO,......背景は闇で見えんな
亜美,ひょっとしたら、その闇とやらが、どこか...。わかるかもしれねぇ！。あずさお姉ちゃんの背後に何かを見つけたな
