※かつてのめちゃイケの人気コーナー,クイズ濱口優
矢部坂,さあ今回から始まったクイズ矢部明雄、回答者はこいつらでやんす！。まず解答者１人目、猪狩！
猪狩,･･･というか、何でお前パワサカの時と違ってそんなに口が悪いんだ･･･
矢部坂,早速だけど猪狩、そこの解答ボタンを押すでやんす。
猪狩,･･･このボタンか。うっ･･･この声は･･･
矢部坂,猪狩はこの中で一番答え方が真面目そうだから、弟の進くんに解答音の声を当ててもらってるでやんすｗ
猪狩,進･･･何余計なことをしてくれているんだ･･･
矢部坂,次、友沢！
友沢,よろしくお願いします。
矢部坂,折角だから友沢も猪狩みたいな解答ボタンにしてみるでやんすか？
友沢,いや、別に俺はそういうのは要らないが･･･
矢部坂,多分みずきちゃん辺りに頼むかもしれないでやんすｗ
友沢,おいやめろ
矢部坂,さあ次は早川あおいちゃーん♡
あおい,よろしくお願いしまーす！
矢部坂,ところであおいちゃん、あとで電話番号教えてくれでやんす！
あおい,･･･は？
矢部坂,オイラはいつでも待ってるでやんす！
あおい,ちょっと待って！？矢部くん程じゃないけど何言ってるのこの人！？
矢部坂,はい最後、パワプロ！
パワプロ,はい！大阪から来ましたパワ松です！いま一番好きなサクセスはマチェット高校です！
矢部坂,それ今まで一度も実装されていないでやんす･･･とりあえず今日は頼むでやんすよ！
パワプロ,はい、頑張ります！昨日から緊張しすぎて夜しか寝てません！
矢部坂,じゃあ普通に健康でやんすｗ。それじゃあ問題に行くでやんす！VTR、クソメガネ！。さあ、ここはパワフル高校3年1組の教室の前でやんす。
矢部,はあ･･･部員の喧嘩を止めるのに時間がかかったでやんす･･･とりあえず教室に戻るでやんす･･･
矢部坂,どうやら矢部くんは日直の仕事中に野球部員が喧嘩したのを止めに行ってて、これから教室に戻るところでやんすね。
矢部,おや、教室に誰かいるでやんす？
五十嵐,何で～あかつき十傑なのに～俺だけ～イベキャラ化が～遅いのか～♪
矢部,！？
猪狩,五十嵐先輩！？
矢部坂,何と代わりに日直の仕事をやっていたのは五十嵐権三くんでやんす！
あおい,しかも変な歌うたってるけど･･･
五十嵐,おう矢部、遅かったじゃないか。日直の仕事ならオレが代わりにやっておいたぞ。
矢部,も、申し訳ないでやんす･･･
五十嵐,まったく仕事ほったらかしてどこ行っててんだ？
矢部坂,さてここで問題でやんす！。日直をほったらかして怒られた矢部くん、このあと一体どうなるでしょーか？。はい、友沢！
友沢,･･･とりあえず矢部の頭上からタライが落ちてくる。
矢部坂,昔のドリフによくあったやんすねｗ。はい、パワプロ！
パワプロ,じゃあ三角フラスコが落ちてくる！
あおい,誰が三角フラスコですって！？
パワプロ,ひでぶっ！？
矢部坂,お前人の答えパクるのやめるでやんす！。はい、あおいちゃん！
あおい,じゃあ矢部くんのヒザが突然爆発して、ゲームオーバーになってセーブデータが消える！
矢部坂,いやこの状況でヒザが爆発とか絶対有り得ないでやんす！？
猪狩,そうだった･･･この解答音だった･･･
矢部坂,さあ猪狩！面白く答えるでやんす！
猪狩,･･･話を戻すと、矢部くんは日直をほったらかした設定だろう？
矢部坂,ほうほう･･･ということは？
猪狩,日直をサボった罰として五十嵐先輩が矢部を往復ビンタする。
矢部坂,･･････つまらないから間違いでやんす！
猪狩,
矢部坂,はい、友沢！
友沢,さっき気付いたけど矢部の背後に消火器があるよな？
矢部坂,おお、いい所に目が付いたでやんすね！
友沢,だから五十嵐さんが往復ビンタをした後、矢部がそれに対抗して消火器をぶっ放してくる。
矢部坂,･･･惜しいでやんす！もう一つ何か！
猪狩,くっ･･･この解答音どうにかならないのか･･･
矢部坂,はい猪狩！今度こそ面白く答えるでやんす！
猪狩,･･･矢部が消火器を使った瞬間五十嵐先輩が3DCGになる
矢部坂,ちょｗｗそれは触れちゃいけない話でやんすｗｗｗ
パワプロ,むしろ五十嵐先輩の3DCG見てみたいｗ
矢部坂,はい、あおいちゃん！
あおい,矢部くんが消火器を使った後、揉み合った挙句矢部くんの顔にもかかってしまい、結局仲直りする！
矢部坂,･･･惜しい！もうちょっとでやんす！。はい、パワプロ！
パワプロ,消火器が矢部君の顔にもかかったので結局仲直りした後･･･
矢部坂,仲直りをした後･･･？
パワプロ,･･･ディープキスをする！！
矢部坂,･･･正解ー！！
矢部,
五十嵐,
あおい,いやちょっと待って･･･男同士でディープキスって･･･
猪狩,言いたくないが地獄絵図でしかないな･･･
友沢,同感だ･･･嫌な予感しかしない･･･
矢部坂,･･･嫌な予感しかしないけど正解を見てみるでやんす！正解VTR、クソメガネ！
五十嵐,･･･と、とりあえずっ、今日日直サボったから往復ビンタだ！
矢部,！？。いたた･･･こうなったらこっちも行くでやんす！
五十嵐,うわ何をする･･･ｹﾞﾎｯｹﾞﾎｯ。お前･･･こっちにばかり煙向けやがって･･･！
矢部,うわっ、煙こっちに向けるなでやんす･･･ｹﾞﾎｯｹﾞﾎｯ
矢部坂,何だか煙で全然見えないでやんすね･･･
