輩,ともがら
時化,はいぼく
提督,なんかえらく仰々しいモノローグが見える気がするんだがなぁ、長門さんよぅ
長門,なんだ提督か。私の前に現れるならせめて貴方の横に駆逐艦を同行させてくれ。視力が下がるじゃないか
提督,汚物扱いとはご大層だなこの女郎
長門,軽い挨拶だ。それで、何か用か？
提督,ウィットに富みすぎな挨拶すぎるわ。まぁいい、今日の用件は進捗の確認みたいなもんだ
長門,それなら先ほど帰港した際に報告しただろう
提督,流石に冗談だと思ってな
長門,作戦の結果にまで冗談を言うと思われていたのは心外だな。無論、ありのままを伝えたぞ
提督,冗談であるように願っていた俺の気持ちを鑑みてほしかったわ……。改めて状況を報告してくれ。海上護衛作戦か。長門、その出撃任務は提督間で略称されている数字で表すなら何だ？
長門,愚問だな、１－３だ
提督,成る程。ちなみに目安となる難易度の星数は？
長門,２つ。このような海域は序の序もいいところだな。初級者ですら口笛を吹きつつ攻略しているぞ
提督,うむ、流石の分析力だ
長門,当然だ。世界のビッグセブンを侮ってもらっては困る
提督,最もな意見なのかも知れんな。だが、俺の言い分を一つだけ聞いてもらえるか？
長門,良いだろう。筋の通っているものならば大歓迎だ
提督,ではお言葉に甘えて……。なぁ、長門
長門,む？
提督,なんで世界のビッグセブンがいて未だに１－３が越えられてないんだよ！！！
長門,どこぞの貧乏鎮守府に着任した結果が如実に現れているだけではないか
提督,よく言ったテメェ。労いにお前の頬に俺の男女平等パンチを刻んでもいいぞ
長門,ふむ、私の４１ｃｍ連装砲パンチが陸でも火を吹く機会を貰えるのは光栄だ
提督,おぅ暴力に訴えるのはやめろや
長門,鸚鵡返しという言葉が輝く瞬間だな
提督,くっそぅ……ビギナーズラック狙いで奮発して工廠の戦艦レシピを初めて回した結果がこれだよ……
長門,それこそ心外だな。自分で言うのも何だが、結果として最強の艦娘を手に入れる事が出来たじゃないか
提督,確かに、確かにお前を我が艦隊に招くことが出来たのは感無量だった
長門,ならばそれで良いじゃないか
提督,いやでも、なんというか。流石に１－２未クリアの時点で来るとか思う訳ないだろ
長門,やれやれ。ビギナーズラックが功を奏しているのに何が不満なのやら。ひ、姫様か……そのような扱いも、まぁ、まんざらではないな……
提督,違う食いつくのはそこじゃない！お願い分かってビッグセブンさん！。それに、だ
長門,なんだまた小言か？流石の私でもそろそろ付き合いきれんぞ
提督,お前にとっての小言はマイ鎮守府を揺るがしそうな大事になるんだよ。いいから正座。お前を養う以上に高くつく何かがあるとか今の俺には想像つかないインフレだわ。さすがに資源の枯渇がこれ以上深刻化するのは問題だと先日相談したよな？
長門,ああ。結果としては“第一艦隊を主力班と遠征班に分けて運用する”という流れだった筈だ
提督,よろしい。では先日の遠征に関して、秘書艦のお前は当然結果を知っているだろう
長門,無論だ
提督,報告書もしっかり貰っているが、中々どうして簡潔明瞭にまとめてあるので一度目を通しただけでほぼ理解できた
長門,事務作業もビッグセブンの嗜みだからな。報告書やレポートなどはお手の物だ
提督,それを踏まえて、もう一度先日の遠征結果を口頭にて教えてくれ
長門,つくづく二度手間が好きな提督だな。まぁいい、相分かった。更に簡潔に伝えよう
提督,資材備蓄の遠征に行った筈だよな？
長門,それ以外に何があるというのだ？
提督,はっはっは、それもそうか
長門,全く…提督がうっかりものだとこちらの気が休まる間もないな。私の駆逐艦これくしょんに新しく資材が増えただけの話じゃないか
提督,そういう任務じゃねぇんだよコレ！。おかしいと思ったわ……なんでお前遠征に行ったのにずっとキラキラ状態になってんだよってさ……
長門,途中で間宮アイスを買い食いしているのが要因かも知れないな
提督,原因の７割を占める要因が見つかったわ。お前しばらくお菓子代無しな
長門,パワハラだ！駆逐艦ちゃん達と同様の扱いを求める！
提督,うっせぇ！
長門,それは現状だと無理な話だな
提督,あぁん？今は誰も入渠とかしていないだろ？練度を高めるがてらに駆逐艦を連れて行ってこい
長門,弾薬が足りない
提督,じゃあ半刻くらい経ってから出かけてくれ
長門,28
提督,誰もお前の年齢なんて聞いてねぇよ
長門,今の言葉はしっかり心に刻んだからな、私は絶対忘れんぞ。……今の数字はそうじゃない
提督,なんだよ怖えぇよ、じゃあ何の数字だよ
長門,弾薬
提督,は？
長門,鎮守府に備蓄されている弾薬の残り数だ
提督,すまん、もう一回だけ備蓄弾数を教えてくれ
長門,だから28だ
提督,どうしてそこまで減っているのか、今の俺には理解できない
長門,それに関しては提督が一番知っているだろう？
提督,……
長門,なぁ、提督。私に一つ教えてくれ
提督,……
長門,資源が少ないと知っての上で、なぜ４６ｃｍ砲を開発しようとしたんだ……？
提督,長門くん、君が何を言っているか分からないよ
長門,またしても鸚鵡返しが必要のようだな
提督,いや、まぁ、どっかの誰かさんが燃料と弾薬食べるから、どうせ無くなるなら早いか遅いかの差だけかな～って
長門,それをどっかの誰かさんは正当だと思って、ギャンブルのように開発を繰り返したわけか
提督,どっかの誰かさんは結局４６ｃｍ砲どころか電探すら持ってきてくれなかったなぁ
長門,どっかの誰かさんはそれで資材が枯渇しているんだから本末転倒だなぁ
提督,どっかの誰かさんが持ってくるのは４１ｃｍ砲ばかり。きっと論者積みされたい脳筋なんだろうなぁ
長門,どっかの誰かさんはそれを運用できるほどの甲斐性すらないんだろうなぁ
提督,あ？やんのかコラ？
長門,ほぅ、この鎮守府で初の轟沈が生身の人間か。魚たちもさぞ喜ぶだろうな
提督,おぅ暴力で人を屈服させるのはやめろや
長門,気が強いのか弱いのか分からない人だな……
提督,そもそも男の子の憧れだろうが、大和砲は！
長門,結婚適齢期の男性が“男の子”と自分を名乗る発言には飯粒を吹き散らしそうになるからやめてくれ
提督,やかましいわ！見た目の年齢的には長門だって俺とどっこいどっこいくらいだろうが！
長門,ほぅ、そんなにお姉さんに見えるのか。お似合いとでも言うつもりか？プロポーズするなら予約の無い今のうちだぞ？
提督,味覚だけは駆逐艦級のお子様が何か言ってるぞオイ。むぅ、小言が長くなってしまった
長門,すっかり夜もいい時間帯だな、提督
提督,よし、明日は改めて遠征班を組んでみるか。出撃班は休みって事で全艦娘にシフトを伝えてくれ
長門,相分かった。第一艦隊にして秘書艦のこの長門、用件を承った
提督,確認事項は？
長門,特に無し
提督,よし、では回れ右。駆け足はじめ！
長門,はっ！。作戦終了だ、艦隊が帰投したぞ
提督,うむ。では報告を頼む
長門,了解。では今回の遠征班こと“お姉さんと胸熱駆逐艦隊”の結果報告だが……
提督,だからお前が遠征行ってどうすんだっつってんだろ！！。そこのレベル７、本日の状況報告をとっとと話してメシ食いに行くぞ。うちの艦隊に“生ける溶鉱炉”がいるもんでな。新米少佐の俺提督にはそいつを養うことで精一杯なのよ
長門,なるほどそうか。今日もおかわりを所望のようだな
提督,おぅ一緒にメシ食うだけなのに謎のプレッシャーやめろや。ほぅ、今日のＡ定食は値段の割に豪華だな
長門,なんだ提督。大和男子たるものが、たったその程度の量で戦に向かうとは片腹痛いぞ
提督,そのまま両腹壊してメシ控えめにしてくれるのを願って止まないわ
長門,失敬な。今日の私はいつもより控えめに注文をしたというのに
提督,お？もう注文したのか、早いなお前
長門,席は私が確保しておくから、提督も早く注文を済ませてくればいい
提督,Ａ定食も捨てがたかったけれど、結局カツ丼セットにしちまった。いや別にお前の原価０円の発言を気にして変えたわけじゃねぇよ。今日のカツ丼はが一切れ多いサービスやってたんだ
長門,……なぁ、提督
提督,なんだ神妙な顔して？。ビッグセブンの威厳暴落待ったなしじゃねぇか
間宮,お待たせしました。カツ丼セットになります～
長門,提督
提督,なんだ？
長門,一切れ
提督,駄目だ
長門,くっ……半分！
提督,駄目ったらダメ
長門,けち！
提督,なんとでも言え
長門,どけち！
提督,ふはは、効かんなぁ
長門,甲斐性無しのバクテリア級ど貧困超新参底辺演習全敗ヘタレ提督！
提督,お願いやめて、泣いちゃう。安らぐ時間の筈だろ、昼飯の時間って。なんで俺ハートにちょっとキツめの傷受けてるんだよ……
長門,素直にカツをくれないからだ
提督,くっそ、この業突く張りめ。分かった分かった、一切れやるよ
長門,本当か！？
提督,無駄にキラキラしやがって、ほら皿よこｓ……
長門,あーん
提督,何の冗談だ？
長門,あーん
提督,……。……ほれ
長門,うむ、美味いな！やはり間宮さんの作る料理はどれも絶品だ！
提督,……
長門,どうした？口元押さえているが何かあったのか？
提督,うるせぇニヤニヤしちまうだろがクソが、こっちみんな
長門,しかして美味しいものを頬張ると、食欲が更に増すのは不思議だ
提督,何てことない発言の筈なのに怖い！不思議！
長門,むぅ、私だって淑女なんだぞ。この提督は本当にデリカシーというものを知らないな
提督,さっきまでカツ一切れを食べるのに必死だった艦娘からデリカシーという単語を聞けるとはな
長門,お、私が頼んだ料理が来た。悪いがその不毛な会話を続けるのは後にしてくれ
提督,はいはい
間宮,お待たせしました、こちらＡ定食７人前です
長門,やはり普段より３人前も減らすと量の少なさが一目瞭然だな
提督,Ａ定食セットを満漢全席みたいに並べて食うヤツが、カツ一切れを必死に懇願……腑に落ちねぇってレベルじゃねぇぞ
長門,それはそれ、これはこれだ
提督,そんだけの量のメシ見るだけで胸いっぱいになるわ
長門,おいおい提督、今から人がご飯を食べるんだぞ。もんじゃを作られては流石に食欲が減退するから勘弁してくれ
提督,デリカシーどこいったテメェ
長門,ご馳走様でした
提督,ぺろりと平らげたな
長門,いいや、まだまだ。むしろ今からが本番だ
提督,ふざけんな阿呆かこれ以上何を求めてるんだよ鎮守府はノーマネー気味っつってんだろ！。しっかり聞き流す気満々じゃねぇか
間宮,お待たせしました。季節限定のアイス盛り合わせです～。いつもご贔屓に有難う御座います
長門,礼を言うのはこちらの方だな。いつも美味しい食事を提供してくれて感謝している
提督,……いやでも、毎度の事ながらホントよく食べるよなお前
長門,先も言ったように、腹が減っては何とやら。食えるうちに食べておくのが勝負事の鉄則だろう
提督,お前の場合は食えない状況でも平然と食いそうだから杭を打ってるんだよ
長門,それは食えない状況になったら考えよう
提督,ったく、この大飯喰らいは器がでっけぇな
長門,ふふ、褒め言葉と受け取っておこうかな。それに大飯喰らいというなら大和型と一航戦の面々がいるじゃないか
提督,この鎮守府はな、そんな超強力な方々をお呼びできる状態じゃないんだよ
長門,情けない事を言うな。備蓄方法をもう少し検討すればきっと普通の艦隊のように運営できるさ
提督,修復材用のバケツに間宮アイスたらふく詰めて食ってる口がそんな事を言ってくれるのか
長門,今の調子だったらおかわりも可能だぞ
提督,今のお財布事情を絶対お分かりになってねぇだろテメェ……
長門,それにほら、“いっぱい食べる君が好き”という甲斐性満点のフレーズの歌もあるじゃないか
提督,それ歌ったヤツもこの光景みたら“ほどほど食べる君が好き”って歌詞変えるわ。よっし、そろそろ腰を上げるか
長門,了解した
提督,午後から向かう１－３攻略の前祝だから奮発したんだぜ？
長門,皆まで言わせるな。ビッグセブンの力、侮るなよ？
提督,頼もしい限りだ
長門,それに風の噂で聞いた。１－３最終領域には戦艦級の深海棲艦が潜んでいるらしいと
提督,その情報は正しい。なので１－３を突破した艦隊は基本的に戦艦を差し置いておくらしいが……
長門,敵戦艦との殴り合いか……胸が熱いな……！
提督,弱小提督のジャイアントキリング、お前に一任するぞ。目標、製油所地帯沿岸の突破。及び、戦艦ル級の撃沈を含む完全勝利。武運を祈る
長門,了解した！戦艦、長門……出撃する！！。作戦終了だ、艦隊が帰投したぞ！
提督,無事で本当に何よりだ。では早速だが報告を頼む。長門
長門,なんだ！？提督っ！！
提督,勢いで誤魔化せると思うなよ。１－３突破までお菓子とアイスは没収、これ決定事項な
長門,そんなっ……駆逐艦ちゃん達は関係ないだろう！？。ぬぐっ……！
提督,なお、駆逐艦へアイスをねだるようなビッグセブンはいないと思うが、もし見かけたら禁止期間は更に延びるだろう
長門,び、ビッグセブンの誇り、こんな所で失うわけには……っ！
提督,顕微鏡で確認してギリギリ見えそうな細胞レベルの小ささだな、その誇り
長門,ビッグセブンの誇りは、ありまぁす……っ！
提督,その言い方だとあるかどうか絶妙にあやしくなってるじゃねぇか！
このようなＳＳでも,構わんよ
提督,おい長門、本日の小言タイムだ
長門,お手柔らかに願いたい。おいおい提督。随分な物言いだな。誇り高きビッグセブンがそんな醜態を見せる筈ないだろう
提督,入渠ふろ。他にもあるぞ。お前に買出しを頼んだ際、どうにも出費がかさむんだよな。何に使ってる？
長門,提督から渡された紙に書いてある通りのものだが
提督,誤魔化すの下手すぎるわ！せめて口笛ちゃんと吹けるようになってからその縁起をしろっての！
長門,べ、別にお駄賃としてちょっとくらいお菓子を追加で買ってもいいだろう！？。で、では今後は1.5倍くらいなら許可してくれるというのか？
提督,違うそうじゃない！無断で買うなっつってんだよこのながもん！
長門,そうぷりぷり怒るな、提督。そのままだと前髪が更に後退するぞ
提督,今すでにハゲてるみたいな言い方やめろ。もし仮にそうだとすれば原因の９割５分３厘はテメェの所為だ。ったく、ホントどんだけ困らせるつもりなんだよ。財政難って単語をお前の部屋の前に貼っとこうかな
長門,男を振り回すのは私が魔性の女たる所以だからな。この性さが。…………………色気？
提督,自分で一番自信なさそうな部分に目をつけやがったな…。そもそも魔性の女ってんなら、色っぽいポーズの一つでもとってこの殺伐とした執務室を色鮮やかにしてほしいわ
長門,殺伐としている原因は提督の小言にあると思うんだが
提督,俺の小言の要因が何か言ってるが気にせんぞ
長門,仕方が無い。提督がそこまで望むのなら、このビッグセブン、お色気満載のポーズをとってやろうじゃないか
提督,うわーい、全然期待できなーい
長門,刮目せよっ！！せりゃぁぁぁぁぁぁぁぁっっ！！
提督,色気を感じさせる気が微塵もない掛け声だなオイ
長門,……
提督,……
長門,……
提督,……
長門,……
提督,……
長門,どうだっ……
提督,ただただ勇ましいわ。ドヤ顔できるハートの強さを含めてな
長門,むぅ、では提督は私に女性としての魅力を感じないとでもいうのか？。相分かった。む？提督、いつもより少し財布の中身が多くないか？
提督,まぁアレだ。無駄遣いしない程度になら買ってもいいから、買いすぎるなって事を肝に銘じておけ
長門,て、提督ぅ……
提督,ほれ、小言も終わりだ。とっとと行ってこい
長門,了解。では早急にお菓子を買いに出かけてくるぞ！
提督,お菓子が目的じゃねぇからな！勘違いすんなよ！？
長門,ふふ、提督。私は知っているぞ？それは俗に言う“フリ”というやつなんだろう？任せておけ！
提督,おい待て長門、フリじゃない、いやホントにフリじゃないって！ちょっ、待っ……くっそ足速えぇなチクショウ！！
長門,そろそろフタフタマルマルか。業務を終えたい時間帯に差し掛かってきたぞ
提督,そうだな。今日はこの辺りで切り上げるとするか
長門,うむ、ちょうと資料の作成も区切りがついた頃合だったのでベストタイミングだ
提督,俺も似たようなもんだったわ。たまには早めに仕事終えるのも良いな
長門,この時間を周って早上がりと呼ぶのか……ブラック鎮守府でこき使われるビッグセブン、まるで悲劇のヒロインだな。嘘つきは泥棒の始まりか。これは提督になる前の経歴すらブラックの疑いが出てきたな
提督,よく言ったテメェ、力士に肩を並べるような突っ張りを喰らいてぇようだな
長門,つまり私の張り手を受ける意思があるということか、首にコルセットが巻かれるだけで済めばいいな
提督,おぅ穏やかな声で血を流しそうな連想させるなや。激戦区のラバウル基地で日を跨がずに業務を終えているのは俺の所だけ。そういえば分かり易いか？
長門,……凄まじいな
