正しくは,憎たらしい糞ガキだった頃は
商人,勇者が、魔王に寝返りやがった！。おいおいおい！勇者は、魔王と和睦したって話だったじゃねえか！。勇者が魔王に寝返った！？俺たちを裏切ったってことか！？一体、どうなってるんだよ！。勇者め！世界を救うって約束したじゃないか！俺たちを要職に押し上げてくれるって約束したじゃないか！
騎士,落ち着きなさい、商人くん。私たちは、そんな約束を勇者とした覚えは一切ないし。なにより出世は、自力で頑張るものだよ？。とりあえず詳細を聞こう、盗賊さん頼むよ
盗賊,はい。魔王城は警備も固く、盗み聞きできたのはホンの一部ですけど。はい。魔王城は警備も固く、盗み聞きできたのはホンの一部ですけど
商人,魔王城に忍び込むだけでも、相当なものだよ
盗賊,鍛えてますから。―――勇者様ですが、どうも王国への不信感を魔王にケシカケられちゃったみたいです。結論を言うと、魔王軍に勇者一行全員が参入する形になっちゃいました
騎士,王国への不信感か・・・あちゃー、心当たりが多すぎて何の反論もできないなあ
商人,は？心当たりなんて何もないんですけど。王国への不信感ですって？あのバカ勇者が、そんな人並みな考え持てるわけないでしょう。魔王が、実は可愛い幼女で、幼女趣味の変態勇者が一目惚れちまったってのほうが、まだ納得できるぜ
盗賊,かぁ！！！！！
商人,ひぃ！すみません！言いすぎました！
賢者,―――商人君、心当たりが無いって言いました？貴方も一枚どころか二枚も三枚も噛んでるんですよ？
商人,・・・？はっきり言ってくれ、どういうことだ？
賢者,では、はっきり申し上げましょう。平和のために邁進する勇者に、奴隷承認の肩書を押し付けたり
騎士,あ・・・
賢者,妙齢？の侯爵家の娘さんと、勇者を本人の同意なく結婚させちゃったり
商人,う・・・
賢者,職務放棄して合流を拒否しちゃったり
盗賊,んむぅ・・・
賢者,私たちの数々の悪行が、勇者に不信感を与えた。そんなところじゃないですかね？
商人,さ、最後のはスピーディーに世界の平和を実現するために必要だったんだから不可抗力だ！
賢者,不可抗力の意味はきちがえてますけど、まあ勇者からしたらそういうことでしょう？
騎士,ぐうの音も出ないねえ
盗賊,ぐぅ
騎士,しかし―――まずいことになってしまったな
賢者,そうですね。非常にまずい
盗賊,ああ・・・人類の救世主である勇者様が魔王に寝返ったなんて国に知れたら。多くの人々が希望を失ってしまうことは明らかですもんね・・・
商人,いや、そうじゃあねえな盗賊ちゃん、ちょいとズレてるぜ
盗賊,どういうことですか？
騎士,私たちの仕事の結果が、勇者離反を招いたと大臣に知れたら・・・
賢者,私たちは希望どころか、職を失いかねませんね
商人,ああ、なんてことだ・・・。この仕事が終わったら、それなりの褒賞がもらえると思ってたのに・・・
盗賊,み、皆さんはこの期に及んで、まだそんな保身のこと考えているんですか！。もっとほら、こう！あるでしょ！いろいろと考えることがっ！
商人,大事な話だぞ、俺たちの生活が懸かってるんだ
賢者,私たち独り身は、まだマシですよ。子持ち妻持ちの騎士さんを見てごらんなさい
騎士,ｱﾜｱｱｱｱｱ
盗賊,・・・むぅ
賢者,ん？商人くん何か言いました？
商人,いや、俺は何も・・・
騎士,こ、ここここれは・・・・
盗賊,この声・・・
商人,なんだ！今の声！頭の中に直接っ・・・！
盗賊,あれ！？なんか光が！体中から光の粒が出てきてます！
賢者,これは、召喚魔法！？
騎士,うわああぁぁああああ査問だ！ばれたんだ！勇者の件が、ばれてたんだあああああ！。縁故採用はほどほどに！
大臣,よくぞ、戻った諸君
騎士,ひぃっ！だだだだ大臣！ご機嫌麗しゅうごごごご
盗賊,え？ここは、王城・・・？どういうことですか？何が起こったんですか？
賢者,召喚魔法ですよ盗賊ちゃん
商人,召喚魔法？なんじゃそりゃ
賢者,貴方も知らないんですか。まあ、召喚魔法が行使される機会なんて滅多にないですし、知らなくて当然か。召喚魔法は、その名の通り支配下にあるものを強制的に召喚する魔法です
騎士,し、召喚魔法は王国議会か行政の長である大臣の承認がないと使えない・・・つまり
商人,俺たちは大臣に呼び戻されたってわけか
大臣,お勉強は、それぐらいでよろしいかな君たち
騎士,はっ！し、失礼しました
大臣,さて、早速だが要件を伝えよう
商人,勇者の離反の件だよな・・・ばれるの早すぎじゃないか？
賢者,そうとは限りません・・・ま、まずは、話を聞いてみましょう
大臣,実はな、昨晩、城内にある宝物庫が荒らされているのが見つかった。昨晩と言ったが・・・実のところ賊が、いつ城内に侵入したのか不明なのだ
賢者,つまり、発覚したのは昨晩ですが、犯行は更に以前に行われていたと・・・
騎士,それは城内を警備している近衛兵団も面目丸つぶれですね
大臣,ふん、近衛兵団の無能共め。王の直属だからと言って調子に乗っていたんだろう
盗賊,うわあ、辛辣・・・
大臣,まあ、多少は考慮すべき事情もあるがな
騎士,それで、その事件と私たちが呼び出されたのは関係があるんですか？
大臣,うむ、それなのだ。とにかく時間との勝負でな、詳細については省かせてもらうが、どうもこの事件。勇者の関与が疑われる
商人,ははあ、どおりで勇者の後始末部隊の俺たちが呼び出されるわけだ
大臣,事態は急を要する。諸君らには、早速だが現場を抑えてもらう
盗賊,そ、その前に大臣！ご報告したいことがあります！
大臣,ん？
商人,うわあああああ！こいつ！この良い子ちゃんっ！！！！勇者の件、ちくる気だ！！
騎士,あ・・・終わった・・・妻よ、娘よすまない・・・お父さん無職になっちゃった・・・
賢者,させませんっ！沈黙魔法サイレントっ！
盗賊,むっ・・・むぐぐ
商人,うわあ！こっち睨んでる！魔法をかけたの俺じゃねえよ！ちょっと考えればわかるだろ！
騎士,大臣、私から申し上げましょう！
大臣,こちらも急いでいる、手短に頼む・・・
騎士,現在、勇者一行は魔王城内に侵入したことを確認しております！おそらく、魔王との最終決戦となっているでしょう。我ら勇者補助係としても、すぐにでも勇者の援護に向かいたいと思います！
大臣,そうであったか。そちらの、現状を把握していなかったのは申し訳ない。だが、残念なことに呼び出してしまった以上、諸君らを魔王城に送り返す術は無い。それこそ、伝説の勇者が用いたという転移魔法でも使わない限りはな。仮に転移魔法が使えたとしても、今回の事件は最重要案件だ。最優先で取り掛かってもらう
賢者,勇者と魔王の決戦、人類と魔族の頂上決戦以上に優先されることなんてあるんですか・・・？
騎士,・・・理由をお聞かせ頂けますか？
大臣,ただただ職務に忠実たれ、騎士である君が忘れたとは思わないが・・・？
騎士,・・・なるほど、わかりました。では仕方ありませんね。こちらの仕事を片付けてから再度、魔王城へ向けて出立します
大臣,そうしてくれ
騎士,とりあえず、現場に向かいますけど。仕事はどこですれば？できればデスクが欲しいんですけど・・・？
大臣,当然だな、よし現場の宝物庫にデスクを運び込ませよう
商人,はい？宝物庫の中で仕事しろって言ってるんですか？
大臣,説明している暇はない、必要なものはすべて用意する。盗賊、君には私と騎士君たちの連絡役になってもらう。辞令だ、現時点を持って大臣付き秘書官に任命する
盗賊,え、あ、はい。あ、いつのまにか、魔法解けてた・・・
騎士,ちょ、ちょっと大臣！タダでさえ人手不足なのに、いま盗賊さんを引き抜かれたら！
大臣,いい加減にしろ騎士っ！先ほどから、自身の立場も忘れ！口をはさみおって！。時間がないと、何度言ったらわかるのだ！。必要なものは全て用意すると言ったろう！人員は随時、補充する！。いつまで、だらだらしている！さっさと自分の仕事に取り掛からんかぁっ！
騎士,はっはいっ！！！。ここが、そうなのか？
近衛兵,・・・はい
商人,うむ、案内御苦労！というか、俺は宝物庫の場所は知ってたんだけどな
賢者,酒保勤めだった商人君が、なんでまた宝物庫の場所なんて？
商人,賢者、知らないのか？この宝物庫な王城で唯一、魔法で封印された部屋なんだぜ
賢者,魔法で？それは、また厳重ですね
商人,ああ、なんでも専用の魔法の鍵でしか開くことができないそうだ
賢者,へえ、それはすごい
商人,なんでも、王家に伝わる伝説の装備の数々が保管してあるとか。俺も噂で聞きつけてな、一回見学に来たことがあるんだよ
賢者,しかし、そうなると疑問ですね
商人,なにがだ？
賢者,だって、専用の魔法の鍵でしか開かないわけでしょ？。当然、そのカギは担当部署もしくは、王自身が持っているわけですよね。しかし、結果として宝物庫は暴かれてしまった。まっさきに疑われるのは、鍵を持っていた人物では？
商人,まあ、ここからは噂をもとに当時の俺が調べたことだ。この宝物庫を唯一開ける、魔法の鍵な。実は、数十年前から行方がわからなくなってるらしい
賢者,あらら
商人,というわけで、この大事な大事な宝物庫は王城の中でその名の通り開かずの間となっていた。というわけだ
騎士,つまり、だれが魔法の鍵を持っていてもおかしくないってことだね
賢者,へえ・・・そうだったんですか。しかし、商人君。やけに詳しいですねえ・・・？噂をもとにそこまで調べ上げたんですか？
騎士,まさか、忍び込もうなんて考えたわけじゃないよね？
商人,ままま、まさか！興味本位ですよ騎士さん
賢者,なるほど。合点がいきました
騎士,なにがだい？
賢者,事件の発覚が遅れた理由ですよ。魔法で封印されているなら、常に近衛兵を配置する必要もないですからね
騎士,なるほど、大臣の言っていた考慮すべき事項というのは、そのことか。近衛兵団も災難だったねえ
近衛兵,では、我々は部屋の外におりますので
賢者,ところで、中には誰もいないようですが？捜査は進んでいないのですか？
近衛兵,はい・・・宝物庫の中に近衛兵が入ることは禁じられています
商人,それまたどうして？
近衛兵,城内に賊の侵入を許し、あまつさえそれに昨日まで気づかなかった我々に行政府は不信感を抱いています
賢者,行政府が不信感・・・大臣がお怒りってことですね
近衛兵,故に、この事件の捜査については行政府直轄の者を充てると・・・大臣からの要請で
騎士,なるほど、本来ならばあなた方の管轄に我々が呼ばれたのは、そうした理由からか。心中お察しする
近衛兵,・・・
賢者,勇者の関与については、大臣管轄の行政府で内々に処理したいということでしょうか？
騎士,うーん、それはちょっと早計かな
商人,では、失礼しまーす。さて、まずは何から始めましょうか
騎士,まずは、現場をあらためよう
賢者,・・・結構、広いですねここ。水道に、かまど、クローゼットにベッドまで置いてある・・・とても宝物庫とは思えない
騎士,いざというときには、王族のシェルターとして使う予定があったのかもな
商人,お、宝箱はっけーん。・・・ま、当然カラか
賢者,元から、カラだったのかもしれませんよ
騎士,うん、もともと何が保管してあったのか知る必要があるね
賢者,近衛兵さんに管理簿を持ってきてもらいましょうか
騎士,そうだね、我々の最初の仕事は管理簿と現状を照らし合わせることから始めよう。何が盗まれたかわからないと、仕事にならないしね
商人,ん、どうしました騎士さん？
騎士,宝物庫の扉が、開かない
商人,・・・おらっ！どりゃあああああ！ごんがああああああ！・・・・開かない！。おいっ！近衛兵！扉の後ろにいるんだろっ！わかってるんだぞ！。おいおいおい！冗談で済むうちに、さっさと開けろ阿呆！。そうか！開けないか！わかった！てめえ、覚えていやがれ！。俺が外に出た暁には！てめえの鼻に口に耳にへそに、けつの穴まで含めた全ての穴を栓でふたしてやるからな！
賢者,おーい！近衛兵さーん！ちょっと外に出たいんですけど！。いや・・・これ、外から閂がされてますよ・・・開かないわけだ
商人,なんだと？おい！こら近衛兵っ！いい大人がイタズラか！？
近衛兵,・・・皆さんを、外に出すわけには参りません
商人,はいー？？？
近衛兵,陛下からの勅令です。宝物庫より何物も持ち出すことなかれ、と
商人,馬鹿言ってんじゃねえぞ！俺たちは何も、くすねちゃいねえよ！
賢者,いや、そうではないです。宝物庫から何物も、ということは宝物庫に入った私たちも・・・出すわけにはいかない、と
商人,な？そんな理屈が通るか！
騎士,近衛兵さん！冗談はよしてくれ！このままじゃ、仕事が進まないじゃないか！
賢者,対話する気は無いようですね・・・
商人,まじかよ
騎士,・・・どうも、我々のあずかり知らぬ所で何か大きな事が起こっているようだね
商人,くそっ・・・厄介なことになってきやがった
盗賊,大臣、どちらに向かっているんですか？執務室とは逆方向ですが
大臣,うむ、盗賊よ。貴様、隠していることがあるな？
盗賊,・・・
大臣,答えぬか
盗賊,・・・勇者が魔王軍に寝返りました
大臣,であるか。ふむ、盗賊よ貴様の忠誠心は未だ残っているようだな。てっきり、自らの実父が囚われていることを忘れたのかと思うたぞ
盗賊,ご存知とは思いませなんだ
大臣,勇者の監視役は、貴様だけではないということだ盗賊。なに、隠す必要は無いのだ
盗賊,・・・？
大臣,今より、陛下に謁見し、貴様が見た勇者の顛末を語ってもらう
盗賊,勇者の裏切りを・・・？陛下に直接ですか
大臣,ああ、その通りだ。ただ一つ、注意してもらいたいことがあってな。そこで、貴様の忠誠心をはからせてもらった
盗賊,・・・何を隠して、何を伝えればよろしいですか
大臣,ほお、察しが良くて助かる。一年間、き奴らに良い指導を受けたと見える。よい役人になったではないか、盗賊よ
盗賊,お褒めいただき光栄です
大臣,言葉遣いも良い。陛下の前にも十分に出せそうだな。話して良いのは、事の顛末だけだ。勇者が裏切った事実のみを伝えろ。私ら・・・いや貴様らの仕事ぶりについては黙っていろ
盗賊,わかりました。ところで・・・
大臣,案ずるでない。もう少しなのだ、この件が片付けば必ず約束は守る
王,そうか勇者が・・・。まあ奴には奴なりの正義があるのだろう、致し方ないことだ
大臣,勇者一行は、魔王軍の協力を得、王都に戻ってくるでしょう。勇者が戻ってきたら最後、彼はその特権である陛下への奏上を行うことが予想されます。勇者は、魔族の賃金是正を訴えることでしょう。もし、奏上の内容が国民にしれれば・・・。勇者の名声を鑑みるに、国民が勇者の考えに同調する可能性もございます。そうなれば、民によって構成される衆民院の議員共も黙ってはいないでしょう
王,魔族の賃金是正か・・・そもそもの今回の魔王討伐の発端はこれであったな
大臣,魔王が悪いのです。もともと、この国の制度に基づいて労働力を提供を申し出たくせに。それが、相場より安いと分かった途端。賃金是正の交渉を行うなど、言語道断でございます
王,魔族すら救うか、傲慢ではあるが聞こえは良い。さもあらん
大臣,ですので、陛下に置かれましては勇者を即刻、その任から解いていただきたく
王,ふむ・・・
大臣,何を悩まれるのです！勇者が王国へ戻ってくるまで、半年もかかりますまい！。陛下、いまのうちに先手を打ちましょう。勇者から、その奏上の権利を奪うのです！
近衛兵長,大臣、口がすぎるぞ！いま貴様の目の前に、おわすは王陛下なるぞ！
大臣,なにを逡巡されているのですか、陛下！？
王,のう、大臣よ。儂は、国民がそう願うのなら身を引く覚悟はできておるのだ。この国は儂がおらずとも回るよう儂自身の手によって作り替えた、そのための行政府や議会なのだ。国民が勇者の志に供にし儂に退陣を求めるならば、それはこの国の国民が真に自立したことを意味する。それは、儂も望むところなのだよ、大臣
大臣,し、しかし陛下！私や陛下が居なくては国は回りませぬ
近衛兵長,傲慢であるぞ！控えろ大臣よ！
大臣,近衛風情が、口をはさむな！
近衛兵長,ふん、陛下に異議を唱えるならば貴様自身の手で勇者を罷免すればよい！
大臣,勇者の指名が陛下の専任事項であることは貴様も知っておろう！その解任もまた同様だ！
近衛兵長,わかっている！だから口を出すなと言っているのだ！
王,はっはっは、そのへんにしておけ二人とも。勇者の件については、先に述べたとおりだ。これ以上の議論は必要あるまい
大臣,承知いたしました。陛下・・・。しかし、勇者が王都に嵐を巻き起こすことは必至。私は私の権限において、それを防ぐ手立てを講じます
近衛兵長,何をする気だ？
大臣,しれたこと。魔王軍に寝返った勇者を、王都にたどり着く前に迎撃する
王,よいよい、好きにせい。軍の運用は行政府の管轄、儂に物言う権利はないは
近衛兵団,しかし、勇者の力は人間による軍程度で止められるとは思えんがな
大臣,ほう。ならば、王国でも勇者に劣らぬとされる貴様の兵を貸してくれても構わんのだぞ近衛兵長
近衛兵長,ならぬな。我ら近衛兵団は、王の下を離れ職責を果たすことなどできぬ
大臣,わかっておるさ。だから、口を出すなと言っておる
王,ところで大臣、そこにおる盗賊は勇者課の一員であったな？今は、勇者課を離れ大臣付きの秘書官と聞いたが？
大臣,はい、さようでございますが・・・？。なんだ？なぜ盗賊に興味を抱く、何の意図をがあるんだ？
王,ふむ、ということは勇者課に欠員がでたわけであるな？
大臣,狙いは盗賊ではなく、勇者補助係のほうか・・・！。はい、しかしすぐに人員を補充・・・
王,実はな、かねてより我が友人の娘の就職先を頼まれておってな。勇者課に欠員ができたなら、ぜひ、そこに置いてやってほしいのだ
大臣,し、しかし、勇者課の仕事には専門的な知識と経験が必要になります！
王,安心せい。優秀な娘であることは間違いない。儂のお墨付きだ、問題なかろう
大臣,陛下！なにより勇者課は、行政府でも最たる過酷な仕事量を持っております！とても陛下のご友人のご息女を置くような場所では！。別の部署にも空きはございます！是非、そちらに！
王,いやいや、その娘はな、勇者に憧れと言うか、恋というか、そういった類のものを抱いておってな。書類上だけでも、勇者に触れる機会がある場所に勤めたいと言うのだよ
大臣,し、しかし！
