大和麻弥,うーん、新年初ライブは大成功でしたね！
若宮イヴ,はい！お客さん全員がとっても楽しそうな顔をしていました！
氷川日菜,ねー！あたしもきゅるるるん♪って感じですっごく楽しかったー！帰ったらお姉ちゃんに褒めてもらおーっと！
白鷺千聖,ふふ、みんな大はしゃぎね
丸山彩,今年最初のライブだったもんね。やっぱり大盛況で終われたし、今年もいい一年になりそう！
千聖,でも彩ちゃん、相変わらず音を外してる部分があったわよね
彩,うっ……やっぱりバレてた……？。何度も練習してたんだけど、あの部分だけはどうしても外しちゃうんだよね……
麻弥,いえ、彩さん、そんなに落ち込むことはないですよ！ああいう、生ライブだからこその失敗っていうのはなかなかいい味を出すことだってあるんですから！
日菜,確かにそうかもねっ。ＭＣでそれに突っ込まれるとワタワタする彩ちゃん、ネットでファンに大好評だし！
彩,そ、その評価のされ方はちょっとヤだな……
麻弥,ま、まぁまぁ、それはそれとしても、やっぱりライブの空気ならそれもいい演出の一つですよ！
千聖,確かにそれは彩ちゃんの持ち味の一つかもね
イヴ,他の人にはないアヤさんだけの強みですね！
彩,……これ、褒められてるのかな……？
麻弥,ほ、褒めてますよ！やっぱり彩さんはああじゃないとって方たちも一定数いますし！
彩,うーん、それならいい……のかな……？
麻弥,それに音程はともかく、リズムは完璧じゃないですか！ジブン、彩さんが歌ってくれてるとドラムが叩きやすいですよ！
彩,……フォローしてくれてありがとね、麻弥ちゃん。私も麻弥ちゃんがドラムでリズムを作ってくれると、すごく歌いやすいよっ
千聖,そうね。同じリズム隊として、ライブに慣れている麻弥ちゃんがいてくれると心強いわ
日菜,あたしもお姉ちゃんにしょっちゅうギターが走り過ぎって言われるけど、麻弥ちゃんの音を聞いてるとしっかり合わせられるな～
イヴ,確かにその通りです！マヤさんは私たちパスパレのダイコクバシラですね！
麻弥,み、みなさん……そう言ってもらえると嬉しいですね……フヘヘ。おっとと、フヘヘは禁止でしたね、千聖さん
千聖,……いえ、私、改めて考えてみたの
麻弥,はい？何のですか？
千聖,その麻弥ちゃんの笑い方も、麻弥ちゃんの大事な個性の一つなんじゃないかって
麻弥,え、そうですかね……？
千聖,ええ。だから禁止にするって言ったのは辞めにするわ。むしろパスパレのみんなで使っていくべきだと思うわ
麻弥,……えっ！？
日菜,フヘヘ……お姉ちゃんに褒められちゃった～
彩,フヘヘ……次は音程外さないように、しっかり練習するね、みんなっ！
千聖,フヘヘ……練習するのは大事だけど彩ちゃんはそのままでいいと思うわ
イヴ,次のライブも頑張りましょうね、みなさん！フヘヘヘヘ！
麻弥,え、ちょ……
彩,フヘヘ
千聖,フヘヘ
日菜,フヘヘ
イヴ,ブシドー！フヘヘ
四人,フヘヘヘヘヘヘヘ
麻弥,。うわぁぁ！！。……あれ……ユメ……？。…………。思いつく限りで最悪の初夢だ……また悪夢として見そうな絵面だった……。今年は本当に笑い方を直そう……フヘヘはアイドルがやっちゃいけない……
日菜,お姉ちゃーん！一緒にパスパレが出てる年末特番見よー！
氷川紗夜,……日菜、私の部屋に入る時はノックをしなさいと言っているでしょう
日菜,あ、ごめんなさい
紗夜,まぁいいわよ。いつもの事だし、可愛いあなたのすることだもの
日菜,うん、ありがと、お姉ちゃん！
紗夜,それで、一緒にテレビを見るんだっけ？
日菜,そうそう！彩ちゃんが体を張ったバラエティーがあるんだ！それ、一緒に見よっ！
紗夜,はいはい。見る場所は……
日菜,お姉ちゃんの部屋！
紗夜,……だと思ったわ、まったく。今飲み物を用意してくるから、ちょっと待ってなさい
日菜,はーいっ。えへへ、優しいお姉ちゃんだーい好き！
紗夜,別に優しくはないわよ。可愛い日菜のためだもの、当然のことだわ
日菜,えへへへへ～。おおー、やっぱり彩ちゃん、体張ってる時が一番輝いてるな～
紗夜,……あなたたち、アイドルバンドよね……？なんで超大盛かつ丼の早食いなんてやってるのよ……
日菜,事務所の方針だって～
紗夜,アイドル事務所よね、あなたが所属してるの……これが今の流行りなのかしら……
日菜,千聖ちゃんもお仕事には厳しいなー
紗夜,これそういう問題の話なの……？
日菜,大丈夫大丈夫、割といつものことだから！
紗夜,そう……芸能界って怖いところね。それより日菜、寒くはないかしら？
日菜,んー？大丈夫だよっ、お姉ちゃんにぴったりくっついてるから！
紗夜,そう。それならいいわ。寒くなったらいつでも言いなさい。私の膝はあなたのために空けてあるから
日菜,ほんとー！？じゃあお姉ちゃんの膝の上に座るー！
紗夜,わ……っと。まったく、日菜はいつも甘えん坊ね
日菜,えへへー、だってお姉ちゃんが甘やかしてくれるんだもんっ！
紗夜,ふふ、仕方のない子ね
日菜,お姉ちゃん、だーい好きっ！
紗夜,私もよ、日菜。……菜、日菜
日菜,んん……あれ……お姉ちゃん……？
紗夜,こたつで寝てると風邪ひくわよ。それにあなた、テレビもつけっぱなしのまま寝て……まったく
日菜,んー、おねえーちゃーん……
紗夜,ちょっ、日菜……？
日菜,えへへー……お姉ちゃんの膝枕……気持ちいーなー……
紗夜,寝ぼけてる……まったく、しょうがないわね。……今日だけよ
日菜,おねえちゃん……だーいすきぃー……えへへ……
イヴ,…………。……来ましたね、ミスターダークブシドー……
ミスターダークブシドー,以下ＭＤＢ
