ナレーション,以下N
N,今日はいつもの日向家を離れ、学園艦という船の上からお送りします。いや～学校や町が船の上にあるなんて凄いですね～。え？宇宙人がいるのに今更？それは後でわかりますよ。本日はその一角にある秋山家からお送りします
優花里,敵襲！即座に攻撃態勢に入るであります！
N,彼女は秋山優花里ちゃん、この家の一人娘です。戦車やミリタリーが大好きで、今はどうやらシミュレーション中のようですね
優花里,敵発見！隠れてないで出てくるであります！
ケロロ,な、何故ばれたでありますか・・・
優花里,え・・・
ケロロ,あ、ヤバ・・・
優花里,・・・・・。落ち着きましょう、ここは冷静に状況を分析して・・・。今私の目の前には明らかに人間じゃない何かが・・・
ケロロ,ケロ？
優花里,うん、対処法がわかりません！
ケロロ,わ、吾輩決して怪しい物ではないであります！
優花里,いやそういわれましても・・・その喋り方・・・まさか軍人？
ケロロ,おお、わかるでありますか！。吾輩はガマ星雲第58番惑星宇宙侵攻軍特殊先行工作部隊、ケロロ小隊隊長、ケロロ軍曹であります！
優花里,ほう・・・
ケロロ,あ、全部言っちゃった・・・
優花里,つまり・・・貴方は宇宙人・・・
ケロロ,あ、いやその～
優花里,それでいて軍人・・・しかも軍曹・・・
ケロロ,あ～どうしよ・・・ん？。え、えっと・・・
優花里,あ、申し遅れました、私秋山優花里といいます
ケロロ,そうでありますか、ところでこの戦車のプラモを優花里殿が作ったのでありますか？
優花里,ええそうですけど・・・
ケロロ,中々いい出来でありますな！
優花里,わかりますか、もしや軍曹殿もプラモを
ケロロ,吾輩はもっぱらガンプラでありますけどな
優花里,ほほう・・・
ケロロ,今日も暇な時作ろうと思ってMGガンタンクを持ってきたでありますよ！
優花里,おお、これはカッコ良さそうですね！。それで、履帯をこうして・・・
ケロロ,ほほう、なるほどなるほど・・・
N,プラモを通じて、2人は打ち解けたようです、よかったですね
ケロロ,・・・というわけで、極秘任務でこの町にきたのでありますが、トラブルで小隊のみんなとはぐれてしまいましてな・・・
優花里,そうだったのですか・・・。わかりました！私も仲間探しに協力しましょう！
ケロロ,え、いいのでありますか！？
優花里,もちろん！友達にも手伝ってもらって・・・
ケロロ,だ、大丈夫なのでありますか？
優花里,きっと受け入れてくれますよ
ケロロ,そうだといいのでありますが・・・
N,こうして、奇妙な友情を結んだ2人はケロロ小隊のメンバーを探すことになりました。はてさてどうなることやら・・・
ケロロ,立派な町でありますな、本当に船の上なのでありますか？
優花里,ええそうですよ
ケロロ,こっちのペコポンはそこまで科学技術が進んでいるのでありますか・・・
優花里,こっち？ペコポン？
ケロロ,あ、なんでもないであります
優花里,しかし軍曹殿、おおっぴらに外を歩いて大丈夫なんですか？
ケロロ,心配無用、吾輩たちにはアンチバリアがありましてな・・・
優花里,アンチバリア？
ケロロ,要するにステルスあります、今吾輩は優花里殿とその友達にしか見えないようになっているのであります
優花里,すごい・・・これが宇宙の科学・・・
ケロロ,いや～それほどでもあるでありますけどな！
沙織,あ、ゆかりんだ！おはよー！
優花里,あ、武部殿！おはようございます
ケロロ,優花里殿の友達でありますか？
優花里,はい
沙織,あれ、ゆかりんその子・・・
優花里,え？
タママ,さ、サッチー待ってくださいですぅ～
沙織,だってタマちゃんずっとお菓子食べてるんだもん
タママ,む～
優花里,武部殿、その子は・・・
沙織,え、ゆかりん見えてる？ってことは・・・
ケロロ,た・・・タママ２等！
タママ,軍曹さーん！！！
ケロロ,いや～こんなに早く会えるとは！
タママ,よかったですぅ！
沙織,この子がタマちゃんの言ってた軍曹さんなんだ
優花里,武部殿、一体何が・・・
沙織,いやそれがさ、昨日お菓子作ってたら・・・
タママ,お菓子の匂いがするですぅ～
沙織,可愛い・・・何だろこの子・・・。って訳
タママ,サッチーのお菓子美味しかったですぅ！
ケロロ,さて、改めて紹介するであります。我がケロロ小隊の一員、タママ二等兵であります！
タママ,ユッキーよろしくですぅ！
優花里,はい、よろしくお願いします
沙織,まだ仲間っているんだよね？
ケロロ,ええ、早く探さねば・・・
みほ,あれ？2人とも何してるの？
沙織,あ、みぽりんおはよー！
優花里,西住殿！おはようございます！
みほ,おはよう・・・ってこの子達は・・・
ケロタマ,！
優花里,西住殿・・・もしや
沙織,そういえば何で走ってきたの？
みほ,うん、それがね・・・
ギロロ,ま、待ってくれぇ～
沙織,あ、みぽりんおはよー！
優花里,西住殿！おはようございます！
みほ,おはよう・・・ってこの子達は・・・
ケロタマ,！
優花里,西住殿・・・もしや
沙織,そういえば何で走ってきたの？
みほ,うん、それがね・・・
ギロロ,ま、待ってくれぇ～
みほ,すみません伍長さん・・・置いてきてしまって
ギロロ,ハァハァ・・・まさか貴様がこんなに・・・む？
ケロロ,・・・・・
タママ,・・・・・
ギロロ,き、貴様ら！こんなところで何をしている！
ケロロ,いやそれこっちのセリフだから
ギロロ,最初は寝坊するわ意味もなくコンビニに長時間たむろするこいつを鍛えなおしてやるつもりで・・・。何十キロも走らせていたのだが・・・
ケロロ,先に自分がバテてしまったと・・・
ギロロ,うるさい！貴様、やはり何か軍事訓練を受けているな？
みほ,いえ、ただの学生です
ギロロ,嘘だッ！。夏美に匹敵する身体能力・・・貴様過去をしていた！
みほ,いやだからそんな大したことは・・・
沙織,てゆうかみぽりん、この赤ダルマちゃんとどこで出会ったの？
ギロロ,誰が赤ダルマだ！
みほ,うん、実は昨日の晩・・・。がんばれボコー！
ギロロ,ええい！何をやっているんだ軟弱者がァ！
みほ,え！？
ギロロ,おいボコとやら！貴様も戦士なら根性見せろォ！
みほ,そ、そうだよ！頑張れボコー！。って訳なんだ
優花里,流石西住殿です
ケロロ,どうやら彼女がこっちのペコポン人の最終防衛ラインのようでありますな・・・。おっと、紹介するであります、わが小隊の脳筋ダルマことギロロ伍長であります！
ギロロ,誰が脳筋だ！
優花里,よろしくであります！伍長殿！
みほ,何だかボコみたいな子だよね・・・
ギロロ,や、やめろ・・・頭をなでるな///
優花里,これで3人・・・
ケロロ,全員終結も近いであります！
みほ,あ、そろそろ学校行かないと
沙織,そうだ！急いで麻子起こしにいかないと！来て！
タママ,わ、わかったですぅ！
沙織,麻子～起きて～
麻子,やぁ沙織、それに皆さん、おはよう
みほ,え・・・
優花里,お、おはようございます・・・
タママ,何かサッチーが言ってたキャラじゃないですぅ
沙織,・・・あなた誰？
麻子,え？
沙織,麻子が朝からこんなキリッとしてる訳ない！あなたは一体誰！？
麻子？,ク～クック・・・バレちまったかぁ～
ケロロ,この声・・・まさか
優花里,冷泉殿のお腹が開いた・・・
クルル,よぉ隊長、早速こっちのペコポン人と関わっちまったみてぇだなぁ。ク～クックック・・・。新型ペコポン人スーツ、こっちの材料で作ったからやっぱイマイチだな
ケロロ,あ、彼は我がケロロ小隊の通信・作戦参謀、クルル曹長であります
クルル,ま、よろしくな、ク～クックック・・・
沙織,何か怪しい奴・・・あ！麻子は！？
クルル,奥で寝てるぜ、だから俺が代わりに学校行ってやろうと思ってな、実験も兼ねて
沙織,も～麻子ってば・・・
麻子,ふああ・・・こいつと一晩中語り合ってたら徹夜になってしまってな
沙織,も～
クルル,クク・・・中々有意義な話だったゼェ・・・
ケロロ,なにはともあれ、これでケロロ小隊全員集合でありますな！
優花里,え、これで全員なんですか？
華,あらみなさん、集まってどうされたのですか？
沙織,あ、華おはよう
華,おはようございます、おや、その方達は・・・
ケロロ,ケロ・・・
みほ,宇宙人で仲間をさがしてるんだけど、全員見つかったって
華,あら、そうなのですか？。では、この方は関係ないんですね？
優花里,え？
