※出演してほしい艦娘,空母、軽空母、水母など空母限定
ずいずい：アウトレンジ戦法,アウトレンジせんぽう
RJ：あいつ入ったら無茶苦茶になんでwww昨日とか個人LINEしたけど,飲みいこ
RJ：例で直訳すると、,あなたはまだマシだよカモ野郎
卵焼き☆研究中：,･･･うわぁ～。恋愛漫画言ったの私だけっぽい
赤城：,大丈夫瑞鳳さん。私、ガラスの仮面とか好きですよ
ソウ☆リュウ,果たしてそれ恋愛漫画って言えるんですかwww
赤城：ﾐα,ﾟДﾟ
多聞丸☆LOVE：提督,大鳳･･･すまないな、無理をさせてしまった･･･
多聞丸☆LOVE：大鳳,い、いえ。そんな。大鳳は･･･提督のために頑張ったまでです
多聞丸☆LOVE：提督,しかし、君を傷つけてしまったことに変わりない。すまなかった･･･
多聞丸☆LOVE：大鳳,いえ･･･本当、気になされないでください･･･。私･･･多聞丸提督のためなら･･･いっぱい大破します･･･！
多聞丸☆LOVE：提督,ああ。次は小便大破だ･･･
多聞丸☆LOVE：大鳳,アッ＿＿＿＿＿＿＿＿！！
赤城：提督,大鳳……大丈夫か？
赤城：大鳳,提督……ありがとう。私は大丈夫よ
赤城：提督,僕が……僕のせいで君が……！本当にすまない……！
赤城：大鳳,大丈夫。心配いらないわ。あなたがこうして、側にいてくれるんですもの
赤城：提督,はは。みんなのおかげでな。君と過ごす二人の時間が増えて嬉しい
赤城：大鳳,私もよ。テイトク=サン
赤城：提督,君もそう思っていたのか。タイホウ=サン
赤城：大鳳,当たり前じゃない。だって私は。テイトク=スレイヤーなのだから
赤城：提督,アイエエエエエエエエエエ！！？ニンジャ！？アナタニンジャ！？
赤城：大鳳,俳句をヨメ！！！
赤城：提督,オーガニック・マグロスシ・オイシイ！！
赤城：大鳳,ダメ！！サヨナラ！！！
かもかも！：大鳳,提督……やられちゃったかも～……
かもかも！：提督,それは大変だったかも……ごめんかも
かもかも！：大鳳,うー。全然謝罪の気持ちが込もってないかも！！。ぷんすか！かも～！
かもかも！：提督,ご、ごめんかも。許してほしいかも～
かもかも！：大鳳,ま、まあ？そこまで言うなら？許してやってもいいかも！
かもかも！：提督,大鳳……。提督嬉しいかも！！
かもかも！：大鳳,て、提督が嬉しいと、大鳳も嬉しいかも！！
かもかも！：提督,かも！！！
RJ：,フリにしか思えんのはうちだけか……
卵焼き☆研究中：提督,大鳳。大丈夫か
卵焼き☆研究中：大鳳,ブライトさん。私は大丈夫じゃないですよ！なんですかいきなり、ガンニャムに乗れって！
卵焼き☆研究中：提督,二重の極み！！
卵焼き☆研究中：大鳳,があああっ！な、殴ったね！間宮さんにもぶたれたことないのに！！
卵焼き☆研究中：提督,ですよね
卵焼き☆研究中：大鳳,もおおおーー！！怒ったぞお！？。卵焼き、食べさせてやりゅうううううう！！
卵焼き☆研究中：提督,おっと。こりゃ参ったな。じゃあこれ言わないといけないだろ？。食べりゅうううううううううううううううううう
ずいずい：ﾐα,ﾟДﾟ
ソウ☆リュウ：,提督……手、あったかいです、ね……？。えっ？あっ、ああ。大鳳と繋いでるから、かな……はは
卵焼き☆研究中：こりゃお母さんモテるわ･･･,確信
ソウ☆リュウ：,^ω^
赤城,正規空母赤城だオラァ！！。えー、お集まりの皆さん。今日は大宴会、大鳳ちゃんと提督。いやほんまいつまでもウジウジしてなんやねん。まあでも結ばれてばんばんざいやで会にお越しいただきありがとうございます
瑞鶴,題名なっがwww
龍驤,命名はうちや！
翔鶴,もう少し短縮しても良かったんじゃないですかw
蒼龍,いええええー！赤城さん、いいぞー！！
飛龍,こっちゃもう飲んだくれてまーす！
大鳳,あはは･･･
加賀,大鳳さん。ほら、ヘネシー
大鳳,あ、ありがとうございますw
赤城,まあ、すでにやっちゃってる方もいますが、ここは無礼講ということでw。いや～。でもねえ。本当。お二人が結ばれてくれて、赤城は大変嬉しゅうございます。聞いてください。一航戦赤城で赤城山
瑞鶴,いや歌うんですかwww
