モバＰ,以降Ｐ表記、ぷにぷにですよ～
ちひろ,すみませんプロデューサーさん、ホチキスの芯って持っていませんか？
Ｐ,あるよ。はいどうぞ
ちひろ,ありがとうございます
Ｐ,２００円です
ちひろ,その減らず口縫い付けたろか
Ｐ,ヒィッ
ちひろ,まったくもう！
Ｐ,あれ、この前雑貨品の買い出し行った時に買わなかったんですか？
ちひろ,いえ…買った事は買ったんですけど
Ｐ,…
ちひろデスク,やあ
Ｐ,うわ机の上超汚ねぇ
ちひろ,き、今日はたまたまです！色々と仕事が重なって…
Ｐ,結婚できないパターンですな
ちひろ,その瞼縫い付けてやろうか
Ｐ,やめてくださいビルド観れなくなる
ちひろ,そう言えばプロデューサーさんのデスクっていつも意外と綺麗ですよね。意外と
Ｐ,ハハッ、心が綺麗なものですから
ちひろ,あははははははははははははははははははははは！！
Ｐ,くっ！助走つけて殴りたい！
ちひろ,何かコツとかあるんですか？あ、今お仕事大丈夫ですか？
Ｐ,構いませんよ。なろう小説読み漁ってるだけですから
ちひろ,何してるんですか
Ｐ,コレなんか面白そうですよ。ＨＮ三ノ宮明日香の授業中にテロリスト～異世界でトンファー無双～。みんなに勧めてみようかなと
ちひろ,おいやめて差し上げろ
Ｐ,コツも何も、不必要なものは置かないようにしているだけですよ？ほら
ちひろ,あ、ホント。意外ですね。持ち主は限りなくスチャラカなのに
Ｐ,必要な書類はすぐ取れるようにパソコンの横の書類棚に入れてますし、急ぎじゃないものはこうして中央下の浅広い引き出しに入れてます
ちひろ,わっ、引き出しの中に仕切りつけてきっちりファイリングしてる。やだこの人埼玉出身のくせに几帳面
Ｐ,お前は今全国３憶７千万人の埼玉県民を敵に回したぞ。左側が比較的新しい書類、右に古い書類と区別しています
ちひろ,へぇ～…確かに見やすいですね
Ｐ,あとは今週号のジャンプぐらいですかね、ここに入れているのは
ちひろ,ん？
Ｐ,と言うかこれぐらいならそんな几帳面じゃなくてもやりません？
ちひろ,まぁ…私も多少は整頓して使っているつもりですけど。…いや、単純にあなたがこんなキッチリしているというのがただただ意外で
Ｐ,お前は普段俺のことを一体何だと
ちひろ,業務モンスター
Ｐ,………チッ！命拾いしたな反論が浮かばねえ！
ちひろ,あ、折角ですから他の引き出しも見せてもらっていいですか？
Ｐ,え
ちひろ,…あ、もし人前に出せないようなアレなモノとか隠していらっしゃるのなら無理にとは…
Ｐ,職場でそんな不健全なモン持ってくるかぁ！いいだろう受けて立ちましょう！
芳乃,ほーっ
ちひろ,えっ
芳乃,そなたー、れっすんに行って参りますー
Ｐ,はいよ。夕飯は唐揚げだからなー
芳乃,ひゃっほーい
Ｐ,さて、では今度は右側の引き出しを…
ちひろ,あ、あの…そこの引き出しって書類が入ってましたよね？
Ｐ,え？えぇ…今さっき見せたでしょ？ほら
ちひろ,…今、芳乃ちゃんどこから出てきました？
Ｐ,ではまず一番上の引き出しから行きますねー
ちひろ,どこから出てきました！？
Ｐ,右側の一番上は文房具類ですかね。とは言ってもデスクの上の筆立てに大抵のモノ入れてますからホチキスの芯とか…あ、あと印鑑や重要書類もここですね
ちひろ,あ、そこの使い道は私も同じですね。印鑑入れているので鍵でロックしていますけど
Ｐ,俺もです。あ、付け加えると没収したゲーム機とかもここに入れてますね
ちひろ,学校の先生ですか
Ｐ,リオレウス狩りに没頭してレッスンすっぽかすアイドルが約２名ほどいますので。普段一番使わない引き出しですね、ここは。そのせいで時々カギどこやったか忘れちゃうぐらいですよ
ちひろ,いやいや、印鑑入れてるのに大丈夫なんですかそれ
Ｐ,その時は李衣菜に頼むか芳乃にお願いしてますね
芳乃,呼びましてー？
ちひろ,わっほい！
Ｐ,あれ、芳乃レッスンは？
芳乃,忘れ物をしてしまいましたのでー。ではではー、行ってまいりますー
Ｐ,いってらっしゃい
芳乃,がんばるぞい
ちひろ,…
Ｐ,さて、では次は真ん中の…
ちひろ,ちょいちょい！今芳乃ちゃんどこから出てきました！？
Ｐ,…？
ちひろ,怪訝そうな顔で首を傾げないでください可愛げの無い！
Ｐ,ちょっと何を言ってるのかわからないので無視して次にいきますね？
ちひろ,段々次の引き出しには何が入ってるんだろうってワクワクしてきた自分が悔しい
Ｐ,真ん中の引き出しは結構広くて大きいので色々入れちゃってますね
ちひろ,あぁわかります。私貰ったお菓子とか入れちゃいますね
Ｐ,え、モバコインカードじゃないんですか？
ちひろ,ていっ！
Ｐ,ファイルの角は地味に凶器！。確かに俺もオヤツとか入れちゃってますね、ここ。あとは雑貨とか色々と…
杏,プロデューサー飴無くなったからちょーだい？あとゲーム返してー
Ｐ,ほれ袋ごと持ってけ。ゲームは帰るときに帰してやるから
響子,プロデューサーさん。星形の型抜きとか持っていませんか？
Ｐ,偶然持ってるよ。けど包丁持ったままウロウロしないで怖い
みちる,パッククロージャーありますか！
Ｐ,あげるから食べながらウロウロしない可愛いけど
常務,ＭＧエクシアの右肘関節パーツが折れてしまったのだが
Ｐ,奇跡的に持ってますよ。と言うかバンダイさんに問い合わせてください
時子,豚
Ｐ,はいよ、味醂と白味噌
仁奈,ハクビシンのきもちになりてーでごぜーますよ！
Ｐ,丁度昨日作った着ぐるみがあるでごぜーますよ
周子,ねぇねぇ、志希ちゃんの感度が４００倍になるスイッチとか晶葉ちゃん作ってくれないかなぁ
Ｐ,今朝暇潰しに作ってみたんよ
比奈,Ｓ－６１のトーン下さいっス
Ｐ,人の引き出しを保管庫にしないでくれない？
ちひろ,……
Ｐ,っとまぁこんな風に色々適当に放り込んでるんでゴチャゴチャしてます…って何ですかその目は
ちひろ,いえ…どこからツッコめばいいのかなぁ、と
Ｐ,去年の忘年会でやったお願い!シンデレラ千川ちひろwithトレーナー４姉妹ver
ちひろ,３０００円までなら出しますからそれ渡してください
Ｐ,とまぁ、こんな感じな真ん中の引き出しです
ちひろ,明らかに引き出しの大きさに釣り合わない量のものが入ってましたけどどうなってるんですか
Ｐ,そして一番下の引き出しですが
ちひろ,どうなってるんですかってばよ
Ｐ,ここは特に何を入れるって決めてる訳では無いです。特に何もなければ空にしてますし…
こずえ,むにゃぁ…
Ｐ,…
ちひろ,…
こずえ,…しめてぇ…しめろよぉ…
Ｐ,おやすみ。…
ちひろ,…
Ｐ,そして一番下の引き出しですが
雪美,くぅ…
ペロ,起きちゃうから閉めて
Ｐ,すんません。…
ちひろ,…
Ｐ,ここは特に何を入れるって決めてる訳では無いです。特に何もなければ空にしてますし…
イヴ,結構落ち着きますね～
Ｐ,落ち着かんといて。…
ちひろ,…
Ｐ,ど、どうなってるん！？
ちひろ,そんな事知りませんよ！
Ｐ,と、引き出しはこんな感じですね
ちひろ,突っ込みどころしかありませんでしたね
Ｐ,デスク上はパソコンと筆立てとファイルケースとフルボトルくらいしか置いていませんし。参考になりました？
ちひろ,なると思います？
Ｐ,時間の無駄でしたね
ちひろ,まったくです。…あ、良い機会ですからもう１か所見せてもらってもいいですか？
Ｐ,引き出しと引き出しの隙間に薄い本なんて隠していませんよ
ちひろ,違いますよ。プロデューサーさんのデスクで一番摩訶不思議な場所をまだ見ていなかったのを思い出しまして
Ｐ,ねぇよ、そんなとこ
ちひろ,あるだろほら。ここだよここ！
Ｐ,デスクの下なんて俺の足しかありませんよ。あとはせいぜい…んしょ、っと。あいたっ
ちひろ,どうしました？
Ｐ,噛まれました
ちひろ,え？
Ｐ,コラ誰だぁ
輝子,フフィ…
ちひろ,輝子ちゃんが釣れました
Ｐ,オツサンの指なんて美味しくないから。ペッしなさい。ペッ
輝子,い、いきなり親友の手が来たから…か、噛めばいいのかと思って
Ｐ,痛くすぐったいからやめなさい
輝子,フヒ…
Ｐ,吸うな吸うな！
輝子,じゃ、じゃあ…返すぞ
Ｐ,ヤメロォ！。指ベットベトになってもうた…ちひろさんで拭いていいですか？
ちひろ,レアメダルにされたいんですか
Ｐ,ヒィッ
ちひろ,前から思ってたんですけど…そんなに奥まで足を入れてるのによく輝子ちゃんが入るスペースがありますよね。物理法則どうなってるんですか？
Ｐ,そうですか？普通にちょっとした収納テクじゃないですか？ほら結構スペースありますし。あいたっ
ちひろ,どうしました？
Ｐ,噛まれました
ちひろ,え？
Ｐ,まだ入ってたんかい誰だぁ
乃々,ひぃぃっ、み、見つかっちゃったんですけど…
Ｐ,森久保も入ってたのかよ。…今噛まなかった？
乃々,し、知りません…
Ｐ,本当に？ちょっぴり痛かったんだけど
乃々,あぅ、ごめんなさい……って知らないんですけど。もりくぼには一切身に覚えが無いんですけど…
Ｐ,そっか。じゃあ取り合えず手ぇ離してくれない？
乃々,お構いなく。もりくぼの事はちょっと斬新な装飾品と思っていて頂けたら…
Ｐ,片腕の自由を完全に奪い去る装飾品ってどうなのさ
乃々,も、もりくぼに用事が無いのでしたら引き続き静かに巣に籠っています…
Ｐ,それは構わないけど俺の手は離してくれない？引きずり込まれるから。引きずり込まれるから
乃々,お構いなく、お構いなくですけど
Ｐ,た、助けてチッヒ！
ちひろ,気が済むまでイチャついてどうぞ
Ｐ,へ、へるぷみー！
ちひろ,プロデューサーさんが足を入れてたのに女の子２人もよくこの中に入っていられましたよね…四次元ポケットか何かですか
Ｐ,ファンタジーやメルヘンじゃないんですから
ちひろ,あ、生きてたんですね
Ｐ,手こずりましたが何とかレッスンルームに放り込んできました
ちひろ,乃々ちゃんも随分逞しくなりましたね
Ｐ,あいつは最初から逞しい娘ですよ。よいしょっと。これで少しでもちひろさんの腐海のようなデスクが整えられると幸いです
ちひろ,ですから今日はたまたまですってば！
Ｐ,自宅では高校時代のジャージ着て部屋散らかしてＧが出たら怖くて部屋に入れないタイプですか？
ちひろ,失礼な！なら見に来ればいいじゃないですか！その澱んだ眼で確かめればいいじゃないですか！
Ｐ,ハハッ、微塵も興味がねぇ
ちひろ,一撃じゃ生温い！
Ｐ,体重の掛かったエルボー！
ちひろ,ずーっと思ってましたけどもう少しくらい私に優しくしてくれてもバチは当たらないと思いますよ
Ｐ,痛た…優しくしなくてもバチは当たらないからいいんですよ。もう、ボールペン落としちゃったじゃないですか
まゆ,うふ
ちひろ,え
まゆ,はい、落としましたよぉ？
Ｐ,ああ、どうもありがと
まゆ,それでは失礼しますねぇ
Ｐ,お疲れさん
ちひろ,…
Ｐ,…
ちひろ,……
Ｐ,まゆまで入ってたとは。アハハハ
ちひろ,だから物理法則おかしくないですか！？
Ｐ,？
ちひろ,怪訝そうな顔で首を傾げないでください愛嬌の欠片もない！。このスペースにどうやったら女の子３人入るんですか！スライムじゃなきゃ無理でしょ普通に考えて！
Ｐ,この事務所において普通というワードがどれだけ無力だと。ああほら、デスク叩くからまたペンが床に…
凛,ふーん
ちひろ,え
凛,はい、落としたよ？
Ｐ,ああ、どうもありがと
凛,それじゃ、巣に戻るね
ちひろ,…
Ｐ,…
ちひろ,…
みく,うにゃ
ちひろ,え
みく,ボールペン落としたにゃ。はい
Ｐ,ああ、ありがとな
みく,みくは巣作りに戻るよ
ちひろ,…
Ｐ,…
ちひろ,…
飛鳥,やぶさかではないよ
ちひろ,ｏｈ…
飛鳥,ほら、落とし物だ
Ｐ,ああ、ありがと
飛鳥,終わりゆく世界に身を委ねるとしようか
ちひろ,…
Ｐ,…
ちひろ,…
Ｐ,…
こずえ,すぴぃ…
Ｐ,…
ちひろ,…
Ｐ,物理法則どうなってんですか！？
ちひろ,お前が言うなよ！！
アッキー,終わりだ
優,アッキー用のデスク届いたよー？
