モバP,……え？
拓海,ったく……ごまかせると思ってんのかよ。いつもと様子が違うじゃねえか。なんつーか普段は抜け目ねえのに、仕事に身が入ってねえっつうか
P,そ、そうか？
拓海,バレバレだ。いい加減付き合い長ェんだぞ
P,う……
拓海,……なあ。何かあったんなら……アタシが相談に乗るぜ。アタシみたいなガキじゃ役に立てねえかもしれねえけどよ。ここで見過ごせるようなタマでも、関係でもねえよ
P,……
拓海,P……
P,……そうだな
拓海,！
P,変に隠しておくようなことでもない。もう見抜かれてるんだ、格好なんてつかないしな
拓海,それじゃあッ
P,それに、もう終わったことだ。だからただの俺の愚痴になってしまうが……聞いてくれるか？
拓海,何でもいいぜ、ドンと来い！アタシが受け止めてやっからよ！
P,実は俺……妻と離婚したんだ
拓海,！！
P,いや、もう元妻、か
拓海,そういや結婚してたんだったな……アンタ
P,はは、随分前に話したっきりだったしな。もう忘れてたろ？
拓海,……忘れるわけねえだろ
P,……
拓海,すまん、何でもねえ、忘れてくれ。で、いいのか、アタシはこれ聞いて
P,もちろん。そんなに深く考えなくていいさ。それに何より、拓海はガキなんかじゃない
拓海,……おう、あんがとよ。なら、アンタも楽になれ
P,拓海……
拓海,何かあったんだろ。続きを聞かせろよ
P,いや、その、俺は……
拓海,いいから。続けろ
P,……。まあ、よくあるゴタゴタでさ。妻に他の男の所へ出て行かれてしまって……
拓海,なッ
P,待て、落ち着け拓海、これは俺の責任でもあるんだ。俺が彼女を顧みなかったから……！
拓海,っ、そう言われてもよ！。普段のアンタを見てるアタシとしちゃあ、相手の女を恨むしかねえぞ！
P,その、な……。拓海の気持ちは有り難い
拓海,ったりめえだろ。そんなの、どうあっても浮気なんざする奴の方がよ……！
P,でもな。俺はこういう仕事をやってるけど、恥ずかしながら、本当の芯の部分では女性の心に疎い
拓海,……
P,最初は円満だった。お互いを尊重しながら上手くやれてたと思う。向こうも仕事を持ってて、こっちの仕事も理解してくれてた。だから……ついその調子のままで、俺は歪みに気付かずに彼女と接してた
拓海,どういうことだよ……
P,拓海の前にもプロデュースしてた何人かのアイドル。その娘たちと成功を収めるたびに、俺はその事を彼女に話していたんだ
拓海,それって……
P,俺はただ、彼女と喜びを分かち合いたかっただけなんだ。でもそれこそが彼女への心無さだった
拓海,まさか、嫉妬してたっつーのか？アンタが仕事で成功して
P,半分正解だ
拓海,半分っ？
P,嫉妬はしてた。でもその対象が
拓海,―――！。アタシら、アイドルにかよ……！！
P,やがて俺が拓海と出会う頃には、もう彼女は擦り切れていたんだろう。俺は彼女に寄り添ってやれなかった。彼女の心労に……
拓海,それはッ……アンタは悪くねえよ！
P,拓海……
拓海,他の女のこと聞いて気持ちいい嫁はいねえだろうが――アンタはそういう仕事で、一緒に喜んでやるのも嫁の仕事だろ！。その女が勝手に嫉妬してただけじゃねえか！。それでも辛いならPに言えばいい……なのにッ……
P,……彼女にも、同じことを言われたよ
拓海,な――
P,ごめんなさい貴方は悪くない私が勝手に嫉妬してただけ。お互いに汚い言葉を吐き合い、罵り合い、そんな醜い喧嘩の果てに、な……
拓海,～～～っ……
P,何度も何度も、泣きながら謝られた。我慢できなかった貴方と私では、どうしようもないことだった。ぽつぽつと漏らして、最後に、浮気をしてしまいましたって
拓海,……そうか
P,なんだか、どうしようもないことだったって言われた時に、不思議と納得した自分もいてさ……。俺と彼女とでは、こうなる運命だったんだなって
拓海,……
P,もう、疲れてたんだ……
拓海,……その女だなんて言って悪かった
P,いや、平気さ
拓海,でも……やっぱりアタシは納得いかねえよ
P,え……？
拓海,何より、アンタをそんな風にさせちまった女の事がどうしても許せねえ……。アタシはアイドルになるとっくの前から、情と絆の世界に生きてきたんだ。そこいらの奴らより身内ビイキにだってなる……P、アンタは悪くねえ……ッ！
P,ありがとう……でもな
拓海,でももクソもねえよッ！！
P,お、おい……
拓海,どれだけこの世界を突っ走ってもよ！所詮アンタはプロデューサーで、アタシはアイドルだ！。どんなにマブなパートナーになれても、アタシがアンタの全部を受け止めてやれるわけじゃねえっ……。その仕事は、アンタの一番隣にいる、アンタの嫁さんがやるべきことなんだよ……。アンタの嫁さんにしかできねえことなんだよ！！
P,拓、海……
拓海,だから……許せねェんだ……。勝手に放り出しやがって……。アタシじゃあ届かねえ場所を、簡単に投げ捨てやがって……ッ！
P,拓海、嬉しいけど……でも、もう
拓海,うるせェ！！どうしてアンタはいつもそうなんだよッ！！。自分の事はいつもほっぽって、他人の事ばっか優先しやがって！それでヘラヘラ笑ってやがって！
P,最初にも言っただろ？もう終わったことなんだ……
拓海,終わってなんかいるもんか！！好きな女から酷い目受けて、アンタ辛いんじゃねェのかよ！！
P,っ
拓海,悲しい時には悲しいって言えよ！！男には痩せ我慢しなきゃなんねえ時だってあるだろうが――。それはアタシといる時以外にしろバカ野郎！！！
P,――――。………。……。～～～っ……
拓海,……P
P,……。……どうしよう。もう結構吹っ切れてるなんて言えない……。流れでしんみり語ってしまったけど。もうだいぶ前からスッキリしてるなんて言えない……
拓海,泣きたい時には、泣けよ……。じゃなきゃ……アタシが泣くぞ、バカやろう……
P,夫婦関係は以前から冷え切っていたため離婚は覚悟していたしいざ別れたら彼女が幸せならそれはそれでいいかなと思えて俺も次の恋探すかーなんて、そんな自分がいることに少し驚いたけど。不思議と嫌な気分じゃないなんて言えない……
