キャラ崩壊,特にベクター
ドルベ,む、ベクター。貴様こんな河原で寝転んで、何を惚けている
ベクター,あー？ああ、ドルベか…
ドルベ,全く…バリアン世界がなくなってからというものの、貴様はダラダラしてばかり。さしずめ、不満足ならぬ不真ゲスだな
ベクター,全然上手いこと言えてねえぞ
ドルベ,…コホン！それにしても、だらけてばかりでは…昔のようになにか大きな事でもしてみたらどうだ？
ベクター,へっ、ごめんだな。俺は腐ってもバリアン戦士、オレがやってきたことはバリアン世界の存続の為だった。そのバリアン世界がなくなった今、もう何もやる気なんざ起きねーよ
ドルベ,そうか…。…ん？私たちが死んだのは大体貴様のせいじゃなかったか？。まあいい…
ベクター,なに座ってんだ。しかも体操座りかよ気持ち悪りぃな…用がねえなら帰れ
ドルベ,そういうわけにもいくまい。貴様がそんな調子では遊馬が心配していてしまう
ベクター,遊馬か…なんだか懐かしいなあ…。今となってはデュエルも…あれ？そもそもオレのアンブラルは？アンブラル無しにドンサウザンドカードやCNo.サポートはどう使えばいいんだ？
ドルベ,そうだ！
ベクター,あ？
ドルベ,ベクター、アイドルをプロデュースしてみないか？
ベクター,…どういうことだ？
ドルベ,今、巷で流行っているこのアイドルマスターというゲームではアイドルをプロデュースできるのだ
ベクター,なんだそれ…興味ねーよ
ドルベ,それはどうかな？
ベクター,あ？
ドルベ,実は、このゲームではアイドル同士をリアルソリッドビジョンオーディションで戦わせる事もできる
ベクター,だからなんだよ
ドルベ,そしてそのアイドルマスターに遊馬は熱中している！
ベクター,…
ドルベ,アイドルマスターを始めて遊馬を倒してみたいと思わないか？
ベクター,はっ…くだらねえ…
ドルベ,そうか…これならいけると思ったんだがな。まあ、いつでもその気になったら言ってくれ。アイドルマスターは置いておくぞ
ベクター,ご自由にー…。…アイドルマスターだと？。くだらねえ…こんなもんに熱中できる気がしれねえぜ
アリト,ベクター！そのパッケージは！お前もアイドルマスターやってんのか！？
ギラグ,意外だな！オーディションバトルしようぜ！
ベクター,どっから湧いてきやがった…それにこれはドルベに渡されただけだ
アリト,なんだよつまんねえな
ギラグ,まあ、心を持たないベクターにまともなアイドルは育てられないだろうしな！
アリト,違いねえ！
アリトギラグ,あっはっは！
ベクター,…。言ってくれるじゃねえか…テメェら
アリト,なんだ？やるか？オーディションバトル
ベクター,だからオレはアイドルマスターをやってねえって言ってんだろ
ギラグ,貸してやろうか？
アリト,ギラグ…お前正気か！？。自分のアイドルを他人に貸すなんて！プロデューサーとしてありえないだろ！
ギラグ,…いや、アイドルマスターの魅力を伝えるにはこれが一番だ。みんなに魅力を伝える…それが、プロデューサーってもんだろ
アリト,ギラグ…
ベクター,何言ってんだテメェら
ギラグ,というわけだ！オレのアイドルマスターを貸してやるからこれで勝負しろ。あ、やよいちゃんはオレのアイドルだから使うなよ
アリト,逃げんなよベクター
ベクター,…。やってやる！
ギラグ,よし！ベクター、まずは自分のアイドルを選ぶんだ
ベクター,ヘェ…これがアイドルマスターか。天海春香…いかにも平凡ってツラしてんな…。高槻やよい…ヘェ…
ギラグ,おい！ベクター！やよいちゃんは使うなと言っただろ！
ベクター,…使いやしねえよ。どいつもこいつも腑抜けたツラしてやがる…アイドルってのは全員こうなのか？。…こいつは……
アリト,ベクター！決まったか！？
ベクター,ああ…オレが使うのは…こいつだ！
如月千早,…
ギラグ,千早ちゃんか、意外だな
アリト,ああ…だがいいチョイスだ
ベクター,オレにはわかるぜ…こいつは他とは違う！
アリト,じゃあ早速一戦やろうぜ！
ベクター,へっ…テメェのアイドルを早く出しやがれ
アリト,俺のアイドルは…こいつだ！
菊地真,へへっ、やーりぃ！
ギラグ,出たな！アリトの真！
ベクター,なんだあ？
ギラグ,アリトの真は営業をほとんどせず、レッスンに特化している！だから思い出ゲージこそ少ないものの、ステータスは通常をはるかに上回る！
アリト,これがレッスンの力だ！
ベクター,うるせえよ！。早くはじめようぜェ…オーディションバトルを！。バカな…このオレが負けただと！？
千早,…こんなことでは…！
