大学生当麻,美琴と付き合ってたらヒモみたいになってた
美琴,ただいまーー！。当麻ぁーー！寒かったよぉーー！
当麻,おかえり。美琴
美琴,当麻ぁぁ……当麻ぁぁ……。うぅぅーーん・・・
当麻,……お疲れ様。美琴
美琴,あぁぁ……すっごい幸せ……。よし！エネルギー充填完了！。当麻ぁ、何食べたい？
当麻,うーん、なんでもいいよー
美琴,そのオーダーが一番困るのよね……いつものことだけど……
当麻,美琴の作るものだったら何でも良いって意味だよ。すっげぇおいしいし
美琴,しょ、しょうがないなー！すぐ作るから待っててね！
当麻,……ﾓｸﾞﾓｸﾞ……ﾓｸﾞﾓｸﾞ……
美琴,おいしい？
当麻,うん。おいしいよ
美琴,おかわりいっぱいあるからね！
当麻,ごちそうさまでした
美琴,はい。お粗末さまでした
当麻,いいよ。たまには俺が洗い物するよ
美琴,え？い、いいよ！当麻は横になってて！
当麻,いいっていいって、みこっちゃん仕事で疲れてるだろ？たまにはゆっくりしてくれよ。いつも感謝してるよ。美琴
美琴,……と、当麻ぁ…………あ、あたし……幸せだよぉ……。ふぅー……良いお湯だったぁ……冬場にお風呂って最高ね……。コーヒー牛乳って、何でこんなにお風呂と相性がいいのかしら……
当麻,みこっちゃん。ちょっとおいで
美琴,んん？なーに？
当麻,ここ座って
美琴,え？ど、どうしたの？いきなり。・・・するの？
当麻,髪。
美琴,……え？
当麻,髪かわかしてあげるよ
美琴,あぁぁ…………あったかーい
当麻,かゆいところはない？
美琴,かゆくないでーす。でももっと撫でてー
当麻,はいはい。はい。終わり
美琴,えぇーもっとー
当麻,でも乾いてるのにブローし続けると髪痛むぜ？
美琴,じゃあ……髪……撫でるだけで良いから……
当麻,はいはい。
美琴,………あぁぁきもちぃぃ……
当麻,…………
美琴,……ひゃぅっ！。…………と、とうまぁ……
当麻,…………
美琴,……んっ…………ぁっ……
当麻,あ、そうだ。みこっちゃん
美琴,…………な、なに……？
当麻,明日遊びに行くから、お金ちょうだい
美琴,いいよぉ……いくら……？
当麻,５万ほど
美琴,……んっ……わかった……だから……もっと……
当麻,ん。ありがと。みこっちゃん
美琴,……あっ……とうまぁ…………。ただいまーー！。とーまーー！たーだーいーまー！……って、あれ？どこー？。あれー？バイクはあるから帰ってると思ったのに……、あれー……？居ないのかなー……。うぅぅ……とぅまぁ…………、クタクタになった私を癒してよぉ……。……うぅ……ひもじぃ…………。…………ん？。……はぁっ！？！？。………………
題目は,かくれんぼ
美琴,……なるほどね。とうまぁ！居るのね！？今この家に！。……ふふ。流石に返事はないか。すーーぐに見つけてあげるからねー。待ってなさいよー！。ここかなーーっ？。……それとも、こっちかなっー？。……ここかなー？。……感じる……。感じるわっ！当麻の存在を確かに感じる！。どこかなーー？……とっうまぁーはどっこかなー？。……ふふ。…………ベッドの下とか怪しいかなー？？。……居るかなー？当麻はベッドのしたにいるかなーー？。……あれーー？あれなんだろーー？何か隅っこにいるー？。…………っ！。……い、いちおうなんなのか確認しておかないとねーー、。…………おーい……、君はなんですかー？……ここは私と当麻の寝室だよー？。……っ！…………も、もうしょうがないなぁ……これは抱きついて誰か確認する必要がありまちゅねー？。……さーて、だれなんだ君はー？。……っ！？
当麻,おめでとう。みこっちゃん。
美琴,……あっ……と、とうまぁ…………
