・故に,？
同期ウマ娘,…まーた性懲りもなく一人で走ってるんだ？マルゼンスキー
ﾏﾙｾﾞﾝｽｷｰ,…あ！こ、こんにちは…
同期ウマ娘,ここに来てもう３ヶ月にもなるってのに、どこのチームにも所属出来ないんでしょう？練習する意味なんか無いじゃない
ﾏﾙｾﾞﾝｽｷｰ,あ、アハハ～…
同期ウマ娘,ハッ…そりゃそーよね。外国ウマ娘が走れるレースなんて、そもそもここ日本には無いんだから！…あなた、何しに日本に来たの？
ﾏﾙｾﾞﾝｽｷｰ,が、外国ウマ娘じゃないわよ？！私はれっきとした日本生まれの日本育ち！…確かにお父さんもお母さんもイギリス出身の持込みウマ娘だけど…
同期ウマ娘,ハァ…あなた、もういい加減国に帰りなさいよ！目障りな上に邪魔なのよっ！！出る当ても無いレースに向けて無駄な練習して必要のない施設使用して…っ
ﾏﾙｾﾞﾝｽｷｰ,い、痛いとこ付くわね…で、でも何度も言って申し訳ないけど、私の国はここ日本だから…帰る国も何も…
同期ウマ娘,またそうやって…あなたが居るだけでイライラするのよっ！いい？！今度ここで見かけたら、また皆で追い出すからね！！
ﾏﾙｾﾞﾝｽｷｰ,あ…そ、それじゃ、また…
同期ウマ娘,"また"なんて有るわけ無いじゃない！バッカじゃないのっ？！
ﾏﾙｾﾞﾝｽｷｰ,…。…苦しくったって～…悲しくったって～…コースの中なら、平気な、のっ♪。…って言うけど…やっぱツラいわ…練習コースの中だけじゃ…。あは。イイなぁ…私も同期のみんなと、仲良くしたいなあ…みんなと一緒に、走りたいなあ…レースに、出たいなあ…。…誰もが私の出生を知ると離れていっちゃう…私、日本のウマ娘なのに…日本が、みんなが、走るのが、大好きなのに…。…本当に…何で私、ここにいるんだろ…
？？,…さあ、後れ馳せながらついにトレーナー免許が発行されたわ！すっかり他チームから出遅れちゃったけど…。私自身の夢のためにも…そして、不幸な事故で情熱を失ってしまった"あの人"のためにも！…で、あの娘は？あのウマ娘はいる？！…あっ、良かった。いたいた！！
ﾏﾙｾﾞﾝｽｷｰ,私…もう、田舎に帰るか、海外に行くしか、無いのかなあ…
？？,…おーい？あのー、聞こえますかーっ？！
ﾏﾙｾﾞﾝｽｷｰ,キャアッ！…って、ビックリしたー…あれ？ここはウマ娘の練習コースよ。どうしたの、お嬢さん。グスッ…その駆け出しのトレーナーちゃんが、どうしてこんな所にいるの？
？？,？！ど、どうしたんですか？どこか痛むんですかっ？！
ﾏﾙｾﾞﾝｽｷｰ,！…あ、こ、これは…そう！目にゴミが入っただけなの。気にしない気にしない…でも、心配してくれてありがとうね？
？？,大切なお体ですから、気をつけて下さいね？…ところでマルゼンスキーさん！私のチームに入りませんか？！
ﾏﾙｾﾞﾝｽｷｰ,アハハー。チームへのお誘いなんだー？嬉しいなー入るわよー？入れてくれるものなら喜んでー
？？,やった！ありがとうございますっ！！…まずは第１関門突破といったところねっ？！
ﾏﾙｾﾞﾝｽｷｰ,…まあ私の名前を知って、素性を調べた途端にあなたも来なくなるんでしょうけど
？？,？そんな事絶対あり得ませんが。そもそも、お名前も素性もスペックもとっくに頭に叩き込んでますけど…
ﾏﾙｾﾞﾝｽｷｰ,アハハー。それじゃあレースが決まったら教えてくれるー？それまで一人で勝手にトレーニングでも何でもしてるからー。ああっ！ハイヒールのままコースを走るの危ないわよっ？！
？？,大丈夫！それよりマルゼンスキーさんもオーバーワークはだめですよーっ？！
ﾏﾙｾﾞﾝｽｷｰ,危なっかしいわねー…でも、冷やかしでも心配してくれて嬉しかったな…もう会えないんだものね…
？？,マルゼンスキーさん、デビューですよデビュー！！
ﾏﾙｾﾞﾝｽｷｰ,…え？
？？,来る10月9日にレースが決まったんです！まずはウイニングライブの練習をしましょう！！
ﾏﾙｾﾞﾝｽｷｰ,…え？
？？,あ、走りに関しては何の心配もしていません。むしろ明らかにオーバーワークですから、レースまで一切走らず、存分にライブに向けて練習しましょうね！
ﾏﾙｾﾞﾝｽｷｰ,…え？
？？,勝負服も大至急仕立てないと…マルゼンスキーさんは、グラビアアイドル並みの高身長と体つきですから、きっと見栄えすると思うんですっ！
ﾏﾙｾﾞﾝｽｷｰ,…え？
？？,ボーッとしてる暇はありませんよ？さあ、行きましょうっ！！
実況,…さあ今回の新ウマ娘戦！一番人気はマルゼンスキーとなっていますが
解説,大変華のあるウマ娘ですね。会場内、老若男女問わず高い人気を集めています…
？？,当然よ、私の選んだウマ娘なんだから！…さあマルゼンスキー、見せつけてあげて？貴女の段違いの実力を！！
ﾏﾙｾﾞﾝｽｷｰ,…え？
実況,各ウマ娘、ゲートに入ります
ﾏﾙｾﾞﾝｽｷｰ,…え？。…え？
実況,いきなり先頭に躍り出たマルゼンスキー！
ﾏﾙｾﾞﾝｽｷｰ,…え？
解説,これ…このまま行きますよ？速さの次元が違う、これは逃げなんてレベルじゃありません！
ﾏﾙｾﾞﾝｽｷｰ,…え？。…え？
実況,まだ離す、まだ離すっ…一体どこまで離すのかっ？！
ﾏﾙｾﾞﾝｽｷｰ,…え？
実況,後続とのその差は…な、何と、２秒差っ！じ、１０ウマ身以上ーっ！！
？？,ぃヨシッ！これであの娘を参戦させる説得材料が出来たわっ！！
ﾏﾙｾﾞﾝｽｷｰ,…え？あ…ウソだねバレバレよ今見てたでしょ♪…
実況,…９ウマ身以上の圧勝！マルゼンスキー、この強さは本物だぁーっ！！
ﾏﾙｾﾞﾝｽｷｰ,…え？
同期ウマ娘,…なんか調子に乗ってるみたいじゃない？外国ウマ娘が、一体どんな魔法でレースを走れるようになった訳？
ﾏﾙｾﾞﾝｽｷｰ,…って！ゆ、夢じゃなかったのー？！
同期ウマ娘,はあ？…まあいいわ、今日は何かの間違いで出てきたアンタをこてんぱんにノしてあげるから、覚悟なさい！
ﾏﾙｾﾞﾝｽｷｰ,ちょっと…ちょっと！私、本当にデビューしちゃってる？！。はわわっ？！は…走らないとっ！
実況,…写真判定のうえ、鼻差でマルゼンスキーの勝利が決まりました！
解説,いやあ、何か慌ててましたね？今回のマルゼンスキーは…何にしても、一番人気の期待に答えました！
同期ウマ娘,…ハッ…ハッ…さ、最初の２試合は、やっぱり運が良かったのね…み、見てなさい？つ、次のレースでは…私があなたをぶっちぎってあげるんだからっ！
ﾏﾙｾﾞﾝｽｷｰ,…あ、うん。また…いつの間にか…"また"なんて言葉が使えるようになったんだ、私
？？,まっ…マルゼンスキーさん？一体どうしちゃったんですか？調子悪いんですか？どこか痛めたんですか？！
ﾏﾙｾﾞﾝｽｷｰ,と、トレーナーちゃんっ？！どうしちゃったって言うのは私のセリフよ！一体どんな魔法でほとんど海外ウマ娘扱いの私をレースに出したのっ？！
？？,い、今さらですかっ？！そ、それは、規定書を隅から隅まで読んで抜け道を探したり…あ、後はマルゼンスキーさんの勝った実績を持って押し込んだり…
ﾏﾙｾﾞﾝｽｷｰ,チームは？そもそもチームに入ってないとウマ娘はレースに出れないんじゃないのっ？！
？？,ちゃ、ちゃんとチームですよっ？！…まあまだ、トレーナーの私とマルゼンスキーさん二人だけのチームですけど…
ﾏﾙｾﾞﾝｽｷｰ,そ、そう…。冷やかしなんかじゃ、無かったんだ…
？？,あの…マルゼンスキーさん？
ﾏﾙｾﾞﾝｽｷｰ,ごめんなさい。改めて…私の、チーム名と…あなたの、トレーナー…さんのお名前を、教えてくれる？
？？,え？…チーム名は"リギル"、私の名前は"東条ハナ"って言います。…改めてよろしくお願いしますね？マルゼンスキーさん！
ハナ,キャアッ！…ま、マルゼンスキーさんっ？！一体何を…
ﾏﾙｾﾞﾝｽｷｰ,本当に…本当にありがとうっ！…私にとってあなたは、シンデレラの魔女と王子様が同時に現れたようなものなのっ！夢みたいだけど…これって夢じゃないのよねっ？！
ハナ,ゆ、夢なんかじゃありませんっ！それに、レースシーズンはまだ始まったばかりなんですよっ？
ﾏﾙｾﾞﾝｽｷｰ,！……そういえば、いつの間にか私の歌や勝負服まで出来てたけど…これって、私が勝つ事を信じてくれてないと出来ない事じゃないっ…
ハナ,…あれ？大丈夫ですか？
ﾏﾙｾﾞﾝｽｷｰ,…私…先を、未来を見据えて走ってもいいのね？トレーナーさんと…このチームリギルで！
ハナ,マルゼンスキーさん？
ﾏﾙｾﾞﾝｽｷｰ,…敬語なんて止めて？私の尊敬するトレーナーさんなんだから…ね？おハナさんっ！！
ハナ,…おハナさんは止めてほしいけど…こちらこそよろしくお願いね？マルゼンスキー！
ﾏﾙｾﾞﾝｽｷｰ,ハイッ！…そうと決まれば次回こそ本気のレースをするわ！特訓の指示をお願いね？私のトレーナーさんっ！！
実況,…さあ４連勝目なるか？相も変わらず一番人気はマルゼンスキーとなっていますが
解説,前回接戦の末、辛うじて勝ち得た彼女を倒さんと、名ウマ娘が今回は名を連ねていますからね。マルゼンスキーと言えど簡単には行かないのでは無いでしょうか…
？？？？,…フン。大した連中には見えんがな？私にとっては…
ﾏﾙｾﾞﾝｽｷｰ,…私は、真紅のシンデレラ♪魔女から授かった魔法の勝負服と、王子から与えられたチームを持って、ケンタウルスの脚で駆け抜ける…♪
ハナ,…何か、昔の中二病みたいなノリになってる？！ノリノリ過ぎて入れ込み過ぎだけが心配だわ…
ﾏﾙｾﾞﾝｽｷｰ,フゥッ…今までになく気力も力もみなぎってるわ。トレーナーさん？何かご注文は？！
ハナ,フッ…決まってる。あなたの想いの丈を思いっきりぶつけて…あらゆるものを全力でぶっちぎってきなさい！
実況,…出てきました！スーパーカーマルゼンスキー、いざ参るっ！！
？？？？,な…何だあのウマ娘はっ？！
解説,鍛えに鍛えて出てきましたね…張り、艶、動き、どれを取っても文句無い仕上がりです！
ﾏﾙｾﾞﾝｽｷｰ,…応援、本当にアリガト～♪
先輩ウマ娘,来たわね？！今日こそ決着をつけ、て…あ、あなた、本当にあのマルゼンスキーなの…？
ﾏﾙｾﾞﾝｽｷｰ,…ウフ。ええ、そうよ？これが本当のワ、タ、シ♪…今日"も"よろしくね？
先輩ウマ娘,ひ、ヒィッ？！
？？？？,…誰も気付いてないのか？初めて見たぞ…真紅い、闘気の舞い上がりなんて…
実況,各ウマ娘、ゲートに入ります…
ﾏﾙｾﾞﾝｽｷｰ,…これが、私の本当のレースに向けた全力…真のデビュー戦よっ！！
実況,いつも通り、マルゼンスキーが一気に抜け出しトップに踊り出ます！
解説,ぐんぐん差を拡げていきますが…え？彼女、抑えてますよ？！
実況,え？それはどういう事ですか？！
解説,後半のラストスパートに向けて、力を蓄え込んでいるという事です！
同期ウマ娘,ハッ…ハッ…お、おかしいじゃない？！私ベストタイムなのにっ！！
実況,最後の直線でまた伸びる！マルゼンスキー一人旅！マルゼンスキーこれは強い！その差は拡がる一方だ！！。マルゼンスキー圧勝！な、なんと…じ、１３ウマ身、2.2秒差ーっ！？走破タイム1分34秒4…これまでの記録を0.2秒更新するレコードタイムっ！このウマ娘は、期待を常に上回るっ！！
同期ウマ娘,…か、怪物か…
？？？？,ふ、ふふっ、ははは…！見つけたぞ。初めて私が本気でぶつかり合いたいと思ったウマ娘にっ…！！
調べ直して良いウマなのが分かり、最後は良い奴になりそうです,最初が最初だけに仲良くはなれませんが
他ﾁｰﾑﾄﾚｰﾅｰ,…しゃあ無えな？ウチん所から参加してやんよ
ハナ,あ、ありがとうございますっ！
