城ヶ崎莉嘉,……うぅ～～ん
宮本フレデリカ,おはよー！呼ばれてないのにフレデリカー！
莉嘉,あ、フレちゃん……おはよ
フレ,ンー？リカちゃんどうしたの？ケータイ無くした？
莉嘉,いや、持ってるけど
フレ,ふむ……
莉嘉,んー……どうしよう～って、悩みがあってさ
フレ,聞かせてくりゃれ
莉嘉,ガッコーの友達とね？話してたんだけどさ……。ちゃんと、ダメなところを見てないと……友達じゃない？。なーんて事をさ、話してて……
フレ,ほぅ……つまりナウ、リカちゃん氏は親密になりたい人がいると？
莉嘉,お姉ちゃん
フレ,ン？
莉嘉,お姉ちゃんとアタシ、本当の友達なのかな、って……
フレ,何で？リカちゃんとミカちゃん、すごく仲良しじゃない？
莉嘉,で、でも！アタシお姉ちゃんのダメなところ１０コなんて言えないよ！。優しくって、カッコ良くて、キレイでカワイくて……お料理も上手なんだよ？
フレ,うんうん。ミカちゃん、レッスンでも人一倍頑張り屋さんだもんねー
莉嘉,でしょ？アタシ、すっごくお姉ちゃん大好きなのに……。うぅ～～～ん……
フレ,ふむふむ、なるほどなるほど。どうしたら良いかな、シューコちゃん？
塩見周子,おっと、キラーパスやねフレちゃん
莉嘉,えっ、い、いたの周子ちゃん！？
周子,いたよー。ウンウン唸ってる莉嘉ちゃんの真ん前でケータイ弄ってた
莉嘉,き、気づかなかった……ゴメン
周子,いいのいいの、気配消してたから。で、どうしろって？
フレ,リカちゃんがミカちゃんのダメなところ１０コ言わないとダメなんだって
周子,いや聞いてたけどさ
フレ,こういう時、頼りになるのがシューコちゃんなんだよー！
周子,どんな時やねん。そんなダメ出しするキャラじゃないでしょ、あたし。ただ、まぁ……うん。無いワケでも無いかなー、方法としては
莉嘉,しゅ、周子ちゃん！
フレ,聞かせてくりゃれ
周子,フレちゃんそれマイブームなん？まぁいいや。確かに、美嘉ちゃんはすごく良い子だよね。さて、どうしたもんか……その方法は一つ
莉嘉,……
周子,無いものは、作ればいいんだよ
莉嘉,……え？
周子,いっそ美嘉ちゃんをダメ女にしちゃえばいいと思うよ
莉嘉,だ、ダメ女……！？
双葉杏,何で杏を見たのさ
周子,まぁつまりさ、美嘉ちゃんに何かしらチョンボさせて、茶化しちゃおうって話。どうこれ、フレちゃん？
フレ,ウーーン！
周子,宮本議院は通過しました。さて、どうされます総理？
莉嘉,よ、よぉし！お姉ちゃんともっと仲良くなるためだもん！。お姉ちゃんダメ女化計画、やってみよー！！
フレ,ミカちゃんのダメなところ１０コ見つけよー！
周子,キマッてんなー
城ヶ崎美嘉,アハハハ！でさー、その時に凜がねー？
大槻唯,ウソー！？それマジヤバくなーい！？
フレ,こちらフレちゃん、今ターゲットを捕捉しました
莉嘉,アタシ達も一緒だけどね
周子,唯ちゃんとギャルトークに華を咲かせてますなぁ。さて、莉嘉ちゃんちょっとコレを
莉嘉,？なにコレ？
周子,このボードを、美嘉ちゃんが飲み物を飲むタイミングで美嘉ちゃんに見せてみて。あ、莉嘉ちゃんは見ちゃダメだよ？
莉嘉,えーなにー？気になるー！
周子,ダメダメ。莉嘉ちゃんは絶対に見ないこと。美嘉ちゃんと仲良くなるんでしょ？
莉嘉,ぶー……分かった
フレ,おぉっと、ミカちゃん氏ここでおもむろにペットボトルを取り出しました！
周子,グッドタイミングやね。あたしの合図で出して、莉嘉ちゃん
莉嘉,う、うん！
美嘉,そうそう、それからの未央ったらもう……？
莉嘉,
美嘉,ッッ！！！？
唯,うわああーっ！！ちょ、ちょっとミカちゃん！？
周子,でかした莉嘉ちゃん！さて、逃げよ
莉嘉,あっ、待って周子ちゃん！
フレ,ミカちゃーん、ありがとー！
美嘉,ゲェホッ！！ゲホッ！！ウェッホ！
唯,ミカちゃん、大丈夫！？いきなりどうしたの！？
美嘉,な゛っ！！い、いま゛、エホッ！！莉嘉が……！？。はぁ、はぁ……！
ベテラントレーナー,ダレるな！目の前にいる観客を常に意識しろ！
美嘉,はいっ！！
フレ,こちらフレちゃん、ターゲットはすっごく頑張っています…！
莉嘉,お姉ちゃん、カッコいい……
周子,うーん、こういうのに水を差すのはさすがに気が引けるなぁ。なので、頑張るミカちゃんには差し入れを持っていってあげよう
莉嘉,えっ、そ、それって……
周子,大丈夫、別に変なモン入れてないよ。自販機で買ったフツーのコーラ
フレ,シキちゃんのお薬とかも？
周子,志希ちゃんが自販機に細工でもしてない限りはね。とりあえず、これを目一杯振っといて、と……
ベテトレ,よし、休憩だ。私は少しプロデューサーと話をしてくる
美嘉,はい！……はぁ、はぁ
周子,やっほー美嘉ちゃん、お疲れさんやね
美嘉,……え？
莉嘉,お姉ちゃーん！
美嘉,莉嘉！どうしたの皆して、今日レッスンじゃないでしょ？。あ、そういやさっきアンタ…！
フレ,呼ばれてないのにフレデリカー！
美嘉,えぇい、フレちゃん暑苦しい！
周子,まーまー、とりあえずはい、これ
美嘉,え……あ、ありがと。あっ、ちょっと待って、何かヤな予感がする
周子,へ？何が？
美嘉,目一杯振って、アタシがビチョビチョになんの狙ってたりしない？
莉嘉,す、鋭い……
美嘉,ま、そうでなくてもアタシ、炭酸は飲まないけどね
周子,あらら、そりゃましょうがない。邪魔してごめんね。はいよー
椎名法子,やったー、一番乗りー！ねぇ、時子さんも早く！
財前時子,気安く手を引くのは止めて。何が楽しいのかしら、この子は
法子,えー、ドーナツの後の運動だよ？しかも時子さんと一緒……あっ！
